poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
89288,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,10/29/24,10/31/24,,"",,216083,1152,lv,,lv,,11/3/24 12:40,"",https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,,https://www.scribd.com/document/787484182/full-yahoo-20241101,"",,,6826,Kamala Harris,45.0,51.0,4.0
89195,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,2.7,-0.8,Online Opt-In Panel,9.0,,10/28/24,10/31/24,,"",,215520,1328,lv,,lv,,11/1/24 15:45,"",https://echeloninsights.com/in-the-news/oct-2024-verified-voter-omnibus/,https://echeloninsights.com/in-the-news/oct-2024-verified-voter-omnibus/,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2024-Voter-Omnibus-Topline-EXTERNAL.pdf,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2024-Voter-Omnibus-Crosstabs-EXTERNAL.pdf,"",,,6826,Kamala Harris,47.0,51.0,2.0
89155,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/27/24,10/29/24,,"",,215407,4523,rv,,rv,,11/1/24 12:24,"",https://www.forbes.com/sites/joewalsh/2024/10/31/new-harrisxforbes-poll-harris-leads-trump-by-just-1-point-a-statistical-tie-as-10-still-unsure/,https://www.forbes.com/sites/joewalsh/2024/10/31/new-harrisxforbes-poll-harris-leads-trump-by-just-1-point-a-statistical-tie-as-10-still-unsure/,,https://elections.harrisx.com/public/Political_Overnight_Poll_10_29_2024_3_Days.html,"",,,6826,Kamala Harris,44.0,50.0,5.0
89155,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/27/24,10/29/24,,"",,215408,3718,lv,,lv,,11/1/24 12:24,"",https://www.forbes.com/sites/joewalsh/2024/10/31/new-harrisxforbes-poll-harris-leads-trump-by-just-1-point-a-statistical-tie-as-10-still-unsure/,https://www.forbes.com/sites/joewalsh/2024/10/31/new-harrisxforbes-poll-harris-leads-trump-by-just-1-point-a-statistical-tie-as-10-still-unsure/,,https://elections.harrisx.com/public/Political_Overnight_Poll_10_29_2024_3_Days.html,"",,,6826,Kamala Harris,47.0,51.0,3.0
89196,1873,Big Data Poll,"","",Big Data Poll,251,Big Data Poll,1.1,0.2,,7.0,,10/27/24,10/29/24,,"",,215518,2814,lv,,lv,,11/1/24 15:45,"",https://youtu.be/Ukrtt9BqzC0?t=2405,https://youtu.be/Ukrtt9BqzC0?t=2405,,,"",,,6826,Kamala Harris,48.8,48.3,2.8
89196,1873,Big Data Poll,"","",Big Data Poll,251,Big Data Poll,1.1,0.2,,7.0,,10/27/24,10/29/24,,"",,215519,2992,rv,,rv,,11/1/24 15:45,"",https://youtu.be/Ukrtt9BqzC0?t=2405,https://youtu.be/Ukrtt9BqzC0?t=2405,,,"",,,6826,Kamala Harris,48.0,47.6,4.3
89183,1416,HarrisX,2232,Blockchain Association,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/25/24,10/28/24,,"",,215409,1717,rv,,rv,,11/1/24 12:24,"",https://www.harrisx.com/content/october-2024-harrisx-blockchain-association-poll,,,https://www.harrisx.com/content/october-2024-harrisx-blockchain-association-poll,"",,,6826,Kamala Harris,46.0,49.0,5.0
89183,1416,HarrisX,2232,Blockchain Association,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/25/24,10/28/24,,"",,215410,1475,lv,,lv,,11/1/24 12:24,"",https://www.harrisx.com/content/october-2024-harrisx-blockchain-association-poll,,,https://www.harrisx.com/content/october-2024-harrisx-blockchain-association-poll,"",,,6826,Kamala Harris,48.0,49.0,3.0
89028,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,10/25/24,10/27/24,,"",,214798,1150,a,,a,,10/29/24 19:36,"",https://www.ipsos.com/en-us/americans-perceptions-election-security-vary-primary-media-source,https://www.ipsos.com/en-us/americans-perceptions-election-security-vary-primary-media-source,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-10/Late-October%20Core%20Political%20Topline%20FINAL%20PDF%2010.29.24.pdf,,"",,,6826,Kamala Harris,38.0,50.0,12.0
88991,921,Clarity,"","",Clarity Campaign Labs,52,Clarity Campaign Labs,1.6,-0.2,Online Opt-In Panel/Text-to-Web,1.0,,10/17/24,10/23/24,,"",,214507,1314,lv,,lv,,10/28/24 17:19,"",https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/671fd5d3de112f28dcd4a39c/1730139604180/%5BAll%5D+Clarity+Omnibus+Overview+-+October+2024.pdf,,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/671fd5d3de112f28dcd4a39c/1730139604180/%5BAll%5D+Clarity+Omnibus+Overview+-+October+2024.pdf,,"",,,6826,Kamala Harris,47.0,46.0,7.0
88889,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/21/24,10/22/24,,"",,213841,1512,rv,,rv,,10/23/24 12:46,"",https://www.forbes.com/sites/saradorn/2024/10/23/new-harrisxforbes-poll-trump-leads-harris-by-2-points-but-12-are-still-deciding/,https://www.forbes.com/sites/saradorn/2024/10/23/new-harrisxforbes-poll-trump-leads-harris-by-2-points-but-12-are-still-deciding/,,https://elections.harrisx.com/public/HarrisX_Overnight_Poll_Oct_21_24_1_day.html,"",,,6826,Kamala Harris,44.0,51.0,5.0
88889,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/21/24,10/22/24,,"",,213842,1244,lv,,lv,,10/23/24 12:46,"",https://www.forbes.com/sites/saradorn/2024/10/23/new-harrisxforbes-poll-trump-leads-harris-by-2-points-but-12-are-still-deciding/,https://www.forbes.com/sites/saradorn/2024/10/23/new-harrisxforbes-poll-trump-leads-harris-by-2-points-but-12-are-still-deciding/,,https://elections.harrisx.com/public/HarrisX_Overnight_Poll_Oct_21_24_1_day.html,"",,,6826,Kamala Harris,46.0,52.0,2.0
88917,1822,Fabrizio/GBAO,276,Wall Street Journal,"Fabrizio, Lee & Associates/GBAO",796,"Fabrizio, Lee & Associates/GBAO",,,,6.0,,10/19/24,10/22/24,,"",,213997,1500,rv,,rv,,10/24/24 09:10,"",https://www.wsj.com/politics/elections/trump-leads-harris-wsj-poll-779f8516?mod=e2twp,https://www.wsj.com/politics/elections/trump-leads-harris-wsj-poll-779f8516?mod=e2twp,https://prod-i.a.dj.com/public/resources/documents/WSJ_partial_results_late_Oct_2024.pdf,,"",,,6826,Kamala Harris,42.0,54.0,4.0
88805,458,Suffolk,135,USA Today,Suffolk University,323,Suffolk University,2.9,-1.0,Live Phone,8.0,,10/14/24,10/18/24,,"",,213471,1000,lv,,lv,,10/21/24 08:46,"",https://www.suffolk.edu/academics/research-at-suffolk/political-research-center/polls/national#collapse-October-21-2024-National-Issues-Poll-with-USA-TODAY,https://www.suffolk.edu/academics/research-at-suffolk/political-research-center/polls/national#collapse-October-21-2024-National-Issues-Poll-with-USA-TODAY,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2024/10_21_2024_national_marginals_part_1.pdf,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2024/10_21_2024_national_tables_part_1.pdf,"",,,6826,Kamala Harris,44.1,48.8,7.1
88676,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,7.0,,10/11/24,10/13/24,,"",,212521,3145,rv,,rv,,10/14/24 14:56,"",https://harvardharrispoll.com/wp-content/uploads/2024/10/HHP_Oct24_KeyResults.pdf,https://harvardharrispoll.com/wp-content/uploads/2024/10/HHP_Oct24_KeyResults.pdf,https://harvardharrispoll.com/wp-content/uploads/2024/10/HHP_Oct2024_Topline.pdf,https://harvardharrispoll.com/wp-content/uploads/2024/10/HHP_Oct2024_Crosstabs.pdf,"",,,6826,Kamala Harris,49.0,47.0,5.0
88703,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,10/11/24,10/13/24,,"",,213029,938,a,,a,,10/16/24 19:34,"",https://www.ipsos.com/en-us/reuters-ipsos-core-political-survey-presidential-approval-tracker-october-2024,https://www.ipsos.com/en-us/reuters-ipsos-core-political-survey-presidential-approval-tracker-october-2024,https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%2010%2016%202024%20PDF.pdf,,"",,,6826,Kamala Harris,40.0,47.0,12.0
88720,169,Gallup,"","",Gallup,112,Gallup,2.5,-0.4,Live Phone,10.0,,10/1/24,10/12/24,,"",,212888,1023,a,,a,,10/16/24 10:17,"",https://news.gallup.com/poll/652178/harris-approval-rating-higher-biden.aspx,https://news.gallup.com/poll/652178/harris-approval-rating-higher-biden.aspx,,,"",,,6826,Kamala Harris,45.0,50.0,5.0
88759,1416,HarrisX,400,Deseret News,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/9/24,10/11/24,,"",,213193,2010,rv,,rv,,10/18/24 09:03,"",https://elections.harrisx.com/public/Deseret_News_HarrisX_Political_Oct_14_2024_2_day.html,,,https://elections.harrisx.com/public/Deseret_News_HarrisX_Political_Oct_14_2024_2_day.html,"",,,6826,Kamala Harris,47.0,48.0,6.0
88759,1416,HarrisX,400,Deseret News,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/9/24,10/11/24,,"",,213194,1692,lv,,lv,,10/18/24 09:03,Definitely/probably/possibly voting,https://elections.harrisx.com/public/Deseret_News_HarrisX_Political_Oct_14_2024_2_day.html,,,https://elections.harrisx.com/public/Deseret_News_HarrisX_Political_Oct_14_2024_2_day.html,"",,,6826,Kamala Harris,47.0,50.0,3.0
88759,1416,HarrisX,400,Deseret News,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/9/24,10/11/24,,"",,213195,1622,lv,,lv,,10/18/24 09:03,Definitely/probably voting,https://elections.harrisx.com/public/Deseret_News_HarrisX_Political_Oct_14_2024_2_day.html,,,https://elections.harrisx.com/public/Deseret_News_HarrisX_Political_Oct_14_2024_2_day.html,"",,,6826,Kamala Harris,47.0,50.0,3.0
88561,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Opt-In Panel,9.0,,10/6/24,10/6/24,,"",,211891,2300,rv,,rv,,10/8/24 10:33,"",https://redfieldandwiltonstrategies.com/us-presidential-election-national-voting-intention-6-october-2024/,https://redfieldandwiltonstrategies.com/us-presidential-election-national-voting-intention-6-october-2024/,,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fredfieldandwiltonstrategies.com%2Fwp-content%2Fuploads%2F2024%2F10%2FUS-Presidential-Election-National-Voting-Intention-06-October-2024.xlsx&wdOrigin=BROWSELINK,"",,,6826,Kamala Harris,45.0,40.0,15.0
88527,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,10/2/24,10/4/24,,"",,211888,1711,a,,a,,10/8/24 10:32,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-trump-harris-race-tightens-after-vance-debate-win-120026568.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-trump-harris-race-tightens-after-vance-debate-win-120026568.html,,https://www.scribd.com/document/777272307/20241004-politics,"",,,6826,Kamala Harris,41.0,50.0,9.0
88527,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,10/2/24,10/4/24,,"",,211889,1149,rv,,rv,,10/8/24 10:32,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-trump-harris-race-tightens-after-vance-debate-win-120026568.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-trump-harris-race-tightens-after-vance-debate-win-120026568.html,,https://www.scribd.com/document/777272307/20241004-politics,"",,,6826,Kamala Harris,44.0,52.0,4.0
88527,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,10/2/24,10/4/24,,"",,211890,1032,lv,,lv,,10/8/24 10:32,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-trump-harris-race-tightens-after-vance-debate-win-120026568.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-trump-harris-race-tightens-after-vance-debate-win-120026568.html,,https://www.scribd.com/document/777272307/20241004-politics,"",,,6826,Kamala Harris,44.0,52.0,4.0
88517,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Opt-In Panel,9.0,,9/28/24,9/29/24,,"",,211667,2000,rv,,rv,,10/4/24 18:59,"",https://redfieldandwiltonstrategies.com/us-presidential-election-national-voting-intention-28-29-september-2024/,https://redfieldandwiltonstrategies.com/us-presidential-election-national-voting-intention-28-29-september-2024/,,,"",,,6826,Kamala Harris,45.0,37.0,19.0
88398,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Opt-In Panel,9.0,,9/25/24,9/26/24,,"",,210999,2500,rv,,rv,,9/27/24 12:50,"",https://redfieldandwiltonstrategies.com/us-presidential-election-national-voting-intention-25-26-september-2024/,https://redfieldandwiltonstrategies.com/us-presidential-election-national-voting-intention-25-26-september-2024/,,,"",,,6826,Kamala Harris,45.0,38.0,18.0
88374,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,2.7,-0.8,Online Opt-In Panel,9.0,,9/23/24,9/25/24,,"",,210819,1005,lv,,lv,,9/26/24 13:07,"",https://echeloninsights.com/in-the-news/sept2024-verified-voter-omnibus-2/,https://echeloninsights.com/in-the-news/sept2024-verified-voter-omnibus-2/,https://echelonin.wpenginepowered.com/wp-content/uploads/September-2024-Voter-Omnibus-Topline-EXTERNAL-1.pdf,https://echelonin.wpenginepowered.com/wp-content/uploads/September-2024-Voter-Omnibus-Crosstabs-EXTERNAL.pdf,"",,,6826,Kamala Harris,49.0,47.0,4.0
88399,921,Clarity,"","",Clarity Campaign Labs,52,Clarity Campaign Labs,1.6,-0.2,Online Opt-In Panel,1.0,,9/19/24,9/24/24,,"",,211006,1000,lv,,lv,,9/27/24 16:15,"",https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/66f701d406dcaa5620325b1f/1727463893365/%5BAll%5D+Clarity+Omnibus+Overview+-+September+2024.pdf,,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/66f701d406dcaa5620325b1f/1727463893365/%5BAll%5D+Clarity+Omnibus+Overview+-+September+2024.pdf,,"",,,6826,Kamala Harris,48.0,45.0,7.0
88929,1416,HarrisX,400,Deseret News,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,9/20/24,9/23/24,,"",,214191,1011,rv,,rv,,10/25/24 09:04,"",https://www.deseret.com/politics/2024/10/24/parental-rights-trump-harris-transgender-education-pronouns/,https://www.deseret.com/politics/2024/10/24/parental-rights-trump-harris-transgender-education-pronouns/,,https://elections.harrisx.com/public/Deseret_News_HarrisX_Overnight_Poll_Gender_and_Abortion.html,"",,,6826,Kamala Harris,48.0,46.0,6.0
88358,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,9/20/24,9/22/24,,"",,210749,1029,a,,a,,9/25/24 19:25,"",https://www.ipsos.com/en-us/reuters-ipsos-core-political-survey-presidential-approval-tracker-september-2024,https://www.ipsos.com/en-us/reuters-ipsos-core-political-survey-presidential-approval-tracker-september-2024,https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%2009%2025%202024%20PDF.pdf,,"",,,6826,Kamala Harris,41.0,45.0,14.0
88224,1416,HarrisX,2193,Society of Presidential Pollsters,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,9/14/24,9/16/24,,"",,209976,1505,rv,,rv,,9/18/24 19:54,"",https://www.victoriaadvocate.com/new-poll-from-the-george-washington-university-and-harrisx-confidence-in-american-government-and-institutions/article_3247dca9-274d-5e80-a4eb-abca87e24d87.html,https://www.victoriaadvocate.com/new-poll-from-the-george-washington-university-and-harrisx-confidence-in-american-government-and-institutions/article_3247dca9-274d-5e80-a4eb-abca87e24d87.html,,https://elections.harrisx.com/public/GW_Society_of_Presidential_Pollsters_2024.html,"",,,6826,Kamala Harris,48.0,47.0,6.0
88224,1416,HarrisX,2193,Society of Presidential Pollsters,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,9/14/24,9/16/24,,"",,210167,1306,lv,,lv,,9/19/24 13:40,definitely/probably/possibly voting,https://www.victoriaadvocate.com/new-poll-from-the-george-washington-university-and-harrisx-confidence-in-american-government-and-institutions/article_3247dca9-274d-5e80-a4eb-abca87e24d87.html,https://www.victoriaadvocate.com/new-poll-from-the-george-washington-university-and-harrisx-confidence-in-american-government-and-institutions/article_3247dca9-274d-5e80-a4eb-abca87e24d87.html,,https://elections.harrisx.com/public/GW_Society_of_Presidential_Pollsters_2024.html,"",,,6826,Kamala Harris,49.0,47.0,4.0
88224,1416,HarrisX,2193,Society of Presidential Pollsters,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,9/14/24,9/16/24,,"",,210168,1247,lv,,lv,,9/19/24 13:41,definitely/probably voting,https://www.victoriaadvocate.com/new-poll-from-the-george-washington-university-and-harrisx-confidence-in-american-government-and-institutions/article_3247dca9-274d-5e80-a4eb-abca87e24d87.html,https://www.victoriaadvocate.com/new-poll-from-the-george-washington-university-and-harrisx-confidence-in-american-government-and-institutions/article_3247dca9-274d-5e80-a4eb-abca87e24d87.html,,https://elections.harrisx.com/public/GW_Society_of_Presidential_Pollsters_2024.html,"",,,6826,Kamala Harris,49.0,48.0,4.0
88263,1406,Navigator,"","",Navigator Research,413,Global Strategy Group/GBAO (Navigator Research),1.3,0.3,Online Opt-In Panel,4.5,,9/12/24,9/16/24,,"",,211469,1003,rv,,rv,,10/3/24 08:44,"",https://navigatorresearch.org/three-in-five-believe-republican-tax-policies-favor-the-wealthy/,https://navigatorresearch.org/three-in-five-believe-republican-tax-policies-favor-the-wealthy/,https://navigatorresearch.org/wp-content/uploads/2024/09/Navigator-September-Topline-Results-091624.pdf,,"",,,6826,Kamala Harris,48.0,47.0,6.0
88205,169,Gallup,"","",Gallup,112,Gallup,2.5,-0.4,Live Phone,10.0,,9/3/24,9/15/24,,"",,209859,1007,a,,a,,9/18/24 09:57,"",https://news.gallup.com/poll/650774/favorable-ratings-harris-trump-remain.aspx,https://news.gallup.com/poll/650774/favorable-ratings-harris-trump-remain.aspx,,,"",,,6826,Kamala Harris,44.0,53.0,3.0
88170,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,9/11/24,9/13/24,,"",,209501,1755,a,,a,,9/14/24 19:39,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,,https://d3nkl3psvxxpe9.cloudfront.net/documents/20240913_politics.pdf,"",,,6826,Kamala Harris,41.0,47.0,11.0
88170,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,9/11/24,9/13/24,,"",,209502,1176,rv,,rv,,9/14/24 19:39,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,,https://d3nkl3psvxxpe9.cloudfront.net/documents/20240913_politics.pdf,"",,,6826,Kamala Harris,44.0,50.0,6.0
88170,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,9/11/24,9/13/24,,"",,209503,1089,lv,,lv,,9/14/24 19:39,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,,https://d3nkl3psvxxpe9.cloudfront.net/documents/20240913_politics.pdf,"",,,6826,Kamala Harris,45.0,50.0,5.0
