itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem,party_id_leaners_rep,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Joe Biden, the Democrat",47%,42%,51%,47%,53%,39%,52%,42%,82%,47%,53%,59%,39%,60%,29%,46%,49%,50%,100%,0%,0%,91%,6%,50%,91%,8%,90%,2%,33%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Donald Trump, the Republican",45%,49%,42%,44%,42%,51%,41%,52%,13%,35%,33%,32%,54%,35%,65%,49%,43%,42%,0%,100%,0%,5%,90%,38%,5%,86%,5%,93%,55%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,8%,9%,7%,9%,5%,10%,7%,6%,5%,19%,14%,9%,7%,6%,6%,5%,8%,8%,0%,0%,100%,4%,4%,12%,4%,6%,6%,4%,13%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the 2024 presidential primaries and caucuses, do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the 2024 presidential primaries and caucuses, do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the 2024 presidential primaries and caucuses, do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Democratic primary,35%,30%,40%,37%,42%,28%,40%,30%,75%,35%,36%,40%,32%,39%,23%,40%,38%,35%,70%,3%,15%,85%,1%,26%,74%,2%,68%,2%,28%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Republican primary,40%,44%,38%,33%,35%,47%,40%,48%,10%,29%,24%,33%,45%,39%,56%,40%,36%,42%,8%,77%,25%,3%,91%,29%,4%,81%,10%,83%,30%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Unlikely to vote in primary or caucus,17%,19%,14%,23%,17%,17%,14%,15%,13%,20%,30%,19%,15%,17%,15%,13%,20%,17%,17%,13%,34%,7%,5%,35%,17%,13%,18%,9%,33%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,8%,7%,7%,6%,7%,8%,5%,6%,3%,16%,10%,7%,8%,5%,6%,7%,7%,5%,5%,7%,26%,6%,2%,10%,6%,4%,5%,6%,9%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump,63%,63%,63%,58%,55%,70%,64%,62%,62%,92%,41%,37%,76%,36%,75%,75%,66%,56%,12%,73%,0%,13%,68%,48%,6%,66%,23%,71%,59%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Ron DeSantis [Duh-San-Tis],9%,9%,8%,14%,16%,6%,4%,9%,0%,0%,17%,12%,7%,14%,7%,6%,8%,12%,2%,10%,0%,0%,8%,12%,0%,9%,0%,10%,12%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Nikki Haley,12%,12%,13%,8%,12%,10%,17%,12%,5%,2%,23%,29%,3%,29%,4%,7%,12%,16%,56%,5%,54%,58%,10%,16%,49%,10%,40%,7%,15%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Vivek Ramaswamy [Viv-AKE Rahm-uh-SWAM-ee],4%,4%,4%,8%,3%,5%,1%,4%,7%,0%,13%,6%,3%,5%,3%,3%,2%,6%,0%,4%,20%,0%,4%,4%,0%,4%,3%,5%,2%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Asa [AYE-suh] Hutchinson,<.5%,<.5%,0%,2%,0%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,<1%,0%,0%,0%,4%,0%,0%,1%,0%,<.5%,2%,0%,0%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Chris Christie,3%,4%,3%,0%,<1%,2%,6%,3%,12%,3%,0%,5%,3%,4%,3%,3%,3%,3%,21%,2%,3%,13%,2%,9%,28%,2%,16%,2%,0%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Someone else (specify),<.5%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,8%,8%,9%,9%,14%,6%,7%,9%,13%,3%,7%,10%,8%,11%,7%,6%,8%,7%,9%,8%,19%,16%,8%,10%,17%,8%,17%,6%,13%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,380,203,175,56,88,135,88,307,13,37,16,163,213,141,165,88,84,178,40,319,21,9,262,92,21,351,47,275,43,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,50%,50%,11%,19%,39%,29%,84%,2%,8%,4%,33%,66%,28%,55%,25%,22%,44%,10%,85%,5%,2%,72%,21%,5%,94%,11%,78%,7%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(Recoded to age) In what year were you born?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(Recoded to age) In what year were you born?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",18-29,13%,13%,12%,100%,0%,0%,0%,11%,15%,17%,21%,12%,14%,11%,12%,19%,16%,9%,13%,13%,14%,13%,9%,15%,15%,12%,13%,8%,35%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",30-44,22%,21%,22%,0%,100%,0%,0%,21%,19%,29%,24%,27%,18%,27%,17%,15%,24%,27%,24%,20%,14%,25%,18%,20%,24%,19%,23%,18%,30%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",45-64,34%,34%,34%,0%,0%,100%,0%,35%,32%,21%,51%,33%,35%,34%,36%,26%,29%,42%,28%,38%,38%,29%,38%,36%,28%,39%,29%,42%,20%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",65+,29%,29%,29%,0%,0%,0%,100%,31%,29%,28%,2%,25%,31%,28%,33%,39%,30%,20%,32%,26%,24%,32%,32%,25%,31%,27%,32%,30%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Refused,3%,3%,3%,0%,0%,0%,0%,2%,5%,5%,<1%,3%,2%,<1%,2%,1%,2%,2%,3%,3%,10%,2%,2%,3%,3%,3%,3%,2%,5%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What is the highest educational level that you have completed?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What is the highest educational level that you have completed?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Grade school,1%,1%,1%,0%,0%,<1%,3%,1%,<.5%,3%,0%,0%,2%,0%,2%,1%,3%,<.5%,1%,<1%,1%,<1%,1%,2%,<1%,2%,1%,<1%,2%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",High school,28%,30%,25%,36%,19%,30%,30%,25%,31%,40%,29%,0%,47%,0%,44%,49%,23%,16%,24%,31%,27%,28%,27%,24%,27%,27%,22%,29%,45%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Vocational or trade school,4%,6%,3%,2%,5%,4%,5%,4%,5%,7%,<.5%,0%,7%,0%,7%,3%,6%,4%,2%,6%,2%,3%,7%,2%,2%,6%,2%,7%,5%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Some college, no degree",17%,17%,16%,13%,14%,16%,21%,18%,19%,13%,8%,0%,28%,0%,31%,18%,20%,14%,12%,22%,14%,13%,22%,17%,14%,21%,12%,23%,16%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Associate’s degree,9%,8%,11%,13%,11%,10%,6%,9%,12%,8%,14%,0%,16%,0%,16%,9%,12%,9%,9%,11%,7%,8%,9%,10%,8%,10%,9%,10%,8%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Bachelor's degree,24%,24%,24%,30%,33%,22%,17%,26%,15%,20%,27%,61%,0%,62%,0%,13%,24%,32%,28%,19%,29%,25%,20%,29%,27%,21%,30%,20%,19%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Graduate or professional degree,16%,14%,17%,7%,17%,17%,17%,16%,18%,10%,22%,39%,0%,38%,0%,5%,13%,25%,22%,9%,14%,21%,12%,16%,21%,11%,22%,10%,6%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Refused,1%,1%,1%,0%,<.5%,0%,2%,1%,0%,<.5%,0%,0%,0%,0%,0%,1%,<1%,<1%,1%,1%,5%,2%,1%,<.5%,1%,1%,1%,1%,0%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What do you think is the MOST important problem facing the country today?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What do you think is the MOST important problem facing the country today?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What do you think is the MOST important problem facing the country today?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] The economy (including jobs and the stock market),20%,21%,20%,19%,22%,21%,16%,19%,22%,26%,21%,18%,22%,17%,21%,16%,19%,24%,14%,27%,20%,15%,26%,21%,13%,27%,16%,26%,18%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Inflation and the cost of living,13%,14%,12%,19%,18%,11%,9%,12%,12%,14%,9%,11%,14%,11%,14%,13%,17%,10%,11%,15%,9%,13%,14%,10%,11%,14%,11%,14%,20%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Abortion,<1%,<.5%,1%,2%,<1%,1%,0%,<1%,0%,<1%,<.5%,1%,<1%,1%,<1%,<.5%,<1%,1%,2%,<.5%,0%,2%,<.5%,<1%,2%,<.5%,1%,0%,<1%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Immigration,11%,13%,9%,5%,5%,13%,15%,12%,1%,8%,16%,10%,11%,11%,13%,13%,10%,9%,3%,19%,5%,2%,21%,10%,2%,20%,3%,21%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Crime,2%,1%,3%,0%,2%,3%,2%,<1%,7%,5%,0%,<1%,3%,<.5%,<1%,4%,3%,<1%,2%,1%,6%,4%,<1%,2%,3%,<1%,2%,2%,<.5%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Gun policies,2%,1%,2%,3%,2%,2%,1%,2%,<1%,<1%,5%,2%,2%,2%,2%,<1%,4%,2%,3%,<.5%,3%,5%,<.5%,0%,3%,<.5%,3%,<.5%,4%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Health care,3%,2%,4%,6%,4%,3%,2%,3%,4%,2%,4%,4%,2%,4%,2%,3%,2%,5%,4%,2%,4%,4%,2%,4%,4%,2%,5%,2%,2%,NA
