itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Joe Biden, the Democrat",44%,39%,49%,43%,49%,39%,51%,40%,75%,42%,46%,57%,37%,57%,28%,60%,53%,55%,52%,29%,42%,47%,48%,100%,0%,0%,88%,5%,47%,88%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Donald Trump, the Republican",46%,51%,43%,49%,44%,51%,42%,53%,17%,41%,40%,33%,54%,36%,65%,23%,36%,33%,38%,65%,52%,45%,43%,0%,100%,0%,7%,91%,40%,7%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,9%,10%,8%,8%,8%,10%,8%,7%,8%,17%,14%,10%,8%,7%,6%,17%,11%,12%,10%,7%,6%,8%,9%,0%,0%,100%,4%,4%,13%,5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the 2024 presidential primaries and caucuses, do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the 2024 presidential primaries and caucuses, do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the 2024 presidential primaries and caucuses, do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Democratic primary,34%,27%,38%,33%,38%,27%,38%,28%,66%,33%,32%,39%,31%,37%,22%,44%,46%,46%,38%,20%,36%,36%,34%,69%,4%,12%,83%,2%,24%,71%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Republican primary,38%,41%,36%,33%,32%,44%,38%,47%,11%,27%,25%,32%,41%,39%,52%,13%,24%,26%,26%,59%,39%,33%,40%,7%,71%,21%,2%,89%,28%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Unlikely to vote in primary or caucus,21%,24%,17%,26%,22%,20%,18%,19%,19%,26%,29%,22%,20%,19%,19%,30%,21%,19%,27%,14%,19%,24%,20%,18%,19%,41%,9%,7%,38%,20%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,8%,8%,8%,7%,7%,8%,6%,6%,3%,14%,14%,7%,8%,5%,7%,13%,9%,9%,9%,7%,6%,7%,5%,5%,7%,26%,5%,3%,10%,6%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump,64%,65%,63%,62%,56%,70%,66%,62%,76%,91%,45%,39%,76%,37%,75%,47%,84%,60%,61%,67%,77%,67%,55%,13%,73%,0%,23%,68%,50%,10%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Ron DeSantis [Duh-San-Tis],9%,9%,8%,12%,16%,7%,4%,10%,0%,0%,13%,12%,7%,14%,8%,0%,4%,1%,8%,11%,6%,8%,12%,2%,10%,0%,0%,8%,13%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Nikki Haley,11%,10%,12%,6%,11%,10%,16%,12%,4%,2%,19%,28%,3%,28%,3%,27%,1%,19%,14%,7%,5%,11%,16%,56%,4%,50%,52%,10%,14%,46%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Vivek Ramaswamy [Viv-AKE Rahm-uh-SWAM-ee],5%,4%,5%,9%,4%,5%,1%,4%,4%,0%,16%,6%,4%,6%,3%,11%,3%,6%,3%,5%,4%,3%,6%,0%,4%,18%,0%,4%,5%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Asa [AYE-suh] Hutchinson,<.5%,<.5%,0%,1%,0%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<1%,0%,0%,<1%,0%,0%,0%,4%,0%,0%,<1%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Chris Christie,3%,4%,2%,0%,<1%,2%,6%,3%,8%,2%,0%,5%,2%,4%,3%,14%,0%,3%,3%,3%,2%,2%,3%,20%,1%,2%,11%,1%,7%,27%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Someone else (specify),<.5%,<.5%,0%,<1%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,8%,7%,9%,8%,12%,6%,6%,8%,8%,5%,6%,10%,8%,10%,8%,0%,8%,10%,9%,7%,5%,7%,8%,9%,7%,26%,15%,8%,10%,17%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,380,203,175,56,88,135,88,307,13,37,16,163,213,141,165,18,47,64,122,194,88,84,178,40,319,21,9,262,92,21
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,50%,49%,14%,20%,37%,26%,81%,4%,9%,4%,32%,67%,27%,54%,4%,13%,15%,30%,55%,28%,21%,42%,8%,86%,5%,2%,71%,23%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",18-29,16%,16%,15%,100%,0%,0%,0%,13%,20%,22%,26%,13%,18%,12%,14%,19%,24%,19%,17%,12%,23%,18%,10%,15%,17%,14%,15%,12%,18%,18%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",30-44,23%,23%,23%,0%,100%,0%,0%,23%,20%,30%,28%,29%,20%,29%,19%,31%,23%,28%,24%,20%,16%,27%,29%,26%,22%,19%,25%,19%,23%,24%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",45-64,31%,31%,32%,0%,0%,100%,0%,33%,31%,20%,43%,32%,31%,33%,33%,31%,28%,28%,28%,38%,24%,28%,40%,27%,35%,34%,27%,35%,34%,26%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",65+,26%,26%,27%,0%,0%,0%,100%,29%,23%,24%,2%,22%,28%,25%,31%,14%,21%,21%,27%,27%,36%,26%,18%,29%,23%,21%,30%,31%,22%,29%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Refused,4%,3%,3%,0%,0%,0%,0%,2%,6%,4%,1%,3%,3%,1%,2%,5%,4%,5%,4%,3%,2%,1%,2%,3%,3%,12%,2%,3%,3%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Grade school,1%,2%,1%,0%,0%,1%,3%,1%,2%,2%,0%,0%,2%,0%,2%,0%,2%,<1%,<1%,2%,2%,3%,<1%,1%,<1%,4%,<1%,2%,2%,<1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",High school,30%,33%,27%,39%,23%,28%,34%,27%,32%,43%,31%,0%,48%,0%,45%,0%,54%,21%,28%,37%,50%,24%,17%,26%,33%,27%,30%,28%,26%,29%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Vocational or trade school,4%,5%,3%,3%,5%,4%,4%,4%,5%,6%,2%,0%,7%,0%,7%,0%,7%,4%,3%,5%,4%,6%,3%,2%,6%,1%,3%,7%,2%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Some college, no degree",17%,17%,17%,15%,15%,17%,19%,18%,18%,14%,8%,0%,28%,0%,31%,0%,22%,16%,17%,18%,19%,19%,15%,13%,21%,14%,14%,22%,17%,14%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Associate’s degree,9%,7%,11%,11%,11%,11%,5%,9%,12%,8%,13%,0%,15%,0%,15%,0%,16%,10%,9%,9%,8%,12%,10%,9%,11%,7%,8%,9%,11%,8%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Bachelor's degree,23%,22%,24%,26%,30%,22%,15%,25%,15%,19%,23%,61%,0%,63%,0%,57%,0%,30%,24%,16%,11%,25%,31%,27%,18%,27%,24%,20%,28%,25%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Graduate or professional degree,14%,13%,16%,6%,16%,17%,16%,15%,16%,8%,22%,39%,0%,37%,0%,43%,0%,16%,16%,11%,5%,12%,23%,21%,9%,12%,19%,11%,15%,19%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Refused,2%,<1%,<1%,0%,<.5%,0%,2%,1%,0%,<.5%,0%,0%,0%,0%,0%,0%,0%,2%,2%,2%,1%,<.5%,<1%,1%,1%,7%,2%,<1%,<.5%,1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What do you think is the MOST important problem facing the country today?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What do you think is the MOST important problem facing the country today?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",What do you think is the MOST important problem facing the country today?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] The economy (including jobs and the stock market),20%,21%,19%,20%,23%,21%,15%,19%,20%,26%,19%,18%,21%,17%,20%,21%,23%,20%,18%,22%,15%,20%,25%,14%,26%,20%,14%,25%,22%,14%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Inflation and the cost of living,14%,14%,13%,19%,19%,11%,10%,13%,14%,18%,12%,11%,16%,11%,13%,10%,18%,14%,15%,11%,17%,17%,10%,12%,17%,9%,15%,14%,11%,13%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Abortion,<1%,<.5%,2%,1%,<1%,2%,0%,1%,0%,<.5%,<1%,1%,<1%,1%,1%,<1%,<.5%,1%,1%,<.5%,<1%,<1%,1%,2%,<.5%,0%,2%,<.5%,<1%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Immigration,10%,12%,9%,5%,5%,13%,15%,11%,2%,8%,16%,9%,10%,10%,12%,6%,8%,8%,8%,14%,12%,9%,8%,3%,18%,6%,2%,21%,9%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Crime,2%,<1%,3%,0%,1%,3%,2%,<1%,6%,4%,0%,<1%,3%,<.5%,<1%,2%,5%,2%,<1%,3%,3%,2%,<1%,2%,<1%,4%,3%,<1%,2%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Gun policies,2%,1%,2%,2%,2%,1%,1%,2%,<1%,<1%,5%,2%,2%,2%,2%,2%,1%,2%,2%,<1%,<1%,4%,2%,3%,<.5%,2%,4%,<.5%,0%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Health care,3%,2%,4%,4%,4%,3%,3%,3%,5%,2%,4%,4%,3%,4%,3%,4%,3%,2%,4%,3%,3%,3%,5%,4%,2%,5%,3%,3%,4%,4%
