itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very likely,25%,24%,27%,30%,25%,27%,24%,23%,32%,38%,21%,24%,27%,21%,24%,29%,34%,24%,26%,24%,28%,26%,25%,25%,22%,29%,23%,25%,30%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat likely,7%,6%,8%,19%,8%,4%,4%,4%,13%,9%,18%,5%,9%,3%,5%,8%,16%,5%,9%,9%,5%,5%,10%,5%,7%,6%,18%,7%,3%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not very likely,3%,3%,3%,10%,3%,2%,<1%,2%,4%,5%,8%,2%,4%,2%,2%,3%,7%,2%,1%,3%,6%,5%,2%,3%,3%,1%,10%,3%,<.5%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not at all likely,6%,5%,6%,6%,7%,5%,6%,5%,8%,9%,5%,3%,8%,2%,6%,3%,10%,4%,5%,6%,7%,5%,7%,5%,5%,5%,13%,3%,4%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,1%,1%,1%,2%,2%,2%,1%,2%,0%,<.5%,<1%,1%,2%,1%,3%,<1%,<.5%,2%,<1%,<1%,2%,<.5%,1%,3%,<1%,2%,4%,0%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,52%,16%,23%,31%,25%,65%,11%,12%,8%,38%,61%,25%,39%,11%,20%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,31%,27%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden, the Democrat",45%,37%,53%,46%,43%,43%,51%,39%,69%,50%,59%,55%,39%,54%,30%,60%,57%,39%,54%,38%,55%,59%,51%,29%,100%,0%,0%,88%,6%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump, the Republican",46%,57%,37%,45%,44%,52%,42%,53%,16%,41%,34%,38%,51%,39%,62%,33%,30%,50%,39%,52%,41%,34%,40%,62%,0%,100%,0%,9%,90%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,8%,7%,10%,10%,13%,5%,7%,7%,15%,8%,7%,7%,10%,7%,7%,6%,13%,11%,7%,10%,5%,7%,9%,9%,0%,0%,100%,4%,4%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,52%,16%,23%,31%,25%,65%,11%,12%,8%,38%,61%,25%,39%,11%,20%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,31%,27%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden, the Democrat",40%,33%,48%,34%,39%,39%,49%,36%,62%,41%,51%,52%,33%,50%,27%,57%,46%,36%,48%,34%,47%,54%,44%,27%,90%,0%,0%,84%,4%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump, the Republican",42%,51%,33%,38%,38%,49%,38%,49%,12%,38%,28%,34%,46%,37%,56%,28%,26%,43%,35%,48%,37%,32%,35%,56%,0%,90%,0%,6%,85%,41%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Robert F. Kennedy Jr., the independent",2%,2%,1%,<.5%,4%,2%,<.5%,2%,2%,<1%,0%,2%,2%,3%,2%,1%,<1%,2%,2%,2%,2%,2%,2%,2%,<.5%,2%,8%,<.5%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Jill Stein, the Green Party candidate",<.5%,<1%,<.5%,<.5%,<1%,<.5%,0%,<1%,0%,<1%,0%,<.5%,<1%,<.5%,<1%,<1%,0%,0%,2%,<.5%,<.5%,<1%,<.5%,<1%,<1%,<.5%,0%,<.5%,0%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Cornel West, the independent",<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,<1%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Another candidate,2%,3%,2%,4%,2%,2%,2%,2%,3%,4%,2%,3%,2%,2%,2%,2%,3%,5%,1%,2%,1%,2%,3%,1%,2%,2%,11%,1%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Not going to vote/wouldn't vote if those were the choices,7%,5%,8%,14%,9%,4%,4%,6%,8%,5%,13%,5%,7%,5%,6%,6%,9%,8%,7%,5%,8%,4%,7%,7%,5%,4%,29%,3%,5%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,6%,7%,8%,7%,3%,6%,4%,15%,10%,6%,3%,9%,2%,5%,6%,14%,7%,6%,8%,4%,5%,8%,6%,3%,2%,53%,5%,3%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,52%,16%,23%,31%,25%,65%,11%,12%,8%,38%,61%,25%,39%,11%,20%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,31%,27%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",18-29,16%,15%,16%,100%,0%,0%,0%,10%,19%,35%,34%,12%,18%,7%,12%,27%,31%,12%,13%,17%,20%,15%,16%,16%,16%,15%,18%,17%,13%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",30-44,23%,25%,22%,0%,100%,0%,0%,23%,23%,24%,25%,28%,21%,28%,21%,32%,21%,23%,26%,22%,23%,23%,23%,24%,22%,22%,35%,21%,19%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",45-64,31%,31%,31%,0%,0%,100%,0%,33%,28%,25%,26%,34%,29%,36%,30%,27%,26%,31%,33%,30%,31%,32%,30%,32%,29%,35%,19%,28%,34%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",65+,25%,25%,26%,0%,0%,0%,100%,30%,25%,8%,12%,19%,28%,24%,34%,7%,17%,31%,22%,25%,21%,25%,25%,25%,28%,23%,19%,31%,32%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Refused,5%,4%,6%,0%,0%,0%,0%,4%,4%,8%,3%,6%,4%,4%,3%,7%,5%,2%,7%,6%,5%,6%,6%,3%,4%,5%,9%,4%,2%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,52%,16%,23%,31%,25%,65%,11%,12%,8%,38%,61%,25%,39%,11%,20%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,31%,27%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Grade school,4%,5%,4%,3%,3%,4%,7%,4%,6%,5%,4%,0%,7%,0%,6%,0%,8%,8%,5%,2%,4%,3%,4%,5%,4%,4%,8%,4%,2%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",High school,26%,24%,28%,38%,24%,19%,33%,24%,24%,40%,28%,0%,43%,0%,40%,0%,49%,28%,22%,27%,28%,24%,24%,31%,23%,29%,29%,27%,34%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Vocational or trade school,5%,6%,3%,4%,4%,4%,6%,5%,5%,2%,7%,0%,7%,0%,8%,0%,7%,5%,5%,5%,3%,3%,4%,6%,4%,5%,7%,3%,4%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Some college, no degree",17%,18%,16%,17%,15%,18%,17%,17%,19%,15%,12%,0%,27%,0%,29%,0%,24%,16%,13%,19%,17%,17%,16%,18%,12%,21%,20%,14%,19%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Associate’s degree,9%,10%,9%,7%,9%,12%,8%,11%,15%,6%,2%,0%,15%,0%,17%,0%,12%,10%,9%,10%,8%,8%,9%,11%,9%,10%,7%,8%,10%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Bachelor's degree,23%,23%,23%,26%,29%,24%,14%,23%,19%,23%,34%,62%,0%,59%,0%,73%,0%,18%,23%,25%,25%,27%,26%,18%,28%,19%,20%,26%,18%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Graduate or professional degree,14%,13%,15%,4%,17%,17%,15%,16%,10%,7%,12%,38%,0%,41%,0%,27%,0%,14%,21%,11%,15%,18%,16%,10%,18%,11%,10%,16%,12%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,1%,1%,1%,0%,0%,1%,1%,<1%,3%,1%,0%,0%,0%,0%,0%,0%,0%,<.5%,2%,2%,<1%,0%,<1%,2%,1%,1%,0%,2%,1%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,52%,16%,23%,31%,25%,65%,11%,12%,8%,38%,61%,25%,39%,11%,20%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,31%,27%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",White,64%,68%,61%,42%,64%,67%,78%,99%,0%,0%,0%,66%,63%,98%,99%,0%,0%,80%,66%,61%,51%,48%,60%,80%,56%,73%,53%,53%,82%,64%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Hispanic or Latino,12%,9%,16%,27%,13%,10%,4%,0%,0%,99%,0%,10%,14%,0%,0%,35%,42%,4%,9%,10%,25%,17%,15%,6%,14%,11%,11%,14%,8%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Black or African American,11%,10%,12%,13%,11%,10%,11%,0%,99%,0%,0%,8%,12%,0%,0%,29%,36%,6%,12%,17%,5%,18%,12%,4%,16%,4%,19%,21%,2%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Asian,3%,3%,3%,8%,3%,3%,0%,0%,0%,0%,36%,5%,2%,0%,0%,17%,6%,2%,3%,1%,5%,5%,4%,<1%,4%,1%,3%,5%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",American Indian or Alaska Native,<1%,1%,<.5%,1%,<1%,1%,0%,0%,0%,0%,10%,<1%,<1%,0%,0%,3%,2%,<.5%,0%,<1%,2%,<1%,<1%,<1%,<.5%,1%,0%,<.5%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Middle Eastern or North African,<1%,<1%,<1%,1%,<.5%,<1%,<1%,0%,0%,0%,8%,<1%,<1%,0%,0%,3%,2%,<.5%,1%,0%,1%,2%,0%,<1%,<1%,<.5%,0%,2%,<.5%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Native Hawaiian or Pacific Islander,<1%,<1%,<.5%,<.5%,<.5%,0%,2%,0%,0%,0%,8%,<.5%,<1%,0%,0%,1%,2%,0%,0%,<.5%,2%,<1%,1%,<.5%,<1%,<.5%,0%,1%,<.5%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Some other race (specify),2%,2%,2%,2%,3%,2%,2%,1%,<1%,1%,11%,3%,2%,2%,<1%,4%,3%,2%,2%,1%,3%,4%,1%,2%,2%,2%,2%,2%,1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] More than one race,2%,2%,2%,6%,2%,2%,<.5%,0%,0%,0%,28%,3%,2%,0%,0%,9%,6%,1%,1%,3%,2%,2%,3%,2%,2%,2%,4%,<1%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,4%,3%,3%,0%,2%,4%,3%,0%,0%,0%,0%,4%,3%,0%,0%,0%,0%,4%,5%,4%,2%,2%,4%,5%,2%,5%,7%,1%,4%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,52%,16%,23%,31%,25%,65%,11%,12%,8%,38%,61%,25%,39%,11%,20%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,31%,27%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Democrat,32%,23%,41%,35%,29%,27%,40%,26%,60%,40%,41%,38%,28%,35%,20%,45%,49%,25%,40%,28%,37%,42%,35%,22%,63%,6%,7%,100%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Republican,26%,28%,25%,23%,19%,29%,35%,33%,8%,20%,7%,19%,30%,25%,38%,8%,14%,29%,21%,30%,22%,19%,24%,34%,3%,51%,16%,0%,100%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Independent,32%,41%,24%,30%,40%,35%,20%,33%,28%,23%,39%,37%,29%,34%,32%,41%,23%,34%,33%,31%,31%,29%,32%,35%,29%,32%,47%,0%,0%,100%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Another party,4%,4%,3%,5%,5%,4%,1%,4%,0%,3%,8%,3%,4%,3%,5%,2%,4%,6%,3%,3%,5%,5%,4%,4%,3%,5%,5%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,5%,7%,8%,7%,5%,4%,4%,4%,14%,5%,3%,7%,2%,5%,4%,10%,7%,3%,7%,5%,6%,6%,5%,3%,5%,24%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
