itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",18-29,13%,13%,13%,100%,0%,0%,0%,10%,19%,26%,15%,12%,14%,8%,11%,22%,21%,7%,16%,15%,13%,13%,15%,10%,16%,11%,8%,14%,9%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",30-44,21%,22%,20%,0%,100%,0%,0%,20%,25%,22%,25%,28%,17%,27%,16%,31%,19%,31%,19%,18%,20%,26%,21%,19%,21%,22%,24%,23%,18%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",45-64,34%,34%,33%,0%,0%,100%,0%,34%,31%,34%,34%,32%,35%,34%,35%,29%,36%,29%,37%,35%,33%,31%,34%,34%,28%,38%,33%,34%,38%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",65+,26%,26%,27%,0%,0%,0%,100%,31%,22%,9%,14%,23%,28%,26%,35%,13%,15%,30%,23%,26%,26%,21%,24%,33%,30%,23%,24%,26%,27%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Refused,6%,5%,7%,0%,0%,0%,0%,5%,3%,9%,12%,5%,6%,4%,4%,5%,9%,3%,5%,6%,7%,9%,5%,4%,5%,6%,11%,3%,7%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,21%,34%,26%,67%,10%,13%,8%,41%,58%,28%,38%,12%,19%,22%,20%,35%,23%,22%,42%,36%,44%,48%,8%,29%,32%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Grade school,2%,4%,1%,<1%,<.5%,3%,3%,2%,2%,3%,5%,0%,4%,0%,3%,0%,6%,2%,3%,1%,3%,2%,2%,2%,<.5%,4%,5%,1%,4%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",High school,26%,25%,28%,36%,17%,27%,31%,26%,31%,33%,20%,0%,45%,0%,45%,0%,48%,33%,22%,29%,21%,24%,23%,32%,24%,29%,26%,24%,29%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Vocational or trade school,4%,4%,3%,1%,5%,3%,5%,4%,8%,3%,<1%,0%,7%,0%,7%,0%,6%,7%,3%,4%,2%,3%,2%,7%,2%,5%,5%,3%,4%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Some college, no degree",15%,15%,16%,14%,13%,16%,17%,15%,19%,15%,17%,0%,26%,0%,25%,0%,28%,17%,16%,14%,15%,15%,14%,18%,13%,16%,21%,14%,15%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Associate’s degree,10%,8%,12%,10%,12%,11%,7%,12%,9%,10%,3%,0%,18%,0%,20%,0%,13%,11%,7%,13%,9%,6%,11%,12%,8%,13%,7%,10%,11%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Bachelor's degree,25%,27%,23%,29%,33%,24%,17%,26%,18%,21%,25%,60%,0%,62%,0%,55%,0%,21%,29%,22%,28%,28%,30%,16%,30%,21%,18%,26%,24%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Graduate or professional degree,16%,17%,16%,9%,20%,15%,19%,16%,13%,13%,28%,40%,0%,38%,0%,45%,0%,9%,20%,15%,21%,21%,17%,12%,22%,11%,17%,22%,11%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,<1%,<.5%,<1%,0%,<.5%,0%,1%,<.5%,0%,1%,1%,0%,0%,0%,0%,0%,0%,<.5%,0%,<1%,<1%,<1%,<1%,<.5%,<.5%,<1%,<.5%,0%,<1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,21%,34%,26%,67%,10%,13%,8%,41%,58%,28%,38%,12%,19%,22%,20%,35%,23%,22%,42%,36%,44%,48%,8%,29%,32%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,12%,12%,13%,30%,11%,12%,4%,0%,0%,100%,0%,11%,13%,0%,0%,36%,46%,4%,8%,15%,19%,18%,16%,5%,12%,12%,16%,12%,10%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,87%,87%,86%,70%,89%,87%,95%,99%,100%,0%,100%,89%,86%,99%,99%,64%,54%,95%,91%,84%,79%,80%,84%,94%,88%,86%,83%,88%,88%,87%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,<1%,<1%,<1%,0%,<.5%,<1%,1%,<1%,0%,0%,0%,<.5%,1%,<1%,<1%,0%,0%,<1%,<1%,<.5%,2%,2%,<.5%,1%,0%,2%,<1%,0%,2%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",White,75%,76%,74%,61%,69%,76%,85%,99%,0%,53%,0%,73%,77%,98%,99%,20%,24%,87%,78%,69%,70%,64%,73%,83%,70%,81%,63%,64%,89%,73%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Black or African American,11%,8%,13%,17%,12%,9%,8%,0%,100%,3%,0%,9%,12%,0%,0%,31%,41%,4%,12%,17%,5%,17%,9%,8%,17%,5%,9%,23%,2%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Asian or Asian American,3%,5%,2%,5%,5%,4%,1%,0%,0%,1%,50%,6%,2%,0%,0%,19%,6%,3%,1%,1%,8%,4%,5%,<.5%,4%,3%,3%,4%,3%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Native American,2%,2%,2%,3%,3%,2%,<1%,0%,0%,9%,17%,2%,2%,0%,0%,6%,9%,1%,<1%,2%,4%,<1%,2%,3%,<1%,3%,3%,1%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Some other race (specify),4%,4%,5%,7%,5%,6%,<.5%,1%,0%,19%,16%,5%,4%,2%,<1%,12%,12%,3%,3%,4%,7%,7%,5%,2%,4%,4%,10%,3%,3%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] More than one race,2%,2%,2%,5%,3%,1%,0%,0%,0%,7%,17%,3%,1%,0%,0%,9%,5%,<1%,2%,3%,2%,3%,3%,<1%,3%,1%,<1%,3%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,3%,4%,2%,2%,3%,2%,4%,0%,0%,7%,0%,3%,2%,0%,0%,3%,2%,2%,3%,3%,4%,4%,3%,3%,2%,3%,11%,2%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Democrat,31%,27%,35%,34%,33%,31%,29%,26%,69%,32%,31%,37%,27%,35%,20%,44%,46%,21%,36%,27%,40%,46%,31%,22%,63%,6%,6%,100%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Republican,32%,32%,31%,18%,27%,37%,33%,38%,5%,25%,24%,25%,36%,29%,43%,14%,21%,33%,24%,37%,29%,23%,28%,40%,4%,60%,15%,0%,100%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Independent,32%,36%,29%,40%,35%,28%,34%,32%,24%,33%,42%,33%,32%,31%,33%,37%,28%,39%,35%,30%,28%,26%,36%,32%,32%,29%,58%,0%,0%,100%
