itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",1%,2%,1%,2%,3%,1%,<.5%,1%,1%,1%,2%,1%,1%,<1%,2%,<1%,<.5%,2%,3%,1%,1%,7%,<.5%,<1%,2%,1%,<1%,2%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,2%,0%,0%,<.5%,<.5%,<.5%,<.5%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<1%,<1%,<1%,<1%,<1%,<1%,<.5%,<.5%,1%,<1%,<1%,<1%,<.5%,1%,1%,<1%,<1%,<1%,<1%,<.5%,<.5%,10%,<.5%,<.5%,<.5%,<.5%,<.5%,3%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,4%,5%,3%,7%,4%,5%,3%,7%,3%,5%,2%,5%,8%,6%,7%,6%,4%,3%,1%,<1%,72%,2%,2%,5%,2%,2%,8%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,87%,86%,87%,72%,81%,91%,93%,89%,80%,88%,85%,91%,88%,81%,78%,87%,91%,87%,82%,88%,86%,44%,91%,90%,80%,90%,92%,64%,NA,NA
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,12%,12%,11%,25%,16%,8%,7%,9%,18%,11%,12%,8%,10%,17%,18%,11%,8%,12%,15%,11%,11%,43%,8%,9%,17%,9%,7%,31%,NA,NA
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,2%,2%,1%,3%,3%,2%,<1%,1%,3%,1%,2%,<1%,2%,1%,3%,2%,<1%,1%,3%,1%,2%,13%,1%,<1%,4%,1%,1%,4%,NA,NA
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,"3,140","1,477","1,641",622,652,"1,029",696,"1,687","1,380","1,371","1,739",812,863,525,846,423,454,"1,691",572,"1,713","1,393",34,"1,092",880,922,"1,402",997,623,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",21%,18%,25%,20%,25%,13%,25%,22%,22%,21%,20%,21%,23%,20%,18%,14%,12%,23%,33%,100%,0%,0%,40%,15%,29%,43%,16%,21%,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",18%,19%,17%,25%,19%,18%,15%,17%,19%,22%,15%,28%,11%,14%,22%,6%,14%,15%,35%,0%,100%,0%,8%,27%,23%,22%,25%,21%,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,61%,63%,58%,55%,56%,69%,60%,61%,60%,57%,65%,51%,66%,65%,61%,80%,74%,62%,32%,0%,0%,100%,52%,58%,48%,35%,59%,58%,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,361,168,189,69,118,94,51,128,213,142,213,56,72,79,128,57,60,167,77,71,70,220,51,29,154,77,35,155,NA,NA
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Colin Allred, the Democrat",44%,37%,50%,52%,45%,40%,42%,36%,56%,51%,39%,45%,30%,59%,54%,-,-,44%,-,91%,6%,18%,92%,7%,49%,92%,8%,41%,NA,NA
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Ted Cruz, the Republican",48%,55%,41%,35%,42%,56%,53%,59%,31%,42%,51%,52%,64%,28%,32%,-,-,48%,-,4%,90%,16%,2%,90%,43%,4%,89%,37%,NA,NA
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Ted Brown, the Libertarian Party candidate",<.5%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,0%,<.5%,0%,<1%,0%,0%,-,-,<.5%,-,<.5%,0%,0%,0%,0%,<1%,0%,0%,0%,NA,NA
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,8%,7%,9%,13%,12%,4%,5%,4%,14%,7%,9%,3%,6%,13%,14%,-,-,8%,-,5%,5%,67%,6%,3%,7%,4%,2%,21%,NA,NA
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Debbie Mucarsel [moo-car-SEL] -Powell, the Democrat",40%,33%,46%,42%,30%,40%,45%,36%,49%,48%,35%,47%,30%,51%,48%,-,-,40%,-,85%,7%,32%,89%,7%,47%,85%,5%,37%,NA,NA
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Rick Scott, the Republican",49%,56%,43%,45%,55%,52%,46%,56%,36%,43%,53%,45%,63%,38%,34%,-,-,49%,-,7%,83%,13%,5%,86%,39%,8%,87%,43%,NA,NA
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Feena Bonoan, the Libertarian Party candidate",<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,0%,-,-,<.5%,-,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<1%,NA,NA
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,11%,11%,10%,13%,15%,8%,9%,7%,15%,9%,12%,8%,7%,11%,18%,-,-,11%,-,7%,10%,55%,7%,7%,15%,8%,9%,20%,NA,NA
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares
"(Ask only in FL starting on September 30)  If the 2024 election were held today, would you vote YES or NO on Amendment 4 that would if passed legalize abortions up to the point of fetal viability, or generally acknowledged to be the 24th week of pregnancy?",Yes,46%,41%,49%,63%,44%,43%,46%,46%,50%,54%,41%,57%,39%,52%,48%,-,-,46%,-,77%,24%,19%,74%,25%,53%,76%,22%,47%,NA,NA
"(Ask only in FL starting on September 30)  If the 2024 election were held today, would you vote YES or NO on Amendment 4 that would if passed legalize abortions up to the point of fetal viability, or generally acknowledged to be the 24th week of pregnancy?",No,38%,43%,34%,31%,38%,40%,41%,41%,33%,37%,39%,37%,43%,36%,31%,-,-,38%,-,14%,58%,31%,14%,60%,30%,13%,61%,34%,NA,NA
"(Ask only in FL starting on September 30)  If the 2024 election were held today, would you vote YES or NO on Amendment 4 that would if passed legalize abortions up to the point of fetal viability, or generally acknowledged to be the 24th week of pregnancy?",[VOL] Don't know/Refused,16%,15%,17%,7%,18%,17%,13%,13%,17%,9%,20%,6%,18%,11%,22%,-,-,16%,-,10%,18%,51%,12%,15%,17%,11%,16%,19%,NA,NA
"(Ask only in FL starting on September 30)  If the 2024 election were held today, would you vote YES or NO on Amendment 4 that would if passed legalize abortions up to the point of fetal viability, or generally acknowledged to be the 24th week of pregnancy?",MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,12%,12%,12%,100%,0%,0%,0%,10%,19%,9%,15%,8%,11%,12%,24%,11%,11%,12%,16%,15%,10%,11%,13%,9%,15%,11%,6%,41%,NA,NA
(Responses reclassified by age group) In what year were you born?,30-44,22%,22%,22%,0%,100%,0%,0%,19%,28%,26%,19%,22%,17%,38%,23%,20%,23%,21%,23%,22%,20%,31%,20%,17%,27%,22%,18%,27%,NA,NA
(Responses reclassified by age group) In what year were you born?,45-64,32%,33%,32%,0%,0%,100%,0%,34%,30%,35%,31%,36%,32%,31%,29%,36%,33%,33%,28%,31%,34%,31%,31%,36%,31%,35%,37%,17%,NA,NA
(Responses reclassified by age group) In what year were you born?,65+,28%,28%,28%,0%,0%,0%,100%,32%,18%,26%,29%,30%,34%,15%,19%,29%,28%,28%,27%,28%,29%,21%,31%,34%,21%,30%,33%,9%,NA,NA
(Responses reclassified by age group) In what year were you born?,Refused,5%,5%,6%,0%,0%,0%,0%,5%,5%,4%,5%,4%,5%,4%,5%,4%,5%,6%,6%,4%,7%,6%,5%,4%,6%,3%,6%,6%,NA,NA
(Responses reclassified by age group) In what year were you born?,Number of respondents,"3,385","1,581","1,779",659,728,"1,098",736,"1,762","1,536","1,459","1,892",841,909,579,944,469,504,"1,800",612,"1,744","1,421",220,"1,130",898,"1,005","1,444","1,021",733,NA,NA
What is the highest educational level that you have completed?,Grade school,2%,3%,2%,<1%,2%,2%,3%,2%,3%,0%,4%,0%,4%,0%,5%,2%,1%,3%,4%,2%,3%,2%,2%,2%,2%,1%,3%,4%,NA,NA
What is the highest educational level that you have completed?,High school,26%,30%,22%,37%,19%,25%,27%,26%,27%,0%,44%,0%,44%,0%,44%,28%,30%,26%,20%,20%,31%,34%,22%,32%,21%,18%,29%,39%,NA,NA
What is the highest educational level that you have completed?,Vocational or trade school,4%,4%,4%,3%,4%,4%,3%,4%,3%,0%,7%,0%,7%,0%,5%,4%,3%,4%,4%,2%,6%,4%,2%,5%,4%,2%,6%,5%,NA,NA
What is the highest educational level that you have completed?,"Some college, no degree",17%,16%,18%,19%,15%,16%,20%,17%,18%,0%,29%,0%,29%,0%,29%,17%,12%,17%,22%,18%,17%,12%,17%,16%,18%,17%,17%,20%,NA,NA
What is the highest educational level that you have completed?,Associate’s degree,10%,10%,9%,11%,11%,9%,9%,9%,10%,0%,16%,0%,16%,0%,16%,8%,10%,10%,10%,7%,12%,13%,7%,12%,10%,8%,12%,9%,NA,NA
What is the highest educational level that you have completed?,Bachelor's degree,24%,22%,26%,25%,32%,23%,20%,25%,23%,60%,0%,60%,0%,62%,0%,25%,25%,24%,24%,27%,21%,24%,27%,21%,27%,30%,22%,15%,NA,NA
What is the highest educational level that you have completed?,Graduate or professional degree,16%,13%,18%,4%,16%,20%,17%,17%,14%,40%,0%,40%,0%,38%,0%,14%,19%,15%,16%,22%,9%,10%,21%,11%,17%,24%,10%,9%,NA,NA
What is the highest educational level that you have completed?,[VOL] Refused,1%,<1%,2%,0%,1%,<.5%,<1%,<1%,1%,0%,0%,0%,0%,0%,0%,2%,<1%,1%,<1%,<1%,1%,<.5%,<1%,1%,1%,<.5%,1%,<.5%,NA,NA
What is the highest educational level that you have completed?,Number of respondents,"3,385","1,581","1,779",659,728,"1,098",736,"1,762","1,536","1,459","1,892",841,909,579,944,469,504,"1,800",612,"1,744","1,421",220,"1,130",898,"1,005","1,444","1,021",733,NA,NA
Would you consider yourself:,White,68%,67%,69%,55%,60%,71%,78%,99%,0%,71%,67%,99%,99%,0%,0%,82%,72%,63%,60%,61%,77%,52%,58%,83%,68%,62%,83%,49%,NA,NA
Would you consider yourself:,Hispanic or Latino,11%,11%,10%,19%,14%,10%,6%,0%,37%,8%,12%,0%,0%,31%,41%,4%,8%,11%,20%,13%,8%,13%,14%,8%,9%,12%,6%,20%,NA,NA
Would you consider yourself:,Black or African American,9%,8%,10%,13%,10%,9%,7%,0%,32%,8%,10%,0%,0%,29%,34%,6%,8%,15%,4%,15%,3%,13%,17%,2%,7%,15%,1%,12%,NA,NA
Would you consider yourself:,Asian,2%,3%,2%,4%,4%,2%,<1%,0%,8%,4%,<1%,0%,0%,16%,3%,1%,3%,1%,4%,3%,2%,4%,3%,1%,2%,2%,1%,6%,NA,NA
