itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_austin,region_dallas_ft_worth,region_houston,region_rest,region_san_antonio_south,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,4%,4%,6%,5%,3%,5%,2%,13%,7%,4%,2%,8%,5%,4%,2%,2%,8%,7%,2%,4%,7%,3%,5%,1%,1%,55%,<1%,<1%,6%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,85%,86%,83%,70%,78%,90%,95%,90%,75%,80%,66%,90%,76%,87%,83%,92%,89%,79%,73%,92%,74%,86%,92%,78%,80%,90%,50%,82%,94%,79%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,13%,10%,16%,27%,20%,8%,3%,9%,22%,17%,26%,9%,20%,11%,15%,8%,10%,15%,24%,6%,24%,12%,7%,18%,18%,8%,50%,16%,5%,17%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,2%,3%,1%,3%,2%,3%,2%,<1%,3%,3%,8%,<1%,4%,2%,2%,<.5%,1%,5%,3%,2%,2%,2%,2%,4%,2%,2%,0%,1%,1%,4%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,574,286,286,143,118,185,105,299,59,156,51,299,266,263,309,152,146,106,159,50,124,108,186,106,265,299,10,162,193,172
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",24%,28%,23%,19%,20%,17%,27%,29%,39%,8%,15%,29%,21%,15%,33%,23%,36%,9%,31%,27%,31%,35%,9%,14%,100%,0%,0%,44%,48%,26%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",15%,15%,10%,52%,7%,22%,4%,21%,9%,11%,15%,21%,12%,10%,16%,15%,27%,5%,9%,0%,12%,10%,27%,20%,0%,100%,0%,0%,12%,29%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,61%,57%,67%,29%,73%,61%,69%,50%,51%,81%,69%,50%,68%,75%,52%,62%,37%,86%,60%,73%,58%,55%,64%,65%,0%,0%,100%,56%,40%,45%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,72,37,32,18,21,16,9,30,17,15,9,30,41,30,41,13,17,17,23,4,17,19,21,11,15,20,37,6,7,30
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Colin Allred, the Democrat",44%,37%,50%,52%,45%,40%,42%,36%,84%,49%,39%,36%,56%,51%,39%,45%,30%,59%,54%,66%,56%,43%,24%,56%,91%,6%,18%,92%,7%,49%
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Ted Cruz, the Republican",48%,55%,41%,35%,42%,56%,53%,59%,5%,36%,46%,59%,31%,42%,51%,52%,64%,28%,32%,31%,33%,48%,71%,28%,4%,90%,16%,2%,90%,43%
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Ted Brown, the Libertarian Party candidate",<.5%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,0%,<1%
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,8%,7%,9%,13%,12%,4%,5%,4%,11%,14%,15%,4%,14%,7%,9%,3%,6%,13%,14%,2%,10%,7%,5%,16%,5%,5%,67%,6%,3%,7%
"(Ask only in TX)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares,MARGIN Cruz +4 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,14%,14%,14%,100%,0%,0%,0%,10%,15%,21%,27%,10%,21%,12%,16%,8%,11%,17%,24%,13%,22%,10%,13%,11%,17%,13%,7%,16%,9%,18%
(Responses reclassified by age group) In what year were you born?,30-44,22%,24%,20%,0%,100%,0%,0%,19%,24%,30%,27%,19%,27%,28%,18%,25%,14%,34%,23%,26%,19%,29%,19%,22%,22%,20%,43%,22%,16%,26%
(Responses reclassified by age group) In what year were you born?,45-64,34%,33%,34%,0%,0%,100%,0%,34%,38%,31%,35%,34%,34%,36%,32%,34%,34%,39%,29%,27%,27%,42%,34%,39%,29%,40%,19%,30%,42%,30%
(Responses reclassified by age group) In what year were you born?,65+,25%,25%,25%,0%,0%,0%,100%,33%,14%,17%,7%,33%,14%,19%,29%,27%,37%,8%,19%,30%,24%,16%,30%,22%,26%,25%,19%,27%,29%,21%
(Responses reclassified by age group) In what year were you born?,Refused,5%,4%,6%,0%,0%,0%,0%,6%,9%,1%,5%,6%,4%,5%,5%,6%,5%,3%,5%,4%,8%,3%,3%,7%,7%,3%,12%,5%,4%,5%
(Responses reclassified by age group) In what year were you born?,Number of respondents,617,308,305,154,129,195,113,314,71,166,56,314,293,281,334,158,155,118,174,53,134,121,197,112,273,307,37,165,197,188
What is the highest educational level that you have completed?,Grade school,3%,3%,2%,<.5%,2%,<1%,8%,2%,1%,7%,0%,2%,4%,0%,5%,0%,4%,0%,7%,<1%,2%,5%,0%,8%,3%,1%,16%,4%,2%,<.5%
What is the highest educational level that you have completed?,High school,22%,25%,20%,24%,18%,19%,29%,22%,14%,28%,13%,22%,21%,0%,38%,0%,38%,0%,37%,9%,18%,21%,27%,24%,17%,27%,10%,19%,30%,14%
What is the highest educational level that you have completed?,Vocational or trade school,5%,6%,4%,4%,6%,6%,2%,4%,11%,8%,0%,4%,7%,0%,9%,0%,7%,0%,12%,8%,4%,3%,7%,4%,5%,5%,8%,5%,6%,5%
What is the highest educational level that you have completed?,"Some college, no degree",20%,16%,23%,25%,13%,19%,23%,21%,23%,14%,22%,21%,18%,0%,34%,0%,37%,0%,31%,18%,21%,17%,22%,16%,20%,21%,2%,17%,20%,24%
What is the highest educational level that you have completed?,Associate’s degree,8%,11%,6%,12%,7%,10%,6%,8%,4%,11%,8%,8%,8%,0%,15%,0%,14%,0%,14%,6%,6%,6%,12%,8%,7%,10%,7%,7%,10%,7%
What is the highest educational level that you have completed?,Bachelor's degree,26%,22%,30%,31%,35%,27%,15%,26%,31%,19%,34%,26%,26%,62%,0%,62%,0%,62%,0%,28%,33%,26%,21%,25%,26%,24%,42%,27%,21%,32%
What is the highest educational level that you have completed?,Graduate or professional degree,16%,17%,15%,4%,19%,17%,17%,16%,15%,13%,21%,16%,16%,38%,0%,38%,0%,38%,0%,30%,16%,22%,10%,12%,22%,10%,14%,22%,11%,18%
What is the highest educational level that you have completed?,[VOL] Refused,<.5%,0%,<.5%,0%,0%,<1%,<1%,<.5%,0%,0%,3%,<.5%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<.5%,2%,0%,<1%,0%,0%,<.5%,0%
Would you consider yourself:,White,56%,54%,59%,39%,48%,56%,74%,99%,0%,0%,0%,99%,0%,58%,56%,100%,98%,0%,0%,59%,48%,59%,71%,33%,46%,68%,32%,45%,74%,48%
Would you consider yourself:,Hispanic or Latino,21%,24%,19%,32%,29%,19%,14%,0%,0%,99%,0%,0%,52%,17%,25%,0%,0%,41%,60%,27%,15%,17%,13%,52%,24%,19%,30%,29%,14%,21%
Would you consider yourself:,Black or African American,10%,8%,12%,11%,11%,12%,6%,0%,99%,0%,0%,0%,25%,11%,10%,0%,0%,28%,23%,6%,13%,17%,6%,8%,20%,1%,15%,18%,2%,13%
Would you consider yourself:,Asian,4%,3%,4%,10%,3%,4%,0%,0%,0%,0%,39%,0%,9%,6%,2%,0%,0%,16%,4%,2%,11%,3%,<1%,0%,5%,3%,3%,2%,2%,7%
Would you consider yourself:,American Indian or Alaska Native,1%,2%,<1%,1%,3%,1%,0%,0%,0%,0%,11%,0%,3%,1%,<1%,0%,0%,3%,2%,0%,<1%,<1%,2%,0%,<1%,1%,0%,0%,<.5%,3%
Would you consider yourself:,Middle Eastern or North African,2%,2%,1%,2%,3%,2%,0%,0%,0%,0%,19%,0%,4%,2%,1%,0%,0%,6%,3%,0%,6%,<1%,<1%,<.5%,0%,2%,13%,2%,2%,1%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<.5%,<1%,<.5%,2%,<.5%,0%,0%,0%,0%,5%,0%,1%,<1%,<.5%,0%,0%,2%,<1%,0%,<.5%,2%,<.5%,<.5%,<1%,<.5%,0%,0%,0%,2%
Would you consider yourself:,[VOL] Some other race (specify),2%,2%,2%,2%,<1%,2%,3%,1%,<1%,1%,12%,1%,4%,2%,3%,0%,2%,4%,3%,2%,4%,<1%,2%,<1%,3%,1%,1%,3%,2%,1%
Would you consider yourself:,[VOL] More than one race,1%,<1%,1%,2%,1%,1%,1%,0%,0%,0%,14%,0%,3%,<1%,1%,0%,0%,1%,3%,4%,2%,0%,<1%,2%,<1%,1%,4%,<1%,1%,1%
Would you consider yourself:,[VOL] Refused,2%,3%,<.5%,<1%,<1%,2%,2%,0%,0%,0%,0%,0%,0%,1%,2%,0%,0%,0%,0%,0%,0%,0%,3%,4%,<.5%,3%,<.5%,0%,3%,2%
Would you consider yourself:,Number of respondents,617,308,305,154,129,195,113,314,71,166,56,314,293,281,334,158,155,118,174,53,134,121,197,112,273,307,37,165,197,188
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Yes,5%,3%,7%,8%,4%,9%,0%,5%,11%,1%,4%,5%,4%,3%,6%,2%,8%,5%,4%,1%,2%,10%,4%,7%,5%,6%,0%,7%,6%,2%
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",No,72%,71%,72%,56%,69%,70%,83%,94%,88%,0%,92%,94%,44%,81%,65%,98%,90%,55%,36%,73%,80%,74%,81%,35%,70%,74%,71%,58%,77%,79%
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",[VOL] Don't know/Refused,1%,1%,1%,<1%,1%,<1%,3%,1%,<1%,0%,0%,1%,<.5%,<1%,2%,0%,2%,0%,<.5%,0%,0%,<.5%,2%,5%,2%,1%,2%,3%,<.5%,1%
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",[PREVIOUSLY] Hispanic,22%,24%,20%,36%,26%,20%,14%,0%,0%,99%,4%,0%,51%,15%,27%,0%,0%,39%,59%,25%,19%,16%,13%,53%,24%,19%,27%,32%,17%,18%
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,28%,23%,33%,34%,27%,27%,28%,20%,50%,41%,21%,20%,39%,33%,24%,27%,15%,44%,37%,37%,39%,28%,13%,39%,61%,1%,11%,100%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,38%,36%,39%,24%,29%,46%,44%,49%,9%,28%,26%,49%,22%,29%,44%,38%,57%,14%,28%,33%,27%,32%,53%,31%,7%,68%,9%,0%,100%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,26%,31%,21%,29%,30%,21%,26%,24%,32%,22%,41%,24%,28%,30%,23%,29%,19%,31%,28%,27%,22%,27%,30%,21%,27%,25%,24%,0%,0%,100%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,5%,3%,8%,7%,2%,0%,4%,2%,2%,8%,4%,3%,3%,4%,3%,5%,3%,2%,2%,3%,8%,3%,3%,3%,3%,18%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,5%,5%,4%,6%,7%,4%,2%,4%,8%,6%,4%,4%,6%,5%,5%,3%,4%,7%,6%,1%,9%,6%,2%,5%,3%,3%,38%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,33%,28%,41%,47%,28%,33%,29%,32%,50%,24%,30%,32%,33%,37%,30%,33%,31%,41%,29%,42%,37%,29%,29%,34%,75%,4%,0%,-,-,38%
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,45%,52%,35%,40%,39%,51%,62%,51%,12%,49%,47%,51%,37%,40%,47%,48%,53%,29%,41%,42%,35%,52%,52%,32%,6%,91%,8%,-,-,47%
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,23%,20%,24%,13%,33%,16%,10%,17%,39%,27%,24%,17%,29%,23%,23%,19%,15%,30%,30%,15%,28%,19%,19%,34%,19%,5%,92%,-,-,15%
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,196,114,78,54,49,57,26,97,30,38,26,97,94,96,99,50,47,42,51,16,38,48,68,26,82,94,20,,,149
Combined: Party identification and leaners,The Democratic Party,39%,34%,44%,54%,40%,36%,36%,30%,71%,49%,37%,30%,52%,47%,34%,39%,24%,61%,47%,50%,52%,40%,23%,49%,85%,2%,11%,100%,0%,38%
Combined: Party identification and leaners,The Republican Party,53%,58%,49%,41%,46%,60%,61%,65%,13%,43%,51%,65%,37%,44%,59%,55%,72%,27%,42%,46%,39%,53%,71%,41%,9%,96%,16%,0%,100%,47%
Combined: Party identification and leaners,[VOL] Don't know/Refused,8%,8%,7%,6%,15%,4%,3%,5%,16%,8%,13%,5%,11%,9%,7%,7%,4%,12%,11%,5%,9%,8%,6%,10%,6%,2%,74%,0%,0%,15%
Combined: Party identification and leaners,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,48%,42%,20%,37%,56%,55%,59%,4%,29%,43%,59%,25%,39%,49%,48%,67%,24%,25%,35%,37%,41%,62%,31%,7%,82%,13%,2%,82%,43%
