itm,v1,registered_voters_registered_voters,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
"(Combined to include leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,7%,5%,4%,5%,5%,4%,7%,6%,3%,4%,7%,6%,6%,5%,5%,4%,11%,5%,7%,6%,4%,0%,0%,100%,0%,0%,33%,59%,2%
"(Combined to include leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",46%,44%,45%,49%,37%,54%,47%,44%,41%,52%,45%,71%,41%,55%,41%,56%,38%,55%,54%,62%,47%,37%,95%,0%,0%,100%,0%,0%,0%,92%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",43%,43%,43%,42%,51%,35%,39%,40%,48%,41%,46%,14%,41%,33%,48%,34%,53%,25%,31%,25%,40%,53%,0%,92%,0%,0%,100%,0%,0%,3%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",5%,5%,5%,6%,5%,6%,10%,6%,5%,3%,5%,9%,7%,6%,5%,5%,5%,7%,8%,5%,6%,6%,3%,5%,33%,0%,0%,100%,0%,2%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",1%,1%,2%,<1%,<1%,1%,<1%,3%,1%,<.5%,<1%,<1%,3%,2%,<1%,2%,<1%,5%,<.5%,2%,1%,<1%,1%,<.5%,7%,0%,0%,0%,19%,<1%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,<1%,0%,0%,0%,1%,<.5%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",<1%,<.5%,1%,<1%,<1%,<.5%,<.5%,<1%,1%,<.5%,<1%,<1%,2%,<1%,<1%,<1%,<.5%,1%,1%,<1%,<1%,<1%,<.5%,<1%,3%,0%,0%,0%,12%,<.5%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,1%,2%,2%,<.5%,1%,1%,2%,2%,<1%,2%,1%,1%,2%,1%,2%,<1%,1%,1%,2%,<1%,2%,<1%,<.5%,<1%,17%,0%,0%,0%,23%,<.5%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,3%,4%,3%,2%,3%,2%,<1%,4%,3%,2%,2%,4%,4%,3%,3%,2%,2%,5%,4%,5%,3%,2%,<1%,<1%,39%,0%,0%,0%,45%,2%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,82%,77%,85%,84%,80%,83%,68%,78%,83%,88%,84%,68%,74%,83%,81%,85%,84%,75%,69%,79%,80%,84%,83%,83%,31%,86%,86%,35%,26%,90%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,15%,17%,13%,14%,16%,14%,29%,18%,13%,8%,13%,26%,21%,14%,16%,13%,13%,19%,25%,18%,16%,13%,14%,13%,55%,12%,11%,53%,51%,9%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,3%,6%,2%,3%,4%,3%,3%,4%,3%,3%,3%,6%,5%,3%,4%,2%,3%,6%,6%,3%,4%,3%,2%,4%,14%,2%,3%,12%,24%,1%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,"1,899",589,666,644,895,972,277,434,597,540,"1,489",160,203,865,"1,022",706,782,140,221,333,764,802,980,869,50,935,803,117,44,634
"(Leaners, if not supporting Trump or Harris in previous questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",23%,13%,35%,20%,23%,23%,33%,18%,16%,35%,23%,31%,26%,19%,25%,17%,26%,24%,30%,24%,26%,18%,100%,0%,0%,-,-,27%,19%,48%
"(Leaners, if not supporting Trump or Harris in previous questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",31%,33%,24%,36%,33%,29%,35%,38%,29%,19%,31%,23%,38%,30%,31%,35%,28%,21%,38%,22%,28%,38%,0%,100%,0%,-,-,41%,22%,17%
"(Leaners, if not supporting Trump or Harris in previous questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,47%,54%,40%,44%,45%,48%,32%,44%,55%,46%,47%,47%,37%,51%,44%,47%,46%,55%,32%,54%,45%,44%,0%,0%,100%,-,-,33%,59%,35%
"(Leaners, if not supporting Trump or Harris in previous questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,235,81,85,69,116,113,41,72,75,43,151,29,39,111,123,72,79,32,36,50,93,92,53,76,106,,,117,118,33
"(Combined Senate results)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Democrat,48%,42%,50%,51%,39%,56%,47%,48%,45%,52%,45%,73%,49%,57%,43%,57%,39%,63%,59%,65%,51%,37%,88%,8%,30%,89%,6%,42%,37%,91%
"(Combined Senate results)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Republican,40%,41%,36%,43%,48%,33%,34%,37%,44%,40%,45%,12%,30%,33%,44%,35%,50%,22%,22%,19%,37%,52%,5%,80%,17%,4%,83%,33%,17%,3%
"(Combined Senate results)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,12%,16%,14%,6%,13%,11%,19%,15%,11%,8%,10%,15%,21%,10%,13%,8%,11%,15%,20%,16%,12%,10%,7%,12%,54%,7%,11%,25%,46%,6%
"(Combined Senate results)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Number of respondents,"1,973",619,693,661,934,"1,007",282,458,619,559,"1,532",170,214,897,"1,064",723,808,151,231,352,793,828,988,879,106,935,803,117,118,646
"(Ask only in MI) If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?","Elissa [uh-LISS-uh] Slotkin [SLOT-kin], the Democrat",42%,42%,-,-,34%,52%,35%,44%,40%,49%,40%,70%,39%,53%,38%,51%,35%,59%,50%,59%,45%,33%,81%,9%,20%,82%,7%,30%,25%,87%
"(Ask only in MI) If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?","Mike Rogers, the Republican",41%,41%,-,-,49%,32%,38%,42%,44%,37%,48%,12%,32%,35%,44%,40%,51%,19%,25%,15%,38%,54%,7%,78%,13%,7%,81%,30%,18%,4%
"(Ask only in MI) If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,16%,16%,-,-,17%,16%,27%,14%,16%,14%,12%,18%,29%,13%,18%,9%,14%,21%,25%,25%,17%,13%,12%,13%,68%,11%,12%,40%,57%,9%
"(Ask only in MI) If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +1 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,14%,17%,14%,11%,14%,13%,100%,0%,0%,0%,12%,18%,25%,13%,14%,13%,11%,17%,24%,18%,16%,10%,15%,13%,11%,14%,13%,25%,8%,13%
(Responses reclassified by age group) In what year were you born?,30-44,22%,24%,23%,19%,23%,21%,0%,100%,0%,0%,19%,29%,39%,29%,19%,26%,15%,42%,31%,27%,25%,18%,21%,22%,29%,21%,21%,25%,35%,21%
(Responses reclassified by age group) In what year were you born?,45-64,32%,32%,31%,33%,32%,32%,0%,0%,100%,0%,33%,30%,26%,32%,32%,32%,34%,31%,27%,29%,32%,34%,28%,36%,39%,28%,36%,32%,34%,31%
(Responses reclassified by age group) In what year were you born?,65+,29%,25%,29%,34%,29%,30%,0%,0%,0%,100%,34%,20%,8%,24%,32%,27%,38%,7%,15%,25%,25%,35%,33%,27%,19%,33%,28%,18%,20%,33%
(Responses reclassified by age group) In what year were you born?,Refused,3%,2%,3%,4%,2%,4%,0%,0%,0%,0%,2%,2%,2%,3%,2%,2%,2%,3%,1%,2%,3%,3%,3%,3%,3%,3%,3%,0%,3%,2%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"1,973",619,693,661,934,"1,007",282,458,619,559,"1,532",170,214,897,"1,064",723,808,151,231,352,793,828,988,879,106,935,803,117,118,646
What is the highest educational level that you have completed?,Grade school,3%,5%,2%,2%,3%,2%,2%,2%,<1%,6%,3%,5%,<.5%,0%,4%,0%,4%,0%,3%,3%,3%,3%,2%,4%,3%,2%,4%,2%,5%,2%
What is the highest educational level that you have completed?,High school,31%,30%,33%,30%,33%,30%,34%,24%,30%,37%,31%,41%,29%,0%,48%,0%,47%,0%,50%,34%,24%,37%,29%,34%,28%,29%,35%,25%,28%,30%
What is the highest educational level that you have completed?,Vocational or trade school,6%,5%,6%,7%,7%,5%,5%,5%,9%,5%,6%,7%,7%,0%,9%,0%,9%,0%,10%,6%,6%,6%,5%,8%,5%,4%,8%,11%,4%,5%
What is the highest educational level that you have completed?,"Some college, no degree",15%,16%,13%,15%,15%,14%,18%,14%,13%,16%,15%,15%,14%,0%,22%,0%,23%,0%,21%,15%,15%,14%,14%,15%,11%,14%,15%,19%,12%,14%
What is the highest educational level that you have completed?,Associate’s degree,11%,12%,8%,11%,10%,12%,9%,12%,12%,9%,11%,10%,11%,0%,16%,0%,16%,0%,15%,9%,10%,12%,10%,11%,11%,10%,12%,8%,11%,8%
What is the highest educational level that you have completed?,Bachelor's degree,21%,19%,22%,22%,21%,21%,25%,29%,20%,15%,22%,12%,23%,62%,0%,62%,0%,60%,0%,18%,27%,17%,23%,18%,27%,23%,18%,25%,25%,21%
What is the highest educational level that you have completed?,Graduate or professional degree,13%,12%,15%,12%,11%,14%,7%,15%,14%,13%,13%,11%,13%,38%,0%,38%,0%,40%,0%,15%,15%,10%,17%,8%,14%,18%,8%,11%,14%,19%
What is the highest educational level that you have completed?,[VOL] Refused,<1%,<1%,<1%,<1%,<1%,<.5%,0%,0%,1%,<.5%,<.5%,0%,1%,0%,0%,0%,0%,0%,0%,<.5%,<1%,<1%,<.5%,1%,0%,<.5%,1%,<1%,0%,<1%
Would you consider yourself:,White,76%,71%,74%,85%,76%,78%,66%,66%,79%,88%,99%,0%,0%,79%,76%,99%,99%,0%,0%,55%,73%,89%,75%,80%,59%,75%,82%,66%,57%,72%
Would you consider yourself:,Hispanic or Latino,4%,4%,5%,4%,4%,4%,8%,7%,3%,1%,0%,0%,39%,3%,5%,0%,0%,15%,24%,8%,5%,2%,4%,4%,5%,4%,3%,7%,7%,5%
Would you consider yourself:,Black or African American,9%,11%,11%,4%,8%,10%,11%,11%,8%,6%,0%,100%,0%,6%,10%,0%,0%,33%,50%,23%,9%,2%,13%,3%,11%,13%,3%,14%,9%,16%
Would you consider yourself:,Asian,2%,2%,2%,<1%,2%,2%,3%,3%,<1%,<.5%,0%,0%,15%,3%,<1%,0%,0%,19%,4%,3%,2%,<1%,2%,1%,1%,2%,1%,<1%,2%,2%
Would you consider yourself:,American Indian or Alaska Native,<1%,<1%,<1%,<1%,<.5%,1%,<.5%,1%,1%,<.5%,0%,0%,7%,<1%,<1%,0%,0%,4%,4%,1%,1%,<.5%,<1%,<1%,2%,<1%,<1%,<1%,2%,<.5%
Would you consider yourself:,Middle Eastern or North African,<1%,2%,<1%,<.5%,1%,<1%,3%,1%,<1%,<.5%,0%,0%,8%,2%,<.5%,0%,0%,10%,2%,<.5%,2%,<.5%,<1%,1%,<1%,<.5%,1%,1%,2%,<1%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,0%,0%,3%,<1%,<.5%,0%,0%,3%,1%,<1%,<.5%,<.5%,<.5%,<.5%,1%,<.5%,<.5%,2%,1%,0%
Would you consider yourself:,[VOL] Some other race (specify),3%,4%,2%,2%,3%,2%,2%,3%,3%,2%,1%,<.5%,12%,3%,2%,1%,1%,9%,6%,4%,3%,2%,1%,4%,6%,1%,4%,3%,6%,1%
Would you consider yourself:,[VOL] More than one race,2%,2%,2%,1%,1%,2%,3%,3%,1%,<.5%,0%,0%,15%,1%,2%,0%,0%,7%,9%,3%,2%,<1%,1%,2%,2%,1%,2%,2%,3%,<1%
Would you consider yourself:,[VOL] Refused,3%,4%,3%,2%,4%,1%,2%,3%,3%,2%,0%,0%,0%,2%,2%,0%,0%,0%,0%,2%,3%,3%,1%,3%,11%,1%,3%,4%,10%,1%
Would you consider yourself:,Number of respondents,"1,973",619,693,661,934,"1,007",282,458,619,559,"1,532",170,214,897,"1,064",723,808,151,231,352,793,828,988,879,106,935,803,117,118,646
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,33%,32%,34%,32%,23%,41%,30%,32%,31%,37%,30%,54%,34%,38%,29%,37%,27%,49%,41%,45%,35%,25%,63%,3%,12%,65%,3%,12%,17%,100%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,30%,27%,37%,27%,34%,27%,25%,27%,31%,34%,35%,6%,19%,23%,34%,26%,39%,12%,14%,13%,29%,39%,4%,60%,11%,4%,64%,8%,8%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,32%,34%,25%,36%,36%,28%,35%,34%,34%,26%,31%,33%,35%,32%,32%,32%,30%,29%,36%,36%,29%,33%,29%,32%,49%,28%,29%,65%,47%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,3%,5%,3%,2%,4%,1%,6%,4%,3%,<.5%,2%,3%,7%,4%,2%,3%,2%,6%,5%,3%,4%,2%,2%,3%,16%,1%,2%,13%,11%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,3%,3%,2%,3%,3%,2%,4%,3%,2%,3%,2%,4%,5%,3%,3%,2%,2%,4%,5%,3%,3%,2%,2%,2%,12%,2%,2%,<1%,16%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,41%,37%,45%,40%,36%,46%,50%,41%,30%,50%,41%,47%,37%,47%,37%,50%,36%,39%,43%,49%,39%,38%,84%,5%,18%,85%,3%,26%,32%,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,40%,39%,34%,46%,43%,37%,32%,39%,47%,36%,44%,24%,32%,35%,43%,37%,48%,25%,30%,30%,38%,47%,5%,80%,11%,5%,83%,36%,22%,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,19%,24%,20%,14%,20%,17%,18%,20%,23%,14%,15%,29%,30%,17%,20%,13%,16%,36%,27%,22%,22%,16%,11%,15%,71%,11%,15%,37%,46%,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,623,207,179,237,344,262,95,150,197,165,477,47,78,304,315,244,233,50,75,113,237,273,291,278,54,265,225,72,61,
Combined: Party identification and leaners,The Democratic Party,48%,47%,47%,49%,39%,56%,53%,48%,42%,52%,45%,73%,52%,57%,43%,55%,39%,64%,60%,66%,50%,38%,91%,5%,26%,91%,4%,33%,41%,100%
Combined: Party identification and leaners,The Republican Party,45%,43%,47%,46%,53%,39%,39%,43%,49%,44%,50%,15%,34%,37%,50%,40%,56%,22%,28%,25%,42%,56%,6%,90%,19%,5%,92%,37%,25%,0%
Combined: Party identification and leaners,[VOL] Don't know/Refused,7%,10%,6%,6%,9%,5%,8%,8%,9%,4%,5%,11%,14%,7%,7%,5%,5%,14%,12%,9%,8%,6%,4%,5%,55%,3%,5%,30%,34%,0%
Combined: Party identification and leaners,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,39%,34%,42%,40%,44%,34%,20%,34%,48%,40%,44%,7%,26%,31%,43%,33%,49%,19%,17%,19%,33%,52%,3%,78%,22%,3%,82%,30%,12%,4%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,44%,39%,45%,48%,37%,52%,37%,44%,40%,53%,42%,74%,40%,58%,38%,57%,34%,64%,51%,57%,47%,36%,84%,6%,20%,85%,4%,31%,27%,87%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,14%,24%,10%,7%,16%,11%,39%,19%,9%,4%,11%,19%,30%,7%,17%,6%,13%,12%,31%,19%,16%,9%,11%,14%,39%,10%,13%,28%,41%,9%
