itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",33%,33%,31%,36%,27%,36%,38%,30%,36%,26%,29%,32%,45%,33%,49%,31%,26%,44%,28%,44%,26%,49%,32%,40%,36%,25%,80%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",40%,42%,39%,38%,41%,40%,38%,45%,34%,30%,37%,47%,40%,46%,14%,31%,33%,32%,44%,36%,52%,21%,27%,29%,36%,51%,0%,82%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Robert F. Kennedy Jr., the third-party candidate",10%,10%,9%,9%,12%,10%,9%,10%,10%,18%,13%,8%,5%,9%,11%,14%,12%,9%,11%,9%,9%,9%,14%,10%,10%,10%,8%,9%,23%,0%
How satisfied are you with the way things are going in your life these days?,"Jill Stein [stine], the Green Party candidate",1%,2%,1%,1%,2%,1%,1%,<1%,2%,4%,2%,<.5%,<.5%,<1%,3%,2%,3%,1%,1%,1%,<1%,2%,3%,2%,2%,<1%,2%,<.5%,3%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] Cornel West, the third-party candidate",<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<1%,<.5%,<.5%,<.5%,0%,<.5%,0%,<1%,0%
How satisfied are you with the way things are going in your life these days?,"Lars Mapstead [map-sted], the Libertarian Party candidate",1%,1%,1%,1%,2%,<1%,<1%,1%,1%,1%,2%,1%,<.5%,1%,<1%,2%,2%,2%,1%,1%,<1%,2%,1%,1%,1%,1%,1%,<1%,3%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Another candidate (specify),<1%,<.5%,2%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,1%,<.5%,3%,<.5%,<1%,<1%,<.5%,<.5%,2%,<1%,<1%,<1%,<.5%,<.5%,5%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Not going to vote/wouldn't vote if those were the choices,4%,3%,5%,5%,5%,3%,3%,4%,4%,5%,5%,4%,2%,3%,8%,4%,9%,3%,5%,2%,3%,6%,7%,4%,4%,4%,3%,2%,21%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,9%,12%,9%,10%,9%,9%,8%,12%,15%,11%,7%,7%,7%,14%,17%,12%,8%,10%,6%,8%,11%,14%,12%,10%,8%,6%,6%,45%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,16%,23%,31%,25%,68%,12%,10%,8%,34%,64%,25%,42%,8%,21%,24%,41%,35%,42%,48%,10%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Definitely,72%,73%,70%,71%,68%,75%,74%,74%,70%,48%,63%,78%,86%,76%,62%,57%,60%,75%,70%,75%,77%,72%,55%,70%,72%,74%,71%,76%,38%,78%
How satisfied are you with the way things are going in your life these days?,Probably,25%,24%,26%,27%,28%,23%,24%,23%,27%,50%,32%,21%,12%,22%,33%,39%,36%,24%,26%,23%,21%,26%,40%,26%,26%,24%,27%,22%,50%,21%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,4%,2%,4%,2%,2%,3%,2%,2%,5%,2%,2%,2%,5%,4%,3%,2%,3%,2%,2%,2%,5%,3%,3%,3%,2%,3%,13%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,532",547,487,524,518,908,548,"1,859","1,642",578,778,"1,117",939,"2,550",373,298,225,"1,580","1,935","1,214","1,328",322,569,810,"1,547","1,175","1,633","1,775",124,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,16%,17%,16%,17%,17%,50%,50%,15%,23%,32%,27%,71%,11%,9%,7%,36%,64%,27%,44%,8%,19%,24%,41%,35%,45%,52%,3%,39%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",42%,42%,39%,42%,38%,44%,47%,36%,48%,43%,40%,39%,48%,39%,63%,45%,39%,52%,37%,51%,32%,61%,47%,51%,46%,31%,100%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",48%,49%,49%,49%,50%,47%,45%,55%,42%,46%,48%,53%,45%,54%,23%,42%,45%,39%,53%,42%,61%,27%,38%,37%,45%,60%,0%,100%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,9%,12%,9%,13%,8%,7%,9%,11%,11%,12%,9%,7%,7%,14%,12%,16%,9%,10%,7%,7%,11%,14%,12%,9%,8%,0%,0%,100%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,16%,23%,31%,25%,68%,12%,10%,8%,34%,64%,25%,42%,8%,21%,24%,41%,35%,42%,48%,10%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,... the Democrat,45%,45%,-,-,40%,46%,49%,38%,52%,50%,44%,41%,50%,43%,65%,48%,43%,53%,41%,52%,38%,60%,49%,52%,48%,36%,87%,10%,33%,90%
How satisfied are you with the way things are going in your life these days?,... the Republican,40%,41%,-,-,38%,41%,40%,47%,33%,29%,38%,46%,40%,45%,13%,29%,38%,35%,43%,37%,50%,25%,28%,30%,37%,53%,5%,76%,14%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,15%,14%,-,-,23%,13%,10%,15%,15%,21%,18%,13%,10%,12%,22%,23%,19%,12%,16%,10%,12%,15%,24%,18%,15%,12%,8%,14%,53%,6%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"2,877",626,,,614,"1,023",614,"1,512","1,337",467,595,903,804,"2,051",229,304,212,"1,248","1,611",963,"1,083",237,497,817,"1,195",865,"1,291","1,332",254,"1,044"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,25%,,,25%,25%,25%,48%,51%,16%,23%,31%,27%,70%,8%,12%,8%,35%,64%,26%,43%,7%,20%,31%,36%,33%,43%,48%,9%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Ruben Gallego [gah-yeh-go], the Democrat",45%,45%,-,-,-,-,-,38%,52%,47%,42%,42%,51%,42%,51%,50%,56%,51%,42%,47%,39%,64%,47%,51%,44%,37%,87%,9%,47%,90%
How satisfied are you with the way things are going in your life these days?,"Kari [care-ee] Lake, the Republican",41%,41%,-,-,-,-,-,48%,34%,28%,44%,48%,37%,45%,31%,29%,38%,39%,42%,42%,48%,30%,33%,32%,43%,50%,6%,77%,6%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,14%,14%,-,-,-,-,-,15%,14%,25%,14%,10%,12%,12%,18%,22%,6%,10%,17%,11%,13%,6%,21%,17%,12%,13%,8%,14%,47%,6%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,626,,,,,,325,297,110,143,201,140,384,35,141,52,252,370,176,208,67,158,251,224,151,257,310,59,202
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,100%,,,,,,48%,51%,16%,23%,29%,27%,63%,5%,21%,9%,36%,63%,25%,38%,10%,25%,40%,35%,25%,42%,49%,9%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Jacky Rosen, the Democrat",40%,-,-,-,40%,-,-,35%,46%,46%,39%,32%,47%,37%,63%,46%,29%,46%,38%,44%,33%,49%,44%,43%,45%,23%,84%,13%,15%,87%
How satisfied are you with the way things are going in your life these days?,"Sam Brown, the Republican",38%,-,-,-,38%,-,-,44%,31%,27%,35%,46%,41%,45%,9%,28%,44%,31%,40%,35%,51%,27%,31%,37%,27%,60%,4%,69%,13%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,23%,-,-,-,23%,-,-,22%,23%,27%,26%,22%,13%,18%,27%,26%,27%,23%,22%,21%,16%,25%,26%,20%,28%,17%,12%,18%,72%,10%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,,,,614,,,313,296,126,125,176,153,325,61,129,78,220,387,142,181,67,196,279,226,109,245,296,73,180
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,100%,,,51%,48%,18%,25%,29%,23%,52%,9%,22%,14%,29%,69%,18%,34%,10%,34%,44%,38%,18%,38%,50%,13%,27%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Bob Casey, the Democrat",46%,-,-,-,-,46%,-,38%,54%,48%,48%,45%,49%,43%,72%,36%,51%,58%,40%,57%,34%,69%,58%,62%,48%,35%,88%,8%,39%,90%
How satisfied are you with the way things are going in your life these days?,"David McCormick, the Republican",41%,-,-,-,-,41%,-,48%,35%,34%,37%,44%,43%,46%,12%,35%,26%,33%,46%,34%,53%,17%,20%,21%,39%,56%,6%,79%,12%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,13%,-,-,-,-,13%,-,14%,11%,18%,15%,11%,8%,11%,15%,29%,23%,10%,14%,8%,13%,14%,22%,18%,13%,10%,6%,13%,49%,5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",,,,,"1,023",,573,435,157,210,331,296,812,106,17,57,501,519,406,406,75,103,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,48%,51%,15%,23%,31%,28%,79%,11%,3%,5%,38%,62%,31%,48%,6%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Tammy Baldwin, the Democrat",49%,-,-,-,-,-,49%,42%,56%,61%,47%,43%,54%,48%,69%,58%,52%,57%,46%,56%,44%,63%,61%,64%,56%,40%,87%,11%,38%,93%
How satisfied are you with the way things are going in your life these days?,"Eric Hovde [huv-dee], the Republican",40%,-,-,-,-,-,40%,49%,33%,30%,37%,46%,40%,44%,0%,26%,32%,36%,42%,38%,47%,23%,14%,20%,39%,49%,5%,79%,28%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,-,-,-,-,-,10%,9%,12%,9%,16%,11%,6%,8%,31%,15%,16%,7%,12%,6%,9%,14%,26%,16%,5%,10%,7%,9%,34%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,,,,,,614,301,309,74,117,195,215,530,27,17,25,275,335,239,288,28,40,134,164,316,305,266,43,262
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,,100%,46%,53%,13%,20%,35%,29%,84%,5%,4%,5%,35%,64%,31%,53%,4%,9%,21%,27%,52%,47%,45%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
