itm,v1,ohio_likely_electorate_ohio_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_cleveland_area,region_columbus_area,region_industrial_north_east,region_south_east,region_south_west,region_west_central,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,ohio_likely_electorate_1,men_1,women_5,x18_29_0,x30_44_5,x45_64_0,x65_2,white_1,black_1,oth_0,b_a_0,no_b_a_1,white_college_0,white_no_college_1,non_white_college_0,non_white_no_college_1,cleveland_area_0,columbus_area_1,industrial_north_east_1,south_east_3,south_west_0,west_central_0,city_0,suburb_1,rural_small_town_1,harris_1,trump_1,oth_2,dem_0,rep_1
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,1%,1%,1%,0%,2%,2%,1%,1%,2%,<1%,1%,2%,2%,<1%,0%,2%,<1%,1%,4%,2%,0%,0%,2%,1%,2%,1%,2%,1%,1%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,687,319,358,116,134,239,179,548,65,54,303,378,243,303,53,66,125,115,136,56,136,119,121,296,270,302,339,46,188,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",44%,36%,51%,54%,46%,40%,44%,39%,81%,59%,57%,37%,55%,30%,72%,69%,49%,54%,49%,28%,46%,30%,61%,51%,29%,100%,0%,0%,95%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",50%,59%,43%,42%,47%,54%,51%,55%,16%,35%,37%,58%,39%,65%,23%,26%,49%,39%,44%,65%,49%,64%,35%,43%,64%,0%,100%,0%,4%,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,6%,5%,6%,3%,7%,6%,5%,5%,3%,6%,6%,5%,6%,5%,4%,5%,3%,8%,7%,7%,6%,6%,4%,6%,7%,0%,0%,100%,<1%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",43%,34%,51%,52%,44%,40%,43%,39%,79%,58%,55%,37%,54%,30%,69%,69%,48%,52%,47%,28%,46%,30%,60%,51%,29%,98%,0%,2%,95%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",49%,59%,41%,40%,44%,53%,51%,54%,16%,34%,37%,56%,39%,62%,22%,26%,47%,38%,43%,65%,49%,60%,34%,43%,61%,0%,97%,0%,4%,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",2%,1%,2%,<1%,4%,2%,<.5%,2%,2%,3%,2%,1%,1%,2%,5%,<.5%,2%,1%,<.5%,3%,1%,2%,2%,<1%,2%,<1%,1%,12%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",2%,2%,1%,6%,3%,<.5%,<1%,2%,<1%,5%,2%,2%,2%,1%,<1%,3%,<1%,<1%,4%,0%,<1%,4%,1%,2%,2%,<1%,1%,15%,0%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,<.5%,0%,0%,0%,2%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<1%,<1%,1%,<1%,<.5%,<1%,1%,<1%,<1%,0%,<1%,<1%,<1%,<1%,<1%,0%,<1%,2%,0%,<1%,<1%,<.5%,<.5%,<.5%,1%,<.5%,<.5%,12%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,2%,4%,<.5%,3%,4%,3%,3%,2%,1%,3%,3%,2%,4%,1%,2%,2%,6%,5%,1%,3%,4%,3%,3%,4%,<.5%,<.5%,58%,<.5%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,87%,87%,87%,83%,82%,89%,90%,88%,86%,83%,88%,86%,89%,87%,88%,82%,86%,90%,87%,92%,86%,85%,86%,88%,87%,88%,89%,0%,93%,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,11%,11%,11%,14%,17%,7%,9%,10%,11%,14%,10%,11%,9%,11%,12%,12%,13%,8%,10%,7%,11%,13%,10%,10%,11%,9%,10%,82%,4%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,2%,2%,2%,3%,<1%,4%,2%,2%,4%,3%,2%,3%,2%,2%,0%,5%,1%,2%,4%,1%,3%,2%,3%,2%,2%,3%,1%,18%,3%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,648,304,335,113,124,225,170,519,62,53,287,356,232,285,51,64,119,106,128,53,128,114,115,280,253,300,336,12,186,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",10%,18%,1%,24%,15%,3%,7%,7%,36%,13%,20%,4%,18%,<.5%,40%,7%,11%,15%,20%,0%,1%,0%,25%,13%,4%,100%,0%,0%,34%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",17%,13%,23%,34%,26%,12%,0%,21%,0%,20%,2%,29%,0%,33%,10%,13%,34%,9%,13%,0%,0%,39%,14%,3%,29%,0%,100%,0%,0%,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,73%,69%,76%,42%,59%,85%,93%,72%,64%,67%,79%,67%,82%,66%,50%,80%,55%,76%,66%,100%,99%,61%,61%,84%,68%,0%,0%,100%,66%,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,66,29,35,10,21,19,13,48,6,5,29,36,20,28,6,5,10,12,16,5,11,12,11,26,29,9,11,46,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Democrat,47%,38%,55%,53%,51%,40%,48%,43%,79%,65%,60%,39%,57%,33%,79%,68%,53%,52%,49%,35%,50%,35%,64%,53%,33%,90%,10%,36%,96%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Republican,43%,54%,34%,36%,36%,51%,42%,48%,16%,22%,35%,48%,38%,54%,20%,18%,39%,37%,35%,60%,42%,54%,28%,37%,55%,3%,81%,14%,1%,81%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,11%,8%,12%,11%,13%,9%,9%,9%,5%,13%,6%,13%,5%,12%,2%,13%,9%,11%,15%,5%,9%,12%,8%,10%,13%,6%,10%,50%,3%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Number of respondents,687,319,358,116,134,239,179,548,65,54,303,378,243,303,53,66,125,115,136,56,136,119,121,296,270,302,339,46,188,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask only in OH) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Sherrod [share-uhd] Brown, the Democrat",47%,38%,55%,53%,51%,40%,48%,43%,79%,65%,60%,39%,57%,33%,79%,68%,53%,52%,49%,35%,50%,35%,64%,53%,33%,90%,10%,36%,96%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask only in OH) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Bernie Moreno [moh-REE-no], the Republican",43%,54%,34%,36%,36%,51%,42%,48%,16%,22%,35%,48%,38%,54%,20%,18%,39%,37%,35%,60%,42%,54%,28%,37%,55%,3%,81%,14%,1%,81%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask only in OH) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Don Kissick, the Libertarian Party candidate",<1%,1%,<.5%,0%,0%,1%,<1%,<.5%,1%,3%,<.5%,<1%,<.5%,<.5%,0%,3%,1%,0%,0%,0%,<1%,1%,<1%,<1%,<1%,<1%,<.5%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask only in OH) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,10%,7%,12%,11%,13%,8%,8%,9%,4%,10%,5%,12%,4%,12%,2%,10%,7%,11%,15%,5%,8%,10%,8%,9%,12%,5%,9%,50%,3%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask only in OH) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,MARGIN Brown +4 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
