itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,region_maricopa_county,region_north_east,region_pima_county,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,party_reg_dem,party_reg_rep,party_reg_oth,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",45%,39%,51%,50%,45%,43%,45%,37%,58%,64%,50%,42%,46%,52%,54%,23%,99%,0%,0%,96%,6%,44%,91%,7%,45%,89%,4%,40%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",50%,56%,44%,40%,46%,55%,51%,60%,38%,23%,44%,53%,50%,43%,38%,71%,0%,97%,0%,2%,93%,48%,6%,91%,44%,7%,95%,47%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",1%,2%,<1%,4%,2%,<1%,<1%,<1%,2%,4%,2%,1%,1%,1%,3%,0%,<1%,1%,19%,<1%,0%,3%,1%,<.5%,3%,1%,1%,4%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",<1%,2%,<.5%,1%,3%,0%,<.5%,<1%,3%,<.5%,1%,<1%,<.5%,<1%,2%,3%,<.5%,<1%,8%,0%,<.5%,2%,<.5%,<.5%,2%,<.5%,<.5%,1%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,<.5%,0%,0%,0%,0%,<.5%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<.5%,<.5%,<.5%,<1%,0%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<1%,0%,<.5%,4%,0%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<1%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,3%,2%,3%,3%,5%,2%,2%,1%,<.5%,9%,3%,3%,2%,3%,4%,3%,<.5%,<1%,69%,1%,<1%,3%,2%,1%,6%,2%,0%,8%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares,MARGIN Trump +5 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,90%,90%,90%,75%,85%,91%,98%,91%,84%,91%,91%,89%,91%,91%,87%,87%,88%,92%,71%,93%,95%,83%,94%,94%,80%,94%,94%,67%,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,10%,9%,10%,24%,14%,8%,2%,8%,15%,9%,9%,10%,8%,9%,13%,12%,12%,7%,26%,7%,5%,16%,5%,6%,19%,6%,6%,29%,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,<1%,<.5%,<1%,<1%,<.5%,1%,<.5%,<1%,<.5%,0%,<1%,<1%,<1%,<.5%,0%,<1%,<.5%,<1%,3%,0%,0%,2%,<1%,<.5%,1%,0%,<.5%,4%,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",12%,11%,8%,28%,7%,11%,4%,14%,40%,2%,3%,20%,8%,20%,21%,7%,100%,0%,0%,46%,0%,14%,33%,7%,8%,24%,0%,12%,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",31%,31%,34%,46%,35%,23%,12%,32%,54%,25%,39%,25%,35%,42%,15%,34%,0%,100%,0%,0%,33%,38%,20%,15%,37%,49%,44%,26%,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,57%,58%,57%,26%,59%,66%,84%,55%,7%,73%,58%,55%,57%,38%,64%,59%,0%,0%,100%,54%,67%,48%,46%,78%,55%,27%,56%,62%,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,52,26,23,18,16,7,11,24,8,16,21,30,25,9,9,9,7,17,28,4,4,28,11,7,34,10,4,25,NA,NA
"(Ask only in AZ) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Ruben Gallego [gah-YEH-go], the Democrat",48%,43%,53%,58%,51%,46%,45%,41%,62%,62%,53%,46%,49%,50%,54%,32%,93%,10%,26%,93%,10%,50%,90%,10%,53%,91%,8%,42%,NA,NA
"(Ask only in AZ) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Kari [care-ee] Lake, the Republican",41%,47%,36%,28%,40%,42%,45%,49%,29%,21%,39%,42%,41%,34%,33%,60%,1%,78%,14%,2%,79%,38%,4%,79%,32%,4%,80%,38%,NA,NA
"(Ask only in AZ) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Eduardo Quintana, the Green Party candidate",<.5%,<.5%,<1%,0%,<1%,<1%,<.5%,<.5%,0%,3%,<1%,<.5%,<1%,1%,0%,0%,<1%,0%,5%,<1%,0%,<1%,0%,0%,2%,1%,0%,<.5%,NA,NA
"(Ask only in AZ) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,10%,10%,11%,14%,8%,11%,10%,9%,9%,15%,7%,12%,9%,14%,14%,7%,5%,12%,55%,4%,11%,11%,7%,11%,13%,3%,12%,20%,NA,NA
"(Ask only in AZ) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares,MARGIN Gallego +7 Calculated using candidates’ unrounded vote shares
"(Ask only in AZ) If the 2024 election were held today, would you vote yes or no on Arizona Proposition 139, a constitutional amendment that would provide a fundamental right to abortion up until fetal viability, or about the 24th week of pregnancy?",Yes,52%,48%,56%,62%,62%,49%,46%,46%,60%,71%,57%,50%,52%,52%,61%,44%,84%,25%,41%,85%,23%,55%,83%,22%,58%,84%,22%,55%,NA,NA
"(Ask only in AZ) If the 2024 election were held today, would you vote yes or no on Arizona Proposition 139, a constitutional amendment that would provide a fundamental right to abortion up until fetal viability, or about the 24th week of pregnancy?",No,33%,36%,31%,27%,30%,29%,42%,36%,33%,23%,30%,35%,33%,38%,27%,39%,8%,56%,37%,8%,58%,30%,10%,58%,27%,10%,58%,27%,NA,NA
"(Ask only in AZ) If the 2024 election were held today, would you vote yes or no on Arizona Proposition 139, a constitutional amendment that would provide a fundamental right to abortion up until fetal viability, or about the 24th week of pregnancy?",[VOL] Don't know/Refused,14%,15%,13%,11%,8%,22%,12%,18%,7%,6%,12%,15%,15%,10%,12%,18%,7%,20%,22%,6%,19%,15%,7%,19%,15%,6%,21%,19%,NA,NA
"(Ask only in AZ) If the 2024 election were held today, would you vote yes or no on Arizona Proposition 139, a constitutional amendment that would provide a fundamental right to abortion up until fetal viability, or about the 24th week of pregnancy?",MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares,MARGIN Yes +19 Calculated using candidates’ unrounded vote shares
What is your preference for the outcome of this year's U.S. Senate elections?,Democratic control of the Senate,44%,37%,51%,51%,45%,40%,45%,36%,56%,67%,49%,42%,44%,47%,54%,26%,92%,3%,26%,96%,5%,42%,90%,6%,45%,87%,2%,41%,NA,NA
What is your preference for the outcome of this year's U.S. Senate elections?,Republican control of the Senate,50%,57%,44%,34%,48%,55%,54%,60%,36%,25%,47%,52%,49%,50%,40%,68%,5%,92%,31%,1%,93%,50%,6%,90%,45%,9%,94%,46%,NA,NA
What is your preference for the outcome of this year's U.S. Senate elections?,[VOL] Don't know/Refused,6%,6%,5%,16%,7%,5%,1%,4%,8%,8%,4%,6%,6%,3%,5%,6%,3%,6%,42%,2%,2%,8%,4%,4%,10%,3%,3%,13%,NA,NA
What is your preference for the outcome of this year's U.S. Senate elections?,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares,MARGIN Republican +6 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,14%,15%,12%,100%,0%,0%,0%,9%,26%,17%,9%,16%,15%,9%,12%,13%,16%,12%,12%,13%,10%,16%,12%,10%,19%,11%,5%,48%,NA,NA
(Responses reclassified by age group) In what year were you born?,30-44,20%,20%,20%,0%,100%,0%,0%,18%,24%,26%,24%,18%,22%,13%,18%,17%,20%,19%,38%,21%,16%,22%,19%,14%,28%,22%,15%,26%,NA,NA
(Responses reclassified by age group) In what year were you born?,45-64,30%,29%,31%,0%,0%,100%,0%,31%,25%,30%,32%,29%,30%,31%,28%,31%,28%,32%,18%,26%,28%,36%,29%,32%,29%,29%,37%,15%,NA,NA
(Responses reclassified by age group) In what year were you born?,65+,31%,31%,32%,0%,0%,0%,100%,38%,20%,21%,30%,32%,27%,44%,36%,33%,31%,31%,33%,35%,39%,22%,36%,37%,19%,32%,38%,10%,NA,NA
(Responses reclassified by age group) In what year were you born?,Refused,5%,5%,5%,0%,0%,0%,0%,4%,5%,5%,6%,4%,5%,3%,7%,6%,5%,5%,0%,5%,7%,4%,4%,6%,5%,6%,5%,1%,NA,NA
(Responses reclassified by age group) In what year were you born?,Number of respondents,808,386,417,147,166,230,230,519,148,116,342,459,479,105,119,105,369,411,28,210,242,295,240,280,288,299,301,168,NA,NA
What is the highest educational level that you have completed?,Grade school,2%,2%,1%,0%,1%,2%,2%,2%,2%,0%,0%,3%,2%,2%,2%,0%,1%,2%,0%,2%,3%,0%,1%,2%,<1%,1%,3%,<.5%,NA,NA
What is the highest educational level that you have completed?,High school,24%,26%,23%,42%,16%,23%,24%,20%,40%,22%,0%,40%,22%,32%,16%,36%,23%,26%,2%,25%,26%,20%,26%,24%,23%,20%,25%,37%,NA,NA
What is the highest educational level that you have completed?,Vocational or trade school,5%,5%,6%,5%,6%,6%,5%,6%,6%,4%,0%,9%,5%,4%,5%,8%,5%,6%,5%,6%,6%,5%,5%,6%,6%,5%,6%,5%,NA,NA
What is the highest educational level that you have completed?,"Some college, no degree",19%,19%,19%,19%,18%,17%,23%,19%,17%,25%,0%,32%,20%,21%,22%,13%,20%,18%,27%,20%,21%,18%,20%,19%,19%,18%,19%,29%,NA,NA
What is the highest educational level that you have completed?,Associate’s degree,10%,9%,11%,7%,13%,11%,9%,9%,11%,11%,0%,16%,8%,11%,14%,13%,8%,11%,18%,9%,9%,12%,8%,10%,12%,8%,11%,11%,NA,NA
What is the highest educational level that you have completed?,Bachelor's degree,24%,24%,24%,20%,34%,25%,19%,28%,15%,19%,62%,0%,28%,17%,19%,16%,25%,22%,26%,21%,23%,27%,24%,25%,23%,28%,23%,13%,NA,NA
What is the highest educational level that you have completed?,Graduate or professional degree,15%,15%,15%,6%,12%,16%,18%,15%,9%,20%,38%,0%,14%,11%,22%,11%,17%,12%,21%,17%,10%,17%,16%,12%,16%,19%,13%,4%,NA,NA
What is the highest educational level that you have completed?,[VOL] Refused,<1%,<1%,<.5%,<.5%,0%,0%,<1%,<1%,0%,<.5%,0%,0%,<.5%,<1%,<1%,2%,<1%,<1%,2%,<.5%,<1%,1%,<.5%,2%,<.5%,<.5%,1%,<.5%,NA,NA
Would you consider yourself:,White,61%,57%,64%,43%,55%,63%,73%,98%,0%,0%,67%,57%,61%,55%,56%,69%,51%,71%,35%,45%,78%,60%,47%,77%,54%,52%,79%,37%,NA,NA
Would you consider yourself:,Hispanic or Latino,19%,20%,17%,35%,22%,15%,12%,0%,100%,0%,11%,23%,17%,19%,24%,19%,24%,14%,2%,26%,12%,17%,23%,11%,23%,22%,9%,36%,NA,NA
Would you consider yourself:,Black or African American,7%,8%,5%,9%,2%,10%,6%,0%,0%,40%,6%,7%,6%,8%,12%,<.5%,11%,2%,17%,13%,2%,6%,13%,3%,5%,12%,1%,8%,NA,NA
Would you consider yourself:,Asian,2%,1%,2%,2%,3%,<.5%,1%,0%,0%,10%,3%,<1%,2%,1%,0%,0%,2%,<1%,0%,2%,<1%,2%,4%,<.5%,1%,3%,<.5%,2%,NA,NA
Would you consider yourself:,American Indian or Alaska Native,2%,<1%,3%,<1%,2%,2%,1%,0%,0%,11%,2%,1%,2%,4%,0%,<1%,3%,<1%,0%,3%,<1%,1%,2%,<1%,2%,3%,<1%,2%,NA,NA
Would you consider yourself:,Middle Eastern or North African,<1%,<1%,<1%,<1%,2%,<.5%,<.5%,0%,0%,4%,1%,<.5%,<1%,0%,0%,<1%,<.5%,<.5%,11%,<.5%,0%,2%,0%,0%,2%,<1%,0%,2%,NA,NA
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<1%,<1%,0%,4%,0%,0%,0%,0%,5%,0%,1%,<1%,0%,2%,1%,<1%,<.5%,15%,1%,<.5%,<1%,0%,<.5%,2%,<1%,0%,4%,NA,NA
Would you consider yourself:,[VOL] Some other race (specify),4%,4%,4%,3%,2%,3%,4%,2%,<.5%,12%,5%,3%,4%,8%,1%,<1%,3%,4%,2%,4%,3%,3%,4%,4%,3%,3%,4%,4%,NA,NA
