itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Split B) Do you think the United States is headed in the right direction, or is it off on the wrong track?",[VOL] Don't know/Refused,9%,10%,9%,11%,15%,7%,7%,7%,22%,6%,12%,11%,8%,9%,6%,16%,12%,6%,13%,10%,9%,11%,10%,8%,16%,5%,7%,11%,3%,13%
"(Split B) Do you think the United States is headed in the right direction, or is it off on the wrong track?",Number of respondents,619,309,304,101,128,201,170,400,73,76,53,290,323,205,193,78,123,142,129,214,134,153,253,213,261,296,62,174,175,201
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,65%,65%,65%,52%,56%,69%,71%,68%,68%,49%,54%,69%,62%,71%,66%,62%,55%,73%,69%,66%,51%,60%,66%,65%,68%,66%,36%,72%,65%,62%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,25%,25%,25%,27%,30%,25%,21%,25%,17%,30%,29%,25%,25%,25%,25%,27%,23%,20%,24%,25%,32%,26%,23%,27%,25%,25%,25%,21%,28%,25%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,5%,5%,6%,12%,8%,3%,4%,3%,10%,9%,14%,3%,7%,2%,5%,8%,12%,5%,4%,5%,8%,7%,6%,4%,4%,4%,16%,5%,4%,7%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,1%,1%,2%,5%,1%,<1%,<.5%,1%,1%,3%,2%,<1%,2%,<1%,1%,2%,2%,2%,1%,1%,1%,1%,2%,1%,<1%,1%,5%,<1%,<1%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,2%,2%,2%,2%,3%,1%,2%,1%,3%,6%,2%,1%,3%,1%,2%,1%,5%,<1%,2%,2%,3%,3%,2%,1%,1%,1%,10%,1%,<1%,3%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,2%,2%,2%,2%,2%,<1%,2%,1%,<1%,4%,<1%,<1%,2%,<1%,2%,<.5%,3%,<.5%,<.5%,1%,5%,2%,2%,<1%,<1%,1%,8%,<1%,1%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",44%,40%,48%,54%,47%,37%,48%,40%,65%,52%,51%,54%,37%,51%,30%,63%,52%,44%,54%,38%,46%,60%,46%,34%,100%,0%,0%,94%,4%,40%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",48%,52%,43%,35%,45%,56%,45%,54%,26%,38%,31%,39%,54%,44%,62%,25%,36%,50%,42%,52%,43%,30%,45%,61%,0%,100%,0%,3%,94%,47%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,8%,8%,8%,11%,8%,7%,7%,6%,9%,10%,17%,7%,9%,5%,7%,12%,12%,6%,4%,9%,11%,10%,9%,5%,0%,0%,100%,2%,2%,14%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",37%,35%,39%,38%,36%,32%,43%,34%,51%,38%,41%,48%,29%,45%,25%,57%,36%,36%,44%,33%,38%,48%,39%,28%,83%,0%,0%,85%,3%,29%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",40%,45%,37%,23%,35%,48%,41%,47%,20%,30%,24%,33%,46%,37%,55%,19%,28%,42%,35%,47%,34%,24%,38%,53%,0%,85%,0%,2%,88%,34%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",7%,6%,8%,14%,9%,6%,5%,7%,5%,10%,6%,6%,8%,6%,8%,7%,8%,9%,6%,6%,8%,6%,7%,7%,5%,7%,21%,3%,3%,13%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein, the Green Party candidate",2%,1%,2%,6%,4%,2%,<.5%,2%,2%,1%,7%,3%,2%,2%,2%,5%,3%,1%,4%,2%,3%,5%,2%,1%,3%,<.5%,10%,1%,<.5%,4%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,0%,<.5%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",1%,2%,<1%,3%,1%,2%,<1%,<1%,4%,<.5%,5%,<.5%,2%,<.5%,1%,0%,5%,2%,<1%,1%,2%,2%,2%,<1%,<1%,1%,6%,1%,<1%,3%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate,<1%,1%,<.5%,3%,2%,<1%,0%,<1%,<1%,1%,0%,<.5%,1%,<1%,1%,0%,1%,<1%,1%,<.5%,2%,1%,1%,<.5%,<.5%,1%,3%,0%,0%,2%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,2%,2%,2%,1%,2%,1%,2%,1%,3%,4%,4%,2%,2%,2%,<1%,2%,4%,<1%,2%,1%,3%,4%,1%,1%,<1%,1%,11%,<1%,<1%,3%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,9%,8%,11%,11%,11%,9%,8%,7%,14%,16%,14%,8%,10%,7%,7%,10%,16%,9%,7%,10%,11%,9%,11%,8%,7%,5%,48%,7%,4%,13%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"(If not supporting Trump or Biden) If you had to decide between the two today, would you lean more toward:","Joe Biden, the Democrat",33%,25%,39%,42%,38%,27%,28%,30%,46%,44%,29%,32%,33%,36%,25%,23%,44%,34%,47%,28%,30%,42%,32%,28%,100%,0%,0%,73%,10%,28%
"(If not supporting Trump or Biden) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",32%,38%,28%,28%,35%,37%,26%,38%,22%,24%,22%,34%,32%,37%,38%,27%,22%,39%,34%,26%,33%,23%,30%,44%,0%,100%,0%,10%,67%,36%
"(If not supporting Trump or Biden) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,34%,37%,33%,29%,27%,35%,46%,32%,32%,31%,49%,34%,35%,27%,36%,50%,33%,27%,19%,46%,37%,35%,38%,29%,0%,0%,100%,17%,23%,37%
"(If not supporting Trump or Biden) If you had to decide between the two today, would you lean more toward:",Number of respondents,349,153,191,92,94,95,56,188,50,60,38,138,207,87,100,47,99,73,61,124,91,92,157,100,112,111,126,59,34,184
(Recoded to age) In what year were you born?,18-29,12%,12%,11%,100%,0%,0%,0%,9%,14%,19%,21%,9%,14%,7%,11%,17%,18%,10%,12%,12%,12%,15%,14%,8%,14%,8%,17%,14%,8%,12%
(Recoded to age) In what year were you born?,30-44,22%,22%,23%,0%,100%,0%,0%,20%,25%,32%,26%,28%,18%,27%,15%,31%,25%,23%,26%,19%,23%,30%,23%,17%,24%,21%,22%,21%,17%,26%
(Recoded to age) In what year were you born?,45-64,34%,34%,33%,0%,0%,100%,0%,34%,42%,28%,31%,38%,31%,39%,30%,33%,35%,31%,32%,36%,33%,28%,35%,36%,28%,39%,30%,31%,37%,35%
(Recoded to age) In what year were you born?,65+,29%,28%,30%,0%,0%,0%,100%,33%,19%,18%,16%,23%,34%,25%,40%,13%,20%,33%,27%,27%,30%,26%,25%,35%,31%,27%,26%,32%,36%,22%
(Recoded to age) In what year were you born?,Refused,4%,4%,3%,0%,0%,0%,0%,3%,<1%,3%,6%,3%,4%,2%,4%,5%,2%,2%,3%,5%,2%,2%,3%,4%,3%,4%,5%,2%,3%,5%
(Recoded to age) In what year were you born?,Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
What is the highest educational level that you have completed?,Grade school,3%,3%,2%,1%,1%,2%,5%,<1%,4%,13%,5%,0%,5%,0%,2%,0%,12%,2%,<1%,2%,6%,5%,3%,2%,2%,2%,7%,4%,2%,2%
What is the highest educational level that you have completed?,High school,24%,25%,23%,31%,13%,21%,33%,24%,20%,36%,8%,0%,42%,0%,44%,0%,36%,30%,20%,21%,25%,19%,17%,34%,18%,29%,22%,21%,34%,18%
What is the highest educational level that you have completed?,Vocational or trade school,4%,5%,3%,4%,4%,4%,5%,4%,7%,3%,6%,0%,7%,0%,7%,0%,9%,5%,3%,5%,3%,3%,3%,6%,3%,6%,1%,3%,4%,5%
What is the highest educational level that you have completed?,"Some college, no degree",17%,17%,17%,23%,16%,14%,16%,16%,24%,15%,16%,0%,29%,0%,29%,0%,30%,20%,14%,18%,15%,12%,22%,14%,17%,15%,28%,16%,16%,19%
What is the highest educational level that you have completed?,Associate’s degree,10%,8%,11%,7%,12%,11%,8%,10%,10%,10%,5%,0%,17%,0%,18%,0%,14%,7%,11%,12%,8%,7%,9%,12%,8%,12%,7%,8%,13%,8%
What is the highest educational level that you have completed?,Bachelor's degree,25%,26%,25%,29%,32%,28%,16%,28%,18%,14%,34%,61%,0%,62%,0%,59%,0%,22%,30%,25%,25%,36%,26%,18%,31%,21%,14%,31%,20%,27%
What is the highest educational level that you have completed?,Graduate or professional degree,16%,15%,17%,5%,20%,19%,16%,17%,17%,7%,22%,39%,0%,38%,0%,41%,0%,13%,21%,16%,16%,19%,18%,13%,20%,13%,21%,18%,11%,22%
What is the highest educational level that you have completed?,[VOL] Refused,<1%,<1%,<1%,0%,1%,0%,<1%,<.5%,0%,<1%,3%,0%,0%,0%,0%,0%,0%,<1%,1%,<1%,1%,1%,1%,<.5%,<1%,1%,0%,<.5%,1%,<.5%
Would you consider yourself:,White,68%,65%,70%,53%,62%,68%,78%,98%,0%,0%,0%,73%,65%,99%,98%,0%,0%,79%,65%,69%,57%,52%,65%,80%,61%,76%,52%,56%,84%,66%
Would you consider yourself:,Hispanic or Latino,9%,8%,10%,16%,14%,8%,5%,0%,0%,97%,0%,5%,13%,0%,0%,20%,41%,5%,5%,7%,21%,13%,9%,7%,11%,7%,12%,15%,5%,8%
Would you consider yourself:,Black or African American,10%,10%,10%,12%,11%,13%,7%,0%,99%,0%,0%,9%,12%,0%,0%,36%,38%,10%,11%,14%,5%,18%,12%,5%,15%,6%,12%,19%,4%,10%
Would you consider yourself:,Asian,3%,3%,2%,11%,3%,<1%,1%,0%,0%,0%,35%,5%,<1%,0%,0%,22%,3%,1%,5%,1%,5%,4%,4%,1%,4%,1%,5%,3%,1%,4%
Would you consider yourself:,American Indian or Alaska Native,<1%,<.5%,<1%,<1%,<.5%,1%,<.5%,0%,0%,0%,8%,<1%,<1%,0%,0%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<.5%,<1%,<.5%,<.5%,1%,<.5%,<.5%
Would you consider yourself:,Middle Eastern or North African,<1%,2%,<.5%,<1%,1%,<1%,<1%,0%,0%,0%,11%,<1%,1%,0%,0%,3%,3%,<.5%,1%,<.5%,2%,2%,1%,<.5%,<.5%,<1%,4%,<.5%,<.5%,2%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<.5%,<1%,<.5%,1%,1%,<.5%,0%,0%,0%,9%,<1%,<1%,0%,0%,2%,3%,<.5%,<1%,<1%,2%,2%,<1%,<.5%,<.5%,1%,<.5%,<.5%,1%,<.5%
Would you consider yourself:,[VOL] Some other race (specify),3%,5%,1%,2%,2%,4%,2%,2%,<1%,3%,16%,2%,4%,1%,2%,5%,7%,<.5%,5%,3%,4%,4%,3%,2%,3%,3%,6%,2%,<1%,5%
Would you consider yourself:,[VOL] More than one race,2%,2%,2%,1%,3%,2%,<1%,0%,0%,0%,21%,2%,<1%,0%,0%,10%,3%,1%,1%,2%,2%,2%,2%,1%,3%,<.5%,3%,2%,<1%,1%
Would you consider yourself:,[VOL] Refused,3%,4%,2%,4%,2%,2%,3%,0%,0%,0%,0%,2%,3%,0%,0%,0%,0%,2%,5%,1%,4%,4%,3%,2%,2%,3%,4%,2%,2%,3%
Would you consider yourself:,Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,31%,26%,34%,37%,29%,29%,33%,24%,57%,48%,30%,36%,27%,32%,18%,44%,48%,32%,35%,26%,33%,46%,32%,20%,65%,2%,13%,100%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,31%,29%,33%,20%,26%,34%,38%,39%,8%,18%,18%,23%,37%,27%,49%,14%,15%,31%,25%,38%,27%,14%,28%,45%,3%,62%,9%,0%,100%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,31%,37%,27%,31%,38%,32%,24%,31%,30%,25%,43%,37%,28%,37%,26%,36%,30%,31%,34%,28%,34%,35%,32%,29%,28%,31%,55%,0%,0%,100%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,3%,4%,1%,8%,4%,2%,1%,2%,5%,4%,8%,2%,3%,1%,2%,4%,5%,3%,4%,3%,2%,2%,4%,2%,2%,3%,8%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,4%,4%,3%,4%,4%,3%,3%,4%,<.5%,6%,2%,2%,5%,2%,5%,2%,3%,3%,3%,5%,4%,3%,4%,4%,2%,3%,15%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,40%,41%,39%,17%,35%,46%,43%,48%,11%,23%,23%,32%,45%,38%,57%,17%,20%,45%,34%,45%,32%,21%,36%,54%,2%,79%,16%,1%,86%,32%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,44%,41%,46%,37%,47%,41%,49%,38%,72%,50%,50%,55%,36%,51%,28%,66%,53%,43%,55%,38%,44%,62%,47%,30%,88%,5%,29%,91%,2%,42%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,11%,12%,10%,41%,12%,6%,2%,8%,10%,22%,21%,7%,13%,5%,10%,11%,21%,9%,7%,12%,14%,10%,11%,10%,8%,11%,24%,6%,9%,15%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,4%,3%,3%,5%,4%,2%,3%,7%,2%,6%,4%,3%,4%,2%,5%,5%,<1%,3%,4%,5%,5%,4%,2%,1%,3%,19%,<.5%,1%,8%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,3%,2%,2%,<.5%,3%,3%,3%,<.5%,2%,0%,2%,2%,2%,3%,<1%,<1%,3%,1%,<1%,5%,1%,2%,3%,<1%,2%,13%,<1%,1%,3%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,46%,44%,29%,40%,49%,44%,53%,12%,30%,29%,35%,52%,40%,63%,19%,25%,49%,36%,51%,37%,24%,41%,60%,2%,89%,21%,1%,94%,37%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,49%,47%,51%,63%,54%,43%,50%,41%,80%,64%,63%,59%,42%,54%,31%,74%,67%,47%,59%,43%,52%,69%,53%,34%,96%,5%,38%,97%,3%,50%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,4%,4%,3%,4%,6%,5%,2%,3%,7%,3%,8%,4%,4%,4%,2%,6%,6%,<1%,4%,5%,6%,6%,4%,2%,1%,4%,24%,<.5%,2%,9%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,3%,2%,3%,<.5%,3%,4%,3%,<.5%,3%,0%,2%,3%,2%,3%,<1%,1%,3%,1%,<1%,5%,2%,2%,4%,<1%,2%,17%,<1%,1%,3%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,829,403,414,80,171,303,248,589,94,73,51,442,384,329,259,104,113,185,184,287,173,196,333,300,396,380,53,264,247,271
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,17%,17%,17%,3%,9%,19%,27%,15%,25%,23%,12%,19%,16%,19%,12%,21%,21%,17%,18%,13%,22%,24%,18%,12%,37%,1%,2%,44%,2%,9%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,21%,20%,22%,27%,26%,18%,21%,19%,34%,26%,22%,28%,17%,26%,13%,32%,25%,21%,24%,20%,21%,31%,19%,19%,43%,<1%,24%,40%,3%,25%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,12%,12%,12%,35%,16%,7%,7%,10%,15%,17%,28%,10%,14%,8%,11%,17%,20%,15%,12%,13%,10%,11%,17%,8%,13%,9%,32%,10%,7%,21%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,47%,49%,45%,29%,48%,54%,45%,54%,25%,33%,33%,40%,52%,44%,61%,28%,32%,46%,41%,52%,46%,32%,43%,59%,5%,88%,34%,5%,89%,44%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,2%,2%,3%,6%,1%,2%,1%,2%,<1%,1%,5%,3%,2%,3%,2%,2%,2%,<1%,5%,2%,2%,2%,3%,2%,3%,<1%,9%,2%,<.5%,2%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,38%,37%,40%,29%,35%,37%,47%,34%,59%,48%,35%,47%,32%,45%,26%,53%,46%,38%,42%,33%,42%,54%,36%,31%,79%,2%,25%,83%,5%,33%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,59%,61%,57%,64%,64%,61%,51%,64%,40%,51%,60%,50%,66%,52%,72%,45%,51%,61%,53%,65%,56%,44%,60%,67%,18%,97%,66%,14%,95%,64%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very favorable,24%,23%,25%,10%,19%,27%,30%,29%,8%,12%,15%,19%,28%,23%,34%,10%,11%,22%,25%,29%,19%,11%,21%,35%,<1%,49%,6%,1%,59%,12%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat favorable,21%,26%,16%,19%,23%,24%,15%,23%,15%,20%,16%,17%,23%,19%,26%,12%,20%,23%,16%,21%,25%,17%,20%,24%,3%,39%,9%,3%,29%,29%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat unfavorable,12%,10%,13%,22%,13%,11%,9%,9%,16%,24%,18%,9%,14%,7%,11%,13%,23%,12%,9%,12%,14%,17%,11%,9%,10%,8%,42%,11%,8%,16%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very unfavorable,41%,38%,44%,46%,43%,36%,46%,38%,59%,42%,49%,53%,33%,50%,28%,63%,43%,43%,50%,36%,40%,54%,45%,31%,85%,2%,34%,84%,4%,41%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Don't know/Refused,2%,2%,2%,3%,2%,1%,<1%,1%,3%,2%,2%,1%,2%,1%,1%,2%,2%,<.5%,<1%,2%,3%,2%,2%,<1%,<1%,<1%,10%,<.5%,0%,2%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Favorable,45%,49%,41%,30%,43%,51%,45%,52%,23%,32%,31%,37%,51%,41%,61%,22%,31%,44%,40%,49%,44%,28%,41%,59%,4%,88%,14%,4%,89%,41%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Unfavorable,53%,49%,57%,67%,56%,48%,54%,47%,74%,66%,67%,62%,47%,57%,38%,76%,67%,55%,59%,48%,54%,71%,56%,40%,95%,11%,75%,96%,11%,57%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very favorable,17%,15%,18%,1%,10%,17%,27%,15%,24%,20%,12%,18%,15%,18%,13%,19%,19%,19%,15%,13%,21%,18%,19%,13%,36%,<1%,3%,43%,2%,8%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat favorable,24%,24%,23%,38%,27%,21%,21%,19%,40%,31%,37%,30%,19%,27%,13%,40%,34%,21%,32%,22%,22%,38%,22%,17%,47%,2%,28%,44%,4%,27%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat unfavorable,15%,15%,16%,37%,22%,11%,7%,15%,11%,22%,22%,14%,16%,14%,15%,14%,21%,18%,15%,15%,14%,18%,17%,13%,13%,15%,32%,9%,10%,26%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very unfavorable,42%,43%,41%,20%,40%,49%,43%,50%,18%,25%,28%,36%,47%,40%,57%,24%,23%,41%,35%,47%,42%,24%,39%,55%,2%,82%,28%,2%,84%,36%
