itm,v1,mi_oh_and_wi_likely_electorate_mi_oh_and_wi_likely_electorate,state_mi,state_oh,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",47%,48%,44%,49%,36%,57%,47%,49%,44%,50%,44%,80%,51%,57%,41%,56%,37%,67%,64%,71%,50%,36%,100%,0%,0%,97%,5%,44%,93%,4%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",48%,47%,50%,47%,58%,39%,48%,45%,51%,45%,51%,13%,44%,37%,54%,39%,58%,26%,31%,25%,44%,59%,0%,100%,0%,2%,93%,49%,4%,94%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,6%,6%,4%,6%,4%,5%,6%,5%,4%,5%,7%,5%,6%,5%,5%,5%,7%,5%,4%,6%,5%,0%,0%,100%,<1%,2%,8%,3%,2%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",46%,46%,43%,48%,34%,57%,44%,47%,43%,50%,44%,78%,47%,56%,40%,56%,37%,64%,61%,69%,49%,35%,98%,0%,<1%,97%,5%,41%,92%,3%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",47%,46%,49%,46%,57%,37%,47%,44%,50%,45%,50%,12%,41%,37%,52%,39%,56%,25%,29%,24%,43%,58%,0%,98%,0%,2%,93%,46%,4%,94%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",<.5%,0%,0%,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",2%,2%,2%,1%,2%,1%,1%,3%,2%,<1%,1%,2%,4%,2%,1%,<1%,1%,6%,2%,2%,1%,1%,1%,<1%,12%,<.5%,<.5%,4%,1%,<1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",2%,1%,2%,2%,2%,<1%,4%,2%,<1%,1%,1%,<1%,4%,1%,2%,1%,1%,<1%,4%,1%,2%,2%,<1%,1%,12%,0%,1%,3%,<1%,1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<1%,1%,<1%,<.5%,<1%,<1%,<1%,<1%,<1%,1%,<1%,1%,<.5%,<1%,<1%,<1%,<1%,2%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,13%,<.5%,0%,2%,<.5%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,4%,4%,3%,4%,3%,3%,3%,4%,3%,3%,5%,3%,3%,4%,3%,3%,3%,4%,3%,4%,3%,<.5%,<.5%,62%,<1%,1%,4%,2%,1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,87%,85%,87%,90%,88%,87%,81%,84%,88%,91%,89%,82%,80%,87%,87%,88%,89%,82%,81%,86%,86%,89%,88%,89%,24%,93%,93%,76%,90%,91%
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,11%,13%,11%,9%,11%,11%,18%,15%,9%,8%,10%,15%,16%,12%,11%,10%,10%,16%,15%,12%,12%,10%,11%,10%,57%,5%,6%,21%,8%,8%
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,2%,2%,2%,<1%,2%,2%,2%,1%,2%,1%,1%,3%,4%,1%,2%,1%,1%,2%,4%,2%,2%,1%,1%,1%,19%,1%,<1%,3%,1%,<1%
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,"1,938",634,648,656,918,998,311,392,651,528,"1,555",160,180,818,"1,106",659,891,139,199,338,734,866,966,941,31,593,567,638,830,739
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",14%,20%,10%,13%,17%,11%,25%,20%,12%,7%,9%,21%,40%,17%,14%,14%,7%,29%,34%,29%,12%,12%,100%,0%,0%,23%,14%,18%,22%,13%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",16%,11%,17%,19%,15%,17%,21%,19%,11%,15%,17%,8%,22%,6%,21%,5%,23%,11%,19%,12%,12%,21%,0%,100%,0%,16%,22%,22%,8%,26%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,70%,69%,73%,68%,68%,71%,54%,61%,77%,78%,73%,71%,38%,77%,65%,82%,69%,59%,47%,59%,77%,68%,0%,0%,100%,60%,64%,60%,70%,61%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,191,79,66,46,108,79,35,57,54,35,126,26,25,74,115,47,79,22,29,36,77,78,26,33,132,10,15,99,39,28
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Democrat,48%,47%,47%,50%,37%,58%,46%,49%,44%,53%,46%,76%,54%,59%,42%,57%,39%,71%,61%,70%,52%,37%,92%,7%,29%,95%,7%,46%,93%,7%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Republican,42%,42%,43%,43%,53%,33%,41%,37%,47%,42%,46%,13%,31%,35%,47%,37%,51%,22%,23%,22%,39%,52%,3%,84%,18%,1%,87%,40%,3%,84%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,10%,12%,11%,7%,10%,9%,13%,14%,9%,6%,8%,11%,15%,7%,11%,6%,10%,7%,17%,8%,9%,11%,5%,10%,53%,4%,6%,13%,4%,9%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Number of respondents,"2,055",688,687,680,980,"1,050",327,422,688,552,"1,632",178,190,861,"1,178",687,940,150,216,362,777,916,974,949,132,600,574,686,851,752
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Elissa [uh-LISS-uh] Slotkin [SLOT-kin], the Democrat",47%,47%,-,-,36%,56%,45%,42%,47%,51%,44%,72%,46%,54%,43%,53%,40%,63%,55%,73%,50%,36%,90%,6%,23%,93%,4%,45%,92%,7%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Mike Rogers, the Republican",42%,42%,-,-,51%,33%,39%,41%,42%,43%,46%,11%,32%,37%,44%,40%,49%,24%,20%,15%,39%,52%,3%,84%,19%,1%,88%,41%,4%,83%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Douglas Marsh, the Green Party candidate",<.5%,<.5%,-,-,<.5%,0%,<1%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Joseph Solis-Mullen, the Libertarian Party candidate",0%,0%,-,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,12%,12%,-,-,12%,11%,15%,17%,11%,6%,10%,17%,22%,9%,13%,8%,11%,13%,24%,12%,11%,12%,7%,10%,58%,6%,7%,14%,4%,10%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,13%,14%,13%,12%,14%,12%,100%,0%,0%,0%,12%,12%,21%,11%,14%,11%,13%,13%,18%,14%,12%,13%,13%,13%,12%,13%,12%,13%,8%,10%
(Responses reclassified by age group) In what year were you born?,30-44,20%,22%,21%,17%,20%,20%,0%,100%,0%,0%,19%,22%,32%,26%,17%,25%,15%,32%,24%,24%,21%,18%,21%,19%,22%,19%,16%,24%,22%,16%
(Responses reclassified by age group) In what year were you born?,45-64,34%,33%,34%,35%,33%,34%,0%,0%,100%,0%,34%,38%,27%,37%,32%,36%,33%,40%,28%,32%,34%,34%,32%,36%,34%,30%,36%,34%,34%,37%
(Responses reclassified by age group) In what year were you born?,65+,30%,28%,30%,32%,30%,31%,0%,0%,0%,100%,32%,26%,17%,24%,34%,27%,35%,11%,28%,28%,31%,30%,32%,29%,26%,36%,32%,27%,35%,33%
(Responses reclassified by age group) In what year were you born?,Refused,3%,3%,3%,4%,3%,4%,0%,0%,0%,0%,3%,3%,3%,2%,3%,2%,3%,4%,2%,2%,3%,4%,3%,4%,6%,3%,4%,3%,2%,4%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"2,055",688,687,680,980,"1,050",327,422,688,552,"1,632",178,190,861,"1,178",687,940,150,216,362,777,916,974,949,132,600,574,686,851,752
What is the highest educational level that you have completed?,Grade school,2%,2%,<1%,2%,3%,<1%,1%,1%,<1%,3%,1%,3%,3%,0%,2%,0%,2%,0%,5%,1%,1%,2%,2%,1%,2%,1%,1%,2%,1%,2%
What is the highest educational level that you have completed?,High school,30%,30%,31%,29%,32%,29%,40%,20%,29%,33%,31%,33%,28%,0%,48%,0%,48%,0%,48%,26%,25%,36%,25%,35%,28%,29%,34%,27%,24%,33%
What is the highest educational level that you have completed?,Vocational or trade school,7%,6%,6%,8%,10%,4%,6%,5%,7%,8%,7%,8%,4%,0%,11%,0%,11%,0%,10%,6%,5%,9%,5%,9%,7%,5%,8%,6%,5%,9%
What is the highest educational level that you have completed?,"Some college, no degree",15%,16%,15%,15%,14%,17%,16%,14%,14%,17%,15%,17%,18%,0%,24%,0%,23%,0%,28%,16%,16%,15%,15%,16%,11%,14%,16%,15%,14%,16%
What is the highest educational level that you have completed?,Associate’s degree,9%,11%,8%,9%,8%,11%,5%,12%,9%,10%,10%,6%,7%,0%,15%,0%,16%,0%,10%,10%,9%,10%,8%,10%,10%,10%,11%,7%,9%,11%
What is the highest educational level that you have completed?,Bachelor's degree,22%,21%,22%,24%,20%,24%,24%,31%,23%,15%,22%,19%,24%,62%,0%,62%,0%,60%,0%,25%,26%,18%,25%,19%,23%,23%,20%,26%,26%,20%
What is the highest educational level that you have completed?,Graduate or professional degree,14%,13%,15%,13%,13%,14%,7%,16%,16%,13%,13%,13%,16%,38%,0%,38%,0%,40%,0%,17%,18%,10%,19%,9%,15%,18%,8%,16%,20%,8%
What is the highest educational level that you have completed?,[VOL] Refused,<1%,<1%,1%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,0%,0%,0%,0%,<.5%,<1%,1%,<.5%,<1%,3%,0%,<1%,<1%,<.5%,<1%
Would you consider yourself:,White,81%,76%,79%,88%,82%,81%,77%,76%,82%,86%,99%,0%,0%,81%,82%,100%,99%,0%,0%,62%,77%,91%,77%,87%,70%,77%,89%,80%,77%,89%
Would you consider yourself:,Hispanic or Latino,3%,3%,3%,2%,2%,3%,4%,4%,2%,1%,0%,0%,32%,2%,3%,0%,0%,11%,20%,5%,3%,1%,3%,2%,3%,4%,2%,2%,3%,2%
Would you consider yourself:,Black or African American,8%,10%,9%,4%,6%,9%,7%,8%,9%,7%,0%,99%,0%,7%,8%,0%,0%,44%,51%,22%,9%,1%,13%,2%,9%,15%,2%,7%,13%,2%
Would you consider yourself:,Asian,1%,2%,1%,<1%,1%,<1%,3%,2%,<1%,<.5%,0%,0%,15%,2%,<.5%,0%,0%,16%,3%,2%,2%,<.5%,1%,1%,2%,1%,<1%,2%,1%,<1%
Would you consider yourself:,American Indian or Alaska Native,<1%,<1%,<1%,<1%,<1%,<1%,<.5%,1%,<.5%,1%,0%,0%,9%,<.5%,<1%,0%,0%,2%,6%,1%,<1%,<1%,<1%,<1%,<1%,<.5%,<.5%,1%,<1%,<.5%
Would you consider yourself:,Middle Eastern or North African,<1%,2%,<.5%,<.5%,<1%,<1%,1%,2%,<.5%,<1%,0%,0%,10%,1%,<.5%,0%,0%,8%,3%,<.5%,2%,<.5%,<.5%,1%,1%,<.5%,1%,<1%,<.5%,<1%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,0%,0%,5%,<.5%,<.5%,0%,0%,2%,3%,1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%
Would you consider yourself:,[VOL] Some other race (specify),2%,2%,2%,1%,2%,2%,<1%,2%,1%,2%,<1%,1%,11%,1%,2%,<.5%,1%,7%,5%,2%,2%,1%,1%,2%,4%,1%,2%,2%,1%,2%
Would you consider yourself:,[VOL] More than one race,2%,2%,2%,<1%,2%,1%,3%,3%,1%,<1%,0%,0%,19%,2%,1%,0%,0%,10%,9%,2%,2%,1%,2%,1%,0%,<1%,<1%,3%,1%,<1%
Would you consider yourself:,[VOL] Refused,2%,3%,3%,2%,3%,1%,2%,2%,3%,1%,0%,0%,0%,3%,2%,0%,0%,0%,0%,3%,2%,3%,1%,3%,10%,<.5%,<1%,3%,<1%,2%
Would you consider yourself:,Number of respondents,"2,055",688,687,680,980,"1,050",327,422,688,552,"1,632",178,190,861,"1,178",687,940,150,216,362,777,916,974,949,132,600,574,686,851,752
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,30%,31%,29%,30%,20%,39%,28%,30%,27%,35%,29%,57%,26%,34%,28%,35%,26%,37%,44%,46%,33%,22%,63%,1%,4%,100%,0%,0%,64%,<.5%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,30%,27%,34%,29%,35%,25%,30%,22%,35%,29%,33%,8%,26%,23%,34%,25%,38%,17%,17%,11%,29%,37%,3%,59%,8%,0%,100%,0%,3%,62%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,33%,35%,29%,33%,36%,30%,32%,39%,31%,31%,31%,27%,45%,39%,29%,37%,29%,43%,32%,34%,31%,33%,30%,33%,51%,0%,0%,100%,29%,30%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,3%,3%,3%,4%,5%,2%,7%,6%,3%,<1%,3%,6%,1%,2%,4%,2%,4%,2%,4%,3%,3%,4%,2%,4%,10%,0%,0%,0%,2%,4%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,4%,4%,4%,4%,4%,4%,3%,3%,4%,4%,3%,2%,2%,2%,5%,1%,4%,2%,2%,5%,3%,4%,2%,3%,27%,0%,0%,0%,2%,3%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"(If independent, another party or not sure) And as of today, do you lean more to:",The Democratic Party,37%,34%,32%,46%,30%,46%,41%,37%,32%,44%,36%,57%,52%,47%,32%,47%,29%,54%,54%,46%,43%,30%,85%,2%,23%,-,-,39%,81%,6%
"(If independent, another party or not sure) And as of today, do you lean more to:",The Republican Party,47%,48%,51%,43%,56%,38%,47%,44%,51%,45%,50%,22%,37%,39%,53%,40%,56%,31%,31%,41%,41%,54%,6%,89%,12%,-,-,49%,8%,84%
"(If independent, another party or not sure) And as of today, do you lean more to:",[VOL] Don't know/Refused,15%,18%,17%,11%,14%,15%,12%,19%,17%,11%,14%,20%,11%,14%,15%,12%,14%,15%,15%,13%,16%,16%,9%,8%,65%,-,-,11%,10%,10%
"(If independent, another party or not sure) And as of today, do you lean more to:",Number of respondents,710,258,220,232,385,313,116,167,239,168,539,56,78,316,387,241,297,60,74,131,262,317,311,321,78,,,576,261,238
