itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_maricopa_county,region_north_east,region_pima_county,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Maricopa County,North / East,Pima County,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.
How satisfied are you with the way things are going in your life these days?,Almost certain,44%,48%,40%,25%,36%,53%,51%,51%,26%,37%,54%,38%,60%,44%,37%,27%,42%,40%,45%,58%,46%,42%,44%,43%,50%,17%,49%,53%,22%,23%
How satisfied are you with the way things are going in your life these days?,Very likely,37%,35%,39%,49%,37%,33%,37%,36%,40%,37%,34%,39%,29%,41%,49%,36%,41%,37%,30%,25%,33%,44%,35%,38%,38%,29%,37%,37%,47%,30%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,8%,6%,10%,13%,13%,4%,5%,5%,15%,13%,4%,10%,3%,6%,5%,17%,8%,9%,10%,2%,9%,6%,9%,9%,4%,23%,6%,3%,15%,20%
How satisfied are you with the way things are going in your life these days?,Not very likely,5%,4%,6%,7%,8%,3%,2%,4%,7%,6%,2%,7%,2%,5%,1%,9%,3%,6%,7%,8%,7%,3%,4%,5%,3%,11%,4%,2%,9%,11%
How satisfied are you with the way things are going in your life these days?,Not at all likely,4%,5%,3%,5%,4%,4%,3%,2%,10%,5%,3%,5%,2%,2%,5%,10%,2%,8%,7%,6%,3%,2%,9%,4%,3%,10%,3%,3%,7%,10%
How satisfied are you with the way things are going in your life these days?,[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,2%,1%,2%,3%,1%,2%,2%,<1%,4%,1%,4%,<1%,3%,<1%,2%,0%,2%,2%,2%,3%,<1%,<1%,2%,9%,1%,2%,0%,6%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,325,297,110,143,201,140,384,141,87,252,370,176,208,67,158,368,90,97,71,251,224,151,257,310,59,202,260,67,97
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,16%,23%,29%,27%,63%,21%,15%,36%,63%,25%,38%,10%,25%,60%,14%,15%,12%,40%,35%,25%,42%,49%,9%,33%,42%,10%,15%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Maricopa County,North / East,Pima County,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",33%,30%,35%,34%,21%,32%,46%,31%,36%,35%,39%,29%,37%,27%,44%,32%,35%,24%,41%,17%,38%,32%,25%,78%,0%,0%,100%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",42%,49%,35%,23%,43%,50%,43%,48%,26%,36%,44%,41%,46%,50%,37%,28%,39%,44%,33%,64%,32%,44%,55%,0%,86%,0%,0%,100%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Robert F. Kennedy Jr., the third-party candidate",10%,9%,11%,23%,15%,7%,2%,7%,17%,13%,4%,14%,4%,10%,6%,20%,10%,15%,9%,7%,11%,9%,10%,9%,8%,23%,0%,0%,100%,0%
How satisfied are you with the way things are going in your life these days?,"Jill Stein [stine], the Green Party candidate",2%,<1%,3%,3%,4%,<.5%,0%,2%,<.5%,1%,2%,2%,2%,3%,3%,0%,3%,<1%,0%,0%,3%,2%,0%,3%,0%,3%,0%,0%,0%,11%
How satisfied are you with the way things are going in your life these days?,"[VOL] Cornel West, the third-party candidate",<.5%,0%,0%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<1%,0%,0%,<.5%,0%,0%,0%,0%,<1%,0%,0%,0%,3%,0%,0%,0%,2%
How satisfied are you with the way things are going in your life these days?,"Lars Mapstead [map-sted], the Libertarian Party candidate",1%,2%,<1%,<1%,2%,1%,1%,1%,1%,1%,2%,<1%,3%,<.5%,2%,1%,1%,0%,0%,3%,1%,2%,<1%,<1%,<1%,5%,0%,0%,0%,8%
How satisfied are you with the way things are going in your life these days?,[VOL] Another candidate (specify),<.5%,<.5%,<.5%,0%,<.5%,0%,0%,0%,<.5%,<1%,0%,<.5%,0%,0%,0%,<1%,0%,<1%,0%,1%,<1%,0%,0%,<.5%,0%,2%,0%,0%,0%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Not going to vote/wouldn't vote if those were the choices,3%,3%,2%,4%,3%,3%,1%,2%,3%,3%,2%,3%,1%,3%,3%,3%,1%,6%,6%,3%,3%,2%,4%,2%,<1%,16%,0%,0%,0%,17%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,7%,12%,13%,12%,6%,7%,7%,16%,9%,7%,10%,8%,7%,5%,15%,10%,9%,11%,5%,12%,9%,7%,6%,5%,48%,0%,0%,0%,61%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,325,297,110,143,201,140,384,141,87,252,370,176,208,67,158,368,90,97,71,251,224,151,257,310,59,202,260,67,97
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,16%,23%,29%,27%,63%,21%,15%,36%,63%,25%,38%,10%,25%,60%,14%,15%,12%,40%,35%,25%,42%,49%,9%,33%,42%,10%,15%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Maricopa County,North / East,Pima County,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.
How satisfied are you with the way things are going in your life these days?,Definitely,73%,76%,71%,47%,59%,81%,89%,79%,58%,63%,74%,72%,78%,79%,62%,60%,70%,71%,80%,83%,73%,71%,75%,67%,80%,38%,77%,83%,36%,7%
How satisfied are you with the way things are going in your life these days?,Probably,24%,21%,27%,51%,37%,18%,9%,18%,38%,36%,24%,25%,20%,17%,35%,38%,27%,27%,18%,14%,23%,27%,22%,30%,18%,49%,21%,14%,61%,71%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,2%,2%,5%,1%,3%,3%,4%,1%,2%,3%,2%,4%,3%,2%,3%,2%,2%,4%,4%,2%,3%,3%,2%,13%,2%,2%,3%,22%
How satisfied are you with the way things are going in your life these days?,Number of respondents,547,289,254,89,123,182,128,347,115,74,229,316,161,186,61,127,326,76,80,65,211,200,136,233,292,22,202,260,67,18
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,49%,50%,15%,22%,30%,28%,65%,19%,14%,38%,62%,26%,39%,10%,23%,60%,13%,14%,12%,39%,36%,26%,44%,53%,4%,37%,48%,11%,4%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Maricopa County,North / East,Pima County,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",42%,35%,49%,57%,36%,37%,48%,38%,54%,46%,44%,41%,42%,35%,54%,50%,45%,35%,53%,22%,50%,41%,31%,100%,0%,0%,100%,0%,39%,36%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",49%,56%,42%,33%,54%,55%,45%,55%,34%,42%,48%,50%,50%,58%,40%,37%,46%,54%,38%,71%,38%,52%,62%,0%,100%,0%,0%,100%,39%,19%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,9%,9%,10%,10%,8%,7%,7%,12%,13%,8%,9%,8%,7%,6%,13%,9%,11%,9%,7%,12%,7%,7%,0%,0%,100%,0%,0%,21%,45%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,325,297,110,143,201,140,384,141,87,252,370,176,208,67,158,368,90,97,71,251,224,151,257,310,59,202,260,67,97
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,16%,23%,29%,27%,63%,21%,15%,36%,63%,25%,38%,10%,25%,60%,14%,15%,12%,40%,35%,25%,42%,49%,9%,33%,42%,10%,15%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Maricopa County,North / East,Pima County,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.
How satisfied are you with the way things are going in your life these days?,... the Democrat,45%,38%,52%,47%,42%,42%,51%,42%,50%,54%,51%,42%,47%,39%,64%,47%,50%,33%,52%,26%,51%,44%,37%,87%,9%,47%,90%,6%,51%,52%
How satisfied are you with the way things are going in your life these days?,... the Republican,41%,48%,34%,28%,44%,48%,37%,45%,29%,35%,39%,42%,42%,48%,30%,33%,36%,53%,35%,57%,32%,43%,50%,6%,77%,6%,3%,83%,25%,16%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,14%,15%,14%,25%,14%,10%,12%,12%,22%,11%,10%,17%,11%,13%,6%,21%,14%,15%,13%,17%,17%,12%,13%,8%,14%,47%,6%,11%,24%,32%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,325,297,110,143,201,140,384,141,87,252,370,176,208,67,158,368,90,97,71,251,224,151,257,310,59,202,260,67,97
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,16%,23%,29%,27%,63%,21%,15%,36%,63%,25%,38%,10%,25%,60%,14%,15%,12%,40%,35%,25%,42%,49%,9%,33%,42%,10%,15%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Maricopa County,North / East,Pima County,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.
How satisfied are you with the way things are going in your life these days?,"Ruben Gallego [gah-yeh-go], the Democrat",45%,38%,52%,47%,42%,42%,51%,42%,50%,54%,51%,42%,47%,39%,64%,47%,50%,33%,52%,26%,51%,44%,37%,87%,9%,47%,90%,6%,51%,52%
How satisfied are you with the way things are going in your life these days?,"Kari [care-ee] Lake, the Republican",41%,48%,34%,28%,44%,48%,37%,45%,29%,35%,39%,42%,42%,48%,30%,33%,36%,53%,35%,57%,32%,43%,50%,6%,77%,6%,3%,83%,25%,16%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,14%,15%,14%,25%,14%,10%,12%,12%,22%,11%,10%,17%,11%,13%,6%,21%,14%,15%,13%,17%,17%,12%,13%,8%,14%,47%,6%,11%,24%,32%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,325,297,110,143,201,140,384,141,87,252,370,176,208,67,158,368,90,97,71,251,224,151,257,310,59,202,260,67,97
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,16%,23%,29%,27%,63%,21%,15%,36%,63%,25%,38%,10%,25%,60%,14%,15%,12%,40%,35%,25%,42%,49%,9%,33%,42%,10%,15%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Maricopa County,North / East,Pima County,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.
How satisfied are you with the way things are going in your life these days?,18-29,16%,17%,15%,100%,0%,0%,0%,11%,28%,20%,7%,21%,6%,16%,12%,30%,16%,17%,15%,15%,19%,17%,11%,22%,11%,18%,17%,9%,36%,21%
How satisfied are you with the way things are going in your life these days?,30-44,23%,23%,23%,0%,100%,0%,0%,18%,29%,32%,27%,20%,22%,16%,40%,27%,24%,23%,26%,10%,25%,23%,17%,19%,25%,25%,14%,23%,33%,31%
How satisfied are you with the way things are going in your life these days?,45-64,29%,29%,29%,0%,0%,100%,0%,32%,21%,28%,33%,27%,34%,30%,32%,21%,31%,33%,23%,24%,27%,28%,34%,25%,33%,25%,28%,35%,22%,21%
How satisfied are you with the way things are going in your life these days?,65+,27%,26%,27%,0%,0%,0%,100%,33%,17%,15%,27%,26%,33%,33%,12%,17%,23%,23%,35%,39%,22%,29%,31%,30%,25%,22%,37%,27%,6%,16%
How satisfied are you with the way things are going in your life these days?,Refused,6%,5%,6%,0%,0%,0%,0%,5%,5%,4%,6%,6%,5%,6%,3%,5%,6%,4%,2%,12%,7%,4%,7%,4%,7%,10%,3%,6%,4%,12%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,325,297,110,143,201,140,384,141,87,252,370,176,208,67,158,368,90,97,71,251,224,151,257,310,59,202,260,67,97
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,16%,23%,29%,27%,63%,21%,15%,36%,63%,25%,38%,10%,25%,60%,14%,15%,12%,40%,35%,25%,42%,49%,9%,33%,42%,10%,15%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Maricopa County,North / East,Pima County,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.
How satisfied are you with the way things are going in your life these days?,Grade school,4%,5%,4%,1%,4%,1%,9%,3%,11%,2%,0%,7%,0%,4%,0%,11%,3%,9%,6%,3%,6%,1%,6%,6%,3%,3%,5%,4%,6%,2%
How satisfied are you with the way things are going in your life these days?,High school,24%,23%,25%,54%,19%,17%,17%,21%,33%,26%,0%,38%,0%,35%,0%,43%,22%,38%,19%,24%,26%,17%,32%,25%,23%,24%,21%,23%,32%,27%
How satisfied are you with the way things are going in your life these days?,Vocational or trade school,4%,4%,5%,<1%,7%,7%,3%,4%,6%,4%,0%,7%,0%,7%,0%,8%,5%,5%,4%,1%,5%,5%,3%,3%,6%,4%,3%,4%,10%,5%
How satisfied are you with the way things are going in your life these days?,"Some college, no degree",21%,20%,21%,23%,16%,24%,21%,22%,18%,22%,0%,33%,0%,37%,0%,28%,20%,21%,21%,25%,18%,22%,25%,17%,24%,26%,17%,23%,26%,21%
How satisfied are you with the way things are going in your life these days?,Associate’s degree,9%,9%,10%,4%,10%,10%,11%,10%,7%,8%,0%,15%,0%,17%,0%,11%,8%,10%,10%,12%,9%,10%,10%,10%,9%,8%,10%,8%,12%,10%
How satisfied are you with the way things are going in your life these days?,Bachelor's degree,23%,23%,23%,15%,28%,28%,19%,25%,15%,22%,63%,0%,63%,0%,63%,0%,25%,12%,23%,26%,23%,27%,16%,22%,25%,18%,23%,26%,10%,24%
How satisfied are you with the way things are going in your life these days?,Graduate or professional degree,13%,15%,12%,2%,16%,13%,17%,15%,8%,14%,37%,0%,37%,0%,37%,0%,16%,5%,17%,9%,13%,19%,7%,17%,11%,13%,20%,12%,5%,8%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,<1%,<.5%,<1%,0%,0%,<.5%,2%,0%,2%,<1%,0%,0%,0%,0%,0%,0%,<1%,<1%,<1%,0%,<1%,<.5%,<1%,<.5%,<.5%,4%,<.5%,<.5%,0%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,325,297,110,143,201,140,384,141,87,252,370,176,208,67,158,368,90,97,71,251,224,151,257,310,59,202,260,67,97
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,16%,23%,29%,27%,63%,21%,15%,36%,63%,25%,38%,10%,25%,60%,14%,15%,12%,40%,35%,25%,42%,49%,9%,33%,42%,10%,15%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
