itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",32%,30%,35%,27%,30%,30%,42%,31%,43%,28%,34%,45%,25%,43%,23%,51%,27%,33%,41%,28%,32%,42%,33%,26%,78%,0%,0%,78%,3%,25%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",39%,43%,34%,24%,35%,47%,40%,45%,22%,31%,25%,32%,43%,36%,51%,20%,30%,41%,34%,44%,33%,24%,36%,51%,0%,81%,0%,3%,87%,32%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",9%,7%,10%,16%,10%,8%,6%,9%,7%,12%,7%,7%,10%,8%,10%,6%,10%,11%,7%,8%,9%,9%,9%,8%,7%,8%,22%,6%,3%,15%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein, the Green Party candidate",2%,1%,3%,6%,4%,1%,<.5%,2%,3%,1%,6%,3%,2%,2%,2%,5%,2%,1%,3%,2%,3%,4%,2%,2%,3%,<.5%,9%,<1%,<.5%,4%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,0%,<.5%,1%,0%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,<1%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,<1%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",2%,2%,<1%,3%,1%,2%,<1%,<1%,5%,<1%,4%,<.5%,2%,<.5%,1%,0%,4%,2%,<1%,1%,3%,2%,2%,<1%,<1%,2%,4%,2%,<1%,2%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate,1%,2%,<1%,3%,2%,<1%,0%,1%,<1%,1%,0%,<1%,2%,<1%,1%,0%,1%,<1%,2%,<1%,2%,1%,2%,<1%,<1%,1%,3%,0%,0%,2%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,4%,4%,3%,4%,4%,2%,3%,3%,3%,8%,6%,3%,4%,3%,2%,4%,7%,2%,3%,3%,6%,6%,3%,3%,1%,2%,18%,1%,2%,5%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,11%,10%,13%,16%,14%,10%,8%,8%,17%,18%,17%,10%,12%,8%,8%,14%,18%,10%,9%,13%,12%,12%,13%,8%,10%,6%,43%,8%,4%,15%
"(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"(If not supporting Trump or Biden) If you had to decide between the two today, would you lean more toward:","Joe Biden, the Democrat",32%,23%,39%,38%,35%,28%,26%,29%,46%,42%,23%,30%,33%,33%,27%,23%,41%,36%,42%,27%,31%,40%,31%,27%,100%,0%,0%,69%,10%,27%
"(If not supporting Trump or Biden) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",32%,39%,26%,34%,34%,34%,25%,36%,24%,31%,24%,32%,32%,34%,36%,29%,27%,37%,32%,29%,33%,25%,32%,40%,0%,100%,0%,14%,65%,36%
"(If not supporting Trump or Biden) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,35%,38%,34%,29%,30%,38%,49%,36%,30%,26%,54%,37%,35%,32%,37%,47%,32%,27%,27%,44%,35%,35%,37%,33%,0%,0%,100%,17%,25%,37%
"(If not supporting Trump or Biden) If you had to decide between the two today, would you lean more toward:",Number of respondents,349,153,191,92,94,95,56,188,50,60,38,138,207,87,100,47,99,73,61,124,91,92,157,100,112,111,126,59,34,184
(Recoded to age) In what year were you born?,18-29,16%,16%,15%,100%,0%,0%,0%,12%,19%,27%,23%,11%,19%,8%,15%,19%,25%,14%,14%,18%,17%,19%,19%,10%,17%,13%,22%,16%,9%,18%
(Recoded to age) In what year were you born?,30-44,24%,23%,24%,0%,100%,0%,0%,22%,27%,28%,27%,30%,20%,29%,17%,33%,25%,25%,28%,20%,25%,29%,24%,19%,24%,23%,25%,22%,19%,27%
(Recoded to age) In what year were you born?,45-64,31%,32%,31%,0%,0%,100%,0%,32%,37%,26%,30%,36%,29%,37%,28%,32%,31%,29%,30%,34%,30%,27%,32%,34%,27%,36%,27%,30%,35%,31%
(Recoded to age) In what year were you born?,65+,26%,25%,27%,0%,0%,0%,100%,31%,17%,14%,13%,21%,29%,24%,36%,11%,17%,30%,24%,24%,26%,23%,21%,32%,29%,24%,22%,29%,34%,19%
(Recoded to age) In what year were you born?,Refused,4%,4%,4%,0%,0%,0%,0%,3%,<.5%,5%,7%,3%,4%,2%,4%,5%,2%,2%,4%,5%,3%,2%,4%,5%,3%,4%,5%,2%,3%,4%
(Recoded to age) In what year were you born?,Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
What is the highest educational level that you have completed?,Grade school,3%,4%,3%,2%,1%,4%,6%,1%,4%,12%,6%,0%,6%,0%,2%,0%,11%,2%,1%,3%,7%,5%,3%,3%,3%,3%,7%,4%,2%,3%
What is the highest educational level that you have completed?,High school,27%,28%,26%,38%,15%,25%,34%,26%,24%,42%,12%,0%,44%,0%,45%,0%,41%,31%,22%,25%,29%,25%,20%,35%,21%,32%,23%,23%,36%,21%
What is the highest educational level that you have completed?,Vocational or trade school,4%,5%,4%,3%,5%,4%,5%,4%,8%,4%,5%,0%,7%,0%,7%,0%,8%,6%,3%,5%,3%,2%,4%,7%,3%,6%,1%,3%,4%,5%
What is the highest educational level that you have completed?,"Some college, no degree",17%,16%,17%,22%,17%,14%,15%,16%,22%,13%,16%,0%,27%,0%,28%,0%,25%,20%,14%,18%,14%,12%,21%,15%,17%,14%,27%,15%,15%,19%
What is the highest educational level that you have completed?,Associate’s degree,10%,9%,11%,8%,13%,10%,8%,10%,11%,10%,6%,0%,16%,0%,17%,0%,14%,7%,11%,11%,9%,8%,9%,11%,8%,11%,9%,10%,12%,8%
What is the highest educational level that you have completed?,Bachelor's degree,24%,23%,24%,23%,30%,26%,15%,27%,17%,12%,31%,62%,0%,63%,0%,58%,0%,21%,30%,23%,22%,31%,24%,17%,30%,20%,15%,29%,19%,24%
What is the highest educational level that you have completed?,Graduate or professional degree,15%,14%,15%,4%,18%,18%,16%,15%,15%,6%,21%,38%,0%,37%,0%,42%,0%,12%,19%,15%,13%,16%,17%,12%,18%,12%,17%,16%,10%,19%
What is the highest educational level that you have completed?,[VOL] Refused,<1%,1%,<1%,0%,1%,0%,<1%,<.5%,0%,1%,2%,0%,0%,0%,0%,0%,0%,<1%,<1%,<1%,1%,1%,1%,<.5%,1%,<1%,0%,<.5%,<1%,<.5%
Would you consider yourself:,White,63%,61%,66%,48%,59%,65%,76%,98%,0%,0%,0%,70%,60%,99%,98%,0%,0%,76%,61%,65%,51%,46%,60%,78%,58%,70%,53%,53%,80%,61%
Would you consider yourself:,Hispanic or Latino,12%,12%,13%,21%,15%,10%,6%,0%,0%,97%,0%,6%,16%,0%,0%,21%,44%,6%,7%,10%,26%,17%,12%,9%,13%,11%,13%,17%,8%,11%
Would you consider yourself:,Black or African American,11%,11%,11%,13%,12%,13%,8%,0%,98%,0%,0%,9%,12%,0%,0%,35%,35%,10%,13%,15%,5%,18%,12%,5%,16%,7%,11%,19%,4%,11%
Would you consider yourself:,Asian,3%,3%,3%,8%,3%,<1%,1%,0%,0%,0%,31%,6%,<1%,0%,0%,21%,3%,1%,6%,1%,4%,4%,3%,1%,4%,2%,4%,3%,1%,4%
Would you consider yourself:,American Indian or Alaska Native,<1%,<1%,<1%,<.5%,<.5%,<1%,<1%,0%,0%,0%,8%,<1%,<1%,0%,0%,3%,2%,1%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<.5%,1%,<.5%,<.5%
Would you consider yourself:,Middle Eastern or North African,1%,2%,<.5%,<1%,2%,<1%,<1%,0%,0%,0%,12%,1%,1%,0%,0%,4%,3%,1%,<1%,<1%,2%,2%,2%,<.5%,<.5%,1%,4%,<1%,<1%,2%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<1%,1%,<1%,2%,1%,<.5%,0%,0%,0%,11%,<1%,1%,0%,0%,3%,3%,<.5%,1%,<1%,2%,2%,1%,<.5%,<.5%,2%,<1%,<.5%,2%,<1%
Would you consider yourself:,[VOL] Some other race (specify),3%,5%,2%,2%,3%,5%,3%,2%,2%,3%,16%,2%,4%,1%,2%,5%,7%,<1%,4%,4%,4%,5%,3%,2%,3%,3%,7%,2%,1%,6%
Would you consider yourself:,[VOL] More than one race,2%,2%,2%,2%,2%,2%,<1%,0%,0%,0%,21%,2%,1%,0%,0%,9%,3%,1%,1%,2%,2%,2%,2%,1%,3%,<1%,5%,2%,1%,2%
Would you consider yourself:,[VOL] Refused,3%,4%,2%,3%,2%,2%,3%,0%,0%,0%,0%,2%,3%,0%,0%,0%,0%,2%,5%,1%,4%,4%,3%,2%,2%,3%,3%,2%,2%,3%
Would you consider yourself:,Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,28%,23%,33%,29%,26%,28%,32%,23%,51%,39%,22%,33%,25%,30%,17%,40%,39%,30%,32%,23%,30%,42%,28%,19%,61%,3%,12%,100%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,29%,27%,30%,15%,25%,32%,37%,37%,8%,17%,17%,22%,33%,26%,44%,13%,15%,28%,24%,35%,24%,13%,25%,43%,2%,56%,6%,0%,100%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,34%,39%,31%,40%,40%,33%,26%,33%,35%,31%,47%,39%,32%,39%,29%,40%,36%,36%,36%,31%,37%,36%,37%,30%,31%,34%,54%,0%,0%,100%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,5%,2%,8%,4%,3%,1%,2%,5%,4%,12%,2%,4%,1%,3%,4%,6%,3%,5%,4%,2%,4%,4%,3%,2%,3%,11%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,5%,5%,5%,7%,6%,4%,3%,5%,<1%,8%,2%,3%,6%,3%,7%,2%,4%,3%,4%,7%,6%,5%,6%,5%,3%,4%,17%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,36%,37%,35%,15%,32%,43%,43%,45%,11%,21%,21%,31%,39%,37%,51%,16%,19%,41%,30%,39%,29%,19%,31%,51%,2%,70%,12%,2%,82%,27%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,40%,36%,43%,26%,42%,40%,47%,36%,66%,38%,40%,52%,32%,49%,26%,62%,42%,41%,51%,34%,37%,56%,41%,28%,83%,5%,26%,86%,3%,38%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,19%,21%,18%,55%,21%,11%,5%,14%,17%,36%,34%,10%,24%,8%,19%,17%,34%,15%,14%,21%,24%,19%,22%,16%,13%,20%,39%,11%,12%,27%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,4%,3%,3%,5%,4%,2%,3%,5%,3%,6%,4%,3%,4%,2%,5%,4%,<1%,3%,4%,5%,4%,4%,2%,1%,3%,15%,<.5%,2%,7%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,2%,2%,<.5%,2%,3%,2%,<1%,1%,0%,2%,2%,2%,2%,1%,<1%,2%,2%,<1%,4%,2%,1%,3%,<1%,2%,8%,<1%,1%,2%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,44%,47%,42%,33%,40%,48%,45%,52%,13%,33%,31%,35%,51%,40%,62%,19%,29%,49%,35%,50%,39%,24%,40%,61%,3%,87%,20%,2%,94%,37%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,49%,45%,53%,58%,53%,45%,50%,42%,79%,61%,60%,59%,42%,53%,32%,74%,64%,48%,60%,44%,49%,69%,53%,33%,96%,7%,42%,97%,3%,51%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,4%,5%,3%,6%,6%,5%,2%,3%,6%,4%,9%,4%,4%,4%,3%,6%,6%,<1%,3%,5%,7%,5%,5%,3%,1%,4%,25%,<.5%,2%,9%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,3%,2%,4%,<1%,2%,3%,3%,<1%,2%,0%,2%,3%,2%,3%,1%,1%,3%,2%,<1%,5%,2%,2%,3%,<1%,2%,14%,<1%,2%,3%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,829,403,414,80,171,303,248,589,94,73,51,442,384,329,259,104,113,185,184,287,173,196,333,300,396,380,53,264,247,271
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,14%,14%,14%,3%,6%,17%,24%,13%,19%,15%,10%,17%,12%,17%,10%,16%,15%,15%,15%,11%,16%,19%,14%,10%,32%,1%,<1%,38%,2%,7%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,21%,19%,22%,23%,24%,17%,22%,19%,36%,21%,20%,27%,17%,26%,14%,31%,23%,22%,25%,19%,19%,30%,18%,18%,43%,1%,19%,40%,3%,23%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,15%,15%,15%,37%,18%,9%,7%,11%,15%,24%,30%,12%,17%,9%,13%,19%,24%,16%,13%,17%,14%,15%,20%,10%,15%,11%,33%,11%,7%,25%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,46%,48%,44%,30%,48%,54%,45%,53%,28%,36%,31%,40%,50%,44%,60%,30%,34%,46%,40%,50%,46%,31%,43%,59%,6%,84%,33%,7%,88%,41%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,4%,3%,5%,7%,3%,4%,2%,4%,2%,4%,9%,4%,4%,4%,3%,4%,5%,1%,7%,4%,5%,5%,5%,3%,4%,2%,14%,3%,<.5%,4%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,35%,33%,37%,26%,31%,34%,46%,32%,55%,36%,30%,44%,29%,43%,24%,48%,38%,37%,40%,30%,35%,49%,32%,28%,75%,3%,20%,78%,4%,29%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,61%,63%,59%,67%,66%,63%,52%,65%,43%,60%,61%,52%,67%,53%,73%,49%,57%,62%,53%,66%,60%,46%,63%,69%,21%,95%,67%,18%,95%,66%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very favorable,23%,22%,23%,11%,19%,26%,30%,28%,9%,10%,14%,18%,25%,22%,33%,10%,10%,20%,23%,27%,18%,11%,20%,33%,<1%,46%,3%,2%,58%,11%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat favorable,23%,29%,18%,23%,26%,25%,16%,23%,18%,26%,22%,18%,26%,19%,27%,14%,27%,24%,18%,23%,27%,19%,22%,26%,4%,41%,14%,4%,31%,29%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat unfavorable,13%,12%,13%,23%,13%,11%,8%,10%,14%,22%,18%,11%,14%,9%,11%,15%,20%,13%,10%,13%,15%,16%,13%,11%,11%,9%,39%,12%,7%,18%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very unfavorable,39%,35%,43%,38%,39%,36%,44%,36%,55%,36%,44%,50%,32%,47%,27%,58%,38%,43%,47%,34%,37%,52%,41%,29%,83%,3%,30%,81%,4%,38%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Don't know/Refused,3%,3%,3%,4%,4%,2%,1%,2%,4%,5%,2%,2%,3%,2%,2%,3%,4%,<.5%,2%,4%,4%,3%,4%,1%,1%,2%,13%,<1%,0%,4%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Favorable,45%,50%,41%,34%,45%,51%,46%,52%,27%,36%,37%,36%,51%,41%,60%,24%,37%,44%,41%,49%,45%,30%,42%,59%,5%,87%,18%,6%,89%,40%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Unfavorable,52%,47%,56%,62%,52%,47%,53%,46%,69%,59%,62%,61%,46%,57%,39%,74%,59%,56%,57%,47%,51%,67%,54%,40%,94%,12%,69%,93%,11%,56%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very favorable,14%,13%,15%,2%,8%,15%,26%,14%,18%,14%,12%,16%,13%,16%,12%,16%,13%,18%,14%,11%,16%,16%,16%,11%,32%,1%,2%,38%,2%,6%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat favorable,24%,23%,24%,33%,24%,21%,21%,18%,42%,30%,33%,29%,20%,25%,13%,39%,32%,23%,30%,22%,22%,36%,22%,17%,47%,3%,22%,44%,4%,26%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat unfavorable,18%,19%,19%,38%,25%,13%,7%,16%,12%,28%,28%,17%,19%,17%,16%,19%,25%,19%,18%,19%,17%,22%,19%,15%,14%,17%,41%,11%,11%,30%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very unfavorable,41%,43%,38%,22%,39%,49%,43%,49%,21%,24%,27%,35%,44%,40%,55%,23%,25%,40%,33%,45%,42%,23%,38%,54%,3%,77%,25%,4%,83%,34%
