itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",42%,51%,36%,34%,39%,48%,43%,49%,12%,36%,34%,30%,51%,33%,60%,21%,28%,44%,36%,51%,34%,29%,38%,56%,0%,86%,0%,0%,100%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",8%,7%,10%,14%,11%,8%,5%,7%,8%,17%,14%,8%,9%,7%,7%,8%,15%,8%,9%,7%,10%,11%,8%,7%,7%,7%,26%,0%,0%,100%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein, the Green Party candidate",2%,2%,2%,3%,4%,1%,<1%,2%,3%,3%,3%,3%,1%,3%,1%,5%,2%,<1%,3%,1%,3%,4%,2%,<1%,2%,<.5%,9%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<.5%,0%,<1%,<.5%,<.5%,0%,<.5%,<1%,0%,1%,<.5%,<.5%,<.5%,0%,2%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,2%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",1%,2%,<1%,4%,1%,<.5%,<.5%,1%,0%,<1%,2%,1%,1%,1%,1%,<1%,<1%,2%,<1%,1%,<.5%,<.5%,2%,1%,<1%,<1%,4%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<1%,1%,<.5%,1%,<.5%,1%,<1%,<1%,0%,0%,3%,<1%,<1%,<1%,<.5%,<1%,<1%,<1%,<.5%,1%,<.5%,<.5%,1%,<1%,<.5%,<1%,5%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,2%,2%,3%,2%,3%,3%,2%,3%,2%,<1%,5%,2%,3%,2%,3%,3%,2%,2%,2%,2%,4%,3%,2%,2%,<1%,2%,15%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,6%,5%,7%,7%,6%,5%,5%,4%,13%,7%,6%,6%,6%,4%,4%,9%,9%,5%,7%,6%,7%,7%,7%,4%,3%,4%,39%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:","Joe Biden, the Democrat",31%,21%,39%,45%,30%,19%,38%,26%,65%,38%,23%,29%,32%,26%,25%,38%,42%,29%,28%,38%,27%,40%,29%,26%,100%,0%,0%,-,0%,38%
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",34%,34%,33%,34%,40%,38%,19%,40%,5%,38%,31%,31%,36%,36%,44%,19%,28%,41%,38%,27%,33%,23%,33%,44%,0%,100%,0%,-,100%,40%
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,35%,45%,28%,21%,30%,43%,43%,34%,30%,24%,47%,41%,32%,38%,31%,42%,30%,29%,34%,36%,39%,37%,38%,30%,0%,0%,100%,-,0%,23%
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:",Number of respondents,404,184,217,93,113,117,67,216,52,60,52,191,209,113,101,69,94,77,77,142,108,108,188,108,112,136,156,,2,156
(Responses reclassified by age group) In what year were you born?,18-29,12%,12%,12%,100%,0%,0%,0%,10%,19%,22%,16%,10%,14%,9%,11%,14%,23%,12%,10%,11%,16%,18%,13%,8%,14%,11%,11%,11%,10%,21%
(Responses reclassified by age group) In what year were you born?,30-44,21%,22%,21%,0%,100%,0%,0%,20%,20%,25%,34%,28%,17%,27%,15%,34%,20%,20%,25%,20%,22%,24%,22%,19%,21%,21%,22%,21%,19%,28%
(Responses reclassified by age group) In what year were you born?,45-64,33%,34%,34%,0%,0%,100%,0%,34%,34%,29%,33%,35%,32%,34%,34%,36%,29%,39%,32%,34%,28%,31%,34%,34%,28%,37%,37%,30%,38%,33%
(Responses reclassified by age group) In what year were you born?,65+,30%,29%,30%,0%,0%,0%,100%,33%,24%,22%,14%,24%,33%,28%,37%,13%,24%,28%,30%,31%,28%,24%,28%,35%,33%,27%,25%,35%,30%,18%
(Responses reclassified by age group) In what year were you born?,Refused,3%,3%,4%,0%,0%,0%,0%,3%,4%,1%,3%,3%,4%,2%,3%,3%,3%,2%,3%,3%,5%,3%,3%,4%,4%,3%,5%,3%,3%,<.5%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"1,532",731,786,249,346,503,386,"1,003",178,167,129,755,764,523,476,206,263,329,304,558,341,353,677,502,664,712,156,552,578,156
What is the highest educational level that you have completed?,Grade school,2%,3%,1%,0%,<1%,2%,3%,<1%,0%,8%,4%,0%,3%,0%,2%,0%,7%,<1%,1%,2%,4%,2%,2%,1%,2%,1%,6%,2%,1%,5%
What is the highest educational level that you have completed?,High school,26%,28%,24%,38%,15%,23%,32%,27%,26%,31%,20%,0%,44%,0%,46%,0%,42%,29%,24%,27%,22%,21%,22%,33%,19%,34%,13%,17%,36%,21%
What is the highest educational level that you have completed?,Vocational or trade school,4%,6%,3%,4%,4%,5%,5%,5%,5%,3%,2%,0%,7%,0%,8%,0%,5%,5%,3%,5%,4%,4%,3%,6%,2%,6%,4%,2%,7%,1%
What is the highest educational level that you have completed?,"Some college, no degree",17%,14%,19%,21%,14%,17%,17%,16%,23%,17%,13%,0%,29%,0%,28%,0%,30%,16%,15%,17%,19%,15%,15%,20%,17%,17%,16%,15%,16%,21%
What is the highest educational level that you have completed?,Associate’s degree,9%,10%,9%,4%,12%,11%,8%,9%,11%,10%,7%,0%,16%,0%,16%,0%,15%,10%,8%,9%,9%,11%,9%,9%,8%,10%,12%,9%,9%,14%
What is the highest educational level that you have completed?,Bachelor's degree,25%,24%,25%,29%,34%,25%,17%,27%,18%,16%,29%,60%,0%,63%,0%,55%,0%,24%,28%,23%,25%,28%,29%,17%,27%,21%,32%,28%,20%,27%
What is the highest educational level that you have completed?,Graduate or professional degree,16%,14%,18%,4%,20%,18%,16%,16%,14%,13%,24%,40%,0%,37%,0%,45%,0%,15%,20%,15%,17%,20%,19%,11%,24%,9%,16%,26%,9%,11%
What is the highest educational level that you have completed?,[VOL] Refused,<1%,1%,<.5%,0%,<1%,<1%,2%,<.5%,3%,2%,0%,0%,0%,0%,0%,0%,0%,<1%,<.5%,2%,<1%,<1%,1%,<1%,<1%,1%,<1%,<.5%,2%,<.5%
Would you consider yourself:,White,68%,70%,67%,54%,64%,70%,76%,99%,0%,0%,0%,71%,67%,100%,98%,0%,0%,78%,72%,62%,64%,53%,64%,82%,61%,76%,53%,64%,78%,56%
Would you consider yourself:,Hispanic or Latino,9%,8%,10%,17%,11%,8%,7%,0%,0%,99%,0%,6%,11%,0%,0%,25%,37%,5%,7%,7%,17%,13%,12%,3%,10%,8%,9%,9%,8%,18%
Would you consider yourself:,Black or African American,10%,9%,11%,16%,10%,10%,8%,0%,99%,0%,0%,8%,11%,0%,0%,32%,39%,7%,8%,17%,4%,18%,11%,5%,19%,3%,11%,17%,3%,9%
Would you consider yourself:,Asian,2%,2%,2%,<1%,6%,2%,<.5%,0%,0%,0%,27%,4%,1%,0%,0%,15%,4%,1%,2%,2%,4%,4%,3%,<.5%,2%,2%,5%,2%,2%,2%
Would you consider yourself:,American Indian or Alaska Native,<1%,<1%,<.5%,<.5%,<.5%,<1%,<1%,0%,0%,0%,7%,<.5%,<1%,0%,0%,2%,2%,<1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<1%,<1%,<1%,<.5%
Would you consider yourself:,Middle Eastern or North African,1%,2%,<1%,2%,1%,<1%,<1%,0%,0%,0%,12%,2%,<.5%,0%,0%,8%,<1%,<1%,2%,1%,<.5%,2%,1%,0%,<1%,1%,2%,<1%,<1%,0%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<1%,<.5%,<1%,<.5%,<1%,<.5%,0%,0%,0%,7%,<1%,<.5%,0%,0%,3%,1%,<1%,<1%,<.5%,<1%,<1%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,1%
Would you consider yourself:,[VOL] Some other race (specify),3%,3%,2%,5%,3%,4%,<1%,1%,<1%,<1%,23%,2%,3%,<.5%,2%,7%,8%,3%,4%,3%,3%,3%,3%,3%,2%,3%,6%,2%,2%,5%
Would you consider yourself:,[VOL] More than one race,2%,1%,2%,4%,3%,<1%,2%,0%,0%,0%,23%,2%,2%,0%,0%,6%,8%,<1%,<.5%,3%,2%,3%,1%,2%,2%,2%,6%,1%,2%,6%
Would you consider yourself:,[VOL] Refused,3%,3%,3%,<1%,1%,3%,4%,0%,0%,0%,0%,3%,3%,0%,0%,0%,0%,3%,4%,3%,3%,2%,3%,4%,2%,4%,8%,2%,3%,2%
Would you consider yourself:,Number of respondents,"1,532",731,786,249,346,503,386,"1,003",178,167,129,755,764,523,476,206,263,329,304,558,341,353,677,502,664,712,156,552,578,156
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,30%,19%,39%,33%,30%,23%,36%,24%,63%,35%,37%,34%,27%,31%,18%,44%,47%,27%,34%,24%,36%,45%,29%,20%,64%,3%,14%,67%,2%,23%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,32%,36%,29%,22%,25%,36%,38%,39%,8%,29%,19%,24%,38%,27%,47%,18%,17%,37%,27%,35%,28%,22%,29%,42%,3%,62%,7%,2%,67%,13%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,30%,37%,25%,36%,34%,33%,22%,31%,22%,30%,34%,34%,28%,36%,27%,28%,30%,28%,35%,31%,28%,27%,33%,29%,29%,28%,56%,27%,25%,57%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,5%,3%,5%,6%,5%,<1%,4%,4%,2%,6%,4%,4%,4%,4%,4%,4%,5%,<.5%,5%,4%,3%,4%,4%,3%,4%,8%,2%,3%,5%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,4%,3%,4%,4%,4%,3%,4%,3%,3%,5%,4%,4%,4%,2%,3%,6%,3%,3%,4%,4%,3%,3%,4%,4%,1%,4%,15%,1%,4%,2%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,41%,47%,36%,20%,33%,51%,44%,49%,11%,26%,27%,29%,50%,33%,61%,15%,22%,44%,35%,47%,34%,22%,36%,59%,2%,81%,7%,1%,85%,21%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,44%,37%,50%,36%,48%,39%,50%,39%,72%,46%,54%,58%,34%,56%,27%,70%,53%,44%,52%,37%,47%,59%,47%,30%,88%,6%,40%,92%,4%,45%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,10%,11%,10%,38%,11%,5%,3%,8%,14%,23%,14%,8%,12%,6%,9%,12%,20%,8%,9%,10%,14%,14%,12%,6%,7%,10%,26%,6%,8%,23%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,3%,2%,4%,4%,2%,<.5%,2%,0%,2%,2%,3%,2%,3%,2%,2%,1%,3%,2%,1%,3%,2%,3%,2%,1%,2%,10%,<1%,<1%,7%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,2%,3%,<1%,3%,2%,3%,2%,3%,2%,3%,3%,2%,3%,2%,2%,3%,<1%,3%,4%,2%,3%,2%,3%,1%,2%,17%,<1%,1%,4%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,46%,53%,40%,33%,37%,54%,45%,53%,13%,34%,31%,31%,56%,35%,67%,17%,28%,48%,38%,53%,40%,25%,41%,63%,2%,90%,9%,1%,93%,27%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,49%,41%,55%,59%,55%,42%,52%,42%,83%,60%,62%,63%,39%,59%,29%,79%,66%,48%,57%,42%,54%,69%,54%,32%,96%,6%,54%,97%,4%,58%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,3%,2%,7%,4%,2%,<.5%,3%,0%,3%,3%,3%,2%,3%,2%,2%,2%,4%,2%,1%,3%,2%,3%,2%,2%,2%,14%,<1%,<1%,9%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,2%,3%,2%,4%,2%,3%,2%,4%,3%,3%,3%,3%,3%,2%,2%,4%,<1%,3%,5%,3%,4%,2%,3%,1%,2%,23%,<1%,2%,5%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,028",475,541,111,230,379,282,733,110,81,75,553,468,406,324,129,134,219,217,373,219,240,443,345,490,470,68,427,405,84
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,20%,17%,23%,3%,12%,18%,33%,19%,30%,21%,16%,25%,16%,25%,13%,21%,24%,17%,23%,17%,24%,23%,22%,15%,44%,1%,3%,49%,<.5%,3%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,17%,14%,19%,22%,20%,15%,15%,14%,37%,14%,22%,20%,15%,19%,10%,25%,26%,20%,18%,15%,15%,22%,18%,12%,35%,2%,8%,35%,2%,18%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,13%,12%,13%,29%,17%,9%,7%,11%,14%,21%,15%,16%,11%,15%,9%,17%,17%,10%,16%,13%,13%,15%,14%,9%,14%,9%,31%,11%,7%,34%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,48%,55%,43%,41%,48%,57%,42%,55%,12%,40%,42%,37%,56%,38%,67%,33%,28%,52%,41%,51%,45%,36%,43%,62%,4%,87%,46%,3%,91%,44%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,3%,3%,2%,5%,3%,<1%,3%,2%,8%,3%,4%,2%,2%,2%,1%,5%,4%,2%,2%,4%,4%,4%,3%,2%,3%,1%,12%,2%,1%,<1%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,36%,30%,42%,25%,32%,34%,48%,32%,67%,35%,39%,45%,31%,44%,23%,46%,50%,36%,41%,32%,39%,45%,40%,27%,79%,3%,11%,84%,2%,22%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,61%,67%,56%,69%,65%,66%,50%,66%,26%,61%,57%,53%,67%,54%,75%,50%,45%,62%,57%,64%,58%,51%,57%,71%,18%,95%,77%,13%,97%,78%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very favorable,25%,28%,23%,15%,17%,31%,28%,30%,10%,18%,11%,16%,31%,18%,38%,11%,13%,26%,19%,31%,20%,15%,22%,35%,<1%,49%,4%,<.5%,56%,5%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat favorable,18%,22%,15%,23%,22%,19%,13%,19%,7%,24%,20%,13%,22%,13%,24%,11%,19%,20%,15%,19%,20%,10%,19%,24%,1%,36%,3%,<.5%,35%,18%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat unfavorable,9%,11%,8%,16%,12%,9%,5%,9%,12%,11%,12%,9%,10%,10%,8%,8%,14%,8%,12%,10%,7%,8%,11%,8%,7%,10%,19%,5%,6%,22%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very unfavorable,45%,37%,52%,44%,47%,40%,50%,42%,64%,43%,52%,60%,35%,58%,30%,66%,49%,45%,52%,36%,52%,64%,46%,32%,90%,3%,60%,93%,2%,53%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Have not heard of,<.5%,0%,<.5%,<1%,0%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,1%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Don't know/Refused,2%,2%,2%,1%,2%,1%,3%,<1%,6%,3%,5%,2%,2%,<1%,<1%,4%,5%,1%,2%,3%,2%,3%,2%,2%,2%,1%,13%,1%,1%,1%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Favorable,43%,50%,38%,38%,40%,49%,41%,49%,17%,42%,31%,29%,53%,31%,62%,22%,32%,46%,34%,50%,39%,25%,40%,59%,2%,85%,7%,<1%,91%,24%
