itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",36%,33%,38%,33%,37%,35%,41%,35%,50%,30%,50%,27%,51%,25%,55%,36%,57%,19%,36%,44%,41%,28%,27%,45%,40%,25%,81%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",40%,45%,35%,35%,33%,42%,44%,45%,12%,24%,27%,47%,30%,54%,7%,21%,23%,63%,39%,23%,31%,44%,54%,24%,35%,54%,0%,84%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Robert F. Kennedy Jr., the third-party candidate",10%,10%,10%,16%,10%,12%,6%,10%,11%,13%,9%,11%,10%,10%,7%,14%,8%,6%,12%,10%,12%,14%,9%,9%,11%,10%,9%,9%,27%,0%
How satisfied are you with the way things are going in your life these days?,"Jill Stein [stine], the Green Party candidate",1%,<1%,2%,2%,3%,<.5%,<.5%,1%,<1%,4%,3%,<1%,2%,<.5%,6%,<1%,0%,<1%,3%,<1%,2%,1%,1%,<1%,2%,<1%,2%,0%,5%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] Cornel West, the third-party candidate",<.5%,0%,<.5%,0%,<.5%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,2%,0%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Lars Mapstead [map-sted], the Libertarian Party candidate",<1%,<.5%,<1%,0%,2%,<1%,<.5%,<1%,0%,2%,1%,<.5%,<1%,<.5%,2%,0%,2%,<.5%,<.5%,0%,<.5%,2%,0%,1%,<.5%,<1%,<1%,<.5%,<1%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Another candidate (specify),<.5%,0%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,<1%,<1%,0%,0%,0%,0%,0%,<.5%,<.5%,0%,<.5%,2%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Not going to vote/wouldn't vote if those were the choices,3%,2%,4%,4%,2%,3%,3%,1%,9%,12%,1%,4%,1%,1%,<1%,15%,2%,<1%,4%,10%,2%,2%,2%,9%,2%,<1%,1%,1%,21%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,9%,9%,10%,13%,7%,6%,7%,16%,16%,7%,10%,4%,9%,20%,13%,8%,10%,6%,11%,12%,8%,7%,10%,9%,8%,6%,6%,45%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Definitely,75%,76%,74%,60%,72%,76%,85%,77%,67%,66%,74%,76%,74%,78%,72%,63%,85%,77%,74%,70%,72%,75%,79%,74%,75%,76%,75%,79%,25%,82%
How satisfied are you with the way things are going in your life these days?,Probably,23%,21%,25%,37%,28%,22%,13%,22%,29%,31%,23%,23%,23%,21%,24%,33%,12%,23%,25%,25%,27%,23%,20%,23%,23%,22%,23%,20%,64%,17%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,3%,<1%,3%,<1%,2%,2%,2%,4%,3%,3%,1%,3%,<1%,4%,3%,3%,<1%,1%,5%,2%,1%,1%,4%,2%,1%,2%,2%,11%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,908,514,380,135,183,295,273,744,82,57,455,451,380,364,60,78,73,95,122,73,356,100,89,132,513,263,452,430,26,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,49%,50%,15%,22%,32%,29%,82%,9%,7%,39%,61%,33%,49%,5%,11%,11%,14%,16%,10%,21%,14%,13%,18%,46%,36%,47%,50%,3%,41%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",44%,39%,49%,47%,47%,41%,47%,42%,69%,41%,59%,36%,60%,30%,63%,54%,64%,22%,45%,54%,52%,39%,35%,54%,50%,31%,100%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",47%,53%,43%,46%,45%,50%,46%,53%,18%,36%,34%,55%,37%,63%,18%,28%,30%,71%,46%,30%,39%,53%,62%,31%,42%,63%,0%,100%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,8%,8%,9%,7%,8%,9%,7%,6%,14%,24%,7%,9%,3%,7%,18%,17%,6%,6%,9%,16%,9%,9%,4%,14%,7%,6%,0%,0%,100%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,... the Democrat,46%,38%,54%,48%,48%,45%,49%,43%,72%,46%,58%,40%,57%,34%,69%,58%,65%,29%,48%,65%,50%,35%,37%,62%,48%,35%,88%,8%,39%,90%
How satisfied are you with the way things are going in your life these days?,... the Republican,41%,48%,35%,34%,37%,44%,43%,46%,12%,29%,33%,46%,34%,53%,17%,20%,27%,64%,40%,17%,37%,46%,54%,21%,39%,56%,6%,79%,12%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,13%,14%,11%,18%,15%,11%,8%,11%,15%,25%,10%,14%,8%,13%,14%,22%,8%,8%,12%,18%,13%,19%,10%,18%,13%,10%,6%,13%,49%,5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Bob Casey, the Democrat",46%,38%,54%,48%,48%,45%,49%,43%,72%,46%,58%,40%,57%,34%,69%,58%,65%,29%,48%,65%,50%,35%,37%,62%,48%,35%,88%,8%,39%,90%
How satisfied are you with the way things are going in your life these days?,"David McCormick, the Republican",41%,48%,35%,34%,37%,44%,43%,46%,12%,29%,33%,46%,34%,53%,17%,20%,27%,64%,40%,17%,37%,46%,54%,21%,39%,56%,6%,79%,12%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,13%,14%,11%,18%,15%,11%,8%,11%,15%,25%,10%,14%,8%,13%,14%,22%,8%,8%,12%,18%,13%,19%,10%,18%,13%,10%,6%,13%,49%,5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,18-29,15%,15%,14%,100%,0%,0%,0%,14%,17%,29%,12%,16%,13%,14%,12%,26%,13%,11%,16%,18%,15%,17%,14%,15%,18%,11%,16%,14%,12%,14%
How satisfied are you with the way things are going in your life these days?,30-44,23%,23%,23%,0%,100%,0%,0%,23%,22%,29%,31%,19%,31%,18%,31%,22%,25%,20%,22%,27%,23%,30%,16%,31%,21%,21%,24%,22%,22%,24%
How satisfied are you with the way things are going in your life these days?,45-64,31%,30%,32%,0%,0%,100%,0%,32%,38%,21%,34%,30%,34%,30%,36%,27%,44%,35%,31%,26%,33%,23%,30%,28%,34%,30%,29%,33%,34%,30%
How satisfied are you with the way things are going in your life these days?,65+,28%,28%,29%,0%,0%,0%,100%,30%,21%,15%,20%,33%,20%,36%,17%,19%,17%,34%,29%,24%,26%,29%,36%,23%,25%,36%,30%,27%,24%,32%
How satisfied are you with the way things are going in your life these days?,Refused,3%,4%,1%,0%,0%,0%,0%,1%,2%,7%,3%,2%,2%,1%,3%,5%,<1%,<1%,2%,5%,3%,<1%,6%,3%,2%,3%,1%,3%,7%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Grade school,2%,2%,2%,1%,<.5%,2%,4%,2%,5%,4%,0%,4%,0%,3%,0%,7%,0%,4%,0%,4%,2%,4%,2%,3%,2%,2%,2%,3%,2%,<1%
How satisfied are you with the way things are going in your life these days?,High school,32%,32%,32%,34%,22%,30%,41%,32%,41%,29%,0%,51%,0%,52%,0%,52%,23%,48%,31%,32%,24%,45%,19%,29%,27%,40%,25%,36%,42%,24%
How satisfied are you with the way things are going in your life these days?,Vocational or trade school,5%,7%,4%,6%,5%,6%,4%,6%,3%,1%,0%,8%,0%,9%,0%,4%,3%,8%,5%,3%,5%,6%,6%,3%,4%,7%,2%,8%,5%,1%
How satisfied are you with the way things are going in your life these days?,"Some college, no degree",13%,12%,14%,17%,13%,12%,13%,12%,14%,16%,0%,21%,0%,20%,0%,22%,13%,9%,17%,17%,12%,10%,13%,17%,14%,10%,12%,14%,12%,12%
How satisfied are you with the way things are going in your life these days?,Associate’s degree,10%,8%,11%,12%,10%,9%,10%,10%,12%,8%,0%,16%,0%,16%,0%,15%,12%,9%,11%,6%,9%,6%,18%,8%,9%,12%,9%,11%,7%,9%
How satisfied are you with the way things are going in your life these days?,Bachelor's degree,22%,24%,20%,25%,34%,22%,12%,24%,9%,22%,59%,0%,62%,0%,46%,0%,27%,16%,20%,19%,27%,20%,25%,22%,26%,17%,27%,18%,18%,28%
How satisfied are you with the way things are going in your life these days?,Graduate or professional degree,15%,15%,16%,6%,16%,19%,15%,15%,15%,19%,41%,0%,38%,0%,54%,0%,22%,6%,16%,18%,21%,9%,15%,18%,18%,10%,23%,9%,13%,25%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,<.5%,<.5%,<1%,0%,0%,<.5%,0%,0%,<1%,<.5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<1%,<.5%,0%,3%,<.5%,<.5%,1%,0%,<1%,1%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,White,77%,78%,77%,72%,77%,77%,83%,98%,0%,0%,81%,76%,99%,98%,0%,0%,82%,93%,78%,46%,77%,80%,80%,54%,78%,89%,74%,85%,52%,76%
How satisfied are you with the way things are going in your life these days?,Hispanic or Latino,3%,3%,3%,6%,2%,2%,2%,0%,0%,36%,1%,4%,0%,0%,8%,19%,0%,2%,7%,2%,<1%,8%,1%,5%,4%,<1%,3%,2%,9%,3%
