itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,1%,1%,1%,<.5%,<1%,2%,2%,1%,<1%,2%,2%,1%,2%,<1%,2%,<1%,2%,<.5%,2%,1%,<1%,<1%,2%,1%,1%,4%,1%,1%,1%,1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"2,516","1,216","1,277",475,547,818,592,"1,635",313,291,196,"1,635",800,"1,162","1,333",813,815,315,475,535,507,902,572,"1,213","1,171",132,770,757,799,"1,043"
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",48%,41%,54%,55%,50%,44%,49%,43%,81%,52%,44%,43%,61%,58%,41%,56%,34%,66%,60%,45%,56%,42%,53%,100%,0%,0%,94%,4%,49%,92%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",48%,55%,42%,43%,45%,51%,48%,54%,12%,42%,50%,54%,33%,37%,54%,40%,64%,28%,34%,50%,38%,55%,43%,0%,100%,0%,4%,94%,44%,5%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,5%,4%,3%,6%,4%,3%,3%,7%,5%,6%,3%,6%,5%,4%,4%,2%,5%,6%,5%,6%,3%,4%,0%,0%,100%,2%,2%,7%,3%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",46%,39%,53%,53%,47%,43%,48%,42%,79%,51%,40%,42%,59%,56%,40%,54%,33%,63%,58%,43%,54%,41%,51%,96%,0%,0%,92%,4%,45%,89%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",47%,53%,41%,42%,42%,50%,47%,53%,11%,42%,45%,53%,31%,36%,53%,39%,63%,26%,33%,49%,37%,54%,41%,0%,97%,0%,4%,94%,42%,5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",<.5%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<1%,<.5%,<.5%,5%,<.5%,<.5%,<1%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",2%,2%,1%,2%,3%,2%,<1%,1%,1%,1%,9%,1%,3%,2%,2%,1%,1%,5%,3%,1%,3%,1%,2%,2%,<1%,16%,2%,<1%,3%,2%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",<1%,1%,<1%,1%,<.5%,2%,<.5%,<1%,<.5%,<1%,<1%,<1%,<1%,1%,<.5%,2%,<1%,1%,<.5%,1%,1%,<1%,<.5%,<1%,<1%,6%,<.5%,<.5%,2%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<1%,<1%,<1%,<1%,1%,<1%,<1%,<1%,1%,<.5%,1%,<1%,<1%,<1%,<1%,<1%,<.5%,1%,<1%,<1%,<1%,<1%,<1%,<.5%,<.5%,12%,<.5%,<.5%,1%,<1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,3%,3%,3%,2%,4%,3%,3%,2%,6%,5%,3%,2%,5%,3%,4%,2%,2%,4%,5%,4%,4%,3%,3%,<1%,<1%,61%,1%,2%,5%,2%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,87%,85%,89%,74%,83%,89%,92%,90%,81%,77%,79%,90%,79%,88%,86%,90%,90%,84%,77%,87%,88%,88%,85%,86%,89%,45%,90%,94%,80%,89%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,11%,13%,9%,24%,14%,9%,5%,8%,15%,19%,19%,8%,18%,10%,11%,9%,8%,15%,19%,12%,11%,9%,13%,12%,9%,44%,9%,5%,17%,9%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,2%,3%,2%,2%,3%,2%,2%,2%,4%,3%,2%,2%,3%,2%,3%,2%,2%,2%,4%,1%,2%,3%,3%,2%,2%,12%,2%,<1%,3%,2%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,"2,388","1,150","1,216",456,504,786,568,"1,582",287,275,180,"1,582",742,"1,104","1,264",782,793,293,440,501,475,869,543,"1,199","1,154",35,755,742,740,"1,006"
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",24%,19%,28%,36%,22%,23%,24%,30%,24%,19%,31%,30%,25%,26%,22%,26%,35%,30%,21%,23%,21%,24%,28%,100%,0%,0%,41%,5%,30%,45%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",17%,23%,10%,16%,22%,15%,16%,12%,6%,9%,29%,12%,16%,18%,16%,14%,10%,22%,13%,8%,13%,24%,21%,0%,100%,0%,9%,24%,16%,6%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,59%,58%,62%,48%,56%,62%,59%,58%,70%,72%,40%,58%,58%,57%,61%,60%,55%,48%,66%,69%,66%,52%,51%,0%,0%,100%,50%,72%,54%,50%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,223,121,97,39,69,67,35,104,38,25,36,104,99,112,109,60,44,45,52,57,55,58,53,53,38,132,30,25,115,71
"(Combined congressional ballot, includes leaners) If this year’s elections for Congress were held today, which party’s candidate would you be more likely to vote for in your district:",The Democratic candidate,48%,40%,54%,53%,50%,45%,49%,42%,80%,54%,46%,42%,62%,56%,43%,54%,34%,64%,62%,46%,56%,41%,52%,93%,4%,30%,95%,3%,48%,91%
"(Combined congressional ballot, includes leaners) If this year’s elections for Congress were held today, which party’s candidate would you be more likely to vote for in your district:",The Republican candidate,48%,54%,42%,43%,44%,51%,48%,55%,12%,41%,45%,55%,31%,40%,53%,44%,63%,27%,32%,51%,38%,55%,42%,4%,93%,30%,4%,95%,45%,6%
"(Combined congressional ballot, includes leaners) If this year’s elections for Congress were held today, which party’s candidate would you be more likely to vote for in your district:",[VOL] Don't know/Refused,4%,6%,3%,4%,6%,4%,3%,3%,8%,5%,9%,3%,7%,4%,4%,3%,3%,8%,6%,3%,6%,3%,6%,3%,3%,40%,<1%,1%,8%,3%
"(Combined congressional ballot, includes leaners) If this year’s elections for Congress were held today, which party’s candidate would you be more likely to vote for in your district:",MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,13%,12%,13%,100%,0%,0%,0%,12%,15%,20%,19%,12%,18%,12%,14%,11%,12%,15%,20%,13%,12%,14%,14%,15%,12%,8%,13%,10%,15%,9%
(Responses reclassified by age group) In what year were you born?,30-44,22%,22%,22%,0%,100%,0%,0%,20%,23%,29%,29%,20%,27%,25%,20%,23%,17%,33%,25%,19%,24%,22%,24%,23%,20%,30%,22%,19%,22%,23%
(Responses reclassified by age group) In what year were you born?,45-64,33%,34%,32%,0%,0%,100%,0%,33%,33%,30%,29%,33%,31%,34%,32%,33%,34%,36%,28%,34%,36%,31%,31%,30%,35%,33%,30%,34%,36%,32%
(Responses reclassified by age group) In what year were you born?,65+,29%,29%,29%,0%,0%,0%,100%,33%,24%,17%,17%,33%,19%,25%,31%,29%,35%,12%,24%,32%,26%,30%,27%,29%,29%,21%,32%,33%,23%,32%
(Responses reclassified by age group) In what year were you born?,Refused,4%,3%,4%,0%,0%,0%,0%,3%,5%,4%,6%,3%,5%,4%,3%,3%,2%,4%,4%,3%,2%,4%,5%,3%,4%,8%,2%,4%,4%,3%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"2,516","1,216","1,277",475,547,818,592,"1,635",313,291,196,"1,635",800,"1,162","1,333",813,815,315,475,535,507,902,572,"1,213","1,171",132,770,757,799,"1,043"
What is the highest educational level that you have completed?,Grade school,2%,2%,2%,0%,<1%,2%,4%,1%,3%,10%,2%,1%,5%,0%,4%,0%,2%,0%,8%,2%,2%,3%,2%,2%,3%,0%,3%,3%,1%,2%
What is the highest educational level that you have completed?,High school,25%,28%,22%,31%,22%,25%,27%,24%,33%,29%,16%,24%,27%,0%,43%,0%,43%,0%,43%,27%,22%,26%,22%,20%,30%,28%,22%,31%,22%,18%
What is the highest educational level that you have completed?,Vocational or trade school,5%,6%,4%,5%,5%,5%,6%,5%,3%,5%,7%,5%,5%,0%,9%,0%,9%,0%,8%,5%,4%,5%,6%,3%,7%,6%,3%,6%,5%,4%
What is the highest educational level that you have completed?,"Some college, no degree",17%,16%,18%,20%,16%,16%,17%,16%,20%,17%,16%,16%,18%,0%,29%,0%,30%,0%,28%,17%,14%,18%,17%,17%,17%,14%,17%,17%,16%,15%
What is the highest educational level that you have completed?,Associate’s degree,9%,8%,10%,8%,9%,10%,9%,9%,11%,7%,7%,9%,9%,0%,16%,0%,17%,0%,14%,9%,9%,9%,10%,9%,9%,8%,9%,10%,10%,10%
What is the highest educational level that you have completed?,Bachelor's degree,24%,24%,25%,30%,28%,25%,19%,26%,17%,19%,25%,26%,20%,60%,0%,60%,0%,57%,0%,26%,29%,22%,22%,28%,21%,25%,27%,20%,26%,29%
What is the highest educational level that you have completed?,Graduate or professional degree,16%,16%,17%,6%,19%,17%,17%,17%,13%,10%,23%,17%,15%,40%,0%,40%,0%,43%,0%,14%,20%,15%,18%,21%,12%,18%,20%,11%,19%,23%
What is the highest educational level that you have completed?,[VOL] Refused,1%,<1%,1%,0%,<.5%,<1%,1%,<1%,<.5%,2%,4%,<1%,2%,0%,0%,0%,0%,0%,0%,<1%,<.5%,1%,2%,<.5%,2%,<1%,<.5%,2%,<1%,<.5%
What is the highest educational level that you have completed?,Number of respondents,"2,516","1,216","1,277",475,547,818,592,"1,635",313,291,196,"1,635",800,"1,162","1,333",813,815,315,475,535,507,902,572,"1,213","1,171",132,770,757,799,"1,043"
Would you consider yourself:,White,67%,66%,68%,60%,61%,68%,76%,99%,0%,0%,0%,99%,0%,72%,64%,99%,99%,0%,0%,77%,72%,64%,59%,61%,75%,45%,57%,80%,69%,64%
Would you consider yourself:,Hispanic or Latino,10%,9%,10%,15%,13%,9%,6%,0%,0%,98%,0%,0%,34%,7%,11%,0%,0%,29%,37%,4%,6%,11%,16%,11%,8%,12%,13%,8%,8%,10%
Would you consider yourself:,Black or African American,11%,10%,11%,12%,12%,10%,9%,0%,98%,0%,0%,0%,37%,8%,13%,0%,0%,33%,41%,8%,9%,16%,7%,18%,3%,16%,21%,2%,9%,17%
Would you consider yourself:,Asian,3%,3%,3%,5%,4%,2%,2%,0%,0%,0%,37%,0%,10%,5%,2%,0%,0%,19%,5%,2%,4%,1%,5%,3%,3%,2%,3%,2%,3%,3%
Would you consider yourself:,American Indian or Alaska Native,1%,2%,1%,<.5%,3%,1%,<1%,0%,0%,0%,19%,0%,5%,<1%,2%,0%,0%,2%,6%,2%,<1%,1%,2%,<1%,2%,<.5%,<1%,3%,1%,<1%
Would you consider yourself:,Middle Eastern or North African,<1%,1%,<.5%,1%,<1%,<1%,<1%,0%,0%,0%,10%,0%,3%,1%,<.5%,0%,0%,6%,1%,<1%,<1%,<1%,<1%,<.5%,<1%,5%,<.5%,<1%,1%,<1%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<1%,0%,0%,0%,6%,0%,2%,<.5%,<.5%,0%,0%,1%,2%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%
Would you consider yourself:,[VOL] Some other race (specify),2%,3%,1%,2%,1%,3%,2%,1%,2%,2%,9%,1%,4%,2%,2%,1%,1%,3%,5%,2%,2%,3%,2%,2%,2%,6%,2%,1%,2%,2%
Would you consider yourself:,[VOL] More than one race,1%,1%,2%,3%,2%,1%,<1%,0%,0%,0%,19%,0%,5%,2%,1%,0%,0%,7%,4%,1%,<1%,2%,2%,2%,1%,3%,1%,<1%,2%,1%
Would you consider yourself:,[VOL] Refused,3%,4%,2%,1%,3%,4%,3%,0%,0%,0%,0%,0%,0%,3%,3%,0%,0%,0%,0%,3%,4%,2%,5%,2%,4%,12%,1%,3%,4%,2%
Would you consider yourself:,Number of respondents,"2,516","1,216","1,277",475,547,818,592,"1,635",313,291,196,"1,635",800,"1,162","1,333",813,815,315,475,535,507,902,572,"1,213","1,171",132,770,757,799,"1,043"
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,32%,24%,39%,33%,32%,30%,35%,26%,63%,46%,29%,26%,48%,36%,30%,34%,21%,45%,50%,28%,39%,27%,38%,62%,3%,12%,100%,0%,0%,61%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,33%,36%,30%,25%,29%,34%,39%,39%,4%,26%,32%,39%,20%,26%,37%,28%,46%,19%,19%,33%,25%,40%,29%,3%,65%,16%,0%,100%,0%,4%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,30%,34%,26%,34%,31%,32%,24%,31%,26%,21%,32%,31%,26%,33%,28%,34%,29%,30%,23%,33%,31%,27%,30%,30%,28%,58%,0%,0%,100%,31%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,2%,3%,2%,5%,3%,2%,<1%,2%,<.5%,3%,4%,2%,2%,3%,2%,2%,2%,2%,2%,3%,2%,3%,2%,2%,3%,5%,0%,0%,0%,2%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,3%,3%,3%,4%,4%,2%,2%,2%,7%,5%,3%,2%,5%,2%,3%,1%,2%,4%,6%,3%,2%,3%,2%,3%,2%,8%,0%,0%,0%,3%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,45%,35%,56%,51%,47%,40%,48%,44%,64%,51%,45%,44%,54%,51%,41%,50%,38%,56%,52%,45%,46%,45%,44%,88%,3%,27%,-,-,46%,78%
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,42%,50%,34%,40%,38%,51%,39%,47%,10%,33%,43%,47%,28%,38%,45%,42%,52%,28%,28%,41%,38%,43%,46%,5%,89%,16%,-,-,43%,11%
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,12%,15%,10%,9%,15%,10%,13%,9%,26%,16%,12%,9%,18%,10%,14%,8%,10%,16%,19%,14%,16%,11%,9%,8%,8%,57%,-,-,11%,11%
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,803,446,342,170,190,265,152,534,86,83,70,534,239,397,402,277,256,107,129,172,177,272,182,391,345,67,,,673,348
Combined: Party identification and leaners,The Democratic Party,48%,38%,56%,55%,51%,44%,47%,41%,84%,60%,47%,41%,65%,56%,43%,53%,33%,65%,66%,46%,56%,42%,53%,93%,4%,32%,100%,0%,46%,89%
Combined: Party identification and leaners,The Republican Party,48%,56%,41%,41%,44%,52%,49%,55%,8%,35%,49%,55%,29%,40%,52%,44%,64%,29%,28%,49%,39%,54%,44%,4%,93%,27%,0%,100%,43%,7%
Combined: Party identification and leaners,[VOL] Don't know/Refused,4%,6%,3%,4%,6%,3%,4%,3%,8%,5%,5%,3%,6%,4%,5%,3%,3%,6%,6%,5%,6%,4%,3%,3%,3%,41%,0%,0%,11%,4%
Combined: Party identification and leaners,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,39%,45%,34%,22%,34%,46%,45%,47%,5%,26%,36%,47%,21%,34%,42%,38%,53%,24%,20%,41%,31%,46%,34%,2%,80%,9%,3%,83%,32%,0%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,45%,38%,51%,34%,48%,44%,49%,41%,77%,49%,34%,41%,55%,56%,38%,55%,31%,61%,53%,41%,56%,39%,49%,85%,5%,35%,86%,5%,46%,100%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,13%,15%,12%,40%,15%,8%,5%,10%,16%,22%,24%,10%,20%,7%,18%,6%,14%,11%,25%,14%,12%,12%,15%,12%,13%,38%,10%,11%,19%,0%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,1%,2%,<1%,3%,2%,<1%,<.5%,1%,<.5%,2%,3%,1%,1%,2%,<1%,2%,<1%,1%,1%,2%,<.5%,2%,<1%,1%,1%,6%,<1%,<.5%,2%,0%
