itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,32%,24%,63%,11%,15%,9%,38%,61%,25%,38%,12%,23%,22%,20%,35%,23%,24%,41%,35%,43%,48%,10%,28%,30%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden, the Democrat",35%,33%,38%,42%,35%,28%,41%,32%,55%,31%,41%,47%,28%,47%,23%,47%,38%,30%,40%,32%,41%,49%,38%,23%,79%,3%,3%,80%,2%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Nikki Haley, the Republican",45%,46%,45%,36%,42%,56%,44%,52%,28%,43%,29%,39%,49%,44%,57%,31%,38%,48%,41%,49%,40%,33%,42%,58%,15%,74%,39%,14%,79%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Another candidate,4%,5%,3%,7%,4%,4%,2%,3%,2%,9%,10%,4%,4%,2%,3%,6%,7%,4%,4%,3%,5%,3%,5%,3%,<1%,6%,7%,<1%,6%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Not going to vote/wouldn't vote if those were the choices,9%,9%,9%,8%,11%,8%,8%,9%,5%,9%,13%,6%,10%,4%,12%,10%,7%,11%,9%,9%,7%,6%,9%,10%,<1%,14%,22%,<1%,11%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,7%,6%,6%,8%,4%,5%,5%,10%,8%,6%,4%,8%,3%,6%,6%,10%,7%,5%,7%,6%,9%,6%,5%,5%,3%,28%,3%,3%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,32%,24%,63%,11%,15%,9%,38%,61%,25%,38%,12%,23%,22%,20%,35%,23%,24%,41%,35%,43%,48%,10%,28%,30%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Kamala [COMMA-luh] Harris, the Democrat",41%,37%,45%,49%,41%,36%,47%,38%,72%,33%,43%,52%,35%,52%,29%,53%,46%,36%,42%,39%,48%,53%,46%,27%,91%,3%,14%,89%,6%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump, the Republican",47%,49%,46%,42%,48%,54%,43%,53%,21%,47%,42%,37%,54%,39%,62%,33%,40%,56%,43%,49%,41%,35%,42%,62%,3%,95%,7%,7%,90%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Another candidate,1%,1%,1%,1%,2%,<1%,<1%,<1%,<.5%,2%,4%,2%,<1%,2%,<.5%,3%,1%,2%,1%,1%,<1%,1%,<1%,2%,<1%,<1%,6%,<1%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Not going to vote/wouldn't vote if those were the choices,5%,6%,4%,5%,5%,4%,4%,5%,1%,7%,5%,5%,5%,5%,4%,5%,5%,3%,9%,4%,5%,4%,6%,4%,2%,<.5%,41%,1%,1%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,6%,4%,3%,4%,6%,5%,4%,6%,11%,6%,4%,6%,3%,4%,7%,8%,4%,5%,6%,5%,6%,5%,5%,3%,1%,32%,3%,2%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,32%,24%,63%,11%,15%,9%,38%,61%,25%,38%,12%,23%,22%,20%,35%,23%,24%,41%,35%,43%,48%,10%,28%,30%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",18-29,16%,16%,16%,100%,0%,0%,0%,12%,22%,29%,19%,14%,17%,10%,13%,25%,24%,9%,18%,18%,17%,17%,18%,13%,20%,14%,10%,18%,12%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",30-44,23%,25%,22%,0%,100%,0%,0%,22%,28%,25%,25%,29%,19%,29%,17%,32%,23%,30%,22%,21%,22%,28%,23%,20%,22%,23%,26%,24%,19%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",45-64,32%,32%,31%,0%,0%,100%,0%,33%,27%,31%,32%,31%,32%,33%,33%,28%,32%,29%,34%,32%,31%,29%,32%,32%,26%,36%,32%,33%,37%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",65+,24%,22%,25%,0%,0%,0%,100%,29%,20%,7%,12%,21%,25%,24%,33%,10%,13%,28%,20%,24%,23%,17%,22%,30%,27%,21%,19%,23%,26%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Refused,6%,5%,7%,0%,0%,0%,0%,5%,3%,8%,13%,4%,6%,4%,5%,5%,8%,4%,6%,5%,7%,9%,4%,5%,4%,5%,13%,3%,7%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,32%,24%,63%,11%,15%,9%,38%,61%,25%,38%,12%,23%,22%,20%,35%,23%,24%,41%,35%,43%,48%,10%,28%,30%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Grade school,2%,4%,1%,<1%,<1%,3%,3%,2%,2%,4%,5%,0%,4%,0%,3%,0%,6%,2%,3%,2%,3%,2%,2%,3%,<.5%,4%,4%,1%,4%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",High school,28%,26%,31%,38%,18%,29%,33%,28%,31%,36%,20%,0%,47%,0%,47%,0%,47%,34%,27%,30%,22%,28%,25%,33%,26%,30%,30%,25%,32%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Vocational or trade school,4%,5%,3%,2%,6%,3%,6%,4%,8%,3%,<1%,0%,7%,0%,7%,0%,6%,7%,2%,4%,3%,4%,2%,7%,3%,5%,4%,4%,5%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Some college, no degree",16%,16%,16%,16%,15%,17%,17%,15%,21%,17%,18%,0%,27%,0%,25%,0%,29%,16%,16%,17%,16%,17%,15%,18%,14%,17%,23%,15%,16%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Associate’s degree,10%,8%,11%,9%,11%,11%,7%,11%,9%,10%,4%,0%,16%,0%,18%,0%,13%,10%,7%,12%,9%,6%,11%,11%,8%,12%,6%,10%,10%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Bachelor's degree,23%,26%,21%,27%,31%,23%,16%,25%,18%,18%,25%,61%,0%,63%,0%,57%,0%,21%,27%,20%,26%,26%,28%,16%,28%,20%,18%,25%,23%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Graduate or professional degree,15%,15%,15%,8%,18%,15%,18%,15%,13%,11%,25%,39%,0%,37%,0%,43%,0%,9%,17%,14%,20%,18%,16%,12%,21%,10%,14%,20%,10%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,<1%,<.5%,1%,0%,<.5%,0%,1%,<.5%,0%,1%,3%,0%,0%,0%,0%,0%,0%,1%,0%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,0%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,32%,24%,63%,11%,15%,9%,38%,61%,25%,38%,12%,23%,22%,20%,35%,23%,24%,41%,35%,43%,48%,10%,28%,30%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,14%,14%,15%,30%,15%,13%,5%,0%,0%,100%,0%,11%,16%,0%,0%,35%,50%,4%,10%,18%,22%,21%,17%,7%,14%,14%,19%,14%,12%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,85%,85%,84%,70%,85%,86%,94%,99%,100%,0%,100%,88%,83%,99%,100%,65%,50%,95%,89%,81%,76%,78%,82%,92%,86%,84%,80%,86%,86%,87%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,<1%,<1%,<1%,0%,<.5%,<1%,1%,<1%,0%,0%,0%,<.5%,<1%,<1%,<.5%,0%,0%,<1%,<1%,<.5%,2%,2%,<.5%,<1%,0%,2%,<1%,0%,2%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",White,73%,73%,72%,60%,68%,74%,85%,99%,0%,53%,0%,71%,74%,98%,99%,21%,25%,84%,75%,66%,69%,60%,71%,82%,68%,79%,58%,62%,88%,70%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Black or African American,12%,10%,13%,17%,14%,10%,9%,0%,100%,4%,0%,11%,12%,0%,0%,33%,38%,5%,15%,18%,5%,19%,10%,9%,17%,6%,14%,24%,2%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Asian or Asian American,3%,5%,2%,6%,4%,4%,1%,0%,0%,1%,48%,6%,2%,0%,0%,18%,6%,3%,2%,2%,9%,5%,5%,<.5%,4%,3%,3%,4%,4%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Native American,2%,3%,2%,3%,3%,3%,<1%,0%,0%,9%,16%,2%,3%,0%,0%,6%,8%,1%,1%,3%,4%,2%,2%,4%,1%,3%,5%,1%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Some other race (specify),5%,4%,5%,8%,4%,6%,<.5%,1%,0%,20%,17%,5%,5%,2%,<1%,12%,13%,4%,3%,5%,7%,8%,5%,2%,4%,4%,12%,4%,3%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] More than one race,2%,2%,3%,4%,3%,<1%,0%,0%,0%,6%,18%,2%,2%,0%,0%,8%,6%,1%,2%,3%,3%,3%,3%,<1%,3%,1%,<1%,3%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,3%,3%,2%,2%,3%,2%,4%,0%,0%,7%,0%,3%,2%,0%,0%,2%,3%,1%,2%,3%,5%,4%,3%,2%,2%,3%,8%,2%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Democrat,29%,25%,34%,35%,29%,29%,28%,25%,61%,29%,30%,36%,25%,35%,19%,41%,40%,20%,34%,26%,38%,41%,30%,21%,61%,6%,5%,100%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Republican,30%,30%,30%,17%,24%,36%,33%,36%,5%,25%,22%,23%,34%,27%,42%,14%,19%,31%,23%,33%,29%,22%,26%,38%,3%,56%,14%,0%,100%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Independent,34%,38%,30%,38%,35%,30%,35%,33%,30%,30%,45%,35%,32%,33%,34%,39%,29%,39%,36%,32%,30%,30%,36%,33%,32%,30%,56%,0%,0%,100%
