itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,1%,<1%,1%,<1%,2%,<1%,1%,0%,<.5%,<.5%,<1%,1%,<1%,2%,<.5%,<.5%,1%,<1%,<.5%,2%,<.5%,<1%,2%,<1%,1%,3%,0%,1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,22%,33%,28%,68%,10%,10%,7%,40%,59%,28%,40%,11%,17%,22%,20%,35%,24%,22%,43%,35%,46%,47%,7%,33%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden, the Democrat",46%,37%,54%,47%,46%,44%,52%,41%,76%,52%,61%,57%,39%,55%,31%,62%,62%,41%,56%,40%,53%,60%,53%,30%,100%,0%,0%,90%,5%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump, the Republican",47%,57%,38%,45%,44%,52%,43%,53%,16%,39%,34%,37%,53%,39%,63%,33%,28%,50%,39%,52%,43%,35%,41%,62%,0%,100%,0%,8%,91%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,7%,6%,8%,8%,10%,4%,5%,6%,9%,9%,5%,6%,8%,6%,6%,5%,10%,9%,5%,8%,4%,5%,7%,8%,0%,0%,100%,2%,4%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,22%,33%,28%,68%,10%,10%,7%,40%,59%,28%,40%,11%,17%,22%,20%,35%,24%,22%,43%,35%,46%,47%,7%,33%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden, the Democrat",42%,33%,51%,38%,42%,41%,50%,38%,68%,46%,54%,53%,35%,52%,29%,60%,52%,39%,51%,37%,47%,56%,47%,28%,92%,0%,0%,87%,4%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump, the Republican",43%,52%,34%,38%,39%,49%,40%,49%,12%,36%,27%,34%,48%,37%,57%,27%,25%,43%,35%,49%,39%,32%,36%,57%,0%,91%,0%,5%,86%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Robert F. Kennedy Jr., the independent",2%,2%,2%,<.5%,4%,2%,<.5%,2%,1%,<1%,0%,2%,2%,3%,2%,<1%,<.5%,2%,2%,2%,2%,2%,2%,2%,<.5%,2%,10%,<.5%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Jill Stein, the Green Party candidate",<.5%,<1%,<.5%,<1%,1%,<.5%,0%,<.5%,0%,<1%,0%,<.5%,<.5%,<.5%,<1%,<1%,0%,0%,1%,<.5%,<.5%,<1%,<.5%,<1%,<1%,<.5%,0%,<.5%,0%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Cornel West, the independent",<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,<1%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Another candidate,2%,2%,2%,4%,<1%,2%,2%,2%,2%,3%,<1%,2%,2%,2%,2%,1%,3%,4%,1%,2%,<1%,2%,3%,1%,2%,1%,11%,<1%,1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Not going to vote/wouldn't vote if those were the choices,5%,4%,6%,11%,8%,3%,4%,4%,4%,3%,14%,5%,6%,5%,4%,6%,7%,6%,5%,4%,6%,3%,6%,6%,3%,4%,27%,2%,4%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,5%,5%,7%,5%,3%,5%,3%,12%,10%,5%,3%,7%,2%,4%,4%,12%,6%,4%,6%,4%,4%,6%,5%,2%,1%,53%,4%,3%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,22%,33%,28%,68%,10%,10%,7%,40%,59%,28%,40%,11%,17%,22%,20%,35%,24%,22%,43%,35%,46%,47%,7%,33%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",18-29,12%,12%,12%,100%,0%,0%,0%,8%,17%,32%,27%,10%,14%,6%,10%,24%,27%,9%,11%,12%,17%,11%,13%,12%,13%,12%,14%,14%,10%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",30-44,22%,22%,21%,0%,100%,0%,0%,21%,19%,25%,28%,26%,19%,25%,19%,29%,20%,21%,23%,20%,23%,21%,20%,24%,21%,20%,31%,18%,19%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",45-64,33%,33%,33%,0%,0%,100%,0%,34%,31%,27%,29%,36%,30%,38%,31%,31%,27%,32%,36%,33%,31%,35%,31%,33%,31%,36%,21%,30%,35%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",65+,28%,28%,28%,0%,0%,0%,100%,33%,30%,8%,13%,22%,32%,27%,37%,9%,21%,35%,23%,28%,25%,28%,29%,27%,31%,26%,21%,35%,33%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Refused,5%,5%,6%,0%,0%,0%,0%,4%,4%,7%,3%,6%,4%,4%,4%,7%,4%,3%,7%,7%,4%,6%,7%,4%,4%,6%,13%,4%,2%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,22%,33%,28%,68%,10%,10%,7%,40%,59%,28%,40%,11%,17%,22%,20%,35%,24%,22%,43%,35%,46%,47%,7%,33%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",What is the highest educational level that you have completed?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Grade school,4%,5%,3%,4%,2%,3%,7%,4%,6%,4%,4%,0%,6%,0%,6%,0%,8%,8%,4%,1%,3%,3%,3%,5%,3%,4%,7%,3%,2%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",High school,24%,21%,27%,35%,23%,18%,30%,23%,22%,37%,22%,0%,41%,0%,39%,0%,46%,26%,21%,23%,26%,21%,22%,29%,21%,27%,23%,25%,34%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Vocational or trade school,4%,5%,3%,4%,4%,4%,5%,4%,5%,2%,6%,0%,7%,0%,7%,0%,7%,5%,5%,5%,2%,3%,3%,6%,4%,4%,6%,3%,4%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Some college, no degree",17%,19%,14%,16%,14%,18%,17%,17%,18%,13%,15%,0%,28%,0%,29%,0%,25%,15%,13%,20%,17%,17%,16%,18%,12%,21%,20%,12%,19%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Associate’s degree,10%,10%,9%,8%,9%,12%,8%,11%,15%,6%,2%,0%,17%,0%,18%,0%,14%,10%,10%,11%,8%,8%,10%,11%,9%,11%,8%,8%,10%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Bachelor's degree,25%,24%,25%,29%,30%,27%,16%,24%,19%,29%,38%,61%,0%,58%,0%,72%,0%,20%,23%,27%,26%,28%,27%,19%,29%,20%,23%,28%,19%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Graduate or professional degree,16%,14%,17%,4%,18%,18%,16%,17%,11%,8%,14%,39%,0%,42%,0%,28%,0%,15%,22%,12%,17%,21%,18%,10%,20%,12%,12%,18%,13%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,1%,<1%,1%,0%,0%,2%,1%,<1%,3%,2%,0%,0%,0%,0%,0%,0%,0%,<.5%,2%,2%,<1%,0%,1%,2%,1%,1%,0%,1%,1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,22%,33%,28%,68%,10%,10%,7%,40%,59%,28%,40%,11%,17%,22%,20%,35%,24%,22%,43%,35%,46%,47%,7%,33%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you consider yourself:,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",White,68%,71%,65%,44%,67%,69%,80%,99%,0%,0%,0%,68%,68%,98%,99%,0%,0%,82%,69%,65%,56%,53%,64%,81%,60%,76%,60%,57%,84%,67%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Hispanic or Latino,10%,8%,13%,26%,12%,9%,3%,0%,0%,98%,0%,9%,11%,0%,0%,35%,39%,3%,7%,9%,21%,15%,12%,5%,12%,9%,12%,12%,6%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Black or African American,10%,9%,11%,13%,8%,9%,10%,0%,99%,0%,0%,7%,11%,0%,0%,28%,40%,5%,11%,15%,5%,17%,11%,4%,16%,3%,13%,19%,2%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Asian,3%,3%,3%,7%,3%,3%,0%,0%,0%,0%,37%,4%,2%,0%,0%,17%,5%,2%,4%,1%,4%,4%,4%,<1%,4%,1%,2%,4%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",American Indian or Alaska Native,<.5%,<1%,<.5%,<1%,<1%,<1%,0%,0%,0%,0%,7%,<1%,<.5%,0%,0%,3%,1%,<.5%,0%,<.5%,2%,<1%,<.5%,<.5%,<.5%,<1%,0%,<.5%,<.5%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Middle Eastern or North African,<1%,<1%,<1%,2%,<1%,<1%,<1%,0%,0%,0%,10%,<1%,<1%,0%,0%,3%,2%,<1%,1%,0%,2%,2%,0%,<1%,1%,<.5%,0%,2%,<.5%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Native Hawaiian or Pacific Islander,<1%,<1%,<.5%,<.5%,<.5%,0%,2%,0%,0%,0%,9%,<.5%,<1%,0%,0%,1%,3%,0%,0%,<.5%,2%,<1%,1%,<.5%,<1%,<.5%,0%,1%,<.5%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Some other race (specify),2%,2%,2%,1%,3%,2%,1%,1%,<1%,2%,9%,3%,1%,2%,<1%,4%,3%,2%,2%,1%,3%,4%,1%,2%,2%,2%,3%,2%,1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] More than one race,2%,2%,2%,5%,2%,2%,<.5%,0%,0%,0%,29%,2%,2%,0%,0%,8%,7%,1%,<1%,3%,2%,2%,2%,2%,2%,2%,4%,<1%,<1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,4%,3%,4%,0%,3%,5%,3%,0%,0%,0%,0%,4%,3%,0%,0%,0%,0%,4%,4%,4%,3%,2%,4%,5%,2%,5%,7%,1%,5%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,22%,33%,28%,68%,10%,10%,7%,40%,59%,28%,40%,11%,17%,22%,20%,35%,24%,22%,43%,35%,46%,47%,7%,33%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.,Note: Questions after this point are reported only among respondents who completed the entire questionnaire.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Democrat,34%,22%,44%,40%,29%,30%,41%,28%,65%,41%,46%,40%,30%,37%,22%,48%,52%,27%,42%,30%,37%,44%,37%,23%,66%,6%,4%,100%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Republican,28%,29%,27%,23%,22%,30%,34%,34%,7%,17%,6%,20%,33%,26%,40%,6%,13%,31%,22%,31%,24%,19%,26%,36%,3%,53%,19%,0%,100%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Independent,31%,40%,22%,28%,38%,34%,21%,31%,25%,26%,40%,35%,28%,32%,30%,41%,22%,30%,31%,30%,32%,28%,30%,33%,28%,31%,43%,0%,0%,100%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Another party,4%,5%,2%,4%,5%,3%,1%,4%,0%,3%,6%,3%,4%,3%,4%,2%,3%,6%,3%,3%,3%,4%,3%,4%,2%,5%,7%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,4%,5%,5%,6%,4%,3%,3%,2%,13%,3%,3%,6%,3%,4%,3%,9%,6%,2%,5%,4%,5%,4%,4%,2%,4%,25%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
