itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
"If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares,MARGIN Casey +8 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,12%,12%,11%,100%,0%,0%,0%,11%,17%,20%,12%,12%,12%,10%,14%,21%,11%,6%,11%,18%,14%,16%,8%,17%,14%,6%,15%,9%,9%,12%
(Responses reclassified by age group) In what year were you born?,30-44,22%,22%,22%,0%,100%,0%,0%,21%,26%,28%,28%,18%,26%,17%,38%,20%,24%,16%,17%,36%,22%,25%,19%,31%,23%,16%,21%,21%,30%,22%
(Responses reclassified by age group) In what year were you born?,45-64,34%,35%,33%,0%,0%,100%,0%,34%,34%,42%,35%,33%,35%,33%,38%,36%,34%,36%,34%,27%,32%,38%,37%,32%,31%,39%,30%,37%,37%,29%
(Responses reclassified by age group) In what year were you born?,65+,31%,30%,32%,0%,0%,0%,100%,33%,22%,10%,22%,35%,24%,38%,8%,22%,28%,39%,36%,18%,31%,20%,36%,18%,31%,37%,33%,30%,23%,35%
(Responses reclassified by age group) In what year were you born?,Refused,2%,1%,2%,0%,0%,0%,0%,2%,2%,0%,2%,1%,2%,1%,1%,<1%,3%,3%,3%,1%,1%,<1%,1%,2%,<1%,3%,2%,2%,0%,2%
(Responses reclassified by age group) In what year were you born?,Number of respondents,872,453,410,121,193,288,254,688,96,63,424,435,338,339,73,85,92,117,149,98,193,114,109,166,417,289,412,395,65,354
What is the highest educational level that you have completed?,Grade school,2%,2%,1%,0%,3%,2%,<1%,<1%,0%,11%,0%,3%,0%,2%,0%,7%,0%,3%,3%,<1%,0%,5%,0%,<1%,2%,2%,<1%,2%,3%,<1%
What is the highest educational level that you have completed?,High school,31%,32%,31%,25%,23%,28%,44%,32%,42%,21%,0%,53%,0%,53%,0%,53%,14%,51%,36%,34%,27%,23%,31%,26%,26%,42%,25%,39%,24%,25%
What is the highest educational level that you have completed?,Vocational or trade school,5%,5%,5%,6%,5%,7%,3%,5%,6%,2%,0%,9%,0%,9%,0%,7%,4%,5%,6%,4%,2%,10%,8%,6%,5%,5%,4%,6%,5%,4%
What is the highest educational level that you have completed?,"Some college, no degree",13%,13%,14%,21%,15%,10%,13%,13%,13%,16%,0%,22%,0%,22%,0%,23%,11%,11%,14%,11%,13%,17%,16%,13%,14%,12%,12%,14%,19%,11%
What is the highest educational level that you have completed?,Associate’s degree,8%,8%,8%,7%,4%,12%,7%,8%,9%,3%,0%,13%,0%,14%,0%,11%,16%,10%,9%,4%,3%,7%,11%,7%,8%,9%,8%,8%,6%,8%
What is the highest educational level that you have completed?,Bachelor's degree,23%,23%,22%,32%,28%,22%,15%,23%,22%,23%,58%,0%,59%,0%,61%,0%,23%,10%,22%,28%,28%,20%,24%,30%,23%,19%,26%,19%,22%,27%
What is the highest educational level that you have completed?,Graduate or professional degree,16%,16%,16%,8%,21%,18%,13%,16%,9%,23%,42%,0%,41%,0%,39%,0%,31%,8%,8%,15%,26%,19%,6%,16%,21%,9%,22%,10%,18%,23%
What is the highest educational level that you have completed?,[VOL] Refused,2%,1%,2%,0%,<1%,1%,3%,2%,0%,1%,0%,0%,0%,0%,0%,0%,<1%,2%,2%,2%,1%,0%,4%,1%,1%,3%,2%,2%,3%,2%
What is the highest educational level that you have completed?,Number of respondents,872,453,410,121,193,288,254,688,96,63,424,435,338,339,73,85,92,117,149,98,193,114,109,166,417,289,412,395,65,354
Would you consider yourself:,White,80%,82%,79%,71%,76%,79%,87%,100%,0%,0%,81%,79%,100%,100%,0%,0%,78%,92%,83%,44%,80%,79%,92%,52%,81%,92%,74%,89%,61%,76%
Would you consider yourself:,Hispanic or Latino,3%,3%,4%,3%,6%,5%,<1%,0%,0%,47%,4%,3%,0%,0%,23%,18%,2%,0%,5%,6%,3%,6%,2%,7%,4%,<1%,3%,2%,13%,3%
Would you consider yourself:,Black or African American,10%,7%,13%,14%,12%,10%,7%,0%,100%,0%,8%,12%,0%,0%,49%,65%,13%,2%,2%,40%,11%,8%,5%,32%,8%,3%,18%,2%,14%,17%
Would you consider yourself:,Asian,1%,1%,<1%,1%,1%,2%,0%,0%,0%,15%,3%,<.5%,0%,0%,16%,<.5%,<1%,<.5%,<.5%,5%,2%,<.5%,0%,3%,<1%,<.5%,2%,<.5%,<.5%,2%
