itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",36%,35%,34%,42%,30%,37%,39%,33%,39%,30%,32%,34%,45%,35%,58%,33%,30%,47%,30%,46%,27%,53%,37%,44%,40%,27%,83%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",42%,44%,42%,39%,44%,41%,40%,47%,37%,31%,39%,48%,42%,47%,12%,33%,36%,33%,47%,37%,54%,21%,28%,32%,38%,53%,0%,86%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Robert F. Kennedy Jr., the third-party candidate",9%,8%,8%,7%,11%,9%,8%,9%,9%,17%,11%,8%,4%,8%,10%,13%,12%,8%,9%,8%,8%,8%,14%,9%,8%,9%,7%,7%,27%,0%
How satisfied are you with the way things are going in your life these days?,"Jill Stein [stine], the Green Party candidate",1%,2%,<1%,1%,1%,1%,<1%,<1%,2%,4%,2%,<.5%,<.5%,<1%,2%,1%,3%,1%,1%,1%,<1%,2%,2%,2%,1%,<1%,2%,<.5%,3%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] Cornel West, the third-party candidate",<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<1%,0%
How satisfied are you with the way things are going in your life these days?,"Lars Mapstead [map-sted], the Libertarian Party candidate",1%,1%,2%,1%,2%,<1%,<1%,1%,1%,1%,2%,1%,<.5%,1%,<1%,2%,2%,2%,1%,2%,1%,2%,1%,1%,1%,1%,1%,<1%,4%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Another candidate (specify),<1%,<.5%,1%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,1%,<.5%,2%,<.5%,<1%,<.5%,<.5%,<.5%,1%,<.5%,<1%,<1%,<.5%,<.5%,4%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Not going to vote/wouldn't vote if those were the choices,2%,1%,2%,2%,3%,2%,3%,2%,2%,3%,2%,2%,1%,1%,4%,2%,5%,2%,2%,1%,1%,3%,3%,2%,2%,2%,1%,<1%,13%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,8%,8%,11%,7%,9%,8%,8%,7%,10%,13%,10%,6%,6%,7%,12%,16%,10%,7%,9%,6%,7%,10%,13%,10%,8%,8%,5%,5%,49%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,33%,28%,72%,10%,9%,6%,37%,62%,28%,44%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Definitely,76%,77%,75%,76%,73%,78%,76%,78%,74%,53%,66%,80%,87%,79%,68%,65%,65%,77%,75%,77%,80%,75%,61%,76%,75%,77%,74%,80%,40%,80%
How satisfied are you with the way things are going in your life these days?,Probably,22%,20%,22%,23%,24%,21%,22%,20%,24%,46%,31%,19%,11%,20%,29%,33%,33%,22%,22%,21%,19%,24%,35%,22%,23%,21%,24%,19%,47%,19%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,3%,1%,3%,1%,1%,2%,2%,1%,3%,1%,2%,2%,4%,2%,1%,2%,2%,2%,2%,1%,3%,2%,2%,2%,2%,2%,12%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,532",547,487,524,518,908,548,"1,859","1,642",578,778,"1,117",939,"2,550",373,298,225,"1,580","1,935","1,214","1,328",322,569,810,"1,547","1,175","1,633","1,775",124,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,16%,17%,17%,17%,17%,49%,50%,12%,21%,34%,29%,74%,9%,8%,6%,38%,61%,29%,45%,8%,15%,22%,42%,36%,45%,51%,3%,41%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",43%,43%,41%,47%,38%,45%,46%,37%,49%,47%,41%,40%,48%,40%,70%,47%,41%,54%,37%,52%,32%,63%,51%,52%,48%,32%,100%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",49%,49%,50%,46%,51%,48%,47%,55%,43%,43%,49%,53%,46%,54%,18%,42%,46%,39%,55%,42%,61%,27%,37%,38%,44%,61%,0%,100%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,8%,8%,9%,8%,10%,7%,7%,7%,9%,10%,9%,7%,6%,6%,11%,11%,12%,8%,8%,6%,6%,10%,12%,10%,8%,7%,0%,0%,100%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,33%,28%,72%,10%,9%,6%,37%,62%,28%,44%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,... the Democrat,46%,46%,-,-,41%,46%,49%,39%,52%,52%,45%,41%,49%,44%,71%,48%,47%,54%,41%,53%,38%,61%,51%,54%,48%,36%,90%,8%,36%,92%
How satisfied are you with the way things are going in your life these days?,... the Republican,42%,43%,-,-,41%,44%,42%,50%,35%,31%,41%,48%,42%,47%,12%,32%,38%,36%,46%,38%,52%,27%,29%,32%,39%,54%,4%,80%,16%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,12%,11%,-,-,19%,10%,9%,11%,13%,17%,14%,11%,9%,10%,17%,20%,16%,10%,13%,9%,10%,12%,20%,14%,12%,10%,6%,11%,48%,5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"2,877",626,,,614,"1,023",614,"1,512","1,337",467,595,903,804,"2,051",229,304,212,"1,248","1,611",963,"1,083",237,497,817,"1,195",865,"1,291","1,332",254,"1,044"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,25%,,,25%,25%,25%,48%,51%,13%,21%,33%,29%,74%,6%,11%,7%,37%,62%,29%,45%,7%,16%,29%,37%,34%,43%,49%,8%,35%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Arizona voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Ruben Gallego [gah-yeh-go], the Democrat",46%,46%,-,-,-,-,-,39%,53%,54%,44%,44%,49%,44%,61%,51%,55%,52%,43%,49%,40%,65%,49%,52%,45%,39%,90%,8%,56%,92%
How satisfied are you with the way things are going in your life these days?,"Kari [care-ee] Lake, the Republican",43%,43%,-,-,-,-,-,51%,36%,26%,47%,50%,41%,47%,32%,30%,40%,40%,45%,43%,50%,31%,35%,36%,45%,52%,4%,82%,8%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,11%,11%,-,-,-,-,-,10%,11%,21%,9%,6%,11%,9%,7%,19%,5%,8%,12%,9%,10%,4%,17%,12%,10%,10%,6%,11%,36%,5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,626,,,,,,325,297,110,143,201,140,384,35,141,52,252,370,176,208,67,158,251,224,151,257,310,59,202
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,100%,,,,,,47%,52%,13%,20%,31%,30%,67%,5%,17%,8%,39%,60%,28%,39%,9%,21%,39%,36%,25%,43%,49%,8%,35%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Jacky Rosen, the Democrat",41%,-,-,-,41%,-,-,36%,47%,44%,41%,33%,48%,37%,70%,45%,34%,49%,37%,47%,31%,51%,45%,46%,45%,24%,88%,10%,17%,91%
How satisfied are you with the way things are going in your life these days?,"Sam Brown, the Republican",41%,-,-,-,41%,-,-,47%,34%,30%,40%,48%,41%,48%,7%,33%,42%,34%,45%,37%,54%,29%,32%,38%,32%,62%,3%,74%,14%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,19%,-,-,-,19%,-,-,17%,20%,26%,19%,19%,12%,15%,23%,22%,24%,18%,19%,17%,14%,20%,23%,16%,23%,14%,9%,16%,69%,7%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,,,,614,,,313,296,126,125,176,153,325,61,129,78,220,387,142,181,67,196,279,226,109,245,296,73,180
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,100%,,,51%,49%,13%,22%,31%,27%,59%,7%,19%,12%,32%,66%,21%,37%,10%,28%,43%,37%,20%,38%,51%,10%,30%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Pennsylvania voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Bob Casey, the Democrat",46%,-,-,-,-,46%,-,39%,53%,50%,49%,44%,47%,44%,77%,23%,51%,58%,38%,58%,34%,69%,58%,64%,49%,34%,89%,7%,40%,91%
How satisfied are you with the way things are going in your life these days?,"David McCormick, the Republican",44%,-,-,-,-,44%,-,51%,37%,37%,39%,47%,45%,48%,10%,50%,29%,34%,50%,35%,56%,20%,21%,21%,41%,58%,6%,83%,14%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,-,-,-,-,10%,-,10%,10%,13%,12%,9%,7%,9%,14%,26%,20%,8%,12%,7%,10%,11%,21%,15%,10%,8%,5%,10%,46%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",,,,,"1,023",,573,435,157,210,331,296,812,106,17,57,501,519,406,406,75,103,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,48%,51%,12%,22%,33%,30%,82%,9%,2%,5%,39%,60%,33%,49%,6%,10%,17%,47%,36%,45%,48%,7%,37%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Tammy Baldwin, the Democrat",49%,-,-,-,-,-,49%,42%,55%,61%,48%,43%,53%,47%,74%,56%,63%,57%,45%,56%,43%,67%,66%,65%,56%,40%,90%,9%,39%,94%
How satisfied are you with the way things are going in your life these days?,"Eric Hovde [huv-dee], the Republican",42%,-,-,-,-,-,42%,51%,34%,31%,39%,48%,41%,45%,0%,29%,30%,37%,45%,38%,49%,19%,17%,21%,39%,51%,4%,82%,31%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,-,-,-,-,-,9%,6%,11%,8%,14%,9%,6%,8%,26%,15%,6%,7%,10%,6%,9%,15%,17%,14%,5%,9%,6%,9%,29%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,,,,,,614,301,309,74,117,195,215,530,27,17,25,275,335,239,288,28,40,134,164,316,305,266,43,262
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,,100%,47%,52%,12%,19%,36%,30%,86%,4%,4%,4%,37%,62%,32%,53%,3%,8%,19%,27%,54%,46%,47%,7%,39%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
