itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,1%,2%,1%,<.5%,2%,2%,1%,1%,3%,<1%,2%,1%,1%,1%,1%,2%,2%,<1%,<1%,2%,3%,2%,2%,<.5%,2%,<1%,1%,2%,<1%,<1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
"(including leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",47%,39%,55%,59%,49%,45%,46%,41%,72%,60%,58%,58%,40%,56%,29%,66%,62%,46%,48%,42%,56%,59%,51%,36%,100%,0%,0%,100%,0%,21%
"(including leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",48%,56%,41%,38%,45%,51%,51%,55%,19%,36%,36%,38%,55%,41%,67%,26%,33%,50%,45%,55%,39%,35%,46%,59%,0%,100%,0%,0%,100%,50%
"(including leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,5%,4%,4%,6%,4%,4%,4%,9%,3%,7%,4%,5%,3%,4%,8%,5%,4%,7%,3%,5%,6%,4%,5%,0%,0%,100%,0%,0%,29%
"(including leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",44%,35%,51%,52%,42%,41%,45%,38%,70%,52%,47%,54%,36%,53%,27%,59%,55%,44%,44%,39%,50%,54%,45%,35%,92%,0%,0%,100%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",43%,51%,36%,35%,35%,48%,46%,51%,13%,33%,27%,32%,51%,37%,62%,14%,29%,45%,39%,51%,33%,31%,41%,54%,0%,90%,0%,0%,100%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",5%,7%,4%,7%,7%,4%,5%,5%,4%,7%,8%,6%,5%,5%,6%,11%,4%,6%,7%,2%,7%,5%,5%,5%,2%,5%,33%,0%,0%,100%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein, the Green Party candidate",<1%,<1%,<.5%,2%,<.5%,<.5%,0%,<.5%,0%,2%,3%,<1%,<.5%,<.5%,0%,2%,1%,<1%,<.5%,<1%,<.5%,0%,<1%,<.5%,<1%,0%,4%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,1%,<.5%,0%,<.5%,0%,1%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",<.5%,<1%,<.5%,<.5%,2%,<.5%,0%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,<1%,0%,<.5%,1%,<.5%,0%,<.5%,<1%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<1%,<1%,<.5%,0%,0%,<.5%,5%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,1%,1%,2%,1%,3%,1%,<1%,<.5%,5%,<.5%,6%,<1%,2%,<.5%,<.5%,2%,5%,<.5%,3%,1%,1%,2%,2%,<.5%,1%,<.5%,11%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,4%,7%,2%,9%,5%,3%,4%,7%,7%,8%,6%,4%,4%,4%,11%,5%,3%,6%,5%,6%,7%,5%,5%,3%,3%,46%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
"(Leaners, if not supporting Trump or Harris)  If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",28%,24%,32%,51%,30%,31%,10%,23%,12%,55%,41%,28%,30%,31%,18%,25%,46%,18%,27%,28%,36%,29%,39%,11%,100%,0%,0%,-,-,21%
"(Leaners, if not supporting Trump or Harris)  If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",37%,37%,37%,21%,42%,30%,47%,40%,37%,24%,33%,42%,32%,38%,41%,46%,21%,39%,32%,43%,34%,32%,35%,43%,0%,100%,0%,-,-,50%
"(Leaners, if not supporting Trump or Harris)  If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,35%,39%,31%,29%,28%,39%,43%,37%,51%,21%,25%,30%,38%,31%,41%,29%,34%,42%,41%,29%,30%,39%,26%,46%,0%,0%,100%,-,-,29%
"(Leaners, if not supporting Trump or Harris)  If you had to decide between the two today, would you lean more toward:",Number of respondents,187,93,93,37,66,54,25,94,22,28,37,89,94,45,47,41,46,34,48,49,56,40,97,50,56,67,64,,,72
(Responses reclassified by age group) In what year were you born?,18-29,13%,12%,12%,100%,0%,0%,0%,10%,10%,23%,22%,10%,14%,10%,11%,13%,21%,11%,11%,12%,16%,16%,12%,11%,15%,10%,11%,15%,10%,17%
(Responses reclassified by age group) In what year were you born?,30-44,22%,22%,21%,0%,100%,0%,0%,20%,29%,23%,23%,28%,17%,27%,14%,32%,22%,18%,27%,19%,24%,25%,22%,18%,22%,20%,29%,21%,18%,29%
(Responses reclassified by age group) In what year were you born?,45-64,33%,34%,33%,0%,0%,100%,0%,35%,33%,32%,32%,35%,32%,35%,34%,38%,29%,34%,34%,36%,29%,31%,33%,35%,32%,35%,31%,32%,37%,25%
(Responses reclassified by age group) In what year were you born?,65+,29%,27%,31%,0%,0%,0%,100%,32%,27%,20%,19%,24%,32%,26%,37%,14%,24%,33%,26%,31%,26%,24%,28%,33%,28%,31%,25%,30%,31%,29%
(Responses reclassified by age group) In what year were you born?,Refused,3%,4%,2%,0%,0%,0%,0%,3%,2%,3%,4%,3%,4%,2%,4%,2%,3%,4%,2%,3%,5%,4%,4%,2%,2%,4%,5%,3%,4%,0%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
What is the highest educational level that you have completed?,Grade school,2%,3%,<1%,<1%,1%,3%,2%,1%,<1%,7%,3%,0%,4%,0%,2%,0%,6%,2%,2%,1%,3%,1%,2%,3%,2%,2%,0%,2%,1%,5%
What is the highest educational level that you have completed?,High school,25%,26%,24%,38%,16%,24%,28%,23%,22%,44%,26%,0%,44%,0%,43%,0%,46%,25%,23%,29%,21%,20%,24%,29%,19%,31%,26%,18%,33%,28%
What is the highest educational level that you have completed?,Vocational or trade school,4%,5%,3%,4%,5%,5%,3%,4%,5%,5%,3%,0%,7%,0%,7%,0%,6%,4%,3%,5%,3%,3%,2%,6%,2%,6%,4%,2%,6%,<1%
What is the highest educational level that you have completed?,"Some college, no degree",15%,15%,16%,16%,13%,14%,18%,15%,19%,15%,20%,0%,27%,0%,27%,0%,27%,16%,15%,16%,14%,16%,12%,19%,14%,17%,15%,14%,17%,16%
What is the highest educational level that you have completed?,Associate’s degree,11%,10%,12%,8%,10%,10%,14%,12%,18%,8%,5%,0%,19%,0%,21%,0%,15%,11%,11%,14%,8%,10%,11%,12%,11%,11%,14%,11%,11%,5%
What is the highest educational level that you have completed?,Bachelor's degree,25%,24%,26%,27%,32%,25%,19%,28%,20%,14%,23%,60%,0%,63%,0%,57%,0%,28%,25%,19%,31%,29%,29%,17%,29%,21%,24%,30%,21%,33%
What is the highest educational level that you have completed?,Graduate or professional degree,16%,16%,16%,6%,21%,18%,15%,17%,15%,7%,19%,40%,0%,37%,0%,43%,0%,11%,21%,16%,17%,19%,17%,14%,22%,11%,14%,22%,10%,13%
What is the highest educational level that you have completed?,[VOL] Refused,1%,<1%,2%,0%,1%,<1%,2%,<1%,0%,2%,<1%,0%,0%,0%,0%,0%,0%,<1%,<.5%,<1%,3%,2%,1%,<.5%,<1%,1%,4%,<1%,1%,0%
What is the highest educational level that you have completed?,Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
Would you consider yourself:,White,67%,70%,65%,56%,63%,70%,74%,99%,0%,0%,0%,73%,64%,99%,99%,0%,0%,79%,72%,64%,57%,51%,67%,78%,59%,77%,52%,60%,80%,59%
Would you consider yourself:,Hispanic or Latino,10%,8%,12%,18%,11%,9%,7%,0%,0%,99%,0%,5%,13%,0%,0%,21%,39%,4%,6%,11%,17%,16%,10%,6%,12%,8%,7%,12%,7%,13%
Would you consider yourself:,Black or African American,10%,9%,11%,8%,13%,10%,9%,0%,100%,0%,0%,8%,11%,0%,0%,36%,32%,7%,10%,14%,5%,16%,10%,6%,15%,4%,18%,16%,3%,8%
Would you consider yourself:,Asian,3%,4%,3%,5%,4%,4%,1%,0%,0%,0%,33%,5%,2%,0%,0%,22%,5%,<1%,3%,2%,7%,6%,4%,<1%,4%,2%,5%,3%,1%,6%
Would you consider yourself:,American Indian or Alaska Native,2%,2%,2%,<1%,2%,1%,1%,0%,0%,0%,17%,<1%,2%,0%,0%,4%,6%,2%,<.5%,1%,3%,3%,<.5%,2%,1%,2%,1%,2%,2%,3%
Would you consider yourself:,Middle Eastern or North African,<1%,<1%,<.5%,2%,0%,1%,0%,0%,0%,0%,6%,<.5%,<1%,0%,0%,2%,2%,0%,2%,<.5%,<.5%,<1%,<1%,0%,<.5%,<.5%,4%,0%,<.5%,0%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<1%,<1%,<1%,1%,<.5%,<1%,0%,0%,0%,7%,<.5%,<1%,0%,0%,2%,2%,0%,<.5%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<.5%,<1%,<1%,2%
Would you consider yourself:,[VOL] Some other race (specify),2%,1%,2%,2%,1%,2%,2%,1%,0%,<1%,9%,1%,2%,1%,1%,2%,4%,3%,2%,1%,3%,2%,2%,2%,2%,2%,8%,2%,1%,7%
Would you consider yourself:,[VOL] More than one race,3%,3%,3%,7%,3%,2%,3%,0%,0%,0%,29%,2%,3%,0%,0%,11%,9%,2%,4%,2%,4%,3%,2%,3%,4%,2%,2%,4%,2%,1%
Would you consider yourself:,[VOL] Refused,2%,3%,2%,<1%,2%,1%,3%,0%,0%,0%,0%,3%,1%,0%,0%,0%,0%,2%,<.5%,3%,3%,3%,2%,2%,2%,3%,3%,2%,3%,<1%
Would you consider yourself:,Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,33%,24%,40%,32%,35%,31%,35%,27%,59%,46%,35%,37%,30%,34%,22%,51%,45%,29%,37%,28%,39%,43%,35%,24%,65%,3%,10%,67%,3%,20%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,33%,37%,29%,28%,22%,36%,38%,39%,3%,35%,19%,23%,39%,27%,48%,12%,23%,34%,28%,38%,27%,24%,29%,42%,3%,63%,21%,2%,68%,17%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,29%,32%,26%,33%,36%,29%,22%,29%,30%,15%,39%,36%,25%,37%,24%,32%,26%,32%,28%,27%,29%,25%,31%,29%,29%,27%,46%,27%,25%,53%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,3%,3%,2%,5%,4%,2%,2%,2%,2%,2%,5%,3%,3%,2%,3%,3%,3%,2%,3%,4%,2%,4%,3%,3%,2%,3%,6%,2%,2%,4%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,3%,3%,2%,2%,4%,2%,3%,2%,6%,2%,2%,1%,3%,1%,3%,2%,4%,3%,4%,2%,3%,4%,2%,3%,<1%,3%,17%,1%,2%,6%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,40%,35%,45%,64%,35%,34%,40%,39%,47%,49%,37%,50%,31%,53%,25%,43%,43%,40%,33%,38%,48%,46%,39%,37%,84%,4%,6%,88%,3%,27%
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,41%,49%,33%,21%,44%,40%,51%,48%,18%,11%,40%,35%,48%,39%,58%,24%,27%,45%,42%,44%,32%,29%,44%,44%,4%,83%,12%,2%,86%,54%
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,19%,16%,22%,15%,21%,26%,9%,13%,34%,40%,23%,15%,21%,8%,18%,33%,29%,15%,25%,18%,20%,25%,16%,19%,12%,13%,82%,11%,10%,19%
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,457,243,209,79,145,148,68,298,50,36,55,244,208,178,119,57,83,108,96,157,96,96,208,153,199,209,49,165,161,49
Combined: Party identification and leaners,The Democratic Party,46%,37%,54%,57%,50%,42%,46%,40%,77%,56%,52%,57%,39%,54%,29%,67%,59%,44%,49%,41%,55%,58%,49%,37%,92%,5%,14%,94%,3%,37%
Combined: Party identification and leaners,The Republican Party,47%,56%,39%,37%,41%,49%,52%,55%,10%,37%,37%,37%,54%,42%,66%,21%,32%,50%,42%,53%,38%,34%,45%,57%,4%,91%,29%,3%,93%,51%
Combined: Party identification and leaners,[VOL] Don't know/Refused,7%,6%,7%,6%,9%,9%,2%,4%,13%,8%,10%,6%,7%,3%,5%,12%,9%,5%,9%,6%,7%,8%,6%,7%,4%,4%,57%,3%,3%,12%
Combined: Party identification and leaners,Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,41%,47%,36%,20%,31%,46%,49%,50%,5%,26%,27%,30%,49%,35%,63%,14%,22%,45%,37%,48%,28%,25%,39%,53%,2%,81%,20%,2%,86%,30%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,45%,36%,53%,44%,50%,45%,44%,40%,70%,52%,48%,57%,37%,56%,28%,62%,54%,45%,50%,37%,52%,57%,47%,36%,87%,5%,30%,89%,4%,34%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,11%,13%,9%,34%,13%,8%,4%,7%,22%,20%,20%,8%,13%,5%,8%,17%,23%,7%,11%,10%,15%,15%,12%,7%,9%,12%,26%,7%,10%,26%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,2%,1%,<1%,2%,1%,1%,1%,1%,1%,3%,2%,1%,2%,1%,4%,<1%,1%,1%,1%,2%,<.5%,1%,3%,1%,1%,8%,<1%,<1%,7%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,2%,1%,3%,<1%,2%,1%,3%,1%,1%,3%,<1%,2%,<.5%,3%,<1%,1%,<.5%,3%,2%,3%,2%,1%,1%,<1%,15%,1%,<.5%,2%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,46%,54%,39%,30%,36%,50%,50%,54%,6%,32%,34%,33%,56%,37%,68%,17%,28%,49%,42%,54%,34%,30%,44%,57%,2%,92%,27%,2%,95%,41%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,51%,41%,58%,66%,58%,48%,46%,43%,89%,65%,61%,62%,42%,59%,30%,75%,70%,48%,56%,42%,61%,67%,53%,39%,96%,6%,41%,96%,4%,47%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,2%,1%,1%,3%,1%,1%,2%,1%,1%,4%,2%,1%,2%,1%,5%,1%,1%,1%,1%,3%,<1%,1%,3%,1%,2%,11%,<1%,<1%,10%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,2%,2%,4%,<1%,2%,1%,3%,2%,1%,3%,<1%,2%,<.5%,4%,1%,1%,<.5%,3%,2%,3%,2%,1%,1%,<1%,21%,2%,<.5%,3%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,961,459,495,114,244,350,222,677,89,90,81,519,434,385,289,121,137,223,191,334,213,191,436,334,479,445,37,442,402,47
"(If Democrat or lean toward the Democratic party)  Do you think the Democratic Party should nominate Kamala [COMMA-luh] Harris as the party’s candidate for president in 2024, or do you think the party should nominate a different candidate for president in 2024?",Nominate Kamala Harris as the 2024 presidential candidate,81%,80%,82%,84%,70%,82%,86%,80%,77%,85%,86%,80%,82%,82%,78%,74%,86%,83%,79%,84%,77%,80%,82%,79%,86%,10%,16%,87%,16%,27%
"(If Democrat or lean toward the Democratic party)  Do you think the Democratic Party should nominate Kamala [COMMA-luh] Harris as the party’s candidate for president in 2024, or do you think the party should nominate a different candidate for president in 2024?",Nominate a different person as the 2024 presidential candidate,13%,16%,10%,9%,22%,13%,7%,13%,16%,9%,9%,13%,12%,11%,15%,19%,9%,10%,11%,9%,20%,15%,10%,15%,9%,79%,60%,7%,67%,63%
"(If Democrat or lean toward the Democratic party)  Do you think the Democratic Party should nominate Kamala [COMMA-luh] Harris as the party’s candidate for president in 2024, or do you think the party should nominate a different candidate for president in 2024?",[VOL] Don't know/Refused,6%,4%,8%,6%,8%,5%,6%,7%,7%,6%,4%,7%,6%,7%,7%,7%,5%,6%,9%,6%,4%,5%,7%,5%,6%,12%,24%,6%,17%,10%
"(If Democrat or lean toward the Democratic party)  Do you think the Democratic Party should nominate Kamala [COMMA-luh] Harris as the party’s candidate for president in 2024, or do you think the party should nominate a different candidate for president in 2024?",Number of respondents,531,217,309,103,135,170,111,315,91,65,52,325,203,224,90,97,110,112,119,162,138,137,259,135,497,26,8,460,17,23
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,[VOL] Gavin Newsom,13%,16%,11%,4%,15%,21%,0%,6%,25%,21%,29%,17%,3%,2%,0%,40%,8%,0%,0%,11%,24%,9%,25%,2%,3%,34%,0%,4%,17%,27%
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,[VOL] Kamala Harris,5%,0%,10%,0%,0%,11%,11%,6%,9%,0%,0%,7%,4%,11%,0%,0%,10%,10%,0%,0%,8%,6%,9%,0%,8%,0%,0%,11%,0%,0%
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,[VOL] Robert F. Kennedy Jr.,5%,2%,3%,0%,7%,4%,0%,0%,4%,6%,10%,3%,8%,0%,0%,6%,5%,0%,20%,2%,2%,2%,2%,11%,2%,12%,0%,0%,22%,6%
