itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",33%,27%,39%,27%,31%,31%,42%,32%,56%,29%,25%,46%,26%,47%,22%,45%,34%,35%,38%,27%,37%,40%,35%,26%,82%,0%,0%,100%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",40%,49%,33%,36%,36%,46%,41%,47%,13%,37%,32%,29%,47%,32%,58%,21%,29%,43%,33%,48%,32%,27%,37%,53%,0%,82%,0%,0%,100%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",10%,9%,11%,15%,14%,9%,6%,8%,8%,19%,16%,9%,11%,9%,8%,10%,17%,9%,10%,9%,13%,12%,11%,8%,8%,9%,24%,0%,0%,100%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein, the Green Party candidate",2%,2%,2%,3%,4%,1%,<1%,2%,3%,3%,4%,3%,1%,3%,1%,5%,2%,1%,4%,2%,3%,4%,2%,1%,2%,<1%,7%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<1%,0%,<.5%,<.5%,<.5%,0%,<.5%,<1%,0%,1%,<1%,<.5%,<.5%,0%,2%,<.5%,0%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,1%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",1%,2%,1%,4%,2%,<.5%,<.5%,2%,0%,<1%,2%,1%,2%,2%,2%,<1%,1%,2%,1%,2%,<1%,<.5%,2%,2%,1%,<1%,5%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<1%,1%,<1%,1%,<.5%,1%,<1%,<1%,0%,0%,3%,<1%,<1%,<1%,<.5%,<1%,<1%,<1%,<.5%,2%,<.5%,<.5%,1%,<1%,<.5%,<1%,6%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,4%,3%,5%,4%,4%,4%,3%,4%,4%,2%,7%,3%,4%,3%,4%,5%,4%,3%,4%,4%,6%,7%,3%,3%,1%,2%,22%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,7%,6%,9%,8%,8%,6%,7%,5%,15%,9%,9%,6%,8%,4%,5%,10%,12%,6%,9%,7%,9%,9%,8%,6%,5%,4%,35%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:","Joe Biden, the Democrat",28%,18%,35%,36%,26%,16%,37%,23%,53%,34%,16%,25%,28%,23%,23%,32%,34%,27%,25%,29%,28%,33%,27%,24%,100%,0%,0%,-,0%,32%
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",34%,37%,32%,32%,43%,39%,17%,40%,7%,42%,37%,32%,36%,36%,43%,24%,32%,40%,39%,25%,37%,28%,36%,37%,0%,100%,0%,-,100%,45%
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,38%,45%,33%,32%,32%,44%,46%,37%,40%,25%,47%,43%,36%,41%,33%,44%,34%,33%,36%,46%,34%,40%,37%,38%,0%,0%,100%,-,0%,24%
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:",Number of respondents,404,184,217,93,113,117,67,216,52,60,52,191,209,113,101,69,94,77,77,142,108,108,188,108,112,136,156,,2,156
(Responses reclassified by age group) In what year were you born?,18-29,16%,17%,15%,100%,0%,0%,0%,13%,24%,26%,21%,12%,19%,11%,14%,15%,29%,16%,13%,17%,19%,21%,17%,12%,16%,16%,19%,13%,14%,25%
(Responses reclassified by age group) In what year were you born?,30-44,23%,24%,23%,0%,100%,0%,0%,21%,23%,30%,35%,30%,19%,28%,17%,38%,25%,21%,27%,20%,26%,28%,24%,20%,23%,24%,25%,22%,21%,32%
(Responses reclassified by age group) In what year were you born?,45-64,31%,31%,31%,0%,0%,100%,0%,33%,29%,24%,29%,34%,30%,33%,33%,33%,25%,35%,30%,32%,26%,27%,32%,33%,27%,34%,31%,29%,35%,29%
(Responses reclassified by age group) In what year were you born?,65+,26%,25%,27%,0%,0%,0%,100%,30%,20%,17%,12%,22%,28%,26%,34%,12%,19%,26%,27%,27%,24%,21%,25%,32%,31%,23%,21%,33%,27%,14%
(Responses reclassified by age group) In what year were you born?,Refused,3%,3%,4%,0%,0%,0%,0%,3%,3%,2%,3%,3%,3%,2%,3%,2%,3%,2%,3%,4%,4%,3%,3%,4%,3%,3%,5%,3%,3%,<.5%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"1,532",731,786,249,346,503,386,"1,003",178,167,129,755,764,523,476,206,263,329,304,558,341,353,677,502,664,712,156,552,578,156
What is the highest educational level that you have completed?,Grade school,3%,4%,2%,0%,1%,2%,4%,1%,0%,10%,4%,0%,4%,0%,2%,0%,7%,<.5%,2%,3%,4%,2%,3%,3%,3%,2%,7%,3%,2%,3%
What is the highest educational level that you have completed?,High school,28%,30%,27%,44%,19%,24%,32%,27%,30%,35%,26%,0%,46%,0%,46%,0%,47%,32%,26%,29%,25%,25%,25%,34%,21%,36%,20%,18%,38%,25%
What is the highest educational level that you have completed?,Vocational or trade school,5%,6%,3%,4%,4%,5%,5%,5%,4%,4%,3%,0%,7%,0%,8%,0%,6%,7%,3%,4%,4%,4%,3%,7%,2%,7%,4%,2%,7%,2%
What is the highest educational level that you have completed?,"Some college, no degree",17%,14%,19%,19%,16%,17%,17%,16%,23%,18%,13%,0%,28%,0%,28%,0%,28%,15%,16%,17%,19%,15%,16%,20%,17%,17%,16%,16%,16%,20%
What is the highest educational level that you have completed?,Associate’s degree,9%,9%,9%,5%,11%,10%,9%,9%,10%,9%,6%,0%,15%,0%,15%,0%,13%,10%,8%,9%,10%,10%,8%,9%,8%,9%,11%,9%,9%,14%
What is the highest educational level that you have completed?,Bachelor's degree,23%,23%,23%,24%,30%,24%,16%,25%,16%,14%,27%,61%,0%,63%,0%,57%,0%,22%,26%,22%,23%,27%,27%,16%,26%,20%,26%,27%,19%,25%
What is the highest educational level that you have completed?,Graduate or professional degree,15%,13%,16%,4%,18%,17%,16%,15%,14%,9%,20%,39%,0%,37%,0%,43%,0%,13%,18%,14%,14%,17%,17%,10%,22%,9%,14%,25%,8%,9%
What is the highest educational level that you have completed?,[VOL] Refused,<1%,1%,<.5%,0%,<.5%,<1%,2%,<.5%,3%,<1%,0%,0%,0%,0%,0%,0%,0%,<1%,<1%,1%,<1%,<.5%,1%,<1%,<1%,1%,<1%,<.5%,1%,<1%
Would you consider yourself:,White,64%,66%,62%,49%,57%,68%,74%,99%,0%,0%,0%,69%,61%,99%,98%,0%,0%,75%,66%,59%,59%,48%,59%,79%,58%,72%,47%,62%,75%,52%
Would you consider yourself:,Hispanic or Latino,11%,10%,12%,18%,14%,9%,7%,0%,0%,100%,0%,7%,14%,0%,0%,25%,39%,6%,10%,9%,20%,15%,14%,5%,11%,11%,10%,10%,10%,21%
Would you consider yourself:,Black or African American,11%,10%,13%,17%,11%,10%,9%,0%,99%,0%,0%,9%,12%,0%,0%,32%,36%,8%,10%,18%,6%,19%,12%,6%,20%,3%,14%,19%,4%,9%
Would you consider yourself:,Asian,2%,3%,2%,1%,6%,2%,<.5%,0%,0%,0%,26%,4%,1%,0%,0%,16%,4%,2%,2%,2%,5%,5%,3%,<.5%,2%,3%,4%,2%,2%,3%
Would you consider yourself:,American Indian or Alaska Native,<1%,1%,<.5%,<.5%,<.5%,1%,<1%,0%,0%,0%,8%,<1%,<1%,0%,0%,3%,2%,<1%,<1%,1%,<.5%,<1%,<1%,<1%,<1%,<1%,2%,<1%,<1%,<.5%
Would you consider yourself:,Middle Eastern or North African,1%,2%,<1%,3%,<1%,1%,<1%,0%,0%,0%,12%,2%,<1%,0%,0%,8%,2%,1%,2%,1%,<1%,2%,1%,0%,<1%,1%,2%,<1%,1%,0%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<1%,<1%,<1%,1%,<1%,<1%,0%,0%,0%,8%,<1%,<1%,0%,0%,3%,2%,<1%,1%,<.5%,<1%,2%,<1%,<.5%,<.5%,1%,<1%,<.5%,<1%,2%
Would you consider yourself:,[VOL] Some other race (specify),3%,4%,3%,5%,4%,4%,1%,1%,<1%,<.5%,23%,2%,4%,<1%,2%,7%,8%,3%,4%,3%,3%,3%,3%,3%,3%,3%,7%,3%,3%,5%
Would you consider yourself:,[VOL] More than one race,2%,2%,3%,4%,3%,1%,2%,0%,0%,0%,22%,2%,2%,0%,0%,6%,7%,1%,<1%,3%,3%,3%,2%,2%,1%,2%,6%,1%,2%,6%
Would you consider yourself:,[VOL] Refused,3%,3%,3%,2%,1%,3%,4%,0%,0%,0%,0%,3%,3%,0%,0%,0%,0%,3%,4%,3%,3%,2%,3%,4%,2%,3%,8%,2%,3%,2%
Would you consider yourself:,Number of respondents,"1,532",731,786,249,346,503,386,"1,003",178,167,129,755,764,523,476,206,263,329,304,558,341,353,677,502,664,712,156,552,578,156
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,28%,18%,37%,25%,28%,23%,36%,23%,57%,29%,29%,32%,25%,30%,18%,40%,38%,27%,32%,23%,34%,40%,27%,21%,63%,3%,10%,68%,2%,20%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,29%,33%,25%,22%,23%,34%,35%,36%,8%,26%,19%,23%,33%,26%,42%,17%,17%,32%,23%,33%,24%,18%,27%,39%,2%,56%,6%,2%,63%,11%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,33%,39%,28%,41%,36%,34%,25%,33%,25%,36%,38%,36%,33%,37%,31%,30%,35%,31%,39%,32%,33%,33%,36%,31%,30%,32%,58%,26%,27%,59%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,5%,3%,4%,6%,5%,<1%,4%,3%,2%,5%,4%,4%,4%,4%,4%,3%,5%,<.5%,5%,5%,4%,4%,4%,3%,4%,8%,3%,3%,4%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,6%,4%,6%,7%,8%,4%,4%,4%,7%,7%,8%,5%,5%,3%,4%,9%,7%,5%,6%,7%,4%,5%,6%,6%,2%,6%,19%,1%,5%,6%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,36%,42%,31%,17%,30%,48%,41%,45%,12%,21%,24%,26%,43%,31%,55%,13%,21%,38%,31%,43%,30%,19%,33%,53%,1%,72%,6%,<1%,79%,18%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,40%,33%,46%,27%,42%,38%,49%,37%,61%,34%,44%,55%,31%,54%,25%,62%,40%,41%,47%,34%,42%,53%,42%,28%,83%,6%,29%,88%,4%,37%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,19%,20%,19%,52%,22%,11%,8%,14%,23%,41%,28%,13%,23%,10%,16%,22%,36%,18%,18%,18%,24%,24%,21%,14%,13%,19%,45%,10%,15%,38%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,3%,1%,3%,3%,2%,<.5%,2%,0%,2%,2%,3%,2%,3%,2%,2%,<1%,3%,2%,1%,3%,2%,2%,2%,1%,2%,8%,<1%,<1%,5%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,3%,1%,3%,2%,3%,2%,3%,2%,2%,3%,2%,3%,2%,2%,3%,<1%,2%,4%,2%,3%,2%,3%,1%,2%,12%,<1%,1%,2%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,53%,39%,35%,38%,54%,44%,52%,16%,36%,33%,30%,55%,34%,65%,17%,32%,46%,38%,52%,39%,25%,42%,62%,2%,89%,11%,1%,93%,29%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,49%,41%,56%,56%,54%,42%,53%,43%,80%,59%,61%,64%,40%,59%,30%,79%,62%,50%,57%,41%,55%,69%,53%,33%,96%,7%,53%,98%,5%,59%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,4%,2%,7%,4%,2%,<.5%,3%,0%,3%,3%,3%,2%,4%,2%,2%,2%,3%,2%,2%,4%,2%,3%,2%,1%,2%,14%,<1%,<1%,7%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,3%,3%,2%,3%,2%,3%,2%,4%,3%,3%,3%,3%,3%,2%,2%,4%,<1%,3%,5%,3%,4%,2%,4%,1%,2%,22%,<1%,1%,4%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,028",475,541,111,230,379,282,733,110,81,75,553,468,406,324,129,134,219,217,373,219,240,443,345,490,470,68,427,405,84
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,17%,14%,20%,3%,10%,18%,31%,17%,25%,16%,13%,22%,14%,23%,12%,17%,19%,15%,21%,15%,20%,20%,19%,13%,40%,1%,2%,46%,<.5%,3%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,17%,14%,18%,19%,18%,14%,18%,14%,34%,14%,19%,19%,15%,19%,11%,23%,23%,20%,17%,15%,14%,19%,18%,13%,36%,2%,9%,36%,2%,15%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,14%,13%,15%,30%,18%,10%,7%,13%,18%,19%,16%,17%,13%,17%,10%,19%,18%,12%,16%,15%,14%,18%,16%,11%,14%,11%,32%,11%,8%,31%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,48%,54%,43%,42%,48%,57%,40%,55%,16%,44%,43%,38%,54%,39%,65%,35%,33%,51%,41%,51%,46%,36%,44%,59%,6%,83%,45%,3%,89%,49%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,4%,5%,4%,7%,5%,1%,4%,2%,8%,7%,9%,3%,4%,2%,3%,6%,8%,3%,4%,4%,6%,7%,3%,4%,4%,3%,13%,3%,<1%,2%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,34%,28%,38%,22%,28%,32%,49%,30%,59%,30%,32%,42%,29%,42%,22%,40%,41%,35%,38%,30%,34%,39%,37%,26%,76%,4%,11%,82%,2%,18%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,62%,67%,58%,71%,67%,67%,47%,67%,34%,63%,59%,55%,67%,56%,75%,54%,51%,62%,58%,66%,60%,54%,60%,70%,20%,94%,76%,15%,97%,80%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very favorable,23%,26%,20%,14%,16%,29%,26%,27%,10%,18%,11%,15%,27%,16%,35%,12%,13%,22%,18%,29%,18%,13%,20%,32%,<1%,44%,5%,<.5%,52%,6%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat favorable,20%,23%,17%,23%,25%,19%,14%,20%,8%,28%,20%,13%,24%,14%,25%,11%,21%,21%,16%,20%,21%,11%,21%,24%,2%,38%,4%,<1%,38%,21%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat unfavorable,11%,12%,9%,19%,13%,10%,5%,9%,15%,12%,14%,10%,11%,11%,8%,8%,16%,10%,13%,11%,8%,12%,12%,8%,7%,12%,21%,6%,7%,21%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very unfavorable,44%,36%,51%,40%,43%,41%,51%,41%,61%,38%,49%,58%,36%,57%,31%,61%,45%,44%,51%,36%,50%,60%,44%,33%,89%,4%,58%,92%,2%,50%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Have not heard of,<.5%,0%,<.5%,<1%,0%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,1%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Don't know/Refused,3%,3%,3%,3%,3%,1%,3%,1%,5%,4%,7%,3%,3%,1%,1%,7%,4%,2%,3%,4%,3%,4%,2%,3%,2%,2%,12%,1%,1%,2%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Favorable,42%,49%,37%,37%,40%,48%,40%,48%,17%,46%,31%,28%,51%,30%,60%,23%,34%,43%,34%,49%,39%,24%,41%,56%,2%,82%,9%,<1%,90%,27%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Unfavorable,55%,48%,60%,59%,57%,51%,56%,51%,76%,50%,63%,69%,47%,69%,39%,70%,61%,55%,64%,47%,58%,72%,56%,41%,96%,16%,79%,98%,9%,71%
