itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,sub_poll_phil,sub_poll_rest_of_pa,sub_poll_rest_of_u_s,x2024_vote_head_to_head_harris
What is the highest educational level that you have completed?,Grade school,2%,3%,1%,<1%,2%,3%,2%,2%,2%,5%,9%,2%,5%,0%,4%,0%,3%,0%,8%,3%,2%,2%,2%,4%,2%,2%,3%,2%,2%,1%
What is the highest educational level that you have completed?,High school,25%,28%,23%,33%,18%,19%,36%,26%,28%,31%,20%,26%,27%,0%,44%,0%,45%,0%,44%,27%,26%,25%,25%,19%,23%,33%,30%,32%,25%,18%
What is the highest educational level that you have completed?,Vocational or trade school,4%,5%,3%,5%,4%,4%,5%,4%,3%,7%,1%,4%,4%,0%,7%,0%,7%,0%,7%,6%,3%,4%,3%,4%,3%,6%,6%,4%,4%,3%
What is the highest educational level that you have completed?,"Some college, no degree",17%,16%,18%,22%,14%,17%,16%,17%,18%,15%,13%,17%,16%,0%,29%,0%,29%,0%,26%,16%,11%,16%,22%,18%,16%,17%,13%,15%,17%,16%
What is the highest educational level that you have completed?,Associate’s degree,9%,8%,10%,11%,12%,9%,7%,9%,6%,10%,10%,9%,9%,0%,16%,0%,16%,0%,14%,11%,9%,9%,10%,8%,9%,10%,8%,7%,9%,8%
What is the highest educational level that you have completed?,Bachelor's degree,25%,23%,26%,22%,30%,26%,20%,26%,27%,21%,20%,26%,23%,61%,0%,62%,0%,58%,0%,23%,26%,27%,22%,27%,28%,19%,22%,23%,25%,32%
What is the highest educational level that you have completed?,Graduate or professional degree,16%,15%,17%,6%,19%,20%,13%,16%,15%,10%,24%,16%,16%,39%,0%,38%,0%,42%,0%,12%,21%,16%,15%,18%,18%,12%,16%,16%,16%,21%
What is the highest educational level that you have completed?,[VOL] Refused,1%,1%,2%,0%,<.5%,2%,<1%,1%,<.5%,<.5%,2%,1%,<1%,0%,0%,0%,0%,0%,0%,1%,2%,1%,2%,1%,1%,2%,<.5%,1%,2%,<1%
What is the highest educational level that you have completed?,Number of respondents,"2,437","1,122","1,283",434,627,726,526,"1,540",349,243,215,"1,540",807,"1,159","1,248",788,740,333,467,304,"1,312",493,328,771,969,697,408,674,"1,355","1,276"
Would you consider yourself:,White,67%,67%,68%,52%,62%,68%,79%,99%,0%,0%,0%,99%,0%,68%,67%,99%,99%,0%,0%,79%,73%,63%,57%,56%,62%,80%,39%,82%,67%,62%
Would you consider yourself:,Hispanic or Latino,10%,10%,10%,23%,10%,8%,6%,0%,0%,99%,0%,0%,35%,8%,12%,0%,0%,28%,39%,3%,7%,12%,16%,16%,12%,5%,9%,4%,10%,11%
Would you consider yourself:,Black or African American,11%,11%,11%,10%,11%,13%,9%,0%,100%,0%,0%,0%,37%,11%,11%,0%,0%,40%,35%,10%,8%,16%,6%,15%,13%,6%,37%,6%,11%,18%
Would you consider yourself:,Asian,3%,4%,3%,8%,5%,3%,<.5%,0%,0%,0%,39%,0%,11%,3%,3%,0%,0%,12%,10%,2%,3%,2%,6%,5%,5%,<.5%,4%,1%,3%,4%
Would you consider yourself:,American Indian or Alaska Native,1%,1%,1%,1%,2%,2%,<.5%,0%,0%,0%,15%,0%,4%,1%,1%,0%,0%,5%,4%,1%,<1%,1%,2%,<1%,<1%,2%,0%,<.5%,1%,<1%
Would you consider yourself:,Middle Eastern or North African,<1%,1%,<1%,1%,2%,<.5%,<1%,0%,0%,0%,11%,0%,3%,<1%,<1%,0%,0%,3%,3%,<.5%,<.5%,1%,1%,1%,1%,<1%,<.5%,<.5%,<1%,<.5%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<.5%,<1%,2%,<.5%,<.5%,0%,0%,0%,0%,6%,0%,2%,<1%,<.5%,0%,0%,3%,1%,<.5%,<.5%,0%,2%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<.5%
Would you consider yourself:,[VOL] Some other race (specify),2%,2%,1%,<1%,2%,2%,1%,<1%,<.5%,<1%,10%,<1%,3%,2%,2%,1%,<1%,4%,3%,1%,<1%,2%,3%,1%,1%,2%,2%,3%,2%,<1%
Would you consider yourself:,[VOL] More than one race,1%,2%,1%,2%,3%,<1%,<1%,0%,0%,0%,19%,0%,5%,2%,1%,0%,0%,6%,5%,<1%,2%,1%,2%,2%,2%,<.5%,4%,<1%,2%,2%
Would you consider yourself:,[VOL] Refused,3%,3%,4%,<.5%,2%,3%,4%,0%,0%,0%,0%,0%,0%,3%,3%,0%,0%,0%,0%,3%,4%,3%,4%,3%,4%,3%,5%,2%,3%,2%
Would you consider yourself:,Number of respondents,"2,437","1,122","1,283",434,627,726,526,"1,540",349,243,215,"1,540",807,"1,159","1,248",788,740,333,467,304,"1,312",493,328,771,969,697,408,674,"1,355","1,276"
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,32%,25%,39%,38%,34%,30%,31%,27%,64%,37%,25%,27%,44%,43%,25%,40%,19%,53%,39%,31%,37%,28%,34%,45%,36%,19%,63%,36%,32%,64%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,31%,33%,29%,17%,24%,34%,39%,38%,10%,17%,19%,38%,15%,22%,37%,27%,45%,10%,17%,35%,27%,33%,28%,20%,24%,46%,12%,40%,31%,4%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,30%,34%,26%,36%,33%,30%,25%,30%,21%,33%,39%,30%,30%,31%,30%,29%,31%,34%,28%,29%,32%,30%,30%,27%,33%,29%,19%,22%,31%,27%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,5%,2%,5%,7%,2%,2%,3%,4%,4%,14%,3%,6%,3%,5%,3%,2%,2%,9%,2%,2%,6%,4%,4%,3%,4%,2%,1%,4%,3%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,3%,3%,3%,4%,2%,3%,3%,2%,1%,9%,4%,2%,5%,1%,4%,<1%,3%,2%,7%,3%,2%,3%,4%,4%,3%,3%,4%,2%,3%,2%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,38%,35%,43%,56%,40%,33%,34%,35%,58%,39%,47%,35%,46%,48%,32%,50%,26%,47%,47%,29%,42%,37%,44%,45%,43%,27%,65%,40%,38%,86%
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,43%,43%,43%,30%,41%,46%,45%,52%,16%,32%,25%,52%,26%,36%,48%,36%,63%,38%,19%,57%,44%,44%,30%,29%,40%,56%,18%,46%,43%,4%
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,19%,22%,15%,14%,18%,20%,20%,12%,27%,29%,27%,12%,28%,16%,20%,14%,12%,16%,34%,14%,14%,18%,26%,26%,17%,17%,18%,14%,19%,10%
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,711,381,312,140,222,204,111,438,81,83,77,438,241,341,362,220,215,105,134,106,318,170,117,213,303,195,90,147,474,333
Combined: Party identification and leaners,The Democratic Party,46%,39%,52%,63%,51%,42%,41%,40%,79%,55%,52%,40%,63%,60%,37%,57%,28%,70%,59%,41%,52%,43%,51%,61%,53%,28%,79%,45%,46%,92%
Combined: Party identification and leaners,The Republican Party,47%,51%,43%,31%,41%,50%,53%,56%,14%,32%,33%,56%,25%,35%,55%,39%,68%,24%,26%,54%,43%,50%,39%,30%,40%,66%,16%,51%,47%,5%
Combined: Party identification and leaners,[VOL] Don't know/Refused,7%,9%,5%,6%,8%,7%,6%,4%,7%,13%,15%,4%,11%,5%,8%,4%,4%,6%,15%,5%,5%,7%,10%,9%,7%,6%,5%,3%,7%,3%
Combined: Party identification and leaners,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,41%,44%,38%,15%,36%,44%,50%,50%,9%,19%,24%,50%,16%,30%,47%,34%,62%,19%,15%,48%,36%,44%,33%,27%,32%,59%,12%,43%,41%,2%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,44%,37%,50%,39%,48%,46%,41%,39%,73%,52%,39%,39%,56%,61%,32%,59%,24%,67%,50%,37%,53%,41%,46%,57%,52%,26%,73%,45%,43%,85%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,12%,13%,10%,42%,10%,9%,4%,9%,14%,23%,23%,9%,19%,7%,15%,5%,11%,12%,24%,11%,11%,11%,15%,14%,12%,10%,12%,10%,12%,11%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,4%,1%,3%,6%,1%,2%,2%,<.5%,5%,9%,2%,4%,1%,4%,1%,2%,<1%,6%,2%,<.5%,3%,4%,<1%,3%,3%,2%,1%,3%,1%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,2%,<1%,1%,<1%,<1%,2%,<.5%,4%,2%,5%,<.5%,4%,<1%,2%,<.5%,<.5%,<1%,5%,2%,<.5%,<.5%,3%,1%,1%,2%,<1%,<1%,2%,1%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,46%,50%,42%,26%,40%,48%,52%,55%,10%,24%,32%,55%,20%,32%,56%,36%,70%,22%,19%,54%,40%,49%,38%,32%,36%,66%,14%,48%,46%,2%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,49%,43%,56%,67%,53%,50%,43%,42%,85%,67%,50%,42%,70%,66%,38%,63%,27%,76%,66%,41%,59%,46%,53%,66%,59%,29%,83%,50%,49%,95%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,4%,1%,5%,6%,1%,2%,2%,<.5%,6%,11%,2%,5%,1%,4%,1%,3%,1%,8%,2%,<1%,4%,4%,<1%,3%,4%,3%,1%,3%,2%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,3%,<1%,2%,1%,<1%,2%,<.5%,5%,3%,7%,<.5%,5%,<1%,2%,<.5%,<.5%,<1%,7%,3%,<.5%,<.5%,4%,2%,1%,2%,<1%,<1%,2%,1%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,670",754,891,203,428,561,403,"1,182",206,123,107,"1,182",436,916,741,665,510,226,208,217,903,338,212,492,680,498,259,487,924,921
Donald Trump,Very favorable,32%,33%,30%,17%,22%,35%,42%,37%,12%,23%,22%,37%,19%,19%,40%,21%,48%,14%,21%,33%,29%,36%,26%,23%,23%,47%,8%,31%,32%,<1%
Donald Trump,Somewhat favorable,16%,19%,12%,16%,22%,14%,11%,16%,7%,17%,19%,16%,14%,14%,16%,13%,18%,14%,13%,18%,12%,16%,17%,12%,16%,18%,11%,17%,15%,2%
Donald Trump,Somewhat unfavorable,7%,9%,4%,15%,7%,7%,3%,5%,11%,7%,13%,5%,10%,7%,6%,5%,5%,12%,9%,8%,5%,6%,7%,5%,6%,8%,7%,6%,7%,7%
Donald Trump,Very unfavorable,44%,36%,52%,50%,47%,42%,44%,42%,67%,45%,40%,42%,52%,59%,34%,60%,29%,60%,47%,40%,52%,40%,47%,57%,53%,26%,71%,45%,44%,88%
Donald Trump,[VOL] Have not heard of,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%
Donald Trump,[VOL] Don't know/Refused,2%,3%,2%,3%,3%,3%,1%,<.5%,3%,8%,7%,<.5%,6%,<1%,3%,<.5%,<.5%,<.5%,9%,1%,2%,2%,3%,4%,2%,<1%,3%,1%,2%,2%
Donald Trump,NET Favorable,47%,52%,43%,32%,44%,48%,52%,53%,19%,40%,40%,53%,32%,33%,56%,35%,66%,28%,35%,51%,41%,51%,43%,34%,39%,65%,19%,48%,47%,2%
