itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dane,region_east_north,region_milwau_city,region_milwau_suburbs,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
How satisfied are you with the way things are going in your life these days?,Definitely,74%,77%,73%,53%,62%,81%,84%,77%,41%,65%,81%,70%,82%,74%,74%,48%,78%,78%,52%,81%,66%,63%,78%,76%,73%,78%,34%,81%,83%,23%
How satisfied are you with the way things are going in your life these days?,Probably,24%,20%,25%,47%,30%,19%,16%,21%,51%,35%,19%,27%,18%,23%,26%,47%,20%,21%,43%,19%,27%,31%,21%,22%,25%,20%,49%,19%,16%,59%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,2%,0%,8%,<1%,<1%,2%,8%,0%,<.5%,3%,<.5%,3%,0%,4%,2%,1%,5%,0%,6%,5%,<1%,2%,2%,2%,17%,0%,<1%,18%
How satisfied are you with the way things are going in your life these days?,Number of respondents,548,277,268,61,99,181,197,482,21,34,247,298,219,260,22,33,63,252,51,94,88,118,140,290,282,251,15,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,52%,12%,20%,36%,31%,86%,5%,7%,36%,63%,32%,54%,4%,8%,11%,47%,8%,18%,16%,20%,26%,54%,49%,48%,3%,44%,44%,10%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",47%,42%,52%,55%,47%,40%,54%,46%,75%,55%,57%,43%,56%,41%,79%,58%,75%,39%,81%,48%,34%,70%,52%,36%,100%,0%,0%,100%,0%,37%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",45%,53%,38%,31%,44%,54%,40%,48%,4%,37%,36%,49%,38%,53%,16%,25%,17%,53%,11%,46%,60%,22%,39%,57%,0%,100%,0%,0%,100%,40%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,7%,5%,9%,13%,9%,6%,6%,6%,21%,9%,7%,8%,6%,6%,5%,18%,8%,9%,8%,6%,6%,8%,9%,7%,0%,0%,100%,0%,0%,23%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,301,309,74,117,195,215,530,27,42,275,335,239,288,28,40,69,277,58,113,97,134,164,316,305,266,43,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,53%,13%,20%,35%,29%,84%,5%,8%,35%,64%,31%,53%,4%,9%,11%,46%,8%,19%,16%,21%,27%,52%,47%,45%,7%,38%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,... the Democrat,49%,42%,56%,61%,47%,43%,54%,48%,69%,55%,57%,46%,56%,44%,63%,61%,77%,39%,69%,54%,44%,64%,56%,40%,87%,11%,38%,93%,7%,37%
How satisfied are you with the way things are going in your life these days?,... the Republican,40%,49%,33%,30%,37%,46%,40%,44%,0%,29%,36%,42%,38%,47%,23%,14%,17%,50%,13%,37%,46%,20%,39%,49%,5%,79%,28%,4%,84%,40%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,9%,12%,9%,16%,11%,6%,8%,31%,16%,7%,12%,6%,9%,14%,26%,6%,11%,18%,9%,9%,16%,5%,10%,7%,9%,34%,3%,9%,23%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,301,309,74,117,195,215,530,27,42,275,335,239,288,28,40,69,277,58,113,97,134,164,316,305,266,43,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,53%,13%,20%,35%,29%,84%,5%,8%,35%,64%,31%,53%,4%,9%,11%,46%,8%,19%,16%,21%,27%,52%,47%,45%,7%,38%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Wisconsin voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,"Tammy Baldwin, the Democrat",49%,42%,56%,61%,47%,43%,54%,48%,69%,55%,57%,46%,56%,44%,63%,61%,77%,39%,69%,54%,44%,64%,56%,40%,87%,11%,38%,93%,7%,37%
How satisfied are you with the way things are going in your life these days?,"Eric Hovde [huv-dee], the Republican",40%,49%,33%,30%,37%,46%,40%,44%,0%,29%,36%,42%,38%,47%,23%,14%,17%,50%,13%,37%,46%,20%,39%,49%,5%,79%,28%,4%,84%,40%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,9%,12%,9%,16%,11%,6%,8%,31%,16%,7%,12%,6%,9%,14%,26%,6%,11%,18%,9%,9%,16%,5%,10%,7%,9%,34%,3%,9%,23%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,301,309,74,117,195,215,530,27,42,275,335,239,288,28,40,69,277,58,113,97,134,164,316,305,266,43,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,53%,13%,20%,35%,29%,84%,5%,8%,35%,64%,31%,53%,4%,9%,11%,46%,8%,19%,16%,21%,27%,52%,47%,45%,7%,38%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,18-29,13%,12%,14%,100%,0%,0%,0%,12%,14%,19%,16%,12%,16%,10%,17%,18%,20%,11%,11%,15%,12%,14%,15%,11%,15%,9%,23%,12%,7%,20%
How satisfied are you with the way things are going in your life these days?,30-44,20%,21%,20%,0%,100%,0%,0%,18%,16%,41%,25%,18%,24%,15%,29%,34%,26%,17%,35%,19%,20%,30%,19%,17%,20%,20%,26%,19%,17%,35%
How satisfied are you with the way things are going in your life these days?,45-64,35%,36%,34%,0%,0%,100%,0%,35%,54%,27%,33%,36%,33%,36%,32%,41%,15%,40%,35%,36%,32%,30%,32%,39%,29%,42%,26%,29%,45%,27%
How satisfied are you with the way things are going in your life these days?,65+,29%,29%,31%,0%,0%,0%,100%,33%,13%,5%,25%,32%,26%,37%,16%,5%,35%,31%,17%,26%,33%,26%,30%,31%,34%,26%,23%,38%,28%,16%
How satisfied are you with the way things are going in your life these days?,Refused,2%,3%,2%,0%,0%,0%,0%,1%,2%,7%,2%,1%,<.5%,1%,6%,2%,4%,1%,1%,4%,3%,<.5%,4%,2%,2%,3%,2%,1%,2%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,301,309,74,117,195,215,530,27,42,275,335,239,288,28,40,69,277,58,113,97,134,164,316,305,266,43,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,53%,13%,20%,35%,29%,84%,5%,8%,35%,64%,31%,53%,4%,9%,11%,46%,8%,19%,16%,21%,27%,52%,47%,45%,7%,38%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,Grade school,1%,1%,1%,0%,0%,2%,2%,<.5%,18%,2%,0%,2%,0%,<.5%,0%,12%,4%,<1%,6%,0%,0%,4%,0%,<1%,1%,<.5%,7%,1%,0%,2%
How satisfied are you with the way things are going in your life these days?,High school,30%,34%,26%,27%,34%,28%,31%,30%,28%,34%,0%,47%,0%,47%,0%,46%,11%,36%,27%,22%,34%,24%,25%,35%,27%,32%,34%,23%,34%,40%
How satisfied are you with the way things are going in your life these days?,Vocational or trade school,7%,8%,6%,4%,4%,10%,9%,8%,0%,9%,0%,11%,0%,12%,0%,8%,3%,8%,6%,6%,10%,7%,6%,8%,6%,10%,3%,5%,11%,5%
How satisfied are you with the way things are going in your life these days?,"Some college, no degree",14%,13%,15%,18%,9%,13%,18%,14%,24%,14%,0%,22%,0%,22%,0%,26%,21%,13%,17%,15%,10%,12%,15%,14%,14%,15%,10%,14%,14%,9%
How satisfied are you with the way things are going in your life these days?,Associate’s degree,11%,10%,12%,9%,10%,13%,10%,12%,7%,5%,0%,17%,0%,19%,0%,8%,9%,12%,11%,12%,11%,16%,12%,9%,10%,12%,13%,11%,12%,14%
How satisfied are you with the way things are going in your life these days?,Bachelor's degree,23%,20%,25%,33%,28%,21%,17%,24%,15%,14%,65%,0%,67%,0%,49%,0%,31%,18%,22%,31%,22%,22%,27%,21%,25%,20%,27%,26%,20%,25%
How satisfied are you with the way things are going in your life these days?,Graduate or professional degree,13%,12%,13%,10%,15%,12%,13%,12%,8%,20%,35%,0%,33%,0%,51%,0%,22%,11%,11%,12%,12%,15%,14%,11%,18%,8%,5%,19%,8%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,1%,1%,<1%,0%,0%,<1%,<1%,<1%,0%,3%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,2%,0%,<1%,1%,0%,2%,0%,0%,2%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,301,309,74,117,195,215,530,27,42,275,335,239,288,28,40,69,277,58,113,97,134,164,316,305,266,43,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,53%,13%,20%,35%,29%,84%,5%,8%,35%,64%,31%,53%,4%,9%,11%,46%,8%,19%,16%,21%,27%,52%,47%,45%,7%,38%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
