itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,6%,6%,7%,17%,8%,4%,3%,5%,9%,14%,6%,5%,8%,3%,6%,8%,11%,5%,7%,7%,8%,8%,7%,5%,6%,6%,19%,4%,4%,9%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,3%,2%,4%,5%,4%,3%,2%,3%,2%,6%,6%,2%,4%,1%,3%,3%,5%,2%,3%,3%,4%,4%,2%,3%,2%,3%,11%,2%,1%,5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,4%,4%,2%,6%,5%,3%,2%,3%,5%,6%,5%,2%,5%,<1%,4%,4%,6%,3%,4%,3%,4%,3%,4%,3%,2%,4%,9%,<.5%,2%,6%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,2%,2%,1%,1%,2%,<1%,2%,<1%,5%,3%,4%,<1%,2%,<.5%,1%,<1%,5%,<1%,2%,2%,2%,3%,2%,1%,2%,1%,4%,2%,2%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,695",859,819,271,410,555,392,"1,099",198,202,149,827,846,544,542,256,288,361,344,596,394,386,722,587,787,806,102,492,493,554
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",46%,38%,52%,47%,48%,43%,47%,39%,74%,51%,51%,56%,40%,54%,30%,63%,57%,43%,52%,40%,53%,60%,51%,30%,100%,0%,0%,92%,6%,46%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",48%,56%,42%,46%,45%,51%,50%,57%,17%,42%,35%,38%,55%,43%,66%,25%,34%,54%,43%,54%,39%,34%,43%,64%,0%,100%,0%,6%,93%,45%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,6%,5%,6%,7%,7%,6%,3%,4%,9%,7%,15%,6%,6%,3%,4%,12%,9%,4%,5%,6%,8%,6%,6%,5%,0%,0%,100%,2%,<1%,9%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",44%,37%,50%,45%,44%,42%,46%,38%,71%,50%,47%,54%,37%,52%,29%,60%,54%,41%,49%,38%,51%,58%,48%,28%,95%,0%,0%,90%,5%,43%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",46%,53%,40%,42%,42%,49%,49%,54%,16%,41%,32%,36%,52%,41%,63%,24%,32%,50%,42%,52%,36%,32%,41%,62%,0%,96%,0%,5%,93%,41%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",<.5%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,0%,1%,0%,<.5%,0%,0%,0%,<1%,0%,0%,0%,<1%,0%,0%,<.5%,<.5%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",2%,2%,2%,5%,3%,<1%,<1%,1%,3%,2%,6%,2%,2%,<1%,1%,6%,3%,3%,3%,1%,2%,2%,2%,2%,2%,<1%,14%,2%,<.5%,4%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<1%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,3%,0%,<.5%,<1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",2%,3%,2%,2%,4%,2%,<1%,3%,1%,<1%,2%,3%,2%,3%,3%,3%,<.5%,2%,1%,3%,3%,<1%,3%,2%,1%,2%,10%,<1%,<1%,4%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<1%,0%,0%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,2%,2%,2%,2%,1%,3%,<.5%,1%,1%,2%,5%,1%,2%,<1%,2%,3%,2%,<1%,2%,2%,3%,1%,2%,2%,<.5%,<1%,23%,<.5%,<.5%,3%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,3%,4%,4%,4%,3%,3%,2%,7%,5%,7%,3%,4%,2%,2%,4%,7%,3%,3%,4%,4%,5%,4%,3%,1%,<1%,49%,2%,<1%,5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,79%,79%,79%,57%,74%,84%,90%,83%,74%,62%,70%,81%,77%,84%,83%,74%,66%,84%,80%,78%,74%,74%,78%,83%,80%,80%,24%,86%,88%,68%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,18%,17%,18%,39%,23%,13%,7%,14%,21%,31%,26%,16%,19%,14%,14%,23%,28%,14%,16%,19%,21%,21%,19%,14%,17%,18%,55%,11%,11%,27%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,3%,4%,3%,4%,3%,4%,3%,3%,5%,6%,4%,2%,4%,2%,3%,3%,6%,2%,4%,3%,4%,4%,3%,3%,3%,3%,22%,3%,2%,5%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,"1,601",812,774,254,388,526,379,"1,058",179,187,134,787,795,527,520,235,260,343,326,563,369,363,680,558,776,793,32,481,486,512
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",21%,17%,24%,14%,28%,20%,12%,20%,24%,20%,18%,18%,22%,20%,19%,17%,23%,20%,30%,19%,18%,17%,22%,21%,100%,0%,0%,40%,24%,18%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",21%,30%,13%,32%,20%,14%,30%,34%,5%,7%,12%,22%,20%,37%,32%,9%,8%,39%,10%,17%,20%,14%,21%,26%,0%,100%,0%,17%,23%,24%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,58%,53%,63%,54%,52%,67%,58%,46%,70%,73%,70%,60%,58%,43%,49%,74%,69%,41%,60%,64%,62%,69%,57%,53%,0%,0%,100%,43%,53%,58%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,181,96,81,39,57,49,21,94,30,21,30,86,92,41,51,43,38,35,33,63,50,36,86,59,37,42,102,23,14,93
(Responses reclassified by age group) In what year were you born?,18-29,16%,17%,15%,100%,0%,0%,0%,13%,16%,26%,25%,10%,20%,8%,17%,16%,26%,15%,10%,16%,23%,17%,17%,14%,16%,15%,19%,12%,14%,20%
(Responses reclassified by age group) In what year were you born?,30-44,24%,23%,23%,0%,100%,0%,0%,22%,25%,25%,30%,31%,19%,29%,19%,37%,21%,23%,27%,23%,22%,28%,23%,21%,25%,22%,28%,23%,17%,28%
(Responses reclassified by age group) In what year were you born?,45-64,31%,31%,31%,0%,0%,100%,0%,31%,33%,27%,32%,33%,30%,34%,29%,28%,33%,28%,29%,33%,32%,27%,31%,34%,29%,32%,31%,28%,35%,31%
(Responses reclassified by age group) In what year were you born?,65+,25%,25%,26%,0%,0%,0%,100%,30%,23%,15%,9%,22%,27%,26%,32%,15%,16%,30%,29%,25%,18%,23%,24%,28%,26%,26%,12%,32%,32%,18%
(Responses reclassified by age group) In what year were you born?,Refused,4%,4%,4%,0%,0%,0%,0%,3%,4%,6%,4%,4%,3%,2%,3%,5%,4%,4%,4%,4%,4%,4%,5%,4%,4%,4%,9%,4%,3%,3%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"1,695",859,819,271,410,555,392,"1,099",198,202,149,827,846,544,542,256,288,361,344,596,394,386,722,587,787,806,102,492,493,554
What is the highest educational level that you have completed?,Grade school,3%,2%,3%,<1%,1%,2%,4%,1%,3%,8%,5%,0%,4%,0%,2%,0%,8%,0%,4%,3%,3%,5%,3%,<1%,3%,2%,7%,4%,1%,2%
What is the highest educational level that you have completed?,High school,27%,30%,25%,48%,17%,26%,28%,25%,27%,42%,27%,0%,45%,0%,42%,0%,51%,30%,24%,27%,28%,20%,27%,32%,21%,33%,26%,21%,35%,22%
What is the highest educational level that you have completed?,Vocational or trade school,4%,5%,4%,2%,5%,6%,5%,5%,4%,<1%,4%,0%,7%,0%,9%,0%,4%,5%,4%,5%,4%,4%,3%,6%,3%,5%,7%,3%,6%,6%
What is the highest educational level that you have completed?,"Some college, no degree",17%,15%,19%,18%,15%,16%,20%,18%,19%,13%,12%,0%,28%,0%,31%,0%,23%,19%,11%,18%,19%,18%,15%,18%,16%,18%,16%,15%,18%,18%
What is the highest educational level that you have completed?,Associate’s degree,9%,8%,10%,8%,12%,10%,7%,9%,11%,9%,6%,0%,15%,0%,16%,0%,14%,12%,7%,9%,9%,11%,7%,10%,9%,10%,5%,9%,9%,10%
What is the highest educational level that you have completed?,Bachelor's degree,23%,24%,22%,20%,30%,23%,18%,25%,21%,15%,24%,61%,0%,63%,0%,57%,0%,22%,27%,23%,21%,24%,25%,20%,26%,20%,24%,26%,19%,26%
What is the highest educational level that you have completed?,Graduate or professional degree,15%,14%,15%,4%,20%,16%,15%,14%,14%,10%,22%,39%,0%,37%,0%,43%,0%,11%,20%,13%,16%,17%,17%,10%,20%,10%,14%,20%,10%,16%
What is the highest educational level that you have completed?,[VOL] Refused,2%,2%,2%,0%,<.5%,<1%,3%,2%,1%,2%,<1%,0%,0%,0%,0%,0%,0%,<1%,2%,3%,<1%,2%,1%,2%,2%,2%,<1%,2%,2%,<.5%
What is the highest educational level that you have completed?,Number of respondents,"1,695",859,819,271,410,555,392,"1,099",198,202,149,827,846,544,542,256,288,361,344,596,394,386,722,587,787,806,102,492,493,554
Would you consider yourself:,White,63%,63%,64%,53%,61%,63%,75%,98%,0%,0%,0%,66%,62%,99%,98%,0%,0%,78%,63%,60%,54%,52%,57%,79%,55%,74%,39%,55%,79%,62%
Would you consider yourself:,Hispanic or Latino,12%,11%,13%,20%,13%,10%,7%,0%,0%,99%,0%,8%,15%,0%,0%,26%,41%,3%,10%,13%,21%,18%,15%,5%,14%,10%,13%,14%,9%,11%
Would you consider yourself:,Black or African American,12%,11%,13%,12%,12%,12%,10%,0%,100%,0%,0%,11%,12%,0%,0%,36%,34%,9%,13%,16%,5%,19%,13%,5%,19%,4%,19%,21%,3%,11%
Would you consider yourself:,Asian,3%,4%,3%,7%,5%,2%,<.5%,0%,0%,0%,35%,5%,2%,0%,0%,18%,6%,1%,5%,2%,6%,4%,5%,1%,4%,2%,7%,3%,2%,4%
Would you consider yourself:,American Indian or Alaska Native,1%,2%,<1%,<1%,1%,2%,<1%,0%,0%,0%,15%,1%,2%,0%,0%,3%,5%,1%,<.5%,2%,2%,<1%,1%,2%,<1%,2%,1%,<1%,2%,1%
Would you consider yourself:,Middle Eastern or North African,1%,2%,<1%,1%,2%,<1%,<1%,0%,0%,0%,11%,2%,<1%,0%,0%,6%,2%,<1%,1%,<1%,2%,<1%,2%,<.5%,<1%,<1%,6%,<1%,<.5%,2%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<1%,<1%,2%,<1%,1%,0%,0%,0%,0%,9%,<1%,<1%,0%,0%,2%,3%,0%,0%,<1%,3%,0%,<1%,1%,<1%,<1%,3%,<.5%,0%,2%
Would you consider yourself:,[VOL] Some other race (specify),2%,3%,2%,<1%,1%,3%,3%,2%,<.5%,<1%,10%,2%,2%,<1%,2%,4%,3%,2%,4%,2%,3%,2%,2%,3%,1%,3%,5%,1%,3%,3%
Would you consider yourself:,[VOL] More than one race,2%,2%,2%,3%,3%,2%,<.5%,0%,0%,0%,21%,2%,2%,0%,0%,5%,6%,2%,<1%,2%,3%,3%,2%,<1%,3%,<1%,4%,2%,<.5%,3%
Would you consider yourself:,[VOL] Refused,2%,3%,1%,1%,2%,2%,2%,0%,0%,0%,0%,3%,2%,0%,0%,0%,0%,3%,2%,2%,1%,1%,2%,4%,2%,3%,2%,2%,2%,2%
Would you consider yourself:,Number of respondents,"1,695",859,819,271,410,555,392,"1,099",198,202,149,827,846,544,542,256,288,361,344,596,394,386,722,587,787,806,102,492,493,554
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,29%,21%,37%,22%,29%,25%,37%,25%,56%,26%,25%,37%,24%,35%,19%,42%,33%,25%,36%,25%,33%,38%,35%,17%,59%,3%,9%,100%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,31%,35%,29%,26%,22%,36%,37%,39%,5%,25%,20%,24%,36%,29%,45%,13%,18%,35%,26%,34%,28%,22%,26%,44%,4%,60%,5%,0%,100%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,32%,37%,28%,40%,37%,31%,22%,30%,33%,32%,43%,34%,31%,32%,29%,38%,35%,32%,33%,33%,29%,33%,32%,32%,31%,28%,67%,0%,0%,100%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,5%,2%,3%,8%,3%,1%,3%,3%,4%,6%,3%,4%,3%,3%,5%,4%,5%,2%,3%,4%,4%,3%,4%,3%,4%,5%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,4%,3%,5%,8%,3%,4%,2%,3%,2%,13%,5%,1%,6%,<1%,4%,3%,10%,4%,3%,4%,6%,4%,5%,3%,2%,5%,14%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,40%,34%,46%,52%,39%,33%,37%,37%,50%,43%,46%,43%,38%,42%,33%,46%,46%,41%,40%,42%,34%,47%,40%,34%,82%,7%,15%,-,-,42%
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,40%,45%,36%,34%,39%,45%,45%,48%,19%,32%,28%,41%,40%,47%,48%,27%,27%,44%,45%,39%,35%,33%,44%,41%,4%,81%,17%,-,-,40%
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,20%,21%,18%,14%,22%,23%,18%,16%,31%,26%,27%,16%,22%,11%,19%,27%,28%,15%,15%,19%,31%,20%,16%,25%,14%,12%,68%,-,-,18%
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,557,330,216,109,162,176,93,344,62,72,62,271,285,166,178,94,102,123,118,198,118,130,241,186,245,261,51,,,464
Combined: Party identification and leaners,The Democratic Party,45%,35%,53%,49%,48%,38%,46%,38%,76%,47%,50%,54%,39%,50%,31%,63%,55%,42%,51%,42%,46%,57%,50%,30%,89%,5%,22%,100%,0%,42%
Combined: Party identification and leaners,The Republican Party,47%,55%,41%,44%,41%,53%,49%,56%,13%,40%,36%,40%,52%,46%,62%,25%,31%,52%,43%,50%,42%,35%,43%,60%,6%,90%,20%,0%,100%,40%
Combined: Party identification and leaners,[VOL] Don't know/Refused,8%,10%,6%,7%,11%,9%,5%,6%,12%,13%,15%,6%,9%,4%,7%,12%,14%,6%,6%,8%,12%,8%,6%,10%,5%,5%,59%,0%,0%,18%
Combined: Party identification and leaners,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,37%,41%,34%,17%,30%,46%,45%,47%,6%,20%,27%,32%,40%,39%,52%,16%,17%,43%,30%,42%,31%,25%,30%,54%,2%,73%,15%,3%,80%,29%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,40%,32%,46%,21%,46%,40%,44%,36%,68%,32%,43%,55%,30%,52%,25%,63%,40%,37%,48%,35%,41%,49%,45%,26%,78%,5%,19%,86%,6%,33%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,20%,22%,17%,58%,19%,10%,9%,15%,24%,41%,25%,9%,27%,6%,20%,16%,39%,17%,17%,19%,25%,23%,20%,17%,16%,20%,45%,10%,13%,31%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,4%,2%,3%,4%,3%,<1%,2%,1%,5%,4%,3%,2%,3%,2%,4%,4%,2%,4%,2%,3%,2%,3%,3%,2%,1%,19%,<.5%,<.5%,6%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,<1%,<1%,1%,<1%,0%,1%,<1%,<1%,2%,1%,<1%,<1%,<1%,1%,1%,<.5%,<.5%,2%,1%,1%,1%,1%,<.5%,1%,<1%,1%,2%,<1%,<1%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
