itm,v1,wisconsin_likely_electorate_wisconsin_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dane,region_east_north,region_milwau_city,region_milwau_suburbs,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,0%,3%,0%,0%,0%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",49%,35%,62%,40%,59%,44%,55%,47%,87%,59%,61%,42%,61%,39%,71%,71%,76%,40%,80%,46%,48%,76%,51%,39%,100%,0%,0%,99%,3%,47%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",47%,59%,36%,58%,38%,53%,40%,49%,7%,38%,35%,54%,36%,57%,25%,24%,21%,56%,14%,50%,48%,19%,44%,58%,0%,100%,0%,1%,95%,47%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,6%,2%,2%,3%,4%,5%,4%,6%,4%,3%,4%,3%,4%,4%,5%,3%,4%,5%,4%,3%,5%,5%,3%,0%,0%,100%,0%,1%,7%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares,MARGIN Harris +2 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",48%,34%,61%,36%,58%,43%,55%,47%,84%,48%,61%,41%,61%,39%,68%,61%,72%,40%,80%,46%,48%,73%,50%,39%,98%,0%,0%,99%,2%,46%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",46%,57%,35%,56%,37%,52%,38%,48%,6%,32%,35%,52%,36%,56%,23%,20%,19%,55%,14%,48%,46%,18%,43%,57%,0%,98%,0%,<1%,94%,45%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",1%,2%,<1%,3%,2%,1%,<1%,<1%,5%,5%,1%,1%,<1%,<1%,7%,4%,3%,<1%,0%,2%,<.5%,3%,2%,0%,<1%,<.5%,14%,<.5%,<.5%,3%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",2%,3%,<.5%,4%,2%,<1%,2%,1%,<1%,8%,<1%,2%,<1%,1%,2%,6%,5%,<1%,0%,1%,3%,3%,1%,1%,<1%,1%,19%,0%,2%,2%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<.5%,<.5%,<.5%,0%,0%,0%,1%,<.5%,0%,0%,<.5%,<.5%,<1%,<.5%,0%,0%,0%,<.5%,0%,1%,0%,0%,<1%,<.5%,0%,0%,9%,0%,0%,<1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,3%,3%,2%,2%,2%,2%,3%,2%,4%,7%,1%,3%,2%,3%,0%,8%,<.5%,3%,6%,2%,2%,2%,3%,3%,<.5%,<1%,59%,<1%,<1%,4%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares,MARGIN Harris +3 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,90%,91%,90%,84%,93%,88%,93%,91%,70%,90%,90%,90%,91%,91%,74%,85%,90%,90%,88%,89%,92%,87%,88%,92%,91%,90%,42%,94%,95%,82%
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,9%,8%,10%,16%,7%,11%,6%,8%,29%,10%,10%,9%,8%,8%,26%,14%,10%,9%,12%,10%,7%,12%,11%,7%,8%,9%,38%,6%,5%,15%
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,<1%,1%,<1%,0%,<.5%,2%,<1%,<1%,<1%,0%,<1%,1%,<1%,1%,0%,<1%,0%,<1%,0%,1%,2%,1%,<.5%,1%,<1%,<1%,20%,<.5%,0%,2%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",13%,15%,9%,52%,23%,2%,0%,<1%,30%,55%,8%,15%,0%,<1%,39%,50%,48%,7%,8%,9%,3%,38%,8%,0%,100%,0%,0%,14%,32%,9%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",19%,19%,22%,21%,17%,15%,25%,20%,8%,26%,10%,23%,6%,25%,23%,21%,14%,13%,0%,30%,38%,7%,22%,26%,0%,100%,0%,86%,33%,22%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,68%,66%,69%,27%,60%,83%,75%,80%,62%,19%,83%,62%,94%,74%,39%,29%,37%,80%,92%,62%,59%,54%,70%,74%,0%,0%,100%,0%,35%,69%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,46,27,18,9,11,12,11,29,6,9,13,32,10,19,3,12,6,15,5,12,8,13,13,20,7,11,28,2,6,22
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Democrat,50%,37%,62%,40%,56%,46%,58%,49%,79%,51%,61%,44%,61%,43%,75%,58%,73%,43%,79%,47%,48%,75%,54%,40%,96%,4%,29%,97%,3%,51%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Republican,43%,54%,33%,49%,33%,47%,40%,44%,13%,44%,33%,49%,34%,50%,23%,34%,25%,49%,15%,45%,45%,21%,41%,51%,2%,87%,23%,1%,92%,39%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,7%,9%,5%,11%,11%,8%,3%,7%,9%,5%,6%,7%,5%,7%,3%,8%,2%,8%,5%,8%,7%,5%,5%,9%,2%,8%,48%,2%,5%,10%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Number of respondents,680,302,370,96,134,235,189,586,31,50,294,382,264,321,25,55,73,311,58,128,110,147,165,368,357,295,28,221,176,225
"(Ask only in WI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Tammy Baldwin, the Democrat",50%,37%,62%,40%,56%,46%,58%,49%,79%,51%,61%,44%,61%,43%,75%,58%,73%,43%,79%,47%,48%,75%,54%,40%,96%,4%,29%,97%,3%,51%
"(Ask only in WI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Eric Hovde [huv-dee], the Republican",43%,54%,33%,49%,33%,47%,40%,44%,13%,44%,33%,49%,34%,50%,23%,34%,25%,49%,15%,45%,45%,21%,41%,51%,2%,87%,23%,1%,92%,39%
"(Ask only in WI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,7%,9%,5%,11%,11%,8%,3%,7%,9%,5%,6%,7%,5%,7%,3%,8%,2%,8%,5%,8%,7%,5%,5%,9%,2%,8%,48%,2%,5%,10%
"(Ask only in WI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares,MARGIN Baldwin +8 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,12%,14%,10%,100%,0%,0%,0%,11%,18%,27%,12%,12%,11%,11%,22%,24%,19%,11%,13%,8%,13%,16%,9%,12%,10%,15%,7%,10%,15%,10%
(Responses reclassified by age group) In what year were you born?,30-44,17%,17%,17%,0%,100%,0%,0%,16%,25%,28%,25%,12%,24%,12%,42%,20%,16%,17%,24%,17%,15%,21%,17%,16%,20%,14%,14%,19%,10%,22%
(Responses reclassified by age group) In what year were you born?,45-64,35%,32%,37%,0%,0%,100%,0%,35%,34%,33%,36%,34%,36%,34%,36%,32%,34%,35%,40%,36%,32%,35%,35%,35%,31%,39%,32%,31%,37%,36%
(Responses reclassified by age group) In what year were you born?,65+,32%,33%,32%,0%,0%,0%,100%,35%,23%,10%,24%,38%,26%,40%,0%,22%,29%,33%,23%,36%,33%,26%,37%,32%,36%,28%,41%,37%,33%,30%
(Responses reclassified by age group) In what year were you born?,Refused,4%,4%,3%,0%,0%,0%,0%,3%,0%,2%,3%,4%,3%,3%,0%,2%,2%,4%,0%,2%,7%,3%,2%,4%,3%,4%,7%,3%,4%,3%
(Responses reclassified by age group) In what year were you born?,Number of respondents,680,302,370,96,134,235,189,586,31,50,294,382,264,321,25,55,73,311,58,128,110,147,165,368,357,295,28,221,176,225
What is the highest educational level that you have completed?,Grade school,2%,3%,0%,2%,2%,<1%,2%,1%,5%,8%,0%,3%,0%,2%,0%,10%,3%,1%,4%,<1%,2%,3%,<1%,1%,3%,<1%,0%,1%,1%,3%
What is the highest educational level that you have completed?,High school,29%,32%,26%,33%,10%,34%,34%,30%,41%,17%,0%,46%,0%,47%,0%,40%,23%,33%,21%,20%,36%,21%,24%,35%,24%,35%,33%,30%,33%,24%
What is the highest educational level that you have completed?,Vocational or trade school,8%,12%,5%,6%,6%,7%,11%,8%,6%,5%,0%,13%,0%,13%,0%,7%,5%,10%,4%,6%,9%,5%,6%,10%,6%,10%,5%,6%,11%,7%
What is the highest educational level that you have completed?,"Some college, no degree",15%,14%,17%,20%,9%,13%,18%,15%,21%,28%,0%,24%,0%,23%,0%,36%,14%,15%,23%,16%,13%,18%,16%,14%,15%,16%,15%,15%,18%,15%
What is the highest educational level that you have completed?,Associate’s degree,9%,8%,10%,1%,18%,7%,9%,9%,4%,6%,0%,14%,0%,15%,0%,7%,5%,9%,6%,12%,8%,9%,9%,9%,7%,10%,15%,8%,11%,7%
What is the highest educational level that you have completed?,Bachelor's degree,24%,19%,28%,30%,34%,27%,14%,24%,20%,24%,65%,0%,65%,0%,73%,0%,28%,21%,32%,29%,21%,31%,29%,19%,29%,18%,28%,24%,17%,31%
What is the highest educational level that you have completed?,Graduate or professional degree,13%,11%,14%,7%,20%,11%,12%,13%,3%,13%,35%,0%,35%,0%,27%,0%,22%,10%,9%,16%,11%,13%,16%,11%,16%,10%,1%,16%,10%,13%
What is the highest educational level that you have completed?,[VOL] Refused,<.5%,<1%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,0%,0%,0%,0%,0%,0%,0%,0%,<1%,<.5%,<1%,0%,<.5%,0%,<1%,<1%,0%,2%,0%,0%,0%
Would you consider yourself:,White,88%,89%,88%,78%,84%,89%,94%,99%,0%,0%,90%,87%,100%,99%,0%,0%,84%,90%,50%,93%,95%,70%,91%,93%,84%,92%,82%,86%,93%,88%
Would you consider yourself:,Hispanic or Latino,2%,1%,2%,4%,3%,1%,<.5%,0%,0%,28%,1%,2%,0%,0%,16%,16%,2%,1%,7%,<1%,<1%,5%,1%,<1%,2%,<1%,1%,2%,<1%,2%
Would you consider yourself:,Black or African American,4%,3%,6%,6%,6%,4%,3%,0%,100%,0%,3%,5%,0%,0%,32%,48%,7%,1%,35%,2%,<1%,15%,3%,<1%,8%,<1%,7%,9%,<1%,2%
Would you consider yourself:,Asian,<1%,<1%,0%,3%,<1%,0%,<.5%,0%,0%,10%,<1%,<.5%,0%,0%,11%,3%,0%,<1%,0%,<.5%,0%,1%,0%,<1%,<.5%,<1%,0%,<.5%,0%,1%
Would you consider yourself:,American Indian or Alaska Native,<1%,<1%,<1%,0%,2%,<.5%,<.5%,0%,0%,10%,0%,<1%,0%,0%,0%,8%,0%,<1%,2%,<1%,0%,2%,<1%,<.5%,<1%,<.5%,4%,0%,<.5%,2%
Would you consider yourself:,Middle Eastern or North African,<.5%,<.5%,<.5%,<.5%,<1%,0%,<.5%,0%,0%,6%,<.5%,<.5%,0%,0%,2%,4%,<1%,0%,<1%,1%,0%,<.5%,<1%,<.5%,<.5%,<.5%,0%,<.5%,<1%,0%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<1%,<1%,3%,0%,1%,<.5%,0%,0%,15%,<1%,<1%,0%,0%,8%,8%,3%,1%,0%,0%,0%,3%,<.5%,<.5%,1%,<1%,0%,<.5%,2%,<.5%
Would you consider yourself:,[VOL] Some other race (specify),1%,<1%,1%,0%,<1%,2%,1%,<1%,0%,14%,<1%,1%,<.5%,<1%,8%,8%,0%,2%,2%,0%,2%,2%,0%,1%,1%,1%,1%,<1%,2%,1%
Would you consider yourself:,[VOL] More than one race,<1%,<.5%,1%,1%,3%,<1%,0%,0%,0%,17%,2%,<.5%,0%,0%,22%,4%,3%,<1%,1%,<1%,0%,2%,2%,<.5%,2%,<.5%,0%,1%,<.5%,2%
Would you consider yourself:,[VOL] Refused,2%,3%,<.5%,3%,<.5%,2%,<.5%,0%,0%,0%,2%,1%,0%,0%,0%,0%,0%,3%,0%,1%,2%,<1%,<1%,3%,1%,2%,5%,0%,<1%,2%
Would you consider yourself:,Number of respondents,680,302,370,96,134,235,189,586,31,50,294,382,264,321,25,55,73,311,58,128,110,147,165,368,357,295,28,221,176,225
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,30%,19%,41%,25%,32%,27%,36%,30%,64%,23%,32%,29%,34%,27%,21%,49%,43%,25%,61%,28%,28%,49%,32%,23%,60%,1%,0%,100%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,29%,37%,21%,38%,18%,33%,24%,30%,0%,30%,20%,34%,22%,35%,0%,25%,14%,31%,2%,35%,36%,7%,31%,35%,2%,59%,9%,0%,100%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,33%,36%,31%,20%,43%,34%,35%,34%,15%,44%,43%,28%,39%,30%,74%,14%,36%,37%,31%,30%,27%,37%,32%,33%,32%,32%,61%,0%,0%,100%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,5%,3%,11%,5%,3%,<1%,3%,14%,<1%,3%,4%,3%,3%,2%,8%,2%,3%,2%,4%,8%,3%,3%,4%,3%,5%,3%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,4%,3%,4%,6%,2%,2%,4%,3%,7%,2%,2%,4%,2%,4%,4%,4%,5%,5%,3%,3%,<1%,4%,2%,4%,3%,3%,27%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"(If independent, another party or not sure) And as of today, do you lean more to:",The Democratic Party,46%,40%,50%,33%,45%,36%,64%,46%,73%,46%,55%,38%,56%,39%,59%,52%,67%,40%,37%,51%,49%,45%,64%,39%,93%,2%,30%,-,-,46%
"(If independent, another party or not sure) And as of today, do you lean more to:",The Republican Party,43%,52%,35%,49%,46%,48%,32%,44%,15%,43%,36%,49%,34%,50%,41%,22%,33%,47%,45%,37%,40%,43%,33%,47%,4%,90%,0%,-,-,45%
"(If independent, another party or not sure) And as of today, do you lean more to:",[VOL] Don't know/Refused,11%,8%,15%,18%,10%,16%,4%,11%,12%,11%,9%,12%,10%,11%,0%,26%,0%,13%,18%,12%,11%,12%,3%,14%,3%,8%,70%,-,-,9%
"(If independent, another party or not sure) And as of today, do you lean more to:",Number of respondents,232,114,114,27,52,85,61,194,9,20,116,114,96,98,16,13,28,105,18,46,35,50,56,126,119,96,17,,,192
Combined: Party identification and leaners,The Democratic Party,49%,37%,60%,37%,54%,41%,61%,48%,90%,44%,59%,43%,59%,42%,67%,62%,72%,42%,75%,47%,45%,69%,55%,40%,96%,2%,27%,100%,0%,46%
Combined: Party identification and leaners,The Republican Party,46%,60%,35%,56%,41%,52%,37%,48%,5%,51%,37%,52%,37%,54%,33%,31%,28%,52%,19%,48%,51%,26%,44%,54%,3%,95%,9%,0%,100%,45%
Combined: Party identification and leaners,[VOL] Don't know/Refused,5%,3%,6%,7%,5%,6%,2%,4%,4%,5%,4%,5%,4%,4%,0%,7%,0%,6%,6%,4%,4%,5%,<1%,6%,1%,3%,64%,0%,0%,9%
Combined: Party identification and leaners,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,41%,49%,34%,34%,28%,50%,39%,44%,0%,28%,31%,47%,31%,51%,19%,15%,22%,48%,11%,46%,39%,18%,37%,50%,2%,83%,25%,<1%,87%,37%
