itm,v1,georgia_likely_electorate_georgia_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dekalb_fulton,region_inner_atlanta_suburbs,region_north,region_outer_atlanta_suburbs,region_south,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,georgia_likely_electorate_2,men_5,women_3,x18_29_5,x30_44_0,x45_64_2,x65_3,white_1,black_3,oth_2,b_a_0,no_b_a_3,white_college_0,white_no_college_2,non_white_college_0,non_white_no_college_4,dekalb_fulton_1,inner_atlanta_suburbs_2,north_2,outer_atlanta_suburbs_2,south_2,city_3,suburb_1,rural_small_town_2,harris_2,trump_1,oth_4,dem_2,rep_2,ind_1
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,<1%,1%,<1%,<.5%,<.5%,1%,1%,<1%,<1%,<.5%,1%,<.5%,2%,0%,<1%,<.5%,2%,0%,2%,<1%,<.5%,2%,<1%,<1%,<.5%,<1%,5%,<.5%,<1%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",45%,38%,51%,49%,51%,44%,39%,25%,82%,49%,54%,39%,40%,15%,76%,72%,67%,51%,23%,39%,45%,68%,52%,30%,100%,0%,0%,95%,2%,46%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",49%,55%,43%,43%,41%,50%,56%,70%,11%,44%,41%,53%,57%,78%,19%,21%,26%,40%,74%,51%,52%,27%,39%,66%,0%,100%,0%,4%,97%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,6%,7%,6%,8%,8%,6%,5%,5%,6%,6%,5%,7%,4%,6%,5%,7%,7%,9%,4%,9%,3%,5%,9%,4%,0%,0%,100%,2%,1%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",44%,37%,50%,49%,49%,43%,38%,25%,80%,47%,52%,38%,40%,14%,72%,71%,66%,51%,21%,38%,44%,67%,50%,30%,97%,0%,0%,94%,2%,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",47%,53%,42%,39%,39%,49%,55%,68%,11%,41%,39%,52%,54%,77%,18%,20%,25%,38%,71%,49%,52%,27%,37%,65%,0%,97%,0%,4%,95%,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",1%,1%,1%,<1%,2%,1%,<1%,1%,<1%,2%,2%,<1%,2%,1%,2%,<1%,<.5%,3%,2%,2%,<.5%,1%,2%,<1%,<1%,<1%,10%,<1%,1%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<1%,0%,0%,<1%,<1%,0%,<.5%,<1%,0%,<1%,<.5%,0%,<.5%,2%,0%,<1%,0%,0%,1%,0%,0%,<1%,0%,<1%,<.5%,0%,0%,0%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",2%,3%,<1%,4%,2%,1%,0%,1%,1%,4%,1%,2%,<1%,2%,2%,2%,<1%,2%,<1%,4%,<1%,<.5%,3%,<.5%,<1%,2%,8%,<.5%,<.5%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,1%,1%,1%,<1%,2%,1%,1%,<1%,1%,5%,<1%,2%,<.5%,<1%,1%,3%,<1%,3%,<.5%,2%,1%,<1%,2%,<1%,<.5%,<.5%,17%,0%,0%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,5%,4%,6%,5%,3%,5%,4%,5%,<1%,4%,5%,4%,4%,3%,4%,7%,4%,5%,5%,2%,4%,5%,4%,<.5%,<1%,65%,2%,2%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,86%,81%,90%,72%,83%,89%,94%,91%,82%,79%,89%,85%,91%,91%,87%,77%,85%,86%,89%,84%,87%,90%,82%,90%,86%,87%,18%,91%,93%,75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,12%,17%,8%,27%,16%,8%,5%,8%,16%,17%,10%,13%,8%,8%,13%,18%,14%,12%,8%,13%,12%,9%,15%,9%,12%,10%,82%,7%,5%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,2%,2%,1%,2%,1%,3%,1%,<1%,2%,5%,<1%,2%,1%,<1%,<1%,4%,1%,2%,3%,3%,<1%,1%,3%,1%,1%,3%,0%,2%,2%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,643,292,344,114,154,218,137,361,201,72,289,350,179,179,106,167,114,108,105,149,167,77,316,250,304,327,12,200,206,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",13%,12%,14%,1%,17%,20%,6%,6%,24%,18%,19%,9%,0%,10%,41%,10%,13%,0%,21%,14%,22%,18%,15%,6%,100%,0%,0%,22%,0%,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",18%,22%,13%,36%,14%,6%,23%,26%,3%,28%,24%,15%,41%,18%,10%,12%,10%,17%,32%,19%,8%,4%,16%,26%,0%,100%,0%,0%,54%,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,70%,66%,74%,63%,70%,74%,71%,68%,73%,54%,56%,76%,59%,72%,49%,78%,77%,83%,48%,67%,69%,77%,69%,68%,0%,0%,100%,78%,46%,59%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,69,34,35,15,22,25,7,29,23,13,25,42,14,15,10,26,11,17,9,19,13,11,44,14,10,14,45,3,7,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,18-29,15%,15%,14%,100%,0%,0%,0%,11%,17%,30%,12%,16%,10%,11%,15%,24%,20%,16%,10%,16%,13%,12%,17%,12%,16%,13%,18%,13%,9%,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,30-44,23%,23%,23%,0%,100%,0%,0%,23%,19%,33%,30%,18%,27%,20%,34%,17%,28%,24%,20%,20%,22%,30%,26%,17%,26%,19%,30%,25%,16%,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,45-64,35%,35%,35%,0%,0%,100%,0%,34%,39%,27%,40%,32%,36%,33%,45%,30%,28%,36%,38%,44%,30%,28%,34%,39%,35%,36%,33%,35%,39%,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,65+,25%,25%,25%,0%,0%,0%,100%,30%,23%,5%,15%,31%,22%,35%,5%,26%,21%,23%,30%,19%,30%,28%,21%,29%,21%,29%,19%,25%,34%,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,Refused,3%,1%,3%,0%,0%,0%,0%,2%,2%,4%,3%,2%,4%,<1%,2%,3%,2%,<1%,2%,2%,5%,3%,2%,3%,2%,3%,0%,2%,2%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,Number of respondents,682,309,366,122,166,232,142,375,214,80,301,375,186,186,110,184,122,117,111,157,175,84,340,258,306,331,45,201,209,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,Grade school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2%,<.5%,3%,<.5%,0%,2%,3%,<1%,3%,2%,0%,3%,0%,2%,0%,4%,<1%,2%,2%,2%,2%,3%,<1%,2%,2%,1%,4%,2%,2%,1%
What is the highest educational level that you have completed?,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28%,31%,25%,40%,21%,23%,37%,28%,33%,21%,0%,46%,0%,47%,0%,47%,23%,24%,25%,31%,35%,31%,23%,33%,23%,30%,47%,26%,32%,18%
What is the highest educational level that you have completed?,Vocational or trade school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5%,7%,4%,3%,3%,7%,7%,6%,4%,3%,0%,9%,0%,11%,0%,6%,1%,3%,11%,4%,7%,5%,3%,9%,3%,8%,<1%,3%,8%,4%
What is the highest educational level that you have completed?,"Some college, no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16%,14%,18%,17%,14%,14%,22%,15%,19%,18%,0%,27%,0%,25%,0%,29%,16%,18%,22%,13%,15%,14%,18%,15%,16%,18%,8%,19%,17%,16%
What is the highest educational level that you have completed?,Associate’s degree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9%,9%,9%,8%,11%,10%,7%,9%,8%,11%,0%,15%,0%,15%,0%,14%,9%,5%,8%,11%,12%,8%,9%,10%,9%,9%,9%,7%,10%,11%
What is the highest educational level that you have completed?,Bachelor's degree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22%,25%,21%,27%,25%,26%,14%,26%,15%,27%,58%,0%,64%,0%,49%,0%,25%,28%,17%,24%,19%,17%,28%,16%,24%,21%,17%,21%,21%,27%
What is the highest educational level that you have completed?,Graduate or professional degree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17%,13%,19%,6%,26%,18%,10%,15%,19%,19%,42%,0%,36%,0%,51%,0%,25%,20%,14%,16%,11%,21%,19%,13%,23%,12%,11%,21%,10%,22%
What is the highest educational level that you have completed?,[VOL] Refused,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1%,<1%,<.5%,0%,<.5%,<1%,<.5%,<.5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,1%,1%,0%,1%,0%,<1%,4%,0%,<1%,0%
Would you consider yourself:,White,56%,60%,53%,40%,57%,54%,67%,98%,0%,0%,58%,54%,98%,98%,0%,0%,31%,49%,76%,65%,56%,31%,50%,69%,32%,79%,43%,28%,87%,48%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
