itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_miami_dade,region_north,region_orlando,region_rest,region_southeast,region_tampa,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",40%,35%,45%,51%,35%,37%,44%,33%,73%,47%,40%,33%,54%,50%,34%,49%,24%,55%,53%,48%,30%,55%,35%,50%,35%,97%,0%,0%,92%,4%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",53%,59%,48%,44%,57%,58%,49%,62%,20%,43%,55%,62%,39%,44%,59%,46%,72%,39%,38%,45%,65%,36%,59%,48%,54%,0%,98%,0%,2%,94%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",<1%,<.5%,1%,0%,2%,0%,1%,<.5%,0%,<1%,0%,<.5%,<.5%,<.5%,<1%,0%,<1%,0%,<1%,0%,0%,0%,<1%,2%,1%,1%,<.5%,2%,<1%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",<1%,1%,<.5%,<1%,3%,<.5%,0%,<1%,<.5%,<.5%,4%,<1%,1%,1%,<.5%,<1%,<.5%,2%,<.5%,<1%,1%,0%,<.5%,0%,2%,0%,<1%,6%,0%,<1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,1%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,<1%,0%,0%,<.5%,<.5%,0%,0%,0%,0%,4%,<.5%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,4%,6%,4%,4%,5%,6%,3%,5%,8%,<1%,3%,6%,4%,6%,4%,3%,3%,8%,7%,4%,9%,4%,0%,7%,2%,1%,88%,5%,1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,87%,87%,88%,77%,79%,91%,92%,91%,79%,82%,78%,91%,80%,85%,89%,88%,94%,81%,79%,86%,95%,88%,89%,80%,88%,89%,87%,0%,94%,89%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,11%,12%,11%,23%,19%,8%,8%,8%,17%,17%,21%,8%,18%,14%,10%,11%,6%,17%,18%,11%,5%,11%,11%,18%,10%,11%,12%,31%,5%,10%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,1%,<1%,2%,<1%,2%,<1%,<.5%,<.5%,4%,2%,1%,<.5%,2%,1%,1%,<1%,<.5%,2%,3%,3%,0%,1%,<.5%,2%,1%,<1%,1%,69%,<.5%,<1%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,586,276,308,98,102,200,167,357,72,104,38,357,214,265,312,158,194,102,112,65,58,64,190,87,122,266,316,4,157,215
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",17%,0%,29%,0%,12%,0%,37%,33%,0%,0%,0%,33%,0%,9%,21%,0%,58%,0%,0%,0%,0%,0%,11%,100%,27%,100%,0%,0%,39%,0%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",19%,25%,15%,7%,49%,13%,8%,15%,0%,31%,94%,15%,30%,35%,11%,22%,10%,60%,16%,25%,47%,14%,4%,0%,27%,0%,100%,0%,18%,61%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,64%,75%,56%,93%,39%,87%,55%,51%,100%,69%,6%,51%,70%,57%,68%,78%,32%,40%,84%,75%,53%,86%,85%,0%,45%,0%,0%,100%,44%,39%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,47,23,24,8,14,11,13,19,6,13,3,19,22,18,29,9,10,7,15,7,4,6,14,1,15,3,12,32,9,4
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Debbie Mucarsel [moo-car-SEL] -Powell, the Democrat",40%,33%,46%,42%,30%,40%,45%,36%,62%,47%,33%,36%,49%,48%,35%,47%,30%,51%,48%,48%,23%,51%,34%,50%,42%,85%,7%,32%,89%,7%
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Rick Scott, the Republican",49%,56%,43%,45%,55%,52%,46%,56%,18%,40%,54%,56%,36%,43%,53%,45%,63%,38%,34%,41%,68%,33%,55%,41%,48%,7%,83%,13%,5%,86%
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Feena Bonoan, the Libertarian Party candidate",<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,11%,11%,10%,13%,15%,8%,9%,7%,20%,13%,13%,7%,15%,9%,12%,8%,7%,11%,18%,11%,10%,16%,11%,9%,9%,7%,10%,55%,7%,7%
"(Ask only in FL)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares,MARGIN Scott +9 Calculated using candidates’ unrounded vote shares
"(Ask only in FL starting on September 30)  If the 2024 election were held today, would you vote YES or NO on Amendment 4 that would if passed legalize abortions up to the point of fetal viability, or generally acknowledged to be the 24th week of pregnancy?",Yes,46%,41%,49%,63%,44%,43%,46%,46%,56%,50%,39%,46%,50%,54%,41%,57%,39%,52%,48%,52%,33%,52%,46%,50%,40%,77%,24%,19%,74%,25%
"(Ask only in FL starting on September 30)  If the 2024 election were held today, would you vote YES or NO on Amendment 4 that would if passed legalize abortions up to the point of fetal viability, or generally acknowledged to be the 24th week of pregnancy?",No,38%,43%,34%,31%,38%,40%,41%,41%,23%,32%,52%,41%,33%,37%,39%,37%,43%,36%,31%,26%,55%,36%,40%,28%,43%,14%,58%,31%,14%,60%
"(Ask only in FL starting on September 30)  If the 2024 election were held today, would you vote YES or NO on Amendment 4 that would if passed legalize abortions up to the point of fetal viability, or generally acknowledged to be the 24th week of pregnancy?",[VOL] Don't know/Refused,16%,15%,17%,7%,18%,17%,13%,13%,21%,18%,9%,13%,17%,9%,20%,6%,18%,11%,22%,23%,12%,12%,13%,22%,17%,10%,18%,51%,12%,15%
"(Ask only in FL starting on September 30)  If the 2024 election were held today, would you vote YES or NO on Amendment 4 that would if passed legalize abortions up to the point of fetal viability, or generally acknowledged to be the 24th week of pregnancy?",MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares,MARGIN Yes +7 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,12%,11%,12%,100%,0%,0%,0%,9%,23%,15%,21%,9%,19%,6%,16%,5%,11%,8%,27%,13%,15%,14%,11%,15%,8%,15%,10%,13%,15%,9%
(Responses reclassified by age group) In what year were you born?,30-44,19%,19%,18%,0%,100%,0%,0%,15%,20%,26%,32%,15%,26%,24%,15%,16%,14%,36%,18%,21%,19%,29%,15%,16%,21%,16%,21%,15%,17%,20%
(Responses reclassified by age group) In what year were you born?,45-64,32%,34%,31%,0%,0%,100%,0%,32%,34%,35%,35%,32%,35%,30%,33%,26%,35%,38%,32%,34%,21%,20%,36%,35%,33%,29%,34%,38%,26%,36%
(Responses reclassified by age group) In what year were you born?,65+,33%,33%,33%,0%,0%,0%,100%,41%,21%,23%,12%,41%,20%,37%,32%,50%,36%,18%,21%,31%,34%,36%,35%,29%,33%,37%,30%,33%,39%,30%
(Responses reclassified by age group) In what year were you born?,Refused,4%,3%,5%,0%,0%,0%,0%,4%,3%,0%,0%,4%,<1%,2%,4%,3%,4%,0%,2%,1%,11%,0%,3%,5%,5%,3%,5%,2%,2%,5%
(Responses reclassified by age group) In what year were you born?,Number of respondents,622,292,328,104,110,210,178,371,77,115,40,371,232,278,335,165,201,107,125,71,61,70,202,87,131,267,323,32,165,218
What is the highest educational level that you have completed?,Grade school,3%,2%,4%,0%,1%,2%,6%,3%,0%,9%,0%,3%,4%,0%,6%,0%,5%,0%,8%,12%,4%,2%,2%,0%,3%,2%,4%,0%,<1%,5%
What is the highest educational level that you have completed?,High school,24%,26%,22%,40%,18%,27%,17%,23%,29%,17%,29%,23%,23%,0%,40%,0%,39%,0%,41%,21%,31%,25%,22%,24%,23%,20%,26%,33%,23%,28%
What is the highest educational level that you have completed?,Vocational or trade school,4%,4%,4%,5%,<1%,6%,3%,4%,2%,4%,5%,4%,4%,0%,7%,0%,6%,0%,6%,4%,3%,<.5%,4%,5%,5%,3%,5%,5%,4%,5%
What is the highest educational level that you have completed?,"Some college, no degree",14%,12%,16%,15%,15%,13%,16%,16%,15%,13%,3%,16%,12%,0%,24%,0%,26%,0%,21%,11%,19%,17%,16%,16%,8%,12%,16%,16%,12%,16%
What is the highest educational level that you have completed?,Associate’s degree,14%,14%,14%,20%,13%,13%,13%,14%,18%,14%,10%,14%,14%,0%,23%,0%,24%,0%,25%,8%,9%,6%,17%,15%,15%,13%,14%,16%,12%,14%
What is the highest educational level that you have completed?,Bachelor's degree,24%,26%,22%,14%,31%,22%,29%,24%,20%,25%,31%,24%,25%,62%,0%,63%,0%,57%,0%,21%,14%,38%,23%,24%,26%,29%,21%,25%,30%,19%
What is the highest educational level that you have completed?,Graduate or professional degree,15%,15%,15%,6%,20%,15%,15%,14%,16%,18%,22%,14%,18%,38%,0%,37%,0%,43%,0%,18%,12%,12%,15%,16%,16%,19%,12%,5%,18%,11%
What is the highest educational level that you have completed?,[VOL] Refused,2%,<1%,3%,0%,0%,2%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,6%,7%,0%,<.5%,<1%,2%,2%,2%,0%,<1%,3%
What is the highest educational level that you have completed?,Number of respondents,622,292,328,104,110,210,178,371,77,115,40,371,232,278,335,165,201,107,125,71,61,70,202,87,131,267,323,32,165,218
Would you consider yourself:,White,59%,61%,57%,44%,44%,60%,74%,98%,0%,0%,0%,98%,0%,59%,60%,100%,96%,0%,0%,24%,59%,54%,71%,48%,66%,51%,67%,33%,47%,70%
Would you consider yourself:,Hispanic or Latino,17%,15%,18%,22%,24%,19%,11%,0%,0%,100%,0%,0%,48%,18%,16%,0%,0%,48%,48%,55%,4%,35%,8%,18%,10%,19%,14%,28%,16%,14%
Would you consider yourself:,Black or African American,11%,9%,12%,21%,12%,11%,7%,0%,96%,0%,0%,0%,30%,10%,11%,0%,0%,26%,33%,14%,10%,9%,8%,17%,9%,19%,3%,19%,25%,2%
Would you consider yourself:,Asian,1%,1%,1%,5%,2%,<.5%,0%,0%,0%,0%,16%,0%,3%,2%,<.5%,0%,0%,6%,1%,3%,<1%,2%,<.5%,<1%,2%,2%,<1%,0%,3%,<1%
Would you consider yourself:,American Indian or Alaska Native,<.5%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,<1%,0%,<.5%,<.5%,0%,0%,0%,<.5%,0%,0%,<1%,0%,0%,0%,0%,0%,<.5%,0%,0%,<.5%
Would you consider yourself:,Middle Eastern or North African,<1%,2%,0%,0%,1%,2%,0%,0%,0%,0%,12%,0%,2%,<1%,1%,0%,0%,1%,3%,0%,0%,0%,0%,0%,4%,0%,2%,0%,0%,2%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<.5%,<1%,0%,2%,<.5%,0%,0%,0%,0%,5%,0%,1%,<.5%,<1%,0%,0%,<.5%,2%,0%,0%,0%,<.5%,2%,0%,0%,<1%,<1%,0%,0%
Would you consider yourself:,[VOL] Some other race (specify),4%,4%,4%,6%,6%,1%,3%,2%,4%,0%,29%,2%,7%,3%,5%,0%,4%,7%,7%,<1%,6%,0%,5%,5%,4%,2%,6%,4%,2%,6%
Would you consider yourself:,[VOL] More than one race,3%,2%,3%,2%,6%,5%,0%,0%,0%,0%,38%,0%,8%,4%,2%,0%,0%,11%,6%,<1%,0%,0%,4%,6%,2%,3%,3%,0%,5%,2%
Would you consider yourself:,[VOL] Refused,4%,5%,4%,0%,3%,2%,4%,0%,0%,0%,0%,0%,0%,2%,4%,0%,0%,0%,0%,1%,20%,0%,3%,4%,3%,3%,4%,16%,3%,3%
Would you consider yourself:,Number of respondents,622,292,328,104,110,210,178,371,77,115,40,371,232,278,335,165,201,107,125,71,61,70,202,87,131,267,323,32,165,218
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Yes,5%,7%,3%,5%,5%,6%,5%,5%,4%,0%,23%,5%,5%,4%,6%,3%,7%,4%,6%,7%,3%,3%,5%,4%,7%,4%,6%,5%,3%,6%
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",No,74%,74%,74%,68%,68%,72%,83%,95%,96%,0%,55%,95%,43%,76%,74%,97%,93%,49%,39%,35%,81%,63%,83%,75%,81%,74%,75%,70%,76%,74%
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",[VOL] Don't know/Refused,2%,1%,2%,<1%,1%,<.5%,<.5%,<.5%,0%,0%,0%,<.5%,0%,1%,<1%,<.5%,0%,0%,0%,<1%,12%,0%,1%,0%,<.5%,<1%,2%,2%,<.5%,2%
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",[PREVIOUSLY] Hispanic,19%,18%,20%,27%,25%,22%,11%,0%,0%,100%,22%,0%,51%,19%,19%,0%,0%,47%,55%,57%,4%,34%,11%,20%,12%,21%,16%,23%,21%,18%
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,26%,17%,34%,30%,24%,20%,33%,19%,57%,27%,32%,19%,38%,33%,21%,29%,12%,39%,38%,37%,21%,32%,18%,34%,27%,59%,2%,12%,100%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,41%,41%,41%,30%,41%,47%,37%,47%,7%,38%,51%,47%,30%,28%,50%,29%,60%,26%,32%,36%,50%,31%,46%,26%,46%,4%,71%,19%,0%,100%
