itm,v1,likely_electorate_likely_electorate,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
"(Combined to include leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",48%,48%,46%,49%,39%,56%,52%,48%,42%,53%,46%,78%,45%,56%,43%,57%,40%,58%,61%,67%,51%,38%,96%,0%,0%,100%,0%,0%,0%,93%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",43%,43%,44%,43%,52%,35%,36%,40%,49%,41%,46%,10%,40%,33%,49%,34%,53%,22%,28%,22%,40%,54%,0%,94%,0%,0%,100%,0%,0%,3%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",5%,4%,4%,5%,5%,5%,9%,6%,4%,3%,4%,7%,6%,5%,4%,5%,3%,7%,6%,4%,4%,5%,2%,4%,35%,0%,0%,100%,0%,2%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",1%,1%,1%,<1%,<1%,<1%,1%,2%,1%,<.5%,<1%,1%,3%,2%,<.5%,1%,<.5%,6%,<.5%,2%,1%,<.5%,<1%,<.5%,8%,0%,0%,0%,22%,<1%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,<1%,0%,0%,0%,1%,<.5%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",<1%,<.5%,<1%,<1%,<1%,<.5%,<.5%,<1%,1%,<.5%,<.5%,<.5%,1%,<1%,<.5%,<1%,<.5%,1%,<1%,<.5%,<1%,<1%,<.5%,<1%,3%,0%,0%,0%,12%,<.5%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<1%,<1%,1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<.5%,11%,0%,0%,0%,15%,<.5%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,2%,2%,2%,2%,2%,2%,<1%,3%,2%,2%,2%,3%,3%,2%,2%,2%,2%,4%,3%,4%,2%,2%,<.5%,<1%,42%,0%,0%,0%,49%,1%
"(Combined to include leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares,MARGIN Harris +5 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,84%,81%,87%,85%,83%,86%,73%,80%,85%,90%,86%,74%,76%,85%,84%,86%,86%,79%,73%,84%,82%,86%,85%,85%,34%,88%,88%,35%,28%,92%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,13%,15%,11%,13%,14%,12%,25%,18%,12%,7%,11%,21%,20%,13%,13%,12%,11%,17%,22%,14%,14%,11%,12%,12%,52%,11%,10%,55%,52%,7%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,3%,4%,2%,2%,3%,2%,2%,3%,3%,3%,2%,5%,3%,2%,3%,2%,3%,4%,4%,2%,3%,2%,2%,3%,14%,2%,2%,10%,20%,1%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,"1,899",589,666,644,895,972,277,434,597,540,"1,489",160,203,865,"1,022",706,782,140,221,333,764,802,980,869,50,935,803,117,44,634
"(Leaners, if not supporting Trump or Harris in previous questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",24%,14%,35%,21%,26%,21%,34%,18%,19%,34%,24%,30%,31%,21%,26%,19%,27%,27%,34%,25%,27%,20%,100%,0%,0%,-,-,25%,23%,53%
"(Leaners, if not supporting Trump or Harris in previous questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",32%,34%,25%,37%,33%,30%,41%,37%,29%,22%,34%,21%,32%,32%,30%,36%,32%,25%,30%,25%,26%,40%,0%,100%,0%,-,-,44%,19%,11%
"(Leaners, if not supporting Trump or Harris in previous questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,45%,52%,40%,42%,41%,48%,25%,44%,52%,44%,43%,49%,36%,46%,44%,45%,41%,47%,36%,50%,46%,40%,0%,0%,100%,-,-,31%,58%,36%
"(Leaners, if not supporting Trump or Harris in previous questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,235,81,85,69,116,113,41,72,75,43,151,29,39,111,123,72,79,32,36,50,93,92,53,76,106,,,117,118,33
"(Combined Senate results)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Democrat,49%,46%,51%,51%,40%,57%,51%,50%,46%,53%,47%,80%,53%,59%,44%,58%,40%,68%,64%,71%,53%,38%,90%,6%,35%,90%,5%,46%,42%,93%
"(Combined Senate results)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Republican,41%,43%,37%,44%,50%,33%,35%,37%,46%,41%,45%,10%,31%,33%,46%,34%,52%,20%,22%,18%,38%,53%,4%,84%,15%,4%,86%,33%,18%,3%
"(Combined Senate results)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,9%,11%,11%,5%,9%,9%,14%,12%,9%,6%,8%,10%,16%,9%,9%,7%,8%,12%,14%,10%,9%,9%,5%,10%,49%,5%,9%,21%,40%,5%
"(Combined Senate results)  If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Number of respondents,"1,973",619,693,661,934,"1,007",282,458,619,559,"1,532",170,214,897,"1,064",723,808,151,231,352,793,828,988,879,106,935,803,117,118,646
"(Ask only in MI) If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?","Elissa [uh-LISS-uh] Slotkin [SLOT-kin], the Democrat",46%,46%,-,-,35%,57%,41%,48%,43%,51%,43%,80%,46%,56%,41%,54%,37%,67%,60%,74%,49%,35%,84%,7%,30%,84%,5%,35%,34%,90%
"(Ask only in MI) If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?","Mike Rogers, the Republican",43%,43%,-,-,54%,32%,39%,40%,48%,40%,49%,9%,34%,34%,47%,39%,54%,17%,25%,12%,40%,55%,7%,85%,12%,7%,88%,31%,16%,3%
"(Ask only in MI) If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,11%,11%,-,-,10%,12%,20%,11%,9%,10%,8%,10%,20%,10%,11%,7%,9%,16%,15%,14%,11%,10%,9%,8%,59%,9%,7%,34%,50%,7%
"(Ask only in MI) If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +3 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,11%,13%,11%,10%,12%,11%,100%,0%,0%,0%,10%,13%,24%,12%,11%,11%,9%,15%,21%,14%,13%,9%,13%,10%,8%,12%,10%,23%,7%,11%
(Responses reclassified by age group) In what year were you born?,30-44,21%,22%,21%,18%,21%,20%,0%,100%,0%,0%,18%,28%,39%,27%,17%,25%,14%,41%,30%,26%,23%,16%,21%,20%,28%,21%,19%,27%,30%,21%
(Responses reclassified by age group) In what year were you born?,45-64,34%,34%,33%,34%,34%,34%,0%,0%,100%,0%,34%,33%,26%,33%,34%,33%,35%,33%,28%,30%,34%,35%,29%,38%,40%,29%,38%,31%,37%,31%
(Responses reclassified by age group) In what year were you born?,65+,31%,28%,32%,34%,31%,32%,0%,0%,0%,100%,35%,24%,9%,25%,35%,29%,39%,8%,19%,29%,27%,36%,35%,29%,20%,35%,30%,19%,23%,34%
(Responses reclassified by age group) In what year were you born?,Refused,3%,2%,3%,4%,2%,4%,0%,0%,0%,0%,3%,2%,2%,3%,3%,2%,3%,3%,2%,2%,3%,4%,3%,3%,3%,3%,3%,0%,4%,2%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"1,973",619,693,661,934,"1,007",282,458,619,559,"1,532",170,214,897,"1,064",723,808,151,231,352,793,828,988,879,106,935,803,117,118,646
What is the highest educational level that you have completed?,Grade school,2%,3%,2%,2%,3%,2%,2%,2%,<.5%,5%,2%,6%,<.5%,0%,4%,0%,3%,0%,4%,2%,2%,2%,1%,3%,2%,1%,4%,<.5%,3%,1%
What is the highest educational level that you have completed?,High school,29%,27%,32%,29%,30%,29%,30%,20%,28%,36%,29%,37%,23%,0%,46%,0%,46%,0%,46%,30%,22%,35%,27%,32%,23%,27%,33%,19%,22%,28%
What is the highest educational level that you have completed?,Vocational or trade school,6%,5%,6%,7%,7%,5%,5%,5%,8%,5%,6%,7%,8%,0%,9%,0%,9%,0%,12%,6%,6%,6%,4%,8%,6%,4%,8%,10%,5%,5%
What is the highest educational level that you have completed?,"Some college, no degree",15%,16%,13%,15%,15%,14%,17%,13%,14%,16%,15%,13%,14%,0%,23%,0%,24%,0%,21%,15%,14%,15%,15%,15%,11%,15%,14%,19%,11%,14%
What is the highest educational level that you have completed?,Associate’s degree,11%,13%,9%,10%,10%,12%,9%,12%,12%,9%,11%,10%,11%,0%,17%,0%,18%,0%,17%,10%,10%,12%,10%,12%,13%,10%,12%,9%,13%,8%
What is the highest educational level that you have completed?,Bachelor's degree,22%,21%,22%,23%,22%,22%,29%,31%,21%,16%,23%,12%,26%,61%,0%,62%,0%,57%,0%,19%,29%,18%,24%,20%,29%,24%,19%,28%,29%,22%
What is the highest educational level that you have completed?,Graduate or professional degree,14%,14%,16%,12%,12%,16%,9%,16%,15%,14%,14%,14%,16%,39%,0%,38%,0%,43%,0%,18%,16%,11%,19%,9%,16%,19%,8%,13%,17%,20%
What is the highest educational level that you have completed?,[VOL] Refused,<1%,<1%,<1%,<1%,<1%,<1%,0%,0%,1%,<.5%,<.5%,0%,1%,0%,0%,0%,0%,0%,0%,<.5%,1%,<1%,<.5%,2%,0%,<.5%,2%,1%,0%,<1%
Would you consider yourself:,White,79%,75%,77%,86%,79%,80%,70%,69%,81%,89%,99%,0%,0%,80%,80%,99%,99%,0%,0%,59%,76%,90%,77%,84%,61%,77%,85%,66%,61%,74%
Would you consider yourself:,Hispanic or Latino,3%,3%,4%,3%,4%,3%,8%,6%,2%,1%,0%,0%,37%,2%,4%,0%,0%,15%,22%,6%,4%,2%,4%,3%,4%,4%,3%,7%,3%,4%
Would you consider yourself:,Black or African American,8%,10%,10%,4%,7%,9%,9%,11%,8%,6%,0%,100%,0%,6%,9%,0%,0%,34%,52%,21%,9%,2%,12%,2%,11%,12%,2%,12%,9%,16%
Would you consider yourself:,Asian,2%,2%,2%,<1%,2%,2%,4%,3%,<1%,<.5%,0%,0%,17%,3%,<1%,0%,0%,20%,4%,3%,2%,<1%,2%,<1%,<.5%,2%,1%,<.5%,2%,2%
Would you consider yourself:,American Indian or Alaska Native,<1%,<.5%,<1%,<1%,<.5%,1%,<.5%,<1%,<1%,<.5%,0%,0%,8%,<1%,<1%,0%,0%,4%,4%,<1%,1%,<.5%,<.5%,<1%,2%,<.5%,<1%,1%,3%,<.5%
Would you consider yourself:,Middle Eastern or North African,<1%,2%,<1%,<.5%,1%,<1%,2%,1%,<1%,<.5%,0%,0%,9%,1%,<.5%,0%,0%,9%,2%,<.5%,2%,<.5%,<1%,<1%,<1%,<.5%,<1%,2%,4%,<1%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,3%,<.5%,<.5%,0%,0%,3%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,2%,<.5%,<.5%,2%,<.5%,0%
Would you consider yourself:,[VOL] Some other race (specify),2%,3%,2%,2%,3%,2%,2%,3%,2%,1%,<1%,<.5%,12%,3%,2%,1%,<1%,9%,6%,4%,2%,2%,1%,3%,6%,1%,3%,4%,5%,1%
Would you consider yourself:,[VOL] More than one race,1%,1%,1%,1%,<1%,2%,3%,3%,<1%,<.5%,0%,0%,15%,1%,2%,0%,0%,6%,9%,3%,1%,<1%,1%,2%,<.5%,1%,2%,2%,2%,<1%
Would you consider yourself:,[VOL] Refused,3%,4%,2%,2%,4%,1%,2%,2%,3%,2%,0%,0%,0%,2%,2%,0%,0%,0%,0%,2%,3%,3%,1%,3%,13%,1%,3%,5%,10%,1%
Would you consider yourself:,Number of respondents,"1,973",619,693,661,934,"1,007",282,458,619,559,"1,532",170,214,897,"1,064",723,808,151,231,352,793,828,988,879,106,935,803,117,118,646
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,34%,35%,35%,33%,25%,43%,36%,35%,31%,38%,32%,66%,36%,40%,31%,37%,28%,54%,47%,51%,37%,26%,65%,3%,16%,67%,2%,13%,18%,100%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,32%,29%,39%,27%,36%,28%,24%,29%,32%,34%,35%,5%,21%,23%,36%,26%,41%,10%,15%,13%,30%,39%,4%,63%,12%,4%,66%,9%,10%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,30%,31%,23%,36%,35%,25%,31%,31%,33%,25%,29%,25%,34%,31%,29%,31%,28%,28%,31%,31%,28%,31%,27%,31%,51%,26%,28%,67%,44%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,2%,3%,2%,2%,3%,1%,5%,3%,3%,<.5%,2%,1%,5%,3%,1%,3%,1%,5%,3%,2%,3%,2%,1%,2%,11%,1%,2%,9%,11%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,2%,3%,1%,3%,2%,2%,4%,2%,1%,2%,2%,3%,4%,3%,2%,2%,2%,4%,4%,2%,2%,2%,2%,2%,10%,2%,1%,1%,16%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,42%,40%,46%,40%,36%,48%,54%,44%,32%,50%,42%,51%,40%,49%,37%,50%,36%,42%,45%,52%,42%,38%,85%,4%,19%,86%,2%,27%,32%,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,43%,42%,36%,48%,48%,37%,29%,40%,51%,39%,46%,23%,33%,36%,47%,37%,52%,26%,31%,30%,41%,49%,5%,84%,14%,5%,87%,41%,21%,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,16%,18%,18%,11%,16%,15%,17%,16%,17%,11%,12%,26%,27%,15%,15%,12%,12%,32%,24%,18%,17%,14%,10%,12%,67%,9%,11%,32%,46%,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,623,207,179,237,344,262,95,150,197,165,477,47,78,304,315,244,233,50,75,113,237,273,291,278,54,265,225,72,61,
Combined: Party identification and leaners,The Democratic Party,49%,50%,47%,49%,39%,57%,58%,51%,43%,52%,45%,81%,53%,58%,43%,56%,39%,69%,64%,70%,51%,39%,91%,4%,30%,92%,3%,34%,41%,100%
Combined: Party identification and leaners,The Republican Party,46%,44%,48%,46%,55%,39%,35%,43%,51%,45%,51%,11%,35%,37%,52%,40%,57%,19%,27%,24%,44%,56%,6%,92%,22%,6%,94%,41%,26%,0%
Combined: Party identification and leaners,[VOL] Don't know/Refused,5%,7%,5%,5%,6%,4%,7%,6%,6%,3%,4%,8%,12%,6%,5%,4%,4%,12%,9%,6%,6%,5%,3%,4%,49%,3%,4%,25%,33%,0%
Combined: Party identification and leaners,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,41%,39%,43%,41%,48%,35%,21%,36%,50%,41%,46%,6%,27%,31%,47%,33%,53%,17%,17%,19%,36%,54%,3%,84%,26%,3%,87%,31%,16%,4%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,47%,45%,48%,49%,39%,55%,46%,49%,41%,54%,45%,84%,47%,59%,41%,58%,37%,68%,62%,66%,51%,38%,88%,5%,26%,89%,4%,38%,32%,90%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,8%,12%,7%,5%,9%,6%,28%,12%,5%,2%,7%,9%,21%,5%,10%,4%,8%,9%,19%,10%,10%,6%,7%,8%,26%,6%,7%,18%,26%,5%
