itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_clark_county,region_rural,region_washoe_county,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Clark County,Rural,Washoe County,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.,Dem.
How satisfied are you with the way things are going in your life these days?,Almost certain,39%,39%,39%,19%,35%,51%,45%,48%,28%,28%,49%,36%,58%,44%,34%,27%,37%,46%,41%,40%,33%,48%,39%,44%,21%,46%,48%,29%,16%,41%
How satisfied are you with the way things are going in your life these days?,Very likely,34%,33%,34%,28%,38%,29%,41%,39%,30%,27%,37%,33%,35%,40%,43%,26%,33%,37%,35%,32%,36%,33%,33%,37%,25%,36%,38%,29%,25%,35%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,12%,12%,12%,32%,11%,9%,4%,6%,23%,18%,4%,15%,2%,8%,10%,23%,12%,9%,13%,11%,15%,8%,16%,9%,13%,9%,6%,26%,21%,14%
How satisfied are you with the way things are going in your life these days?,Not very likely,6%,7%,5%,11%,9%,5%,1%,2%,13%,9%,3%,7%,<1%,3%,6%,12%,6%,5%,7%,7%,6%,4%,7%,4%,12%,5%,3%,10%,12%,3%
How satisfied are you with the way things are going in your life these days?,Not at all likely,7%,6%,8%,9%,8%,5%,8%,3%,5%,15%,5%,7%,2%,3%,5%,10%,9%,2%,1%,7%,8%,4%,4%,6%,21%,3%,4%,6%,20%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,1%,1%,0%,1%,1%,2%,<.5%,2%,2%,2%,2%,2%,2%,1%,2%,<1%,2%,2%,1%,2%,<1%,<1%,8%,<.5%,<1%,<.5%,6%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,313,296,126,125,176,153,325,129,139,220,387,142,181,67,196,444,70,100,279,226,109,245,296,73,180,241,77,116,160
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,51%,48%,18%,25%,29%,23%,52%,22%,23%,29%,69%,18%,34%,10%,34%,72%,11%,16%,44%,38%,18%,38%,50%,13%,27%,41%,12%,19%,25%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Clark County,Rural,Washoe County,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.,Dem.
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",27%,26%,29%,16%,25%,24%,41%,30%,26%,22%,37%,23%,41%,24%,27%,24%,28%,20%,30%,30%,28%,18%,72%,0%,0%,100%,0%,0%,0%,69%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",41%,44%,38%,31%,39%,54%,38%,47%,37%,31%,33%,45%,36%,53%,31%,35%,40%,53%,39%,39%,39%,51%,0%,83%,0%,0%,100%,0%,0%,6%
How satisfied are you with the way things are going in your life these days?,"Robert F. Kennedy Jr., the third-party candidate",12%,14%,11%,20%,16%,9%,8%,11%,13%,15%,11%,13%,8%,13%,15%,14%,12%,10%,14%,11%,13%,15%,10%,11%,26%,0%,0%,100%,0%,7%
How satisfied are you with the way things are going in your life these days?,"Jill Stein [stine], the Green Party candidate",2%,1%,2%,7%,2%,0%,0%,<1%,3%,3%,1%,2%,2%,0%,0%,4%,2%,2%,0%,2%,2%,1%,3%,<1%,0%,0%,0%,0%,9%,1%
How satisfied are you with the way things are going in your life these days?,"[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Lars Mapstead [map-sted], the Libertarian Party candidate",2%,2%,2%,3%,3%,2%,<.5%,2%,2%,2%,2%,2%,1%,3%,3%,2%,2%,4%,2%,1%,3%,2%,3%,<1%,6%,0%,0%,0%,10%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Another candidate (specify),<.5%,<.5%,<1%,0%,0%,0%,2%,<.5%,0%,1%,<1%,<.5%,1%,0%,0%,<1%,<.5%,0%,1%,<1%,0%,1%,0%,0%,3%,0%,0%,0%,2%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Not going to vote/wouldn't vote if those were the choices,5%,6%,4%,7%,8%,3%,3%,2%,3%,13%,6%,5%,3%,2%,10%,7%,6%,5%,3%,4%,8%,4%,4%,<.5%,27%,0%,0%,0%,27%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,7%,13%,16%,8%,8%,8%,6%,16%,13%,10%,10%,7%,5%,14%,13%,10%,6%,12%,13%,8%,7%,8%,5%,37%,0%,0%,0%,51%,11%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,313,296,126,125,176,153,325,129,139,220,387,142,181,67,196,444,70,100,279,226,109,245,296,73,180,241,77,116,160
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,51%,48%,18%,25%,29%,23%,52%,22%,23%,29%,69%,18%,34%,10%,34%,72%,11%,16%,44%,38%,18%,38%,50%,13%,27%,41%,12%,19%,25%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Clark County,Rural,Washoe County,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.,Dem.
How satisfied are you with the way things are going in your life these days?,Definitely,68%,70%,65%,35%,61%,75%,86%,78%,49%,59%,78%,63%,80%,76%,76%,48%,67%,71%,66%,72%,65%,63%,64%,71%,58%,73%,76%,36%,42%,72%
How satisfied are you with the way things are going in your life these days?,Probably,28%,28%,29%,62%,32%,21%,12%,19%,46%,38%,19%,32%,18%,20%,24%,47%,29%,24%,30%,26%,29%,32%,31%,26%,40%,25%,21%,56%,43%,24%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,4%,3%,6%,3%,7%,4%,1%,3%,5%,3%,2%,5%,2%,4%,0%,6%,4%,5%,4%,2%,6%,4%,5%,4%,2%,3%,3%,8%,15%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,518,270,246,97,108,156,133,296,108,101,186,328,126,168,53,154,371,62,85,231,191,96,219,278,21,180,240,77,21,136
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,53%,47%,17%,25%,30%,24%,56%,21%,20%,29%,70%,19%,37%,9%,32%,72%,12%,16%,43%,38%,19%,39%,56%,5%,32%,49%,15%,4%,24%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Clark County,Rural,Washoe County,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.,Dem.
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",38%,34%,42%,38%,36%,31%,45%,36%,41%,38%,47%,33%,47%,30%,43%,38%,39%,30%,35%,39%,42%,26%,100%,0%,0%,100%,0%,30%,35%,84%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",50%,55%,45%,51%,51%,57%,44%,52%,50%,44%,39%,54%,40%,60%,44%,47%,47%,66%,49%,47%,46%,64%,0%,100%,0%,0%,100%,43%,17%,10%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,13%,11%,14%,11%,13%,13%,11%,11%,9%,18%,14%,12%,13%,10%,13%,14%,13%,4%,16%,14%,12%,10%,0%,0%,100%,0%,0%,27%,48%,6%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,313,296,126,125,176,153,325,129,139,220,387,142,181,67,196,444,70,100,279,226,109,245,296,73,180,241,77,116,160
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,51%,48%,18%,25%,29%,23%,52%,22%,23%,29%,69%,18%,34%,10%,34%,72%,11%,16%,44%,38%,18%,38%,50%,13%,27%,41%,12%,19%,25%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
How satisfied are you with the way things are going in your life these days?,"(Combines Senate races in Arizona, Nevada, Pennsylvania and Wisconsin) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Clark County,Rural,Washoe County,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.,Dem.
How satisfied are you with the way things are going in your life these days?,... the Democrat,40%,35%,46%,46%,39%,32%,47%,37%,46%,42%,46%,38%,44%,33%,49%,44%,42%,28%,39%,43%,45%,23%,84%,13%,15%,87%,9%,44%,37%,86%
How satisfied are you with the way things are going in your life these days?,... the Republican,38%,44%,31%,27%,35%,46%,41%,45%,28%,31%,31%,40%,35%,51%,27%,31%,34%,57%,39%,37%,27%,60%,4%,69%,13%,3%,75%,32%,9%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,23%,22%,23%,27%,26%,22%,13%,18%,26%,27%,23%,22%,21%,16%,25%,26%,24%,15%,22%,20%,28%,17%,12%,18%,72%,10%,16%,24%,53%,14%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,313,296,126,125,176,153,325,129,139,220,387,142,181,67,196,444,70,100,279,226,109,245,296,73,180,241,77,116,160
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,51%,48%,18%,25%,29%,23%,52%,22%,23%,29%,69%,18%,34%,10%,34%,72%,11%,16%,44%,38%,18%,38%,50%,13%,27%,41%,12%,19%,25%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
How satisfied are you with the way things are going in your life these days?,"(If Nevada voter) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Clark County,Rural,Washoe County,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.,Dem.
How satisfied are you with the way things are going in your life these days?,"Jacky Rosen, the Democrat",40%,35%,46%,46%,39%,32%,47%,37%,46%,42%,46%,38%,44%,33%,49%,44%,42%,28%,39%,43%,45%,23%,84%,13%,15%,87%,9%,44%,37%,86%
How satisfied are you with the way things are going in your life these days?,"Sam Brown, the Republican",38%,44%,31%,27%,35%,46%,41%,45%,28%,31%,31%,40%,35%,51%,27%,31%,34%,57%,39%,37%,27%,60%,4%,69%,13%,3%,75%,32%,9%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,23%,22%,23%,27%,26%,22%,13%,18%,26%,27%,23%,22%,21%,16%,25%,26%,24%,15%,22%,20%,28%,17%,12%,18%,72%,10%,16%,24%,53%,14%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,313,296,126,125,176,153,325,129,139,220,387,142,181,67,196,444,70,100,279,226,109,245,296,73,180,241,77,116,160
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,51%,48%,18%,25%,29%,23%,52%,22%,23%,29%,69%,18%,34%,10%,34%,72%,11%,16%,44%,38%,18%,38%,50%,13%,27%,41%,12%,19%,25%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Clark County,Rural,Washoe County,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.,Dem.
How satisfied are you with the way things are going in your life these days?,18-29,18%,18%,18%,100%,0%,0%,0%,10%,33%,23%,5%,24%,4%,14%,8%,35%,20%,8%,17%,15%,25%,11%,19%,19%,16%,11%,14%,30%,30%,17%
How satisfied are you with the way things are going in your life these days?,30-44,25%,26%,23%,0%,100%,0%,0%,24%,27%,27%,30%,23%,24%,24%,44%,23%,23%,27%,32%,23%,26%,28%,24%,25%,25%,23%,23%,32%,27%,22%
How satisfied are you with the way things are going in your life these days?,45-64,29%,28%,29%,0%,0%,100%,0%,30%,24%,27%,32%,27%,33%,29%,28%,25%,28%,34%,29%,32%,23%,32%,23%,33%,28%,25%,38%,21%,19%,26%
How satisfied are you with the way things are going in your life these days?,65+,23%,23%,24%,0%,0%,0%,100%,30%,14%,15%,27%,20%,33%,28%,15%,13%,24%,27%,17%,24%,23%,21%,28%,20%,20%,35%,21%,15%,15%,31%
How satisfied are you with the way things are going in your life these days?,Refused,5%,5%,6%,0%,0%,0%,0%,5%,2%,7%,6%,5%,6%,5%,5%,4%,5%,5%,5%,6%,3%,8%,6%,3%,11%,6%,4%,2%,9%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,313,296,126,125,176,153,325,129,139,220,387,142,181,67,196,444,70,100,279,226,109,245,296,73,180,241,77,116,160
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,51%,48%,18%,25%,29%,23%,52%,22%,23%,29%,69%,18%,34%,10%,34%,72%,11%,16%,44%,38%,18%,38%,50%,13%,27%,41%,12%,19%,25%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Clark County,Rural,Washoe County,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy,Oth.,Dem.
How satisfied are you with the way things are going in your life these days?,Grade school,4%,5%,4%,5%,4%,5%,5%,4%,10%,1%,0%,6%,0%,6%,0%,7%,5%,11%,0%,1%,7%,6%,4%,5%,2%,6%,6%,0%,3%,4%
How satisfied are you with the way things are going in your life these days?,High school,29%,29%,30%,54%,23%,26%,23%,25%,38%,32%,0%,42%,0%,39%,0%,46%,30%,20%,35%,28%,33%,26%,24%,32%,38%,20%,31%,40%,34%,24%
How satisfied are you with the way things are going in your life these days?,Vocational or trade school,5%,3%,7%,5%,5%,5%,4%,5%,6%,5%,0%,7%,0%,7%,0%,7%,5%,7%,5%,5%,4%,6%,4%,5%,7%,5%,5%,4%,5%,5%
How satisfied are you with the way things are going in your life these days?,"Some college, no degree",21%,19%,22%,20%,20%,22%,20%,21%,17%,24%,0%,30%,0%,33%,0%,28%,21%,25%,16%,21%,19%,24%,20%,24%,11%,18%,26%,16%,17%,19%
How satisfied are you with the way things are going in your life these days?,Associate’s degree,9%,11%,8%,8%,14%,7%,9%,10%,9%,8%,0%,14%,0%,15%,0%,12%,10%,14%,6%,9%,10%,10%,10%,10%,8%,10%,8%,15%,9%,8%
How satisfied are you with the way things are going in your life these days?,Bachelor's degree,19%,19%,18%,6%,22%,22%,22%,22%,12%,16%,64%,0%,63%,0%,66%,0%,18%,18%,23%,21%,15%,20%,22%,15%,23%,22%,15%,18%,21%,26%
How satisfied are you with the way things are going in your life these days?,Graduate or professional degree,10%,11%,9%,2%,13%,11%,12%,13%,3%,12%,36%,0%,37%,0%,34%,0%,10%,6%,14%,13%,10%,7%,14%,8%,9%,17%,8%,8%,9%,12%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,2%,1%,2%,0%,0%,1%,6%,1%,4%,1%,0%,0%,0%,0%,0%,0%,2%,0%,0%,2%,2%,<1%,2%,2%,<1%,1%,2%,0%,3%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,313,296,126,125,176,153,325,129,139,220,387,142,181,67,196,444,70,100,279,226,109,245,296,73,180,241,77,116,160
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,51%,48%,18%,25%,29%,23%,52%,22%,23%,29%,69%,18%,34%,10%,34%,72%,11%,16%,44%,38%,18%,38%,50%,13%,27%,41%,12%,19%,25%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),Party ID
