itm,v1,michigan_likely_electorate_michigan_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_detroit,region_detroit_metro,region_east,region_north,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",46%,33%,58%,45%,41%,47%,50%,44%,75%,37%,52%,43%,51%,41%,58%,53%,79%,47%,44%,44%,38%,75%,48%,36%,96%,0%,0%,97%,5%,39%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",46%,56%,37%,45%,49%,45%,45%,49%,12%,52%,39%,49%,42%,52%,27%,37%,16%,44%,46%,51%,56%,18%,43%,56%,0%,98%,0%,2%,93%,47%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",2%,2%,2%,<.5%,4%,2%,<1%,1%,2%,5%,2%,2%,<1%,1%,6%,2%,3%,2%,2%,2%,<1%,1%,2%,2%,2%,<.5%,10%,<.5%,0%,4%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",1%,2%,<.5%,2%,1%,1%,<.5%,1%,1%,2%,1%,1%,2%,<1%,0%,3%,0%,<1%,<1%,2%,3%,0%,1%,1%,<.5%,1%,5%,0%,0%,3%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,1%,2%,<.5%,1%,1%,1%,<1%,<1%,3%,<1%,1%,<1%,<1%,<1%,3%,<1%,<1%,2%,<1%,<1%,<.5%,<.5%,1%,<1%,<.5%,0%,15%,<.5%,0%,2%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,5%,3%,7%,4%,5%,3%,4%,7%,3%,5%,4%,4%,3%,6%,4%,2%,4%,7%,1%,2%,6%,5%,3%,<.5%,<.5%,69%,<1%,2%,4%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,85%,85%,86%,75%,77%,89%,90%,87%,85%,72%,82%,86%,84%,88%,80%,77%,82%,84%,84%,87%,88%,83%,84%,86%,84%,87%,39%,93%,93%,72%
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,13%,14%,13%,23%,20%,10%,8%,12%,13%,21%,16%,12%,15%,11%,16%,19%,16%,13%,15%,12%,9%,16%,14%,12%,15%,11%,43%,6%,6%,24%
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,2%,2%,2%,2%,3%,1%,2%,1%,2%,6%,2%,2%,<1%,1%,5%,4%,2%,3%,<1%,1%,2%,<1%,2%,1%,<1%,2%,18%,<.5%,<.5%,4%
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,634,324,304,104,139,198,176,465,70,81,243,385,169,294,63,87,39,207,198,103,87,83,293,258,311,313,10,187,167,237
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",20%,17%,27%,7%,24%,26%,16%,19%,13%,41%,18%,21%,17%,20%,23%,30%,51%,18%,15%,58%,0%,15%,13%,32%,100%,0%,0%,18%,0%,29%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",11%,14%,7%,12%,12%,7%,19%,11%,11%,19%,8%,13%,9%,12%,9%,20%,9%,4%,14%,11%,30%,17%,13%,6%,0%,100%,0%,0%,21%,16%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,69%,70%,66%,81%,63%,66%,65%,70%,76%,40%,73%,66%,74%,68%,68%,50%,41%,79%,71%,31%,70%,68%,74%,62%,0%,0%,100%,82%,79%,55%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,79,52,26,16,25,23,11,49,14,11,32,47,17,32,13,12,5,27,30,9,8,12,38,29,10,11,58,5,3,42
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Democrat,47%,36%,56%,45%,42%,47%,51%,44%,72%,46%,54%,43%,53%,40%,63%,55%,68%,51%,46%,42%,37%,73%,50%,36%,90%,6%,23%,93%,4%,45%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",... the Republican,42%,51%,33%,39%,41%,42%,43%,46%,11%,32%,37%,44%,40%,49%,24%,20%,11%,38%,41%,47%,54%,15%,39%,52%,3%,84%,19%,1%,88%,41%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,12%,12%,11%,16%,17%,11%,6%,10%,17%,22%,9%,13%,8%,11%,13%,24%,21%,11%,13%,10%,9%,12%,11%,12%,7%,10%,58%,6%,8%,14%
"(Combined Senate results) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",Number of respondents,688,359,322,115,154,214,184,498,82,86,264,418,180,316,72,95,43,224,221,109,91,94,316,278,315,315,58,191,170,257
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Elissa [uh-LISS-uh] Slotkin [SLOT-kin], the Democrat",47%,36%,56%,45%,42%,47%,51%,44%,72%,46%,54%,43%,53%,40%,63%,55%,68%,51%,46%,42%,37%,73%,50%,36%,90%,6%,23%,93%,4%,45%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Mike Rogers, the Republican",42%,51%,33%,39%,41%,42%,43%,46%,11%,32%,37%,44%,40%,49%,24%,20%,11%,38%,41%,47%,54%,15%,39%,52%,3%,84%,19%,1%,88%,41%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Douglas Marsh, the Green Party candidate",<.5%,<.5%,0%,<1%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","[VOL] Joseph Solis-Mullen, the Libertarian Party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,12%,12%,11%,15%,17%,11%,6%,10%,17%,22%,9%,13%,8%,11%,13%,24%,21%,10%,13%,10%,9%,12%,11%,12%,7%,10%,58%,6%,7%,14%
"(Ask only in MI) If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares,MARGIN Slotkin +5 Calculated using candidates’ unrounded vote shares
(Responses reclassified by age group) In what year were you born?,18-29,14%,15%,13%,100%,0%,0%,0%,13%,10%,24%,10%,15%,10%,14%,15%,19%,5%,15%,18%,5%,14%,14%,14%,13%,13%,13%,21%,13%,14%,14%
(Responses reclassified by age group) In what year were you born?,30-44,22%,22%,21%,0%,100%,0%,0%,22%,16%,30%,27%,20%,28%,19%,24%,23%,24%,24%,21%,17%,24%,27%,22%,20%,20%,24%,27%,21%,21%,22%
(Responses reclassified by age group) In what year were you born?,45-64,33%,33%,32%,0%,0%,100%,0%,33%,43%,19%,35%,32%,33%,33%,36%,28%,38%,33%,29%,38%,31%,27%,34%,33%,34%,32%,34%,32%,30%,35%
(Responses reclassified by age group) In what year were you born?,65+,28%,28%,29%,0%,0%,0%,100%,30%,27%,21%,25%,30%,28%,31%,19%,28%,33%,25%,27%,36%,28%,27%,27%,30%,31%,28%,15%,31%,30%,27%
(Responses reclassified by age group) In what year were you born?,Refused,3%,2%,4%,0%,0%,0%,0%,3%,3%,6%,2%,3%,1%,3%,6%,2%,0%,3%,4%,4%,3%,5%,3%,4%,3%,4%,3%,3%,6%,2%
(Responses reclassified by age group) In what year were you born?,Number of respondents,688,359,322,115,154,214,184,498,82,86,264,418,180,316,72,95,43,224,221,109,91,94,316,278,315,315,58,191,170,257
What is the highest educational level that you have completed?,Grade school,2%,3%,2%,<1%,2%,2%,4%,2%,4%,3%,0%,4%,0%,3%,0%,5%,<1%,2%,2%,5%,3%,<.5%,2%,3%,3%,2%,4%,2%,2%,3%
What is the highest educational level that you have completed?,High school,30%,31%,29%,49%,23%,27%,27%,31%,27%,29%,0%,45%,0%,45%,0%,46%,38%,24%,31%,34%,32%,23%,27%,35%,26%,33%,30%,29%,34%,27%
What is the highest educational level that you have completed?,Vocational or trade school,6%,9%,3%,7%,5%,8%,5%,6%,10%,7%,0%,9%,0%,8%,0%,14%,15%,6%,7%,5%,5%,10%,5%,7%,5%,8%,6%,4%,7%,6%
What is the highest educational level that you have completed?,"Some college, no degree",16%,14%,18%,12%,18%,15%,17%,16%,14%,15%,0%,24%,0%,24%,0%,24%,14%,14%,15%,17%,23%,13%,15%,18%,15%,18%,6%,16%,17%,15%
What is the highest educational level that you have completed?,Associate’s degree,11%,10%,13%,6%,11%,12%,15%,13%,7%,5%,0%,17%,0%,19%,0%,11%,7%,12%,12%,12%,8%,14%,11%,11%,13%,9%,11%,15%,10%,9%
What is the highest educational level that you have completed?,Bachelor's degree,21%,19%,22%,20%,26%,19%,18%,20%,22%,21%,61%,0%,63%,0%,56%,0%,8%,26%,19%,19%,18%,15%,24%,18%,21%,20%,23%,18%,21%,24%
What is the highest educational level that you have completed?,Graduate or professional degree,13%,13%,13%,5%,15%,17%,12%,12%,15%,19%,39%,0%,37%,0%,44%,0%,17%,16%,15%,7%,11%,25%,17%,7%,18%,8%,20%,16%,6%,16%
What is the highest educational level that you have completed?,[VOL] Refused,<1%,<1%,<1%,<.5%,<.5%,0%,2%,<.5%,2%,0%,0%,0%,0%,0%,0%,0%,0%,1%,<.5%,1%,<1%,0%,<1%,<1%,<.5%,1%,0%,0%,2%,0%
Would you consider yourself:,White,76%,78%,76%,72%,77%,77%,79%,99%,0%,0%,72%,79%,100%,99%,0%,0%,15%,66%,87%,93%,78%,52%,69%,91%,74%,81%,63%,73%,83%,76%
Would you consider yourself:,Hispanic or Latino,3%,3%,2%,5%,4%,3%,<.5%,0%,0%,27%,2%,4%,0%,0%,7%,19%,0%,4%,2%,2%,5%,0%,4%,2%,3%,3%,1%,4%,4%,2%
Would you consider yourself:,Black or African American,10%,8%,11%,7%,7%,13%,9%,0%,98%,0%,11%,9%,0%,0%,47%,49%,75%,13%,3%,<.5%,4%,37%,11%,1%,16%,3%,17%,18%,3%,9%
Would you consider yourself:,Asian,2%,1%,2%,5%,2%,<1%,<1%,0%,0%,16%,3%,<1%,0%,0%,14%,5%,0%,4%,<.5%,0%,<1%,2%,3%,0%,2%,2%,2%,2%,1%,2%
Would you consider yourself:,American Indian or Alaska Native,<1%,<1%,1%,<1%,1%,<.5%,2%,0%,0%,9%,<.5%,1%,0%,0%,<1%,7%,2%,<.5%,1%,<.5%,2%,<1%,1%,<1%,<1%,1%,0%,<.5%,<.5%,1%
Would you consider yourself:,Middle Eastern or North African,2%,2%,2%,3%,3%,<.5%,2%,0%,0%,15%,3%,<1%,0%,0%,13%,5%,0%,5%,0%,0%,<1%,0%,3%,0%,<.5%,3%,3%,<.5%,3%,2%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,0%,<.5%,0%,1%,<.5%,0%,0%,0%,4%,<.5%,<.5%,0%,0%,2%,2%,0%,<.5%,0%,2%,0%,0%,<.5%,<1%,<.5%,<1%,<.5%,0%,<1%,<.5%
Would you consider yourself:,[VOL] Some other race (specify),2%,2%,2%,0%,2%,1%,3%,<1%,2%,11%,2%,2%,0%,1%,8%,4%,1%,2%,2%,<1%,2%,<1%,3%,<1%,1%,2%,5%,1%,2%,2%
Would you consider yourself:,[VOL] More than one race,2%,2%,2%,5%,2%,<1%,2%,0%,0%,18%,2%,2%,0%,0%,9%,10%,2%,2%,2%,1%,3%,3%,2%,1%,2%,2%,0%,<1%,2%,3%
Would you consider yourself:,[VOL] Refused,3%,4%,2%,2%,2%,4%,2%,0%,0%,0%,4%,1%,0%,0%,0%,0%,6%,3%,3%,1%,4%,4%,3%,2%,1%,3%,9%,<.5%,2%,4%
Would you consider yourself:,Number of respondents,688,359,322,115,154,214,184,498,82,86,264,418,180,316,72,95,43,224,221,109,91,94,316,278,315,315,58,191,170,257
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,31%,21%,41%,26%,32%,31%,32%,30%,54%,22%,32%,30%,32%,29%,35%,40%,44%,32%,32%,26%,28%,54%,32%,24%,63%,<1%,7%,100%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,27%,31%,23%,27%,22%,28%,29%,30%,9%,30%,22%,29%,24%,32%,20%,20%,3%,26%,26%,29%,38%,7%,26%,33%,3%,54%,9%,0%,100%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,35%,39%,30%,39%,36%,35%,33%,33%,30%,43%,42%,31%,41%,30%,40%,34%,39%,33%,34%,42%,30%,30%,34%,37%,31%,38%,44%,0%,0%,100%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,3%,4%,2%,5%,6%,3%,1%,3%,6%,1%,2%,4%,2%,4%,3%,4%,8%,4%,3%,2%,3%,5%,3%,3%,2%,4%,8%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,4%,5%,3%,2%,4%,3%,6%,4%,<1%,4%,2%,5%,<.5%,6%,2%,2%,6%,5%,5%,<1%,<.5%,5%,6%,2%,<1%,4%,32%,0%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"(If independent, another party or not sure) And as of today, do you lean more to:",The Democratic Party,34%,24%,47%,40%,32%,24%,42%,31%,59%,47%,40%,30%,39%,27%,52%,53%,59%,31%,30%,39%,33%,56%,35%,28%,82%,2%,16%,-,-,37%
"(If independent, another party or not sure) And as of today, do you lean more to:",The Republican Party,48%,54%,39%,46%,46%,56%,44%,53%,15%,37%,41%,53%,47%,56%,26%,30%,25%,45%,51%,51%,57%,27%,44%,58%,6%,89%,10%,-,-,50%
"(If independent, another party or not sure) And as of today, do you lean more to:",[VOL] Don't know/Refused,18%,22%,14%,13%,22%,20%,14%,16%,26%,15%,19%,17%,14%,17%,23%,17%,15%,24%,19%,9%,10%,17%,21%,14%,12%,9%,74%,-,-,13%
"(If independent, another party or not sure) And as of today, do you lean more to:",Number of respondents,258,155,99,45,61,79,67,178,27,38,106,152,67,111,30,35,20,83,81,43,31,35,116,107,101,123,34,,,209
Combined: Party identification and leaners,The Democratic Party,45%,32%,58%,45%,47%,41%,48%,42%,76%,45%,50%,43%,49%,39%,59%,61%,76%,45%,45%,44%,39%,76%,46%,36%,91%,2%,20%,100%,0%,37%
Combined: Party identification and leaners,The Republican Party,47%,57%,37%,49%,43%,51%,46%,51%,15%,48%,41%,51%,44%,54%,31%,32%,16%,45%,47%,52%,57%,18%,45%,58%,5%,94%,17%,0%,100%,50%
