itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dekalb_fulton,region_inner_atlanta_suburbs,region_north,region_outer_atlanta_suburbs,region_south,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
How satisfied are you with the way things are going in your life these days?,Not very likely,5%,4%,5%,8%,8%,2%,2%,3%,8%,5%,5%,5%,2%,3%,7%,7%,4%,7%,3%,4%,4%,7%,5%,3%,4%,4%,9%,<1%,3%,6%
How satisfied are you with the way things are going in your life these days?,Not at all likely,6%,3%,9%,7%,10%,5%,3%,5%,7%,10%,3%,8%,3%,6%,3%,10%,6%,6%,3%,6%,8%,10%,6%,5%,3%,5%,19%,3%,4%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,3%,1%,2%,0%,8%,2%,5%,0%,2%,2%,2%,2%,1%,3%,2%,3%,6%,<.5%,3%,3%,2%,4%,1%,1%,14%,1%,1%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,604,265,333,170,157,165,87,317,175,90,267,331,147,168,108,154,109,109,107,129,150,66,303,235,237,289,78,182,227,61
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,52%,19%,25%,31%,21%,53%,30%,14%,35%,63%,19%,33%,15%,28%,18%,18%,17%,22%,26%,10%,51%,39%,39%,49%,12%,31%,39%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",DeKalb / Fulton,Inner Atlanta Suburbs,North,Outer Atlanta Suburbs,South,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",31%,28%,34%,20%,27%,38%,35%,21%,55%,22%,40%,26%,30%,16%,56%,39%,45%,32%,21%,27%,31%,43%,34%,24%,79%,0%,0%,100%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",39%,44%,35%,37%,35%,41%,49%,56%,14%,32%,32%,44%,46%,62%,16%,22%,28%,31%,56%,42%,38%,32%,34%,48%,0%,80%,0%,0%,100%,0%
How satisfied are you with the way things are going in your life these days?,"Robert F. Kennedy Jr., the third-party candidate",9%,10%,7%,16%,10%,6%,4%,8%,9%,8%,11%,7%,13%,5%,9%,9%,8%,6%,7%,9%,11%,6%,9%,9%,8%,8%,12%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Jill Stein [stine], the Green Party candidate",1%,<1%,1%,2%,2%,<.5%,0%,<.5%,<1%,5%,<1%,1%,0%,<.5%,2%,3%,<1%,1%,<1%,<.5%,2%,2%,1%,<1%,2%,<.5%,3%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Lars Mapstead [map-sted], the Libertarian Party candidate",1%,2%,1%,0%,5%,<1%,0%,2%,<1%,<1%,2%,1%,2%,2%,2%,<.5%,1%,4%,<.5%,1%,<1%,0%,2%,<1%,2%,1%,<1%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Another candidate (specify),2%,3%,<.5%,0%,4%,2%,0%,<1%,2%,6%,<.5%,2%,<1%,<1%,0%,5%,1%,4%,3%,0%,<1%,2%,2%,1%,0%,<1%,11%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Not going to vote/wouldn't vote if those were the choices,5%,3%,7%,5%,6%,5%,6%,4%,6%,6%,4%,6%,2%,6%,5%,6%,6%,4%,<1%,6%,8%,8%,5%,5%,2%,2%,25%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,12%,9%,15%,20%,12%,9%,7%,7%,13%,20%,9%,12%,5%,9%,10%,15%,11%,18%,10%,13%,9%,6%,14%,11%,7%,7%,48%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,604,265,333,170,157,165,87,317,175,90,267,331,147,168,108,154,109,109,107,129,150,66,303,235,237,289,78,182,227,61
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,52%,19%,25%,31%,21%,53%,30%,14%,35%,63%,19%,33%,15%,28%,18%,18%,17%,22%,26%,10%,51%,39%,39%,49%,12%,31%,39%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",DeKalb / Fulton,Inner Atlanta Suburbs,North,Outer Atlanta Suburbs,South,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,Definitely,70%,70%,70%,51%,62%,77%,86%,75%,64%,60%,71%,70%,68%,80%,76%,56%,68%,60%,77%,71%,72%,67%,69%,73%,69%,73%,38%,74%,80%,28%
How satisfied are you with the way things are going in your life these days?,Probably,26%,25%,28%,43%,34%,22%,12%,22%,31%,36%,26%,26%,30%,18%,23%,38%,28%,33%,20%,24%,26%,33%,28%,23%,29%,24%,38%,24%,17%,64%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,4%,5%,2%,5%,4%,<1%,2%,2%,5%,4%,2%,4%,3%,2%,1%,7%,3%,6%,4%,4%,1%,<1%,3%,5%,2%,4%,24%,3%,3%,8%
How satisfied are you with the way things are going in your life these days?,Number of respondents,487,230,252,124,123,144,79,276,134,65,226,258,135,139,86,112,86,81,91,105,124,53,241,193,211,259,17,182,227,61
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,50%,18%,24%,32%,22%,57%,29%,12%,38%,62%,22%,35%,15%,26%,18%,16%,18%,22%,26%,10%,50%,40%,43%,54%,2%,38%,48%,11%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",DeKalb / Fulton,Inner Atlanta Suburbs,North,Outer Atlanta Suburbs,South,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",39%,34%,44%,34%,37%,44%,36%,26%,66%,37%,49%,33%,38%,19%,68%,51%,56%,41%,26%,36%,37%,48%,44%,31%,100%,0%,0%,100%,0%,35%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",49%,56%,43%,52%,47%,46%,56%,67%,20%,45%,41%,54%,58%,73%,20%,33%,32%,41%,63%,56%,50%,39%,45%,57%,0%,100%,0%,0%,100%,48%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,12%,10%,14%,13%,16%,10%,8%,7%,13%,18%,10%,13%,4%,8%,11%,15%,12%,17%,11%,8%,13%,13%,11%,13%,0%,0%,100%,0%,0%,17%
How satisfied are you with the way things are going in your life these days?,Number of respondents,604,265,333,170,157,165,87,317,175,90,267,331,147,168,108,154,109,109,107,129,150,66,303,235,237,289,78,182,227,61
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,52%,19%,25%,31%,21%,53%,30%,14%,35%,63%,19%,33%,15%,28%,18%,18%,17%,22%,26%,10%,51%,39%,39%,49%,12%,31%,39%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",DeKalb / Fulton,Inner Atlanta Suburbs,North,Outer Atlanta Suburbs,South,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,18-29,19%,19%,18%,100%,0%,0%,0%,18%,16%,31%,17%,20%,18%,17%,16%,25%,18%,18%,16%,20%,22%,22%,19%,19%,17%,20%,21%,12%,18%,35%
How satisfied are you with the way things are going in your life these days?,30-44,25%,23%,27%,0%,100%,0%,0%,24%,27%,23%,30%,23%,29%,22%,32%,23%,33%,36%,18%,17%,23%,32%,26%,21%,24%,24%,33%,22%,22%,29%
How satisfied are you with the way things are going in your life these days?,45-64,31%,29%,32%,0%,0%,100%,0%,30%,29%,36%,34%,29%,32%,29%,34%,31%,32%,27%,30%,30%,33%,23%,30%,34%,35%,29%,24%,37%,32%,20%
How satisfied are you with the way things are going in your life these days?,65+,21%,22%,19%,0%,0%,0%,100%,24%,22%,5%,15%,23%,16%,29%,15%,16%,11%,16%,29%,26%,20%,18%,21%,21%,19%,24%,13%,23%,26%,10%
How satisfied are you with the way things are going in your life these days?,Refused,5%,7%,3%,0%,0%,0%,0%,4%,5%,5%,4%,5%,5%,3%,2%,5%,5%,3%,8%,7%,2%,5%,4%,5%,6%,3%,8%,6%,3%,5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,604,265,333,170,157,165,87,317,175,90,267,331,147,168,108,154,109,109,107,129,150,66,303,235,237,289,78,182,227,61
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,52%,19%,25%,31%,21%,53%,30%,14%,35%,63%,19%,33%,15%,28%,18%,18%,17%,22%,26%,10%,51%,39%,39%,49%,12%,31%,39%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",DeKalb / Fulton,Inner Atlanta Suburbs,North,Outer Atlanta Suburbs,South,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,Grade school,2%,3%,2%,0%,4%,<1%,3%,<.5%,4%,7%,0%,4%,0%,<1%,0%,8%,4%,4%,4%,0%,<1%,4%,2%,3%,2%,<1%,9%,3%,1%,0%
How satisfied are you with the way things are going in your life these days?,High school,30%,31%,28%,38%,28%,22%,37%,29%,30%,33%,0%,47%,0%,46%,0%,48%,22%,21%,39%,31%,34%,41%,25%,33%,26%,33%,27%,28%,33%,15%
How satisfied are you with the way things are going in your life these days?,Vocational or trade school,6%,5%,6%,3%,6%,7%,6%,6%,6%,4%,0%,9%,0%,9%,0%,8%,4%,4%,6%,7%,6%,5%,4%,8%,5%,6%,7%,4%,7%,3%
How satisfied are you with the way things are going in your life these days?,"Some college, no degree",17%,16%,17%,18%,9%,20%,18%,18%,18%,10%,0%,26%,0%,28%,0%,24%,7%,23%,20%,20%,14%,9%,18%,17%,14%,19%,15%,13%,19%,22%
How satisfied are you with the way things are going in your life these days?,Associate’s degree,9%,8%,10%,8%,10%,11%,7%,10%,7%,10%,0%,14%,0%,16%,0%,12%,12%,6%,7%,7%,11%,2%,9%,10%,6%,11%,8%,6%,11%,11%
How satisfied are you with the way things are going in your life these days?,Bachelor's degree,21%,23%,20%,27%,25%,23%,11%,22%,17%,24%,60%,0%,62%,0%,58%,0%,29%,25%,14%,20%,19%,19%,24%,19%,23%,20%,20%,22%,19%,30%
How satisfied are you with the way things are going in your life these days?,Graduate or professional degree,14%,11%,16%,4%,17%,17%,15%,14%,17%,7%,40%,0%,38%,0%,42%,0%,21%,16%,8%,13%,13%,20%,17%,9%,21%,10%,9%,23%,10%,16%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,1%,1%,1%,1%,<.5%,0%,3%,<.5%,2%,4%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,2%,0%,1%,2%,2%,<.5%,5%,<1%,<.5%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,604,265,333,170,157,165,87,317,175,90,267,331,147,168,108,154,109,109,107,129,150,66,303,235,237,289,78,182,227,61
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,52%,19%,25%,31%,21%,53%,30%,14%,35%,63%,19%,33%,15%,28%,18%,18%,17%,22%,26%,10%,51%,39%,39%,49%,12%,31%,39%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",DeKalb / Fulton,Inner Atlanta Suburbs,North,Outer Atlanta Suburbs,South,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,White,52%,58%,47%,49%,51%,50%,61%,99%,0%,0%,54%,52%,99%,98%,0%,0%,42%,39%,71%,60%,49%,52%,47%,58%,35%,72%,28%,36%,76%,50%
How satisfied are you with the way things are going in your life these days?,Hispanic or Latino,7%,5%,8%,13%,4%,10%,<1%,0%,0%,48%,4%,8%,0%,0%,10%,19%,7%,13%,6%,7%,3%,3%,8%,6%,5%,7%,11%,4%,6%,6%
How satisfied are you with the way things are going in your life these days?,Black or African American,29%,23%,36%,25%,32%,28%,32%,0%,100%,0%,29%,30%,0%,0%,70%,67%,43%,29%,12%,23%,37%,38%,31%,25%,50%,12%,32%,52%,11%,31%
How satisfied are you with the way things are going in your life these days?,Asian,1%,2%,<1%,4%,2%,0%,0%,0%,0%,8%,3%,<.5%,0%,0%,6%,<1%,2%,4%,0%,<1%,0%,0%,2%,0%,2%,<1%,0%,2%,<1%,<1%
How satisfied are you with the way things are going in your life these days?,American Indian or Alaska Native,<1%,1%,<1%,2%,1%,1%,0%,0%,0%,7%,<.5%,1%,0%,0%,1%,3%,0%,1%,<1%,<1%,1%,<1%,<1%,1%,<.5%,1%,<1%,<.5%,2%,0%
How satisfied are you with the way things are going in your life these days?,Middle Eastern or North African,<.5%,<.5%,<.5%,0%,1%,0%,0%,0%,0%,2%,<.5%,<.5%,0%,0%,<1%,<1%,0%,0%,0%,1%,0%,0%,<.5%,<1%,<1%,<.5%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,Native Hawaiian or Pacific Islander,<1%,<1%,<1%,1%,0%,<1%,<1%,0%,0%,6%,<1%,<1%,0%,0%,2%,2%,0%,<.5%,3%,0%,<1%,0%,<.5%,2%,0%,<1%,4%,0%,<1%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Some other race (specify),3%,5%,2%,<.5%,3%,5%,3%,1%,<.5%,16%,4%,3%,<1%,2%,8%,4%,2%,3%,4%,2%,4%,4%,3%,3%,4%,2%,5%,4%,1%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] More than one race,2%,2%,1%,4%,2%,<.5%,0%,0%,0%,13%,<1%,2%,0%,0%,2%,4%,2%,3%,<.5%,2%,2%,2%,3%,<.5%,2%,2%,2%,0%,1%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,4%,3%,4%,2%,4%,3%,3%,0%,0%,0%,4%,3%,0%,0%,0%,0%,3%,7%,4%,2%,2%,<.5%,4%,4%,1%,2%,17%,<1%,2%,7%
How satisfied are you with the way things are going in your life these days?,Number of respondents,604,265,333,170,157,165,87,317,175,90,267,331,147,168,108,154,109,109,107,129,150,66,303,235,237,289,78,182,227,61
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,52%,19%,25%,31%,21%,53%,30%,14%,35%,63%,19%,33%,15%,28%,18%,18%,17%,22%,26%,10%,51%,39%,39%,49%,12%,31%,39%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
