itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_detroit,region_detroit_metro,region_east,region_north,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Detroit,Detroit Metro,East,North,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",36%,30%,42%,22%,30%,32%,55%,35%,49%,29%,51%,29%,49%,27%,58%,33%,59%,37%,35%,29%,34%,58%,40%,24%,86%,0%,0%,100%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",38%,45%,31%,29%,39%,45%,33%,42%,14%,30%,27%,43%,31%,49%,12%,25%,17%,34%,39%,50%,39%,19%,32%,51%,0%,76%,0%,0%,100%,0%
How satisfied are you with the way things are going in your life these days?,"Robert F. Kennedy Jr., the third-party candidate",9%,9%,8%,19%,10%,8%,4%,9%,7%,14%,9%,9%,9%,9%,9%,10%,6%,10%,8%,4%,13%,8%,9%,8%,5%,9%,25%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Jill Stein [stine], the Green Party candidate",1%,1%,2%,3%,2%,<1%,<1%,1%,4%,0%,2%,1%,1%,1%,4%,1%,0%,3%,<.5%,<1%,<1%,0%,3%,<.5%,2%,1%,3%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] Cornel West, the third-party candidate",<.5%,<.5%,0%,0%,<1%,0%,0%,0%,0%,2%,0%,<.5%,0%,0%,0%,1%,3%,0%,0%,0%,0%,1%,0%,0%,0%,0%,2%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Lars Mapstead [map-sted], the Libertarian Party candidate",1%,<.5%,2%,3%,0%,2%,<.5%,<1%,0%,5%,<1%,1%,<1%,<1%,0%,3%,0%,1%,2%,0%,1%,0%,<1%,2%,1%,<1%,3%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Another candidate (specify),<.5%,<1%,<.5%,0%,<.5%,1%,0%,<1%,<1%,0%,<1%,<.5%,<1%,<.5%,2%,0%,0%,0%,<.5%,2%,<1%,0%,<.5%,<1%,<.5%,<.5%,2%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Not going to vote/wouldn't vote if those were the choices,5%,5%,5%,6%,9%,5%,2%,4%,11%,10%,3%,6%,2%,4%,6%,12%,2%,5%,7%,4%,4%,2%,6%,5%,3%,4%,20%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,9%,10%,18%,9%,5%,6%,8%,14%,11%,7%,10%,6%,8%,8%,14%,15%,9%,8%,12%,7%,12%,8%,9%,2%,8%,47%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,616,326,287,89,174,186,141,462,80,54,269,342,215,245,47,87,38,200,195,97,86,76,308,232,254,301,61,219,236,57
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,50%,16%,24%,30%,25%,74%,12%,10%,32%,66%,25%,49%,7%,15%,6%,33%,32%,16%,14%,12%,50%,38%,42%,49%,9%,36%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Detroit,Detroit Metro,East,North,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,Definitely,71%,73%,69%,45%,62%,76%,86%,72%,61%,70%,69%,72%,68%,74%,73%,62%,67%,73%,71%,73%,71%,65%,73%,72%,73%,73%,22%,77%,78%,26%
How satisfied are you with the way things are going in your life these days?,Probably,27%,25%,29%,55%,33%,22%,12%,27%,37%,22%,30%,25%,30%,25%,27%,31%,33%,26%,26%,26%,29%,34%,25%,26%,27%,24%,60%,22%,20%,67%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,2%,0%,5%,1%,2%,1%,2%,8%,1%,2%,2%,1%,0%,7%,0%,2%,4%,<1%,0%,1%,2%,2%,<1%,2%,18%,<.5%,2%,7%
How satisfied are you with the way things are going in your life these days?,Number of respondents,524,279,242,72,142,159,129,405,61,44,237,284,193,211,40,65,31,174,166,78,75,65,262,197,236,265,23,219,234,57
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,49%,14%,23%,31%,27%,77%,11%,9%,34%,65%,27%,50%,7%,13%,6%,33%,32%,15%,14%,12%,50%,38%,46%,50%,3%,42%,44%,10%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Head to head, combines leaners) If you had to decide between the two today, would you lean more toward:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Detroit,Detroit Metro,East,North,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",42%,33%,50%,31%,37%,38%,58%,39%,60%,39%,57%,34%,54%,32%,72%,42%,66%,41%,43%,29%,42%,64%,46%,30%,100%,0%,0%,100%,0%,24%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",49%,58%,41%,58%,50%,55%,38%,53%,30%,46%,33%,58%,37%,61%,14%,47%,24%,49%,48%,61%,52%,27%,45%,62%,0%,100%,0%,0%,100%,51%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,9%,9%,11%,13%,7%,4%,8%,10%,15%,10%,8%,9%,7%,14%,11%,10%,10%,8%,9%,6%,9%,9%,8%,0%,0%,100%,0%,0%,25%
How satisfied are you with the way things are going in your life these days?,Number of respondents,616,326,287,89,174,186,141,462,80,54,269,342,215,245,47,87,38,200,195,97,86,76,308,232,254,301,61,219,236,57
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,50%,16%,24%,30%,25%,74%,12%,10%,32%,66%,25%,49%,7%,15%,6%,33%,32%,16%,14%,12%,50%,38%,42%,49%,9%,36%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Detroit,Detroit Metro,East,North,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,18-29,16%,17%,16%,100%,0%,0%,0%,14%,17%,39%,11%,19%,10%,16%,18%,31%,14%,19%,15%,9%,22%,19%,17%,14%,12%,19%,21%,10%,12%,35%
How satisfied are you with the way things are going in your life these days?,30-44,24%,24%,23%,0%,100%,0%,0%,21%,38%,29%,29%,22%,29%,17%,33%,34%,30%,24%,24%,15%,31%,30%,27%,17%,21%,24%,35%,20%,24%,28%
How satisfied are you with the way things are going in your life these days?,45-64,30%,28%,32%,0%,0%,100%,0%,32%,26%,20%,34%,29%,33%,32%,35%,18%,36%,27%,32%,33%,27%,29%,25%,38%,28%,33%,23%,27%,36%,27%
How satisfied are you with the way things are going in your life these days?,65+,25%,24%,26%,0%,0%,0%,100%,29%,20%,8%,19%,28%,22%,32%,9%,17%,21%,24%,26%,36%,15%,20%,23%,29%,34%,19%,12%,38%,22%,10%
How satisfied are you with the way things are going in your life these days?,Refused,5%,7%,2%,0%,0%,0%,0%,4%,0%,4%,6%,3%,6%,2%,6%,0%,0%,7%,3%,8%,4%,3%,7%,3%,5%,5%,9%,5%,5%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,616,326,287,89,174,186,141,462,80,54,269,342,215,245,47,87,38,200,195,97,86,76,308,232,254,301,61,219,236,57
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,50%,16%,24%,30%,25%,74%,12%,10%,32%,66%,25%,49%,7%,15%,6%,33%,32%,16%,14%,12%,50%,38%,42%,49%,9%,36%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Detroit,Detroit Metro,East,North,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,Grade school,3%,4%,1%,2%,2%,3%,4%,3%,0%,4%,0%,4%,0%,4%,0%,2%,0%,1%,4%,3%,3%,5%,1%,4%,1%,4%,1%,<1%,4%,0%
How satisfied are you with the way things are going in your life these days?,High school,31%,29%,33%,47%,23%,25%,36%,30%,31%,43%,0%,47%,0%,45%,0%,52%,35%,25%,36%,39%,23%,29%,27%,36%,26%,36%,23%,26%,34%,31%
How satisfied are you with the way things are going in your life these days?,Vocational or trade school,4%,5%,3%,5%,5%,4%,3%,4%,6%,7%,0%,6%,0%,6%,0%,9%,12%,3%,5%,2%,3%,7%,3%,5%,4%,4%,4%,4%,5%,5%
How satisfied are you with the way things are going in your life these days?,"Some college, no degree",19%,18%,20%,15%,19%,16%,25%,19%,25%,12%,0%,28%,0%,29%,0%,27%,14%,20%,18%,18%,20%,14%,20%,18%,13%,23%,22%,13%,22%,24%
How satisfied are you with the way things are going in your life these days?,Associate’s degree,10%,9%,11%,9%,10%,15%,6%,11%,8%,5%,0%,15%,0%,17%,0%,9%,10%,8%,10%,15%,9%,12%,8%,13%,9%,11%,9%,9%,11%,7%
How satisfied are you with the way things are going in your life these days?,Bachelor's degree,20%,20%,20%,17%,28%,22%,11%,22%,16%,14%,61%,0%,65%,0%,50%,0%,18%,25%,13%,15%,31%,20%,23%,16%,27%,14%,18%,28%,15%,26%
How satisfied are you with the way things are going in your life these days?,Graduate or professional degree,13%,14%,12%,5%,12%,15%,15%,12%,15%,16%,39%,0%,35%,0%,50%,0%,11%,17%,12%,9%,8%,10%,16%,9%,17%,8%,19%,18%,9%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,2%,2%,<1%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,2%,0%,2%,3%,3%,0%,2%,1%,3%,2%,<1%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,616,326,287,89,174,186,141,462,80,54,269,342,215,245,47,87,38,200,195,97,86,76,308,232,254,301,61,219,236,57
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,50%,16%,24%,30%,25%,74%,12%,10%,32%,66%,25%,49%,7%,15%,6%,33%,32%,16%,14%,12%,50%,38%,42%,49%,9%,36%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Detroit,Detroit Metro,East,North,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,White,73%,74%,73%,64%,65%,79%,85%,99%,0%,0%,77%,72%,100%,98%,0%,0%,15%,67%,82%,89%,76%,39%,71%,87%,70%,78%,62%,71%,83%,74%
How satisfied are you with the way things are going in your life these days?,Hispanic or Latino,4%,3%,4%,5%,4%,3%,1%,0%,0%,37%,4%,4%,0%,0%,18%,15%,5%,3%,5%,<1%,4%,7%,4%,2%,4%,2%,6%,4%,2%,6%
How satisfied are you with the way things are going in your life these days?,Black or African American,12%,12%,13%,13%,19%,10%,10%,0%,100%,0%,12%,13%,0%,0%,57%,56%,74%,15%,5%,1%,6%,46%,13%,<1%,18%,7%,14%,17%,5%,10%
How satisfied are you with the way things are going in your life these days?,Asian,2%,1%,2%,5%,2%,0%,<1%,0%,0%,16%,2%,1%,0%,0%,11%,5%,0%,1%,<.5%,0%,8%,1%,2%,1%,2%,2%,<1%,1%,2%,<1%
How satisfied are you with the way things are going in your life these days?,American Indian or Alaska Native,<1%,2%,0%,2%,1%,0%,<.5%,0%,0%,8%,<.5%,1%,0%,0%,1%,5%,3%,<1%,<.5%,3%,0%,1%,<1%,1%,<.5%,<.5%,6%,<.5%,<1%,2%
How satisfied are you with the way things are going in your life these days?,Middle Eastern or North African,1%,2%,<1%,2%,<1%,2%,0%,0%,0%,13%,2%,<1%,0%,0%,10%,4%,0%,4%,0%,0%,0%,0%,2%,0%,<1%,1%,3%,0%,1%,5%
How satisfied are you with the way things are going in your life these days?,Native Hawaiian or Pacific Islander,<.5%,<.5%,0%,0%,0%,0%,0%,0%,0%,<.5%,<.5%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Some other race (specify),2%,1%,3%,2%,3%,1%,1%,1%,0%,11%,<.5%,3%,0%,2%,0%,7%,0%,2%,3%,2%,2%,0%,1%,4%,1%,2%,6%,1%,1%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] More than one race,1%,<1%,2%,6%,1%,<.5%,<1%,0%,0%,15%,<1%,2%,0%,0%,3%,8%,4%,1%,2%,0%,<1%,3%,2%,<.5%,2%,2%,0%,1%,<.5%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,4%,5%,2%,0%,3%,4%,1%,0%,0%,0%,3%,3%,0%,0%,0%,0%,0%,6%,2%,4%,4%,3%,4%,3%,3%,4%,3%,3%,4%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,616,326,287,89,174,186,141,462,80,54,269,342,215,245,47,87,38,200,195,97,86,76,308,232,254,301,61,219,236,57
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,50%,16%,24%,30%,25%,74%,12%,10%,32%,66%,25%,49%,7%,15%,6%,33%,32%,16%,14%,12%,50%,38%,42%,49%,9%,36%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
