itm,v1,ne_2_likely_electorate_ne_2_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2,na_3,na_4,na_5,na_6
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares,MARGIN Harris +9 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",51%,43%,58%,52%,56%,50%,47%,50%,60%,59%,44%,59%,41%,68%,55%,98%,0%,0%,95%,11%,53%,96%,5%,39%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",42%,49%,37%,42%,32%,44%,51%,44%,27%,36%,48%,35%,53%,31%,26%,0%,99%,0%,2%,86%,34%,2%,91%,35%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",2%,<1%,2%,2%,5%,<.5%,0%,1%,4%,1%,2%,1%,1%,0%,7%,<1%,<.5%,20%,<.5%,2%,3%,<.5%,1%,8%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",1%,2%,<.5%,1%,3%,<1%,1%,1%,2%,1%,2%,1%,1%,<1%,3%,<1%,<1%,13%,0%,<.5%,3%,0%,1%,5%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<1%,1%,<1%,1%,<1%,2%,0%,1%,<1%,<.5%,2%,<.5%,2%,0%,1%,<.5%,<.5%,17%,<1%,0%,2%,<1%,<1%,2%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,3%,3%,2%,1%,3%,4%,2%,2%,5%,3%,3%,3%,1%,<.5%,7%,<1%,0%,50%,2%,1%,5%,1%,<1%,11%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,86%,84%,87%,78%,81%,90%,91%,86%,84%,89%,83%,88%,83%,92%,79%,89%,84%,30%,93%,86%,79%,93%,85%,67%,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,13%,14%,11%,20%,17%,9%,8%,13%,14%,10%,15%,11%,15%,6%,19%,10%,14%,46%,6%,12%,19%,7%,14%,28%,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,1%,2%,1%,2%,2%,1%,1%,1%,2%,1%,2%,<1%,2%,1%,2%,<1%,2%,23%,<.5%,2%,1%,<1%,1%,5%,NA,NA,NA,NA,NA,NA
"(If candidate selected, including third-party candidates) Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,647,299,343,142,147,197,143,526,101,326,315,281,242,37,64,357,278,12,194,205,195,283,225,100,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",19%,22%,19%,5%,10%,33%,42%,16%,32%,13%,23%,15%,16%,0%,33%,100%,0%,0%,14%,0%,33%,14%,0%,27%,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",7%,6%,9%,12%,13%,0%,0%,8%,6%,12%,3%,14%,1%,0%,6%,0%,100%,0%,0%,8%,3%,0%,21%,4%,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,74%,72%,72%,83%,77%,67%,58%,77%,62%,74%,74%,70%,83%,100%,60%,0%,0%,100%,86%,92%,64%,86%,79%,68%,NA,NA,NA,NA,NA,NA
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,59,33,23,11,26,14,5,37,18,22,37,18,19,2,16,12,6,41,5,7,35,7,10,32,NA,NA,NA,NA,NA,NA
"If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?","Deb Fischer, the Republican",38%,43%,34%,34%,26%,41%,48%,39%,27%,35%,41%,35%,44%,26%,27%,6%,78%,35%,7%,78%,27%,5%,80%,29%,NA,NA,NA,NA,NA,NA
"If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?","Dan Osborn, the independent",49%,46%,51%,47%,56%,48%,44%,49%,56%,54%,44%,55%,43%,59%,55%,80%,12%,33%,82%,12%,58%,82%,13%,45%,NA,NA,NA,NA,NA,NA
"If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,13%,11%,15%,19%,18%,10%,8%,12%,17%,11%,14%,11%,13%,15%,18%,14%,10%,31%,11%,10%,15%,13%,7%,26%,NA,NA,NA,NA,NA,NA
"If this year’s general election for the U.S. Senate were held today, which candidate would you be more likely to vote for?",Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
"If this year’s special election for the U.S. Senate were held today, which candidate would you be more likely to vote for?","Preston Love Jr., the Democrat",47%,41%,51%,47%,52%,44%,42%,45%,59%,52%,41%,53%,38%,64%,57%,81%,7%,27%,87%,7%,52%,83%,7%,45%,NA,NA,NA,NA,NA,NA
"If this year’s special election for the U.S. Senate were held today, which candidate would you be more likely to vote for?","Pete Ricketts, the Republican",45%,51%,39%,45%,34%,47%,53%,46%,32%,40%,49%,40%,52%,30%,33%,9%,89%,35%,5%,88%,36%,8%,89%,37%,NA,NA,NA,NA,NA,NA
"If this year’s special election for the U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,9%,8%,10%,8%,14%,9%,4%,9%,9%,8%,10%,7%,10%,6%,11%,10%,4%,38%,7%,5%,12%,9%,4%,18%,NA,NA,NA,NA,NA,NA
"If this year’s special election for the U.S. Senate were held today, which candidate would you be more likely to vote for?",Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
"If this year’s general election for the U.S. Congress were held today, which candidate would you be more likely to vote for?","Tony Vargas, the Democrat",49%,43%,53%,51%,51%,50%,44%,48%,59%,54%,44%,54%,42%,63%,56%,85%,6%,28%,92%,9%,52%,88%,7%,46%,NA,NA,NA,NA,NA,NA
"If this year’s general election for the U.S. Congress were held today, which candidate would you be more likely to vote for?","Don Bacon, the Republican",46%,52%,40%,43%,41%,46%,50%,46%,38%,43%,48%,43%,49%,37%,39%,11%,89%,40%,5%,87%,39%,8%,88%,41%,NA,NA,NA,NA,NA,NA
"If this year’s general election for the U.S. Congress were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,6%,4%,7%,6%,8%,4%,6%,6%,3%,3%,8%,3%,9%,0%,5%,4%,5%,33%,2%,5%,8%,4%,5%,14%,NA,NA,NA,NA,NA,NA
"If this year’s general election for the U.S. Congress were held today, which candidate would you be more likely to vote for?",Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
"Which comes closer to your view of how Nebraska should award its Electoral College votes in the race for president, even if neither is exactly right?","Nebraska should switch to a winner-take-all system, where the winner of the state’s popular vote is awarded all of the Electoral College votes",31%,36%,27%,24%,22%,36%,36%,31%,26%,25%,37%,25%,39%,28%,24%,10%,58%,22%,10%,55%,29%,8%,60%,24%,NA,NA,NA,NA,NA,NA
"Which comes closer to your view of how Nebraska should award its Electoral College votes in the race for president, even if neither is exactly right?","Nebraska should keep the current system, where the winner of each district is awarded one Electoral College vote for that district",61%,59%,63%,73%,69%,57%,54%,62%,65%,69%,55%,71%,53%,62%,66%,85%,33%,54%,87%,36%,63%,87%,31%,66%,NA,NA,NA,NA,NA,NA
"Which comes closer to your view of how Nebraska should award its Electoral College votes in the race for president, even if neither is exactly right?",[VOL] Don't know/Refused,8%,5%,10%,3%,8%,7%,10%,7%,10%,6%,8%,5%,8%,10%,10%,4%,10%,23%,3%,9%,8%,4%,9%,10%,NA,NA,NA,NA,NA,NA
"Which comes closer to your view of how Nebraska should award its Electoral College votes in the race for president, even if neither is exactly right?",Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,18-29,14%,14%,14%,100%,0%,0%,0%,12%,25%,8%,19%,8%,17%,13%,32%,14%,14%,12%,16%,12%,14%,10%,11%,46%,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,30-44,25%,24%,25%,0%,100%,0%,0%,24%,29%,31%,19%,30%,18%,39%,23%,27%,19%,46%,25%,16%,28%,28%,19%,26%,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,45-64,32%,34%,31%,0%,0%,100%,0%,34%,27%,37%,28%,38%,29%,37%,22%,32%,33%,27%,32%,33%,35%,36%,33%,19%,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,65+,25%,23%,28%,0%,0%,0%,100%,27%,19%,20%,30%,21%,33%,11%,23%,23%,30%,8%,24%,35%,20%,25%,33%,4%,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,Refused,3%,5%,2%,0%,0%,0%,0%,3%,0%,3%,3%,3%,3%,0%,0%,3%,3%,7%,3%,4%,3%,2%,4%,4%,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,Number of respondents,680,318,356,149,158,207,145,547,110,338,336,290,254,38,72,360,279,41,198,208,214,289,229,117,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,Grade school,1%,2%,<1%,2%,2%,<1%,<1%,1%,3%,0%,3%,0%,2%,0%,5%,2%,<1%,6%,3%,0%,<.5%,2%,1%,3%,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,High school,18%,19%,16%,34%,11%,12%,22%,15%,32%,0%,34%,0%,31%,0%,50%,16%,19%,20%,23%,21%,9%,14%,19%,32%,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,Vocational or trade school,4%,5%,2%,3%,5%,3%,4%,4%,1%,0%,7%,0%,8%,0%,2%,2%,5%,5%,2%,5%,3%,3%,6%,1%,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,"Some college, no degree",17%,17%,18%,24%,11%,14%,25%,17%,18%,0%,34%,0%,35%,0%,27%,14%,21%,20%,15%,21%,16%,12%,20%,27%,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,Associate’s degree,11%,11%,12%,8%,11%,15%,10%,11%,11%,0%,22%,0%,23%,0%,17%,10%,12%,11%,9%,12%,13%,11%,12%,10%,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,Bachelor's degree,30%,30%,31%,20%,37%,37%,21%,32%,19%,63%,0%,64%,0%,55%,0%,32%,27%,34%,26%,27%,38%,34%,28%,18%,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,Graduate or professional degree,18%,16%,19%,9%,23%,18%,18%,18%,16%,37%,0%,36%,0%,45%,0%,22%,14%,4%,20%,13%,21%,24%,13%,8%,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,[VOL] Refused,<1%,<.5%,1%,0%,0%,<.5%,<1%,<1%,0%,0%,0%,0%,0%,0%,0%,<1%,1%,0%,<.5%,<1%,1%,0%,1%,<1%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,White,81%,84%,80%,72%,79%,84%,85%,99%,0%,86%,77%,100%,99%,0%,0%,80%,84%,68%,77%,86%,84%,85%,85%,63%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Hispanic or Latino,5%,4%,5%,12%,4%,3%,4%,0%,31%,2%,7%,0%,0%,19%,37%,5%,3%,9%,7%,3%,3%,4%,2%,11%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Black or African American,6%,4%,7%,5%,9%,5%,4%,0%,38%,5%,7%,0%,0%,42%,36%,9%,2%,3%,10%,3%,5%,6%,3%,14%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Asian,2%,2%,2%,5%,3%,<1%,<1%,0%,14%,2%,2%,0%,0%,21%,10%,2%,2%,7%,3%,<1%,2%,2%,2%,6%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,American Indian or Alaska Native,<1%,<1%,<.5%,1%,<1%,0%,<.5%,0%,3%,<1%,<.5%,0%,0%,8%,1%,<1%,<1%,0%,<.5%,0%,<1%,<.5%,<.5%,0%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Middle Eastern or North African,<.5%,<.5%,<.5%,1%,0%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,1%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,0%,<.5%,<1%,<.5%,0%,0%,0%,1%,<.5%,<.5%,0%,0%,2%,1%,0%,<.5%,2%,0%,<.5%,<.5%,0%,<.5%,0%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] Some other race (specify),2%,2%,1%,2%,<.5%,2%,2%,<1%,8%,1%,3%,<.5%,<1%,5%,9%,1%,3%,3%,<1%,2%,2%,<1%,2%,3%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] More than one race,<.5%,<1%,<.5%,0%,0%,1%,0%,0%,3%,<.5%,<1%,0%,0%,3%,3%,<.5%,<.5%,0%,<.5%,0%,1%,<1%,<1%,0%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] Refused,3%,3%,3%,<1%,3%,3%,4%,0%,0%,3%,3%,0%,0%,0%,0%,1%,5%,6%,<1%,5%,3%,1%,5%,3%,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Number of respondents,680,318,356,149,158,207,145,547,110,338,336,290,254,38,72,360,279,41,198,208,214,289,229,117,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,31%,23%,39%,34%,32%,31%,29%,29%,47%,30%,32%,29%,29%,51%,45%,57%,1%,15%,100%,0%,0%,60%,2%,26%,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,34%,35%,33%,30%,23%,34%,46%,36%,22%,28%,39%,28%,43%,19%,23%,7%,68%,17%,0%,100%,0%,6%,70%,23%,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,29%,35%,24%,30%,33%,31%,23%,30%,25%,35%,23%,38%,22%,22%,27%,32%,24%,45%,0%,0%,100%,31%,22%,39%,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,5%,2%,4%,8%,3%,1%,3%,5%,4%,4%,3%,4%,5%,5%,3%,5%,10%,0%,0%,0%,3%,4%,5%,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,2%,3%,1%,2%,4%,2%,1%,2%,1%,2%,2%,2%,2%,4%,0%,1%,2%,13%,0%,0%,0%,<.5%,2%,7%,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",The Democratic Party,44%,39%,53%,49%,46%,42%,50%,48%,38%,49%,38%,54%,38%,23%,46%,81%,3%,1%,-,-,51%,83%,5%,33%,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",The Republican Party,37%,43%,31%,44%,36%,37%,29%,37%,42%,34%,41%,32%,46%,67%,29%,6%,85%,26%,-,-,35%,5%,89%,33%,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",[VOL] Don't know/Refused,18%,18%,15%,7%,18%,21%,21%,15%,20%,16%,21%,14%,17%,11%,25%,13%,11%,72%,-,-,13%,12%,6%,33%,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",Number of respondents,260,144,111,60,76,73,42,208,40,143,114,126,82,12,28,139,90,31,,,214,104,68,65,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,The Democratic Party,47%,39%,54%,52%,53%,45%,41%,46%,59%,51%,43%,52%,40%,58%,60%,86%,2%,16%,100%,0%,51%,88%,4%,43%,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,The Republican Party,47%,53%,42%,46%,39%,47%,53%,49%,35%,42%,51%,42%,56%,39%,32%,9%,94%,35%,0%,100%,35%,8%,95%,40%,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,[VOL] Don't know/Refused,6%,8%,4%,2%,8%,8%,5%,5%,6%,7%,6%,6%,5%,3%,8%,5%,3%,49%,0%,0%,13%,4%,2%,17%,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,39%,44%,35%,30%,30%,40%,51%,41%,25%,34%,44%,34%,48%,28%,24%,4%,84%,25%,3%,81%,29%,0%,100%,0%,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,45%,38%,51%,32%,51%,49%,44%,46%,43%,54%,36%,55%,37%,58%,35%,83%,2%,14%,87%,8%,47%,100%,0%,0%,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,11%,11%,12%,38%,12%,7%,2%,9%,26%,6%,16%,5%,12%,9%,34%,10%,9%,40%,10%,8%,15%,0%,0%,100%,NA,NA,NA,NA,NA,NA
