QTag,Question Text,Internal/External
INDEX_SU,"The Suffering Index measures respondents'  perceptions of where they stand on a ladder scale with steps numbered from 0 to 10, where  0  represents the worst possible life and  10  represents the best possible life. Individuals are  suffering  if they say they presently stand on steps 0 to 4 of the ladder and expect to stand on steps 0 to 4 five years from now.",External
INDEX_TH,"The Thriving measures respondents  perceptions of where they stand on a ladder scale with steps numbered from 0 to 10, where  0  represents the worst possible life and  10  represents the best possible life. Individuals are   thriving   if they say they presently stand on step 7 or higher of the ladder and expect to stand on step 8 or higher five years from now.",External
INDEX_YD,The Youth Development Index measures a community`s focus on the welfare of its children. This index includes general measures of  development of youth  and  respect for youth  along with satisfaction with the educational system.,External
M1,Have there been times in the past 12 months when you did not have enough money to pay for healthcare and/or medicines that you or your family needed?,External
M30,"How would you rate economic conditions in this country today -- as excellent, good, only fair, or poor?",External
MODE,Mode,External
REG_GLOBAL,Global Region,External
REG2_GLOBAL,Region 2 Global,External
REGION_AFG,Region Afghanistan,External
REGION_AGO,Region Angola,External
REGION_ARE,Region United Arab Emirates,External
REGION_ARG,Region Argentina,External
REGION_ARM,Region Armenia,External
REGION_AUS,Region Australia,External
REGION_AUT,Region Austria,External
REGION_AZE,Region Azerbaijan,External
REGION_BDI,Region Burundi,External
REGION_BEL,Region Belgium,External
REGION_BFA,Region Burkina Faso,External
REGION_BGD,Region Bangladesh,External
REGION_BGR,Region Bulgaria ,External
REGION_BHR,Region Bahrain,External
REGION_BIH,Region Bosnia and Herzegovina,External
REGION_BLR,Region Belarus,External
REGION_BLZ,Region Belize,External
REGION_BOL,Region Bolivia,External
REGION_BRA,Region Brazil,External
REGION_BTN,Region Bhutan,External
REGION_CAM,Region Cameroon,External
REGION_CAN,Region Canada,External
REGION_CAR,Region Central African Republic,External
REGION_CHE,Region Switzerland,External
REGION_CHL,Region Chile,External
REGION_CHN,Region China,External
REGION_CIV,Region Ivory Coast,External
REGION_COG,Region Congo Brazzaville,External
REGION_COL,Region Colombia,External
REGION_COM,Region Comoros,External
REGION_CRI,Region Costa Rica,External
REGION_CYP,Region Cyprus,External
REGION_CZE,Region Czech Republic,External
REGION_DEU,Region Germany,External
REGION_DJI,Region Djibouti,External
REGION_DOM,Region Dominican Republic,External
REGION_DRC,Region Congo Kinshasa,External
REGION_DZA,Region Algeria,External
REGION_ECU,Region Ecuador,External
REGION_EGY,Region Egypt,External
REGION_ESP,Region Spain,External
REGION_EST,Region Estonia,External
REGION_ETH,Region Ethiopia,External
REGION_FIN,Region Finland,External
REGION_FRA,Region France,External
REGION_GAB,Region Gabon,External
REGION_GBR,Region United Kingdom,External
REGION_GEO,Region Georgia,External
REGION_GHA,Region Ghana,External
REGION_GMB,Region Gambia,External
REGION_GRC,Region Greece,External
REGION_GTM,Region Guatemala,External
REGION_GUI,Region Guinea,External
REGION_HKG,Region Hong Kong,External
REGION_HND,Region Honduras,External
REGION_HRV,Region Croatia,External
REGION_HTI,Region Haiti,External
REGION_HUN,Region Hungary,External
REGION_ICL,Region Iceland,External
REGION_IDN,Region Indonesia,External
REGION_IND,Region India,External
REGION_IRL,Region Ireland,External
REGION_IRN,Region Iran,External
REGION_IRQ,Region Iraq,External
REGION_ISR,Region Israel,External
REGION_ITA,Region Italy,External
REGION_JMC,Region Jamaica,External
REGION_JOR,Region Jordan ,External
REGION_JPN,Region Japan,External
REGION_KAZ,Region Kazakhstan,External
REGION_KEN,Region Kenya,External
REGION_KGZ,Region Kyrgyzstan,External
REGION_KHM,Region Cambodia,External
REGION_KOR,Region South Korea,External
REGION_KOS,Region Kosovo,External
REGION_KWT,Region Kuwait,External
REGION_LAO,Region Laos,External
REGION_LBN,Region Lebanon,External
REGION_LBR,Region Liberia,External
REGION_LKA,Region Sri Lanka,External
REGION_LSO,Region Lesotho,External
REGION_LTU,Region Lithuania ,External
REGION_LUX,Region Luxembourg,External
REGION_LVA,Region Latvia,External
REGION_LYB,Region Libya,External
REGION_MDA,Region Moldova,External
REGION_MDG,Region Madagascar,External
REGION_MEX,Region Mexico,External
REGION_MKD,Region Macedonia,External
REGION_MLI,Region Mali,External
REGION_MLT,Region Malta,External
REGION_MLW,Region Malawi,External
REGION_MMR,Region Myanmar,External
REGION_MNE,Region Montenegro,External
REGION_MNG,Region Mongolia,External
REGION_MOZ,Region Mozambique,External
REGION_MRT,Region Mauritania,External
REGION_MUS,Region Mauritius,External
REGION_MYS,Region Malaysia ,External
REGION_NAM,Region Namibia,External
REGION_NCY,Region North Cyprus,External
REGION_NGA,Region Nigeria,External
REGION_NIC,Region Nicaragua,External
REGION_NKR,Region Nagorno-Karabakh,External
REGION_NLD,Region Netherlands,External
REGION_NOR,Region Norway,External
REGION_NPL,Region Nepal ,External
REGION_NZL,Region New Zealand,External
REGION_OMN,Region Oman,External
REGION_PAK,Region Pakistan,External
REGION_PAN,Region Panama,External
REGION_PER,Region Peru,External
REGION_PHL,Region Philippines,External
REGION_POL,Region Poland,External
REGION_PRT,Region Portugal,External
REGION_PRY,Region Paraguay,External
REGION_PSE,Region Palestine,External
REGION_QAT,Region Qatar,External
REGION_ROU,Region Romania,External
REGION_RUS,Region Russia,External
REGION_RWA,Region Rwanda,External
REGION_SAU,Region Saudi Arabia,External
REGION_SDN,Region Sudan,External
REGION_SEN,Region Senegal,External
REGION_SLE,Region Sierra Leone,External
REGION_SLV,Region El Salvador,External
REGION_SOL,Region Somaliland,External
REGION_SOM,Region Somalia,External
REGION_SRB,Region Serbia,External
REGION_SRI,Region Suriname,External
REGION_SSD,Region South Sudan,External
REGION_SVK,Region Slovakia,External
REGION_SVN,Region Slovenia,External
REGION_SWE,Region Sweden,External
REGION_SWZ,Region Swaziland,External
REGION_SYR,Region Syria,External
REGION_TCD,Region Chad,External
REGION_THA,Region Thailand,External
REGION_TJK,Region Tajikistan,External
REGION_TKM,Region Turkmenistan,External
REGION_TOG,Region Togo,External
REGION_TTO,Region Trinidad and Tobago,External
REGION_TUN,Region Tunisia,External
REGION_TUR,Region Turkey,External
REGION_TWN,Region Taiwan,External
REGION_TZA,Region Tanzania,External
REGION_UKR,Region Ukraine,External
REGION_URY,Region Uruguay,External
REGION_USA,Region USA ,External
REGION_UZB,Region Uzbekistan,External
REGION_VEN,Region Venezuela,External
REGION_VNM,Region Vietnam,External
REGION_YEM,Region Yemen ,External
REGION_ZAF,Region South Africa,External
REGION_ZWE,Region Zimbabwe,External
REGION1_ALB,Region 1 Albania,External
REGION1_DZA,Region 1 Algeria,External
REGION1_KAZ,Region 1 Kazakhstan,External
REGION1_NCY,Region 1 Northern Cyprus ,External
REGION1_NOR,Region 1 Norway,External
REGION1_NPL,Region1 Nepal,External
REGION1_OMN,Region 1 Oman,External
REGION1_PAN,Region 1 Panama,External
REGION1_PHL,Region 1 Philippines,External
REGION1_SLE,Region 1 Sierra Leone ,External
REGION1_TWN,Region 1 Taiwan,External
REGION2_AFG,Region2 Afghanistan,External
REGION2_AGO,Region 2 Angola,External
REGION2_ALB,Region 2 Albania,External
REGION2_ARG,Region 2 Argentina,External
REGION2_ARM,Region 2 Armenia,External
REGION2_AZE,Region 2 Azerbaijan,External
REGION2_BDI,Region 2 Burundi,External
REGION2_BEN,Region 2 Benin,External
REGION2_BFA,Region 2 Burkina Faso,External
REGION2_BGR,Region 2 Bulgaria,External
REGION2_BIH,Region 2 Bosnia,External
REGION2_BLR,Region2 Belarus,External
REGION2_BLZ,Region 2 Belize,External
REGION2_BOL,Region 2 Bolivia,External
REGION2_BRA,Region 2 Brazil,External
REGION2_BTN,Region 2 Bhutan,External
REGION2_BWA,Region 2 Botswana,External
REGION2_CAM,Region 2 Cameroon,External
REGION2_CAN,Region 2 Canada,External
REGION2_CHE,Region 2 Switzerland,External
REGION2_CHL,Region 2 Chile,External
REGION2_CHN,Region 2 China,External
REGION2_CIV,Region 2 Ivory Coast,External
REGION2_COG,Region 2 Congo Brazzaville,External
REGION2_COL,Region2 Colombia,External
REGION2_CRI,Region 2 Costa Rica,External
REGION2_CZE,Region 2 Czech Republic,External
REGION2_DJI,Region2 Djibouti,External
REGION2_DNK,Region2 Denmark,External
REGION2_DOM,Region2 Dominican Republic,External
REGION2_DZA,Region 2 Algeria,External
REGION2_ECU,Region 2 Ecuador,External
REGION2_EGY,Region 2 Egypt,External
REGION2_ESP,Region 2 Spain,External
REGION2_EST,Region 2 Estonia,External
REGION2_FIN,Region 2 Finland,External
REGION2_FRA,Region 2 France,External
REGION2_GEO,Region2 Georgia,External
REGION2_GMB,Region 2 Gambia,External
REGION2_GTM,Region 2 Guatemala,External
REGION2_GUI,Region 2 Guinea,External
REGION2_HND,REGION 2 Honduras,External
REGION2_HRV,Region 2 Croatia,External
REGION2_HTI,Region 2 Haiti,External
REGION2_HUN,Region 2 Hungary,External
REGION2_IDN,Region2 Indonesia,External
REGION2_IND,Region2 India,External
REGION2_IRL,Region 2 Ireland,External
REGION2_IRN,Region 2 Iran,External
REGION2_ITA,Region 2 Italy,External
REGION2_JMC,Region 2 Jamaica,External
REGION2_KAZ,Region 2 Kazakhstan,External
REGION2_KEN,Region 2 Kenya,External
REGION2_KGZ,Region 2 Kyrgyzstan,External
REGION2_KHM,Region 2 Cambodia,External
REGION2_KOS,Region 2 Kosovo,External
REGION2_LAO,Region 2 Laos,External
REGION2_LBN,Region 2 Lebanon,External
REGION2_MAR,Region 2 Morocco,External
REGION2_MDA,Region2 Moldova,External
REGION2_MDG,Region 2 Madagascar,External
REGION2_MDV,Region 2 Maldives,External
REGION2_MEX,Region 2 Mexico,External
REGION2_MKD,Region 2 Macedonia,External
REGION2_MLI,Region 2 Mali,External
REGION2_MLW,Region 2 Malawi,External
REGION2_MNE,Region 2 Montenegro,External
REGION2_MNG,Region 2 Mongolia,External
REGION2_MOZ,Region 2 Mozambique,External
REGION2_MRT,Region 2 Mauritania,External
REGION2_MUS,Region 2 Mauritius,External
REGION2_NAM,Region 2 Namibia,External
REGION2_NCY,Region 2 Northern Cyprus,External
REGION2_NER,Region 2 Niger,External
REGION2_NGA,Region 2 Nigeria,External
REGION2_NIC,Region 2 Nicaragua,External
REGION2_NLD,Region 2 Netherlands,External
REGION2_NOR,Region 2 Norway,External
REGION2_NPL,Region2 Nepal,External
REGION2_NZL,Region 2 New Zealand,External
REGION2_PAK,Region 2 Pakistan,External
REGION2_PAN,Region 2 Panama,External
REGION2_PER,Region 2 Peru,External
REGION2_PHL,Region 2 Philippines,External
REGION2_POL,Region 2 Poland,External
REGION2_PRI,Region 2 Puerto Rico,External
REGION2_PRT,Region 2 Portugal,External
REGION2_PRY,Region 2 Paraguay,External
REGION2_PSE,Region 2 Palestine,External
REGION2_ROU,Region 2 Romania,External
REGION2_RUS,Region 2 Russia,External
REGION2_RWA,Region 2 Rwanda,External
REGION2_SAU,Region 2 Saudi Arabia,External
REGION2_SDN,Region 2 Sudan,External
REGION2_SEN,Region 2 Senegal,External
REGION2_SLE,Region2 Sierra Leone,External
REGION2_SLV,Region 2 El Salvador,External
REGION2_SOM,Region 2 Somalia,External
REGION2_SRB,Region 2 Serbia,External
REGION2_SSD,Region 2 South Sudan,External
REGION2_SVK,Region2 Slovakia,External
REGION2_SWE,Region 2 Sweden,External
REGION2_TCD,Region 2 Chad,External
REGION2_THA,Region 2 Thailand,External
REGION2_TJK,Region 2 Tajikistan,External
REGION2_TKM,Region 2 Turkmenistan,External
REGION2_TOG,Region 2 Togo,External
REGION2_TTO,Region 2 Trinidad and Tobago,External
REGION2_TUN,Region 2 Tunisia,External
REGION2_TUR,Region 2 Turkey,External
REGION2_TZA,Region 2 Tanzania,External
REGION2_UGA,Region 2 Uganda,External
REGION2_UKR,Region 2 Ukraine,External
REGION2_URY,Region 2 Uruguay,External
REGION2_USA,Region 2 USA,External
REGION2_UZB,Region 2 Uzbekistan,External
REGION2_VEN,Region2 Venezuela,External
REGION2_VNM,Region 2 Vietnam,External
REGION2_YEM,Region 2 Yemen,External
REGION2_ZMB,Region 2 Zambia,External
REGION3_AZE,Region 3 Azerbaijan,External
REGION3_BHR,Region3 Bahrain,External
REGION3_CIV,Region 3 Ivory Coast,External
REGION3_CRI,Region 3 Costa Rica ,External
REGION3_FIN,Respondent lives in:,External
REGION3_FRA,Region 3 France,External
REGION3_GHA,Region 3 Ghana,External
REGION3_HRV,Region 3 Croatia ,External
REGION3_JMC,Region 3 Jamaica,External
REGION3_MAR,Region 3 Morocco,External
REGION3_NOR,Region 3 Norway,External
REGION3_POL,Region 3 Poland,External
REGION3_PRT,Region 3 Portugal,External
REGION3_RUS,Region 3 Russia,External
REGION3_SLE,Region 3 Sierra Leone ,External
REGION3_TUR,Region 3 Turkey,External
REGION3_TZA,Region 3 Tanzania,External
REGION4_BHR,Region 4 Bahrain,External
REGION4_CIV,Region 4 Ivory Coast,External
REGION4_JMC,Region 4 Jamaica,External
REGION4_NOR,Region 4 Norway,External
REGION5_NOR,Region 5 Norway ,External
SC_1_WP,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",External
SC_19_WP,"Do you personally think that social media makes people feel more connected or less connected to other people? By connected, I mean how close people feel to other people emotionally.",External
SC_2_WP,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?",External
SC_22A,How often did you interact with friends or family who live far away in the past 7 days?,External
SC_22B,How often did you interact with friends or family who live with you or near you in the past 7 days?,External
SC_22C,How often did you interact with people from work or school in the past 7 days?,External
SC_22D,How often did you interact with neighbors or people who live near you in the past 7 days?,External
SC_22E,How often did you interact with people from groups you are a part of based on shared interests or beliefs in the past 7 days?,External
SC_22F,How often did you interact with strangers or people you don't know in the past 7 days?,External
SC_3_WP,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?",External
SC_40_WP,Have you used any social media in the past 30 days?,External
WAVE,Wave of data collection,External
WGT,Weight,External
WP10004,At what age did you start smoking? (asked only of those who smoke),External
WP10005,What is the main reason you started smoking? (asked only of those who smoke),External
WP10006,Have you ever tried to quit smoking? (asked only of those who smoke),External
WP10007,"There are many stop-smoking aids available for people planning to quit smoking. If you were planning to quit smoking, which of the following do you think would work BEST for you? (asked only of those who smoke)",External
WP10037,Have you done any of the following in the past month? How about donated Blood,External
WP10067,"How much would you say you know about the opinions and beliefs of people who live in Muslim countries - a great deal, a moderate amount, not much, or none at all?",External
WP10068,"In general, please tell me whether your opinion of Muslim countries is very favorable, somewhat favorable, neither favorable nor unfavorable, somewhat unfavorable, or very unfavorable?",External
WP10069,"In general, do you think people in Muslim countries have a very favorable, somewhat favorable, neither favorable nor unfavorable, somewhat unfavorable, or very unfavorable opinion of Israel?",External
WP10070,"How much trust do you have in U.S. President Barack Obama to help Israel and Palestine negotiate a peace treaty that is equally fair to both sides -- a great deal, a fair amount, not much, or none at all?",External
WP10112,Do you think life can ever be the same again in Eastern Congo?,External
WP10113,"In your opinion, who is responsible for bringing peace to Eastern Congo?",External
WP10114,Do you believe there can be peace in Eastern Congo within the next 12 months?,External
WP10115,Do you have confidence the government of Rwanda is working to bring peace to Eastern Congo?,External
WP10119,"How many times in the past year have you been forced to move, or felt it was necessary to move to protect you or your family?",External
WP10120,Do you consider yourself to be an IDP (internally displaced person)? (asked only of those who have moved),External
WP10121,"Ever since you have become displaced, have you received any financial or in-kind assistance of any type, either from the government or a humanitarian organization? (asked only of those who have moved)",External
WP10122,"How soon do you expect to move back to the place/area you came from originally, if at all? (asked only of those who have moved)",External
WP10123,Do you know someone who has had to move in the last year to protect themselves or their family?,External
WP10124,What do you think this country will be like five years in the future? ,External
WP10156,"Do you agree or disagree with people demonstrating against the new family law, which would give more rights to women?",External
WP10157,"In your opinion, what should be the minimum age of marriage for girls in Mali? ________________ years",External
WP10200,"Thinking about your WORK SITUATION over the past 7 days, have you been employed by an employer - even minimally like for an hour or more - from whom you receive money or goods? (This could be for one or more employers.)",External
WP10202,"Again thinking about the last 7 days, were you self-employed, even minimally like for an hour or more? This means working for yourself, freelancing, or doing contract work, OR working for your own or your family's business. Self-employment also includes fishing, doing farm work, or raising livestock for either your own or your family's farm or ranch. (Prior to 2025: asked only of those who are not employed for an employer or are employed for an employer part-time; 2025: asked only of those who are not employed for an employer)  ",External
WP10205,Are you satisfied or dissatisfied with your job or the work you do? (asked only of those who are employed),External
WP10206,"Now think more generally about the company or organization you work for, including all of its employees. Based on what you know or have seen, would you say that, in general, your company or employer is? (asked only of those who are employed for an employer)",External
WP10222,I am going to read you two statements about the environment and economy. Please tell me which of these statements you agree MOST with:,External
WP10232,"Would you say that your job is the ideal job for you, or not? (asked only of those who are employed)",External
WP10233,Do you like what you do each day?,External
WP10234,"Thinking about yesterday, did you have enough clean drinking water?",External
WP10235,Did you experience the following feelings during A LOT OF THE DAY yesterday? How about  __________? High energy,External
WP10236,"About how many close friends or relatives do you speak to at least once every two weeks, either in person or on the phone? ",External
WP10238,Please tell me whether you agree or disagree with the following statements:  You will invent or discover something that will change the world.,External
WP10244,Please tell me whether you agree or disagree with the following statements:  A good business is one that makes a big profit.,External
WP10245,Please tell me whether you agree or disagree with the following statements: Leaders in the city or area where you live represent your interests.,External
WP10246,Please tell me whether you agree or disagree with the following statements: Your city or area is the ideal place for you to live.,External
WP10247,"In the city or area where you live, are you satisfied or dissatisfied with  __________? The availability of public parks",External
WP10248,"In the city or area where you live, are you satisfied or dissatisfied with  __________? The opportunities to meet people and make friends",External
WP10249,"In the city or area where you live, are you satisfied or dissatisfied with  __________? The availability of good job opportunities",External
WP10250,Is the city or area where you live a good place or not a good place to live for people with intellectual disabilities?,External
WP10251,"Do the media in this country have a lot of freedom, or not?",External
WP10252,"Are you planning to move permanently to another country in the next 12 months, or not? (asked only of those who would like to move to another country)",External
WP10253,To which country are you planning to move in the next 12 months? (asked only of those who are planning to move to another country in the next 12 months),External
WP10256,"In the past 12 months, have there been any severe environmental problems in your city or area, or not? For example, pollution, floods, droughts, or long periods of extreme heat or cold?",External
WP10257,"In the next five years, do you think you will need to move because of severe environmental problems?",External
WP10261,From which country did you move?,External
WP10262,"Please think about the last 12 months. In the area where you currently live, would you say there has been enough water for growing crops, or not?",External
WP10263,"Again thinking of the last 12 months, in the area where you currently live, would you say there has been enough water for raising livestock, or not?",External
WP10265,Are you planning to start a business in the next 3 years? (asked of everyone except business owners),External
WP10266,"Now, please think about yesterday, from the morning until the end of the day. Think about where you were, what you were doing, who you were with, and how you felt.  __________ Did you feel calm all day yesterday?",External
WP10268,Major Cities,External
WP10275,Are you currently able to save or invest part of your monthly income?,External
WP10294,"Considering the last 12 months, did anybody you know fall victim to domestic violence (by spouse, partner, parent, or anybody cohabiting with the person)?",External
WP10295,Do you think that the victims of domestic violence can receive adequate help and protection from the authorities in this country?,External
WP10296,"In this country, do you have confidence in each of the following, or not? How about  __________? Police",External
WP10297,"In this country, do you have confidence in each of the following, or not? How about  __________? Civil Society, NGOs",External
WP10298,"In this country, do you have confidence in each of the following, or not? How about  __________? President",External
WP10299,"In this country, do you have confidence in each of the following, or not? How about  __________? Political parties",External
WP103,Is the city or area where you live a good place or not a good place to live for racial and ethnic minorities?,External
WP10300,"In this country, do you have confidence in each of the following, or not? How about  __________? Private business organizations",External
WP10301,"In this country, do you have confidence in each of the following, or not? How about  __________? EU institutions",External
WP10302,"In this country, do you have confidence in each of the following, or not? How about  __________? NATO",External
WP10303,"In this country, do you have confidence in each of the following, or not? How about  __________? UN",External
WP10311,Do you think avoiding taxes in this country is...,External
WP10312,Which statement better describes your feelings when paying taxes?,External
WP10350,"If there was a referendum on Sunday on whether [country] should join the European Union, what would you vote?",External
WP10352,How well is this country doing in the following areas? Please use the categories on this card! Adapting laws and regulations to EU requirements,External
WP10354,How well is this country doing in the following areas? Please use the categories on this card! Settling disputes with neighboring countries,External
WP10355,How well is this country doing in the following areas? Please use the categories on this card! Creating favorable conditions for foreign investment,External
WP104,Is the city or area where you live a good place or not a good place to live for religious minorities?,External
WP10414,What is the main source of light in your home that is the source of light you use the most?,External
WP10416,Do you agree or disagree with the following statements? Women in this country are treated with respect,External
WP10417,Do you agree or disagree with the following statements? Laws prohibiting children 12 and under from working for pay should be more strongly enforced,External
WP10418,Do you agree or disagree with the following statements? Boys and girls in this country should have equal access to a good education,External
WP10419,"In your opinion, is child trafficking a major problem in ? By child trafficking, we mean the illegal movement of young children for work or sexual purpose without the permission of their parents or guardians.",External
WP10421,Are you personally afraid that you or a member of your household could get Kidnapped,External
WP10422,Are you personally afraid that you or a member of your household could get Murdered,External
WP10423,Are you personally afraid that you or a member of your household could get Sexually harassed,External
WP10424,"Are you aware of the presence of fake medicine in this country? By fake medicine, we mean a product that looks like the real one but doesn't provide the same effect and could even have bad side effects.",External
WP10425,Have you yourself or a member of your household been victim of fake medicine?,External
WP10426,"In your opinion, is teenage pregnancy a major problem in this country?",External
WP10441,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Those who speak foreign languages",External
WP10442,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Large businesses",External
WP10443,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Politicians",External
WP10444,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Professionals / specialists, such as lawyers, doctors, architects, etc.",External
WP10445,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? The inhabitants of the capital city of this country",External
WP10446,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Children",External
WP10447,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Small and medium size businesses",External
WP10448,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Civil servants",External
WP10449,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Farmers",External
WP10450,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Inhabitants of rural areas",External
WP10451,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? The unemployed",External
WP10452,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Pensioners",External
WP10453,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Elderly people",External
WP10454,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Those who don't speak any foreign language",External
WP10455,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? People belonging to cultural, religious or other minorities",External
WP10456,"For each of the following groups, do you think they would get more advantages, as many advantages as disadvantages or more disadvantages from this country becoming a member of the European Union? Self-employed, craftsmen",External
