ResponseId,Student,Q1,QNEW,Q2,Q3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6,Q7_x1,Q7_x4,Q7_x5,Q7_x6,Q7_x7,Q7_x8,Q7_x9,Q7_x10,Q7_x11,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13,Q14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q17,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q20_14,Q20_15,Q21_1,Q21_2,Q21_3,Q21_4,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_10_TEXT,Q29_1,Q29_2,Q29_3,Q29_4,Q30,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q34,Q35,Q36,Q37,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,QPID100,Q260,Q270,R01,R02,R03_1,R03_2,R03_3,R03_4,R03_5,R03_6,R03_7,R03_8,R03_9,R03_10,R04,xacslang,xhhno,xhispan,xppracem,xspanish,xurbanicity,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,ppemploy,ppt18ov,ppkid017,PPREG9,weight
R_7dEYVuKaiJEAwHO, ,2,2,1,1,1,1,1,1,1,5,1,1,1,3,3,4,3,3,3,1,3,3,3,4,5,4,4, , , , , , , ,3,5,5,3,3,6,4,3,4,2, ,1,1,2, ,2, ,4,1,2,1,1,2,2,2,1,1, ,1, ,1,2,2,2,4, , ,1,1,1,2, , ,2,1,1, , ,2,2,4,1,3,4,1,1, ,1, ,1,0,0,0,0,0,0,0,1,1, ,1, , , ,2, , ,2,2,2,3,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,1, ,2,2,1,2,3, ,2,2,2,2,1,1,1,2,2,2,2,2,2,2,13,6,1,1, , , , , , , , , , ,1,5,179077,2,4,1,1,23,3,3,4,1,2,2,6,5,1,4,1,93,3,2,0,9,0.8842
R_5V7Pk80lnrq3a6D, ,1,2,1,2,1,1,2,1,1,2,1,1,1,2,3,3,3,3,3,3,2,3,2,5,5,5,5,4,3,4,4,5,5,5, , , , , , , , ,4,2,2, ,1,2,2, ,3, ,1,2,2,1,2,2,2,5,1,2, ,1,1, ,1,2,1,1,2, , , , ,1,2,1,1,1,1,1, , ,4,1,2,1,1,1,1, ,1, ,0,1,0,0,0,0,0,0, ,1, ,2,1,1, ,2,2, , , ,2,4,4,2,2,4,2,0,0,1,1,0,0,1,1,0,0,0, ,2,2,1,2,3, ,2,2,2,2,3,3,3,1,4,4,4,2,2,1,2,2,1,1, , , , , , , , , , ,1,5,179929,1,1,1,3,21,3,3,2,1,3,1,7,5,1,3,1,74,3,3,0,7,0.8288
R_6MfchIy8ukGr1rv, ,1,1,1,2,1,1,1,1,1,3,2,1,1,2,2,3,3,2,3,4,2,3,3,3,5,6,6, , , , , , , ,3,5,4,6,3,5,3,6,2,1, ,3,2,2, ,3, ,2,3,3,3,3,3,2,2,4,3, ,3, ,3,3,3,1,5, , ,1,2,2,2, , ,1,2,2, , ,1,1,3,1,1,3,2,1, ,1, ,2,0,0,0,0,0,0,0,1,2, ,2, , , ,2, , ,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1, ,2,3,3,3,3, ,2,2,2,2,2,2,3,2,3,3,2,2,2,6,2,3,2, ,1,3, , , , , , , , ,1,5,180787,1,2,1,1,21,3,3,2,2,3,1,4,5,1,3,1,74,1,3,0,7,0.6152
R_14bEEm0mQlGXx5E, ,1,2,1,3,2,2,2,2,2,2,3,2,3,1,2,3,2,2,3,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6, , , , , , , , ,4,2,2, ,1,3,1, ,2, ,1,2,2,1,2,1,1,3,2,2, ,2,2, ,3,2,3,2,2, , , , ,2,2,1,2,2,2,2, , ,4,5,2,5,1,2,2, ,2, ,0,1,0,0,0,0,0,0, ,1, ,2,2,1, ,2,2, , , ,3,3,2,3,1,3,2,1,1,1,1,1,1,1,1,1,0,0, ,4,3,4,4,3, ,2,2,2,2,3,3,2,1,2,3,3,2,2,3,7,2,1,1, , , , , , , , , , ,1,5,187089,1,1,1,1,19,2,2,1,1,3,1,7,5,1,3,1,74,2,3,0,7,0.5742
R_2apjBBxULijgmch, ,1,2,1,1,1,2,2,1,2,3,1,1,1,2,3,3,2,4,3,2,2,4,3,5,4,4,5, , , , , , , ,4,5,5,2,2,7,5,3,4,1, ,1,1,2, ,2, ,4,1,1,1,1,2,2,2,1,1, ,3, ,2,1,2,1,3, , ,2,2,2,1, , ,2,2,2, , ,1,1,4,2,2,2,2,2, ,1, ,1,0,1,0,0,1,1,0,0,2, ,1, , , ,2, , ,2,2,2,2,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1, ,2,3,3,3,3, ,2,2,2,2,1,1,2,1,3,3,3,2,2,6,13,5,3, ,2,1,3, , , , , , , ,1,5,190377,1,1,1,3,20,3,3,1,2,5,1,7,5,1,2,1,33,2,4,1,3,0.4145
R_17TYy6o4DQjwZ2G, ,1,2,1,3,1,4,1,1,1,2,1,1,1,1,3,2,3,3,3,3,3,4,3,1,1,7,7,1,1,1,1,1,1,5, , , , , , , , ,4,2,1, ,1,1,1, ,4, ,2,2,2,1,3,1,2,1,1,1, ,1,2, ,5,2,3,1,2, , , , ,1,2,2,2,2,2,2, , ,3,1,2,3,1,1,2, ,1, ,0,0,0,0,0,0,0,1, ,1, ,2,1,2, ,2,1, , , ,4,2,2,4,1,3,4,0,0,0,0,0,0,1,0,0,0,0, ,2,2,2,2,2,1,2,2,2,2,2,2,2,1,4,4,4,4,4,1,2,6,3, ,3,1,2, , , , , , , ,1,5,191443,1,1,1,2,19,3,3,1,1,10,1,4,5,0,3,1,74,2,5,5,7,0.6601
R_7q4dMUGjq0RWSD6, ,1,2,1,3,1,3,1,2,1,1,1,1,1,1,1,2,3,1,1,1,2,3,2,7,7,7,6, , , , , , , ,5,6,7,7,7,7,7,7,4,2, ,1,1,4, ,1, ,4,1,2,1,2,3,2,1,5,1, ,1, ,2,2,1,1,3, , ,2,2,2,2, , ,1,1,1, , ,1,1,3,1,2,4,1,1, ,1, ,1,1,0,0,0,0,0,0,0,1, ,1, , , ,1, , ,2,2,2,1,4,4,1,1,2,4,0,0,0,0,0,0,0,0,0,0,1, ,2,4,3,1,1, ,2,2,1,2,2,2,2,1,4,4,2,4,1,1,2,2,2, ,1,1, , , , , , , , ,1,5,193073,1,1,1,1,20,3,3,1,1,4,1,6,1,1,2,1,46,1,4,0,4,1.1388
R_7Gli8egUrrpeUvM, ,1,1,1,3,2,2,1,1,1,1,1,1,1,2,2,3,2,2,3,3,2,3,4,4,5,6,7,3,2,1,3,4,4,7, , , , , , , , ,2,1,1, ,1,1,1, ,1, ,1,2,3,1,3,1,1,2,1,2, ,2,1, ,1,2,3,2,2, , , , ,2,2,1,2,2,2,2, , ,3,4,1,2,1,1,2, ,1, ,0,0,0,0,0,0,0,1, ,1, ,2,2,2, ,2,2, , , ,3,3,2,3,2,4,1,0,0,0,0,0,0,1,0,0,0,0, ,3,3,2,2,1, ,2,2,2,2,1,1,2,2,1,3,3,2,2,1,2,3,2, ,1,3, , , , , , , , ,1,1,193744,2,1,1,3,22,3,3,4,1,5,1,5,1,1,3,1,71,2,4,1,7,0.3971
R_7kwfcfQphy964Bs, ,1,2,2,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,7, , , , , , , ,7,1,7,6,7,7,7,7,4,2, ,2,1,2, ,2, ,3,2,2,2,1,2,1,1,2,1, ,1, ,1,1,2,2,2, , ,2,2,2,1, , ,2,2,2, , ,1,1,3,1,1,2,1,1, ,1, ,1,0,0,0,0,0,0,0,1,2, ,2, , , ,2, , ,2,2,2,2,2,2,3,1,2,2,0,0,1,1,0,0,1,1,0,0,0, ,2,2,2,1,3, ,2,2,2,2,1,2,2,1,3,4,3,3,2,3,2,4,1,1, , , , , , , , , , ,1,5,193767,1,1,1,2,21,3,3,1,2,3,1,5,1,1,3,1,56,3,2,1,5,0.8579
R_5pQyzZWab3PjydG, ,1,1,2,3,1,1,2,3,1,5,1,1,1,2,1,1,2,2,1,2,1,2,1,6,5,5,6, , , , , , , ,3,4,3,3,3,6,4,3,3,1, ,1,1,2, ,1, ,4,1,1,1,1,2,2,2,1,3, ,1, ,3,2,3,1,3, , ,2,2,2,1, , ,3,1,1, , ,1,1,3,1,4,3,1,1, ,2, ,2,0,0,0,0,0,0,0,1,1, ,1, , , ,1, , ,2,2,1,2,2,2,3,2,3,3,0,0,1,0,0,0,0,0,0,0,0, ,2,2,2,2,3, ,2,2,2,2,1,1,2,1,3,4,3,2,2,2,2,6,1,1, , , , , , , , , , ,1,5,193806,1,1,1,3,20,2,2,1,1,2,1,4,5,1,1,1,16,3,2,0,1,0.4276
R_3JdQapUEWhMTjat, ,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,2,5,6,3,6,6,2,2,3,2,4,5, , , , , , , , ,3,1,3, ,2,4,1, ,2, ,1,2,2,3,2,1,2,1,1,2, ,1,2, ,1,3,4,1,2, , , , ,2,2,1,2,2,2,1, , ,3,1,2,4,1,1,2, ,1, ,0,0,0,0,0,0,0,1, ,1, ,2,2,2, ,1,1, , , ,2,3,4,4,1,4,3,1,1,1,0,1,1,1,1,0,0,0, ,4,4,3,4,1, ,2,2,2,2,2,2,3,1,2,3,2,2,2,2,1,5,2, ,1,1, , , , , , , , ,1,5,193957,1,1,1,3,18,3,3,1,1,3,1,4,5,1,1,1,21,2,3,0,2,0.7044
R_1zEhJZA5OeEGtnb,1,3,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,3,2,3,3,2,5,7,7, , , , , , , ,7,1,7,7,7,1,7,7,4,2, ,3,1,1, ,3, ,2,3,2,3,3,1,1,2,3,2, ,1, ,3,2,1,2,2, , ,2,2,2,1, , ,2,3,3, , ,1,1,4,1,3,3,1,1, ,1, ,1,0,0,0,0,0,0,0,1,1, ,1, , , ,1, , ,2,2,2,3,3,3,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,3, ,2,2,2,2,1,1,2,2,3,3,3,3,3,1,1,4,6, ,1,1,1,1,1,1, , , , ,1,5,194949,1,1,1,2,22,3,3,1,1,3,1,5,5,1,2,1,41,3,3,0,4,1.1128
R_7wB22groJNG4Md8, ,1,1,1,3,4,3,2,2,2,3,2,2,2,2,1,1,2,1,2,3,1,1,2,6,6,6,6, , , , , , , ,7,4,7,6,6,5,7,7,4,2, ,1,1,4, ,2, ,3,1,2,1,1,1,1,2,2,1, ,2, ,1,1,2,2,5, , ,2,2,2,1, , ,1,2,2, , ,1,1,3,2,2,3,1,1, ,1, ,1,1,0,0,0,0,0,0,0,1, ,1, , , ,2, , ,2,2,2,2,3,3,2,1,2,2,0,0,1,1,0,0,1,0,0,0,0, ,3,2,1,1,1, ,2,2,2,1,1,1,2,1,3,3,1,3,2,6,1,5,1,1, , , , , , , , , , ,1,5,195179,1,1,1,3,19,2,2,1,1,3,1,6,5,1,2,1,41,2,3,0,4,0.5694
R_3OPgcappuCHJTtQ, ,3,2,1,1,3,3,2,2,3,5,3,1,2,2,3,3,3,3,3,2,3,4,3,5,5,6,3,6,4,3,4,5,4,7, , , , , , , , ,3,1,3, ,2,3,3, ,3, ,1,3,3,1,2,2,2,1,3,1, ,3,3, ,1,3,4,1,1, , , , ,2,2,2,2,2,2,1, , ,4,1,3,3,2,1,2, ,2, ,0,0,0,0,0,0,0,1, ,1, ,2,2,2, ,1,1, , , ,3,3,3,3,3,3,2,1,0,0,1,0,1,0,0,0,0,0, ,3,3,4,3,3, ,2,2,2,2,1,2,2,2,2,3,3,2,2,2,1,3,1,1, , , , , , , , , , ,1,2,196236,2,1,1,3,19,3,3,4,2,5,1,6,5,1,2,1,33,2,5,0,3,0.3407
R_1VjCV6MlOucDHSv, ,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, , , , , , , , ,-1,-1,-1, ,-1,-1,-1, ,-1, ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, ,-1,-1, ,-1,-1,-1,-1,-1, , , , ,-1,-1,-1,-1,-1,-1,-1, , ,-1,-1,-1,-1,-1,-1,-1, ,-1, ,-1,-1,-1,-1,-1,-1,-1,-1, ,-1, ,-1,-1,-1, ,-1,-1, , , ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, ,-1,-1,-1,-1,-1, ,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,3, ,3,1,-1, , , , , , , ,1,5,196419,1,1,1,3,21,2,2,1,2,4,2,6,5,1,1,1,23,3,4,0,2,0.2861
R_1VZ1GLxKb6SKA01, ,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,2,3,3,2,3,4,6,5,4,5, , , , , , , ,4,6,4,4,2,6,3,2,4,2, ,1,1,3, ,3, ,4,1,2,1,1,1,1,2,1,1, ,1, ,1,1,2,1,3, , ,2,2,2,1, , ,1,2,2, , ,1,1,4,1,1,1,2,2, ,2, ,2,1,0,0,0,1,1,0,0,2, ,2, , , ,2, , ,2,2,2,2,2,2,2,2,-1,2,1,0,0,0,0,0,1,1,0,0,0, ,2,2,2,3,3, ,1,1,1,2,1,2,2,1,3,3,3,2,1,2,13,6,2, ,1,3, , , , , , , , ,1,5,198221,1,1,1,2,21,3,3,1,2,4,1,5,5,1,3,1,54,2,4,0,5,0.4089
R_2kMOvfnkzmjxGjb,1,1,2,2,4,1,1,1,1,1,3,1,1,1,2,4,3,3,2,3,1,3,4,3,6,5,5,5,7,3,3,-1,3,3,7, , , , , , , , ,3,1,3, ,2,3,3, ,1, ,1,3,2,1,2,2,2,1,2,1, ,1,1, ,3,1,4,1,3, , , , ,2,1,2,2,2,2,1, , ,4,1,3,4,2,2,2, ,1, ,0,0,0,0,0,0,0,1, ,1, ,2,2,2, ,1,1, , , ,3,3,1,4,1,4,2,1,1,1,1,0,1,1,1,1,0,0,-1,2,3,4,3,3, ,2,2,2,2,1,1,2,1,3,3,2,1,1,2,10,2,1,1, , , , , , , , , , ,1,5,205090,1,1,1,2,21,3,3,1,2,4,1,3,5,0,3,1,57,3,3,1,5,0.8908
R_5a93EcxVE956ZtR, ,1,2,1,3,1,2,3,4,2,2,1,2,1,3,2,2,2,2,2,2,2,2,2,7,6,3,6,6,3,4,5,3,5,6, , , , , , , , ,3,2,3, ,1,3,2, ,2, ,3,3,3,1,3,1,1,3,2,2, ,2,2, ,2,2,5,1,2, , , , ,2,2,2,2,2,2,2, , ,2,3,2,3,1,2,2, ,2, ,0,0,0,0,0,0,0,1, ,1, ,2,1,2, ,2,2, , , ,2,2,2,3,2,3,2,0,0,1,1,0,0,0,0,0,0,0, ,3,3,3,2,3, ,2,2,2,2,2,2,2,1,3,3,2,2,2,1,2,3,1,1, , , , , , , , , , ,1,5,205697,1,1,1,2,21,3,3,1,1,4,1,6,5,1,1,1,23,2,4,0,2,1.3922
R_1KeWYJf6caNZ2jB, ,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,1,7,6,5,6, , , , , , , ,5,5,5,7,4,7,5,4,2,2, ,2,1,2, ,2, ,2,1,1,1,1,1,2,2,2,2, ,2, ,2,2,2,3,1, , ,1,1,1,1, , ,1,1,1, , ,1,1,3,1,3,3,2,2, ,2, ,2,0,0,0,0,0,0,0,1,1, ,2, , , ,1, , ,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1, ,2,3,2,1,3, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4, ,2,1,1,3, , , , , , ,1,5,209377,1,1,1,3,22,2,2,2,1,4,1,5,1,1,1,1,22,3,4,0,2,0.9694
R_1jD5EMYyaXWt3iB, ,3,2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5,5,4,3,4,4,4,2, , , , , , , , ,3,2,3, ,2,4,2, ,2, ,1,3,3,1,3,1,2,2,1,1, ,2,2, ,1,3,3,3,3, , , , ,3,3,3,3,3,3,3, , ,3,1,3,1,2,2,2, ,2, ,0,0,0,0,0,0,0,1, ,-1, ,-1,-1,-1, ,-1,-1, , , ,2,1,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,1, ,2,3,1,3,3, ,2,2,2,2,3,2,2,2,3,3,2,1,1,2,1,6,3, ,3,3,1, , , , , , , ,1,5,210084,1,1,1,3,18,3,3,1,2,4,1,6,5,1,1,1,21,2,3,1,2,0.3132
